#{"t_start": 1719237463.6258821, "env_id": "None"}
r,l,t
1729.782935,240,0.055018
137.225877,240,0.118781
-584.097859,240,0.186699
-1278.702403,240,0.252976
-763.417319,240,0.320806
-2173.258474,240,0.387639
-1539.946536,240,0.452617
365.997528,240,0.520569
-329.454344,240,0.589622
321.664475,240,0.658407
2215.748542,240,0.726101
-208.406926,240,0.793835
369.599534,240,0.864878
-575.3772,240,0.933515
649.219554,240,1.003149
293.785614,240,1.071711
2233.896322,240,1.152027
-386.381684,240,1.223748
705.218998,240,1.298977
590.474418,240,1.3714
383.853984,240,1.44448
-535.805987,240,1.516967
-783.121529,240,1.589715
-2188.569928,240,1.66272
464.040453,240,1.737587
1256.570644,240,1.808534
-6993.152129,240,1.879803
-824.361566,240,1.953636
-934.640191,240,2.033391
-2037.72195,240,2.107648
703.252458,240,2.180512
389.757747,240,2.253668
422.027405,240,2.33045
-3037.204013,240,2.405094
-974.443079,240,2.492038
-1187.722446,240,2.567241
-1792.827908,240,2.644674
-98.326987,240,2.720617
524.124882,240,2.797798
1625.478079,240,2.874869
-3140.526424,240,2.955046
-13.153307,240,3.032164
314.070361,240,3.109943
-433.972145,240,3.18688
216.049754,240,3.267828
-1313.625511,240,3.346698
-989.922736,240,3.42627
923.107379,240,3.506035
-1709.554855,240,3.588433
36.216318,240,3.668439
-768.465922,240,3.748357
-90.046399,240,3.828347
134.200277,240,3.911925
-1639.239306,240,3.994056
2115.700358,240,4.076071
-4609.955491,240,4.158735
-394.645793,240,4.249139
-783.986978,240,4.334883
701.824762,240,4.428039
193.808083,240,4.517783
208.249785,240,4.60885
104.669775,240,4.696206
1065.965447,240,4.785236
612.108187,240,4.876005
-236.121816,240,4.964203
-232.786725,240,5.050919
145.378497,240,5.136788
496.767075,240,5.224591
-236.727029,240,5.314448
168.948446,240,5.40265
-2957.659479,240,5.490588
369.37942,240,5.577387
-596.173668,240,5.669138
-153.760627,240,5.756095
505.793279,240,5.844248
-1111.786538,240,5.934599
770.361008,240,6.028595
858.77804,240,6.118817
53.460116,240,6.206665
339.974637,240,6.29691
-215.842781,240,6.387292
864.623098,240,6.479373
-733.395355,240,6.571407
863.883798,240,6.661539
-560.632065,240,6.755736
-1391.668,240,6.845902
-124.205157,240,6.93614
-627.679927,240,7.028137
-4982.870083,240,7.120903
333.552839,240,7.210109
713.109757,240,7.303914
679.97488,240,7.393472
858.103406,240,7.491181
559.355533,240,7.580738
666.091311,240,7.674388
-2150.788425,240,7.772299
-63.991742,240,7.870775
437.207872,240,7.961204
1051.588664,240,8.056979
-133.591113,240,8.147065
917.189911,240,8.240048
224.283104,240,8.330105
723.117837,240,8.421024
1354.587175,240,8.514704
2743.283937,240,8.609449
-1154.376821,240,8.7013
909.781156,240,8.792525
2048.943352,240,8.890159
151.625606,240,8.987354
-780.452622,240,9.077581
16.297158,240,9.169541
-446.834576,240,9.261391
1928.312894,240,9.357825
762.305581,240,9.449598
963.182787,240,9.541624
969.838427,240,9.633313
-924.002858,240,9.728248
611.491419,240,9.818118
229.601095,240,9.908902
489.511391,240,10.002827
147.244424,240,10.098149
644.999898,240,10.188438
1586.688136,240,10.281289
-868.646396,240,10.372764
-64.880349,240,10.465074
-332.589045,240,10.555793
-74.685075,240,10.646409
-217.468841,240,10.737697
184.520052,240,10.831084
822.548208,240,10.923032
-734.859218,240,11.013935
206.74755,240,11.105247
88.112171,240,11.198132
928.583375,240,11.287977
89.262384,240,11.380452
139.587591,240,11.520327
-194.345496,240,11.612322
1509.909788,240,11.703465
372.759061,240,11.794805
904.841427,240,11.886153
-66.30336,240,12.018875
-861.205563,240,12.124284
939.928776,240,12.218252
-646.68536,240,12.310094
1713.641726,240,12.40273
1047.27123,240,12.492369
706.237002,240,12.583094
1104.401934,240,12.675893
966.792033,240,12.770812
428.485897,240,12.862439
893.151615,240,12.952691
358.611054,240,13.040881
199.924593,240,13.149803
95.164857,240,13.242431
-1468.463473,240,13.335793
3177.050214,240,13.428235
-339.97804,240,13.521603
390.753635,240,13.6136
632.987915,240,13.704631
1178.578116,240,13.794843
896.333668,240,13.890399
-1818.373754,240,13.981743
-3535.905311,240,14.070543
-197.18511,240,14.162769
16.373693,240,14.255626
279.64278,240,14.346662
372.83504,240,14.43907
-1773.883839,240,14.53029
-575.25726,240,14.623253
1224.292615,240,14.713969
794.216513,240,14.805698
415.033634,240,14.899269
248.794365,240,14.994033
124.61031,240,15.08719
394.001421,240,15.176936
