#{"t_start": 1719237425.5681138, "env_id": "None"}
r,l,t
581.096514,240,0.073206
118.78112,240,0.139806
-100.07518,240,0.211471
-1512.063951,240,0.280061
-1610.242552,240,0.350445
-2401.150941,240,0.416894
-1223.903619,240,0.484023
1152.622708,240,0.555546
1472.989086,240,0.629118
2102.55981,240,0.744994
1377.278821,240,0.813614
-19.374271,240,0.885739
395.688025,240,0.95813
-243.958841,240,1.027404
-1654.907383,240,1.100109
1098.808735,240,1.180811
764.29668,240,1.259162
-3708.16731,240,1.334301
1239.345268,240,1.405774
318.671895,240,1.477426
1748.252995,240,1.553912
1152.301696,240,1.63152
810.417474,240,1.713072
-2076.159712,240,1.793872
2031.824492,240,1.871984
1160.067033,240,1.946586
920.653832,240,2.021339
1056.154699,240,2.096178
2529.251435,240,2.17262
360.381533,240,2.250721
29.354158,240,2.327091
1975.703637,240,2.409428
-1233.916539,240,2.500269
1362.705426,240,2.578202
232.602186,240,2.653532
-1179.324609,240,2.72907
-134.625615,240,2.807179
-316.252423,240,2.885679
3157.094838,240,2.962774
579.23103,240,3.039852
1108.026869,240,3.120598
1539.445905,240,3.203019
290.521173,240,3.287767
-248.65304,240,3.373154
595.678411,240,3.455383
1074.092477,240,3.536162
-934.997203,240,3.615942
1162.370188,240,3.6985
1135.687232,240,3.782201
1516.64148,240,3.863782
-205.007813,240,3.945287
-831.820324,240,4.027058
-1957.79327,240,4.112873
-438.671121,240,4.193914
731.664201,240,4.27564
2297.476797,240,4.359305
1910.035522,240,4.446249
1098.348881,240,4.531918
796.308015,240,4.619575
1044.813302,240,4.707898
-1377.623611,240,4.79675
1888.170882,240,4.881657
1294.997939,240,4.966288
6730.433891,240,5.055232
-1429.944372,240,5.145896
802.225379,240,5.234515
1763.059887,240,5.321227
914.014725,240,5.409301
-1132.915043,240,5.501831
1104.273113,240,5.590302
3300.864874,240,5.682068
1068.440172,240,5.769315
1418.372746,240,5.860463
2860.917734,240,5.950057
1509.972177,240,6.039422
-2.534845,240,6.129251
1907.162518,240,6.221994
2328.63832,240,6.311398
1975.484552,240,6.401245
1591.911377,240,6.492691
-14.6732,240,6.586883
-1278.576931,240,6.677471
1140.439122,240,6.769247
2193.123724,240,6.862446
1645.307814,240,6.95995
-1327.238397,240,7.052115
1952.128456,240,7.144923
-1463.732062,240,7.240614
949.985511,240,7.335208
4111.006201,240,7.42813
207.86484,240,7.524569
1955.394428,240,7.61874
213.67183,240,7.713709
1021.079966,240,7.804795
2747.005297,240,7.894928
1606.137468,240,8.004991
919.961653,240,8.101809
685.931259,240,8.192513
1851.561904,240,8.284403
1255.033861,240,8.376871
829.42759,240,8.472908
1221.442998,240,8.56565
1773.069904,240,8.665416
50.539045,240,8.759924
-2861.849607,240,8.853187
1145.406904,240,8.945596
634.837415,240,9.040089
1177.46975,240,9.133587
1691.986545,240,9.227514
2124.03409,240,9.32023
567.322039,240,9.413001
1485.219207,240,9.505034
2522.758756,240,9.602276
1231.582955,240,9.69578
1802.520933,240,9.788666
1262.299354,240,9.880111
-794.558815,240,9.974729
1632.972094,240,10.066415
-667.288467,240,10.156147
2274.74247,240,10.248184
3011.392912,240,10.344848
270.275891,240,10.434987
3041.24541,240,10.527749
-2749.803617,240,10.619317
-2321.441258,240,10.712283
1542.28903,240,10.803765
1258.430446,240,10.896074
1474.504433,240,10.988042
2922.700632,240,11.08245
2186.93893,240,11.174705
-524.768183,240,11.267162
167.478303,240,11.360534
1584.934887,240,11.456377
1383.203498,240,11.547586
327.582517,240,11.63851
1855.319762,240,11.730078
2009.777924,240,11.827471
1817.373517,240,11.918387
-800.470721,240,12.010898
1461.134934,240,12.106034
2627.219663,240,12.199448
2347.672871,240,12.291025
1275.13924,240,12.383366
1524.032828,240,12.495381
2049.980489,240,12.593205
2397.369412,240,12.685226
29.910142,240,12.784291
1527.842562,240,12.879585
2319.721634,240,12.974735
2244.935701,240,13.066293
1639.134746,240,13.157633
1557.786468,240,13.248315
2417.294767,240,13.346125
2719.276176,240,13.438613
