#{"t_start": 1719236559.520837, "env_id": "None"}
r,l,t
1360.437086,240,0.06004
-544.697562,240,0.124898
-180.487898,240,0.189993
-1187.245716,240,0.252708
-3147.20669,240,0.318928
-2061.478975,240,0.384929
-511.1487,240,0.448645
111.053224,240,0.513548
-211.110376,240,0.580234
-395.960393,240,0.648437
752.476421,240,0.713435
402.896861,240,0.778843
155.96705,240,0.847067
87.56851,240,0.913506
1030.559141,240,0.979584
63.719004,240,1.047507
5458.383811,240,1.122081
2044.078808,240,1.19433
337.245992,240,1.309897
912.211863,240,1.375657
1966.727383,240,1.447288
1158.853717,240,1.514283
257.63095,240,1.581198
517.067152,240,1.648208
534.901697,240,1.71988
1793.776087,240,1.786405
-234.741511,240,1.853575
940.765902,240,1.921377
1637.73626,240,1.990531
783.187405,240,2.059391
132.655925,240,2.126094
-2171.306245,240,2.192989
263.956983,240,2.264002
-1657.700234,240,2.336148
-1422.098185,240,2.405569
-1332.962177,240,2.481432
-170.096442,240,2.561148
-1034.06375,240,2.636383
335.39404,240,2.704759
746.466699,240,2.774458
-212.106014,240,2.849049
622.859021,240,2.92243
-2316.673006,240,3.030255
539.265062,240,3.109981
-255.936988,240,3.186514
-962.396346,240,3.257297
398.723101,240,3.333369
311.871902,240,3.416636
1427.848825,240,3.490688
730.735439,240,3.564447
-4044.051462,240,3.638867
1324.394546,240,3.718385
2420.09227,240,3.799037
1503.592549,240,3.879402
-1564.934981,240,3.964178
-4054.264652,240,4.047393
314.972346,240,4.124172
-2361.972101,240,4.203114
692.885258,240,4.276921
-3240.004844,240,4.351145
-153.304906,240,4.428177
1508.011706,240,4.500215
-900.428904,240,4.57376
480.332558,240,4.6473
2672.592264,240,4.72483
-180.592914,240,4.800753
1580.470935,240,4.875078
1919.498599,240,4.949185
740.372726,240,5.023316
-475.376812,240,5.099535
1558.279896,240,5.174784
-1301.899023,240,5.253986
-697.664675,240,5.377455
980.851965,240,5.449313
956.650786,240,5.526226
538.340435,240,5.601788
-121.990167,240,5.680629
-5032.749118,240,5.755264
2092.08171,240,5.830567
2423.973231,240,5.905958
-1947.814963,240,5.983263
-828.664405,240,6.060304
74.805833,240,6.136101
569.782364,240,6.212807
-1708.584399,240,6.295646
-3089.308561,240,6.378397
-1554.711306,240,6.457713
36.289134,240,6.535114
-360.57913,240,6.612923
556.084846,240,6.690524
242.749823,240,6.775367
2389.67361,240,6.862671
405.252552,240,6.951445
561.849848,240,7.036377
-1537.204058,240,7.11438
1223.902374,240,7.19358
-718.682444,240,7.271424
-6135.042743,240,7.3477
1531.931249,240,7.429003
279.534221,240,7.51476
94.336645,240,7.601533
-803.801691,240,7.685692
-143.583735,240,7.772331
7.140384,240,7.858871
-1237.422871,240,7.94984
828.371715,240,8.028539
925.049,240,8.160859
-3672.207292,240,8.241513
239.844901,240,8.327698
-901.821422,240,8.408521
477.2777,240,8.491517
-5362.083455,240,8.623992
4869.798747,240,8.709076
1112.81524,240,8.810532
1767.127564,240,8.911956
568.00165,240,9.016768
1465.857346,240,9.113741
-9703.951666,240,9.213392
-1818.815067,240,9.308399
-450.226165,240,9.405614
725.217594,240,9.495448
708.733172,240,9.57633
-208.510017,240,9.65798
-4762.460028,240,9.738906
-403.149223,240,9.825319
759.677215,240,9.915335
-719.097646,240,10.005102
1291.944722,240,10.093664
79.78561,240,10.184378
548.814723,240,10.272703
1357.168872,240,10.35724
853.245718,240,10.514397
-1902.716526,240,10.603805
2008.5829,240,10.695269
-1343.736873,240,10.782528
-1546.207162,240,10.865395
-287.997433,240,10.948868
426.28391,240,11.026705
-560.522573,240,11.105789
1250.782647,240,11.189654
1575.548472,240,11.275657
945.312298,240,11.357613
-1429.63424,240,11.442332
864.006146,240,11.535726
2468.991664,240,11.626075
-192.846228,240,11.713372
-1068.375508,240,11.798021
43.219796,240,11.883456
375.136818,240,11.971285
1349.553837,240,12.057393
310.853338,240,12.149046
1925.351975,240,12.24726
1345.060744,240,12.338341
1247.509931,240,12.424848
741.402289,240,12.511586
4623.573319,240,12.60826
851.500206,240,12.694254
-1210.209846,240,12.78051
-128.512968,240,12.872098
1303.212978,240,12.967638
634.799964,240,13.059037
-9032.000829,240,13.144729
-1305.075408,240,13.23305
154.602326,240,13.31658
-11.885694,240,13.412945
