Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
97.3,100,100.3,0.03,-0.8,100501.5,-5,1.5,50,1,0,1,5
98.71011771021543,99.75757221850978,100.20648129349307,0.015,-0.4,101002.53240646746,-10,4.956684282369679,50,2,1,1,10
99.91326303374349,101.17798788227189,102.4427127308003,0.025,0.0,101002.53240646746,-10,-9.247472355258651,50,2,1,1,10
100.55573304180895,101.82859042208501,103.10144780236108,0.025,0.0,101002.53240646746,-10,-15.753497753379634,50,2,1,1,10
99.8669726411265,101.13111153531797,102.39525042950945,0.025,0.0,101002.53240646746,-10,-8.778708885714877,50,2,1,1,10
101.42441858766371,102.70827198750756,103.99212538735141,0.025,0.0,101015.3709404659,-10,-11.711779409175506,50,4,2,2,10
101.38916541705987,102.67257257423785,103.95597973141582,0.025,0.0,101535.15083912299,-15,-4.937749490578426,50,5,3,2,15
100.93603101016265,102.31731475941476,102.47079073155388,0.015,-0.8,102047.50479278076,-20,1.158497592463391,50,6,4,2,20
101.26690098407585,102.65271260423299,102.80669167313934,0.015,-0.8,102047.50479278076,-20,-5.549459303903859,50,6,4,2,20
103.07220358628275,104.48272031047415,104.63944439093986,0.015,-0.8,102047.50479278076,-20,-42.149613428715384,50,6,4,2,20
102.89483440382992,104.30292387615805,104.45937826197229,0.015,-0.8,102577.62440338133,-25,-29.948693522630492,50,9,4,5,25
102.5187746348623,103.92171782550663,104.0776004022449,0.015,-0.8,102065.03053020702,-20,-13.40382630311069,50,10,4,6,20
104.28507714190684,105.71219173026542,105.87076001786082,0.015,-0.8,102594.38433029632,-25,-48.42046296031913,50,11,4,7,25
104.34029310007253,105.76816330468579,105.92681554964281,0.015,-0.8,102594.38433029632,-25,-49.81975232082186,66.62000890981662,11,4,7,25
103.41588623588281,104.83110616916656,104.9883528284203,0.015,-0.8,102594.38433029632,-25,-26.393323932847125,70.04453678233662,11,4,7,25
104.53397981829582,105.96450057607281,106.12344732693691,0.015,-0.8,102594.38433029632,-25,-54.72818410549371,61.44163982959965,11,4,7,25
103.11700900366826,104.5281388785284,104.68493108684619,0.015,-0.8,103117.80898573055,-30,-18.03518062530202,60.52839182773534,12,4,8,30
102.95537401994493,104.36429196142416,104.5208383993663,0.015,-0.8,103117.80898573055,-30,-13.119773112179246,62.24761375979052,12,4,8,30
103.41521988236815,104.8304306967746,104.98767634281975,0.015,-0.8,103117.80898573055,-30,-27.103935172694037,63.29281734928714,12,4,8,30
103.69436518091085,105.11339602727912,105.27106612132005,0.015,-0.8,103117.80898573055,-30,-35.592895087829675,58.09115271401465,12,4,8,30
102.85602264169432,104.2635809849917,104.41997635646919,0.015,-0.8,103117.80898573055,-30,-10.098443819209933,65.70418979115047,12,4,8,30
104.95866678216345,106.39499927234004,106.55459177124855,0.015,-0.8,103650.58194458678,-35,-73.24302994512254,56.53260881647486,13,4,9,35
103.21495765031645,104.62742792733548,104.78436906922647,0.015,-0.8,103650.58194458678,-35,-11.378032869964954,50.408248484705474,13,4,9,35
101.80567746550796,103.19886210391076,103.35366039706662,0.015,-0.8,103650.58194458678,-35,38.62177094990329,55.614171808338384,13,4,9,35
103.2224639139801,104.6350369122961,104.79198946766455,0.015,-0.8,104698.50183926344,-45,-10.074821789894486,55.53915362242935,15,5,10,45
103.20553618521932,104.61787753189996,104.77480434819782,0.015,-0.8,104182.47415833734,-40,-2.240942938660737,57.5370493190764,16,5,11,40
103.75380755334263,105.17365185336303,105.33141233114307,0.015,-0.8,104182.47415833734,-40,-24.47191579718492,58.489977295164195,16,5,11,40
104.01389710379429,105.4373006627413,105.59545661373541,0.015,-0.8,104190.38195588705,-40,-27.11007062261342,62.65897542618465,18,6,12,40
105.21542479176073,106.65527094958006,106.81525385600443,0.015,-0.8,104724.45822516707,-45,-75.02896756403788,61.099439236481956,19,6,13,45
104.93187547634454,106.36784133435839,106.52739309635993,0.015,-0.8,104732.43581326713,-45,-54.11704677899252,56.3279571922747,21,7,14,45
104.03576605301626,105.4594688829359,105.61765808626029,0.015,-0.8,105260.52410369844,-50,-12.449340448350995,56.52044253535961,22,8,14,50
104.08293680956564,105.50728515921504,105.66554608695387,0.015,-0.8,106845.50729500275,-65,-12.466240346228005,61.26853230035332,25,8,17,65
105.30122200369428,106.74224227439866,106.90235563781026,0.015,-0.8,106327.00685315486,-60,-77.5276833090611,64.25860428027813,28,10,18,60
106.16786575983834,107.6207458285234,107.78217694726618,0.015,-0.8,106865.91773789118,-65,-129.43074096283817,67.35429355075142,29,10,19,65
107.15634950303361,108.62275671873655,108.78569085381466,0.015,-0.8,106330.13599037602,-60,-187.22941274817276,68.48645424542389,30,11,19,60
107.53707310142609,109.00869042212477,109.17220345775796,0.015,-0.8,105254.76525936175,-50,-195.66926174447872,69.20546542740803,32,11,21,50
107.7750885306506,109.2499630315769,109.41383797612426,0.015,-0.8,105254.76525936175,-50,-207.73289221708546,68.60269657510116,32,11,21,50
107.68997635952499,109.16368612217434,109.3274316513576,0.015,-0.8,104716.31537756413,-45,-196.0504979337129,56.238973344966425,33,12,21,45
105.6951345234705,107.14154538618398,107.30225770426325,0.015,-0.8,103659.36403232942,-35,-90.59005618702213,56.09886340539492,35,14,21,35
105.6694642449838,107.11552381650664,107.2761971022314,0.015,-0.8,102602.66938987958,-25,-75.2187055330869,49.888339859902125,37,15,22,25
104.47837721507767,105.9081370654614,106.0669992710596,0.015,-0.8,101035.4937316534,-10,-23.587639001212665,49.88134439651267,40,17,23,10
104.58288285167608,105.90671681182387,107.23055077197166,0.025,0.0,100512.57931739502,-5,-16.954266664091847,41.768040340460786,41,18,23,5
102.98696763204697,104.07980559074984,104.54816471590821,0.015,-0.4,101035.32014097457,-10,-5.477914932926069,38.68999645407261,42,18,24,10
101.95942609495262,103.25005174172418,104.54067738849574,0.025,0.0,100525.5230104998,-5,9.272751791184419,35.60323160139289,43,18,25,5
101.26898533579234,102.34359306295335,102.80413923173664,0.015,-0.4,101039.54370665849,-10,16.107776028948138,37.560470462871564,44,18,26,10
101.39087077969408,102.67429952374084,103.9577282677876,0.025,0.0,101039.54370665849,-10,12.800711421077722,35.44209412714838,44,18,26,10
100.79452371525045,102.07040376227894,103.34628380930744,0.025,0.0,101556.27512570503,-15,25.2190692708391,35.0023109987696,45,19,26,15
100.56921545389481,101.94547942614781,102.09839764528704,0.015,-0.8,101061.07495939253,-10,41.62016513105482,35.570633876868314,48,19,29,10
100.75259226967455,102.02794153891094,103.30329080814732,0.025,0.0,101061.07495939253,-10,40.79554400341294,39.78764964830273,48,19,29,10
101.35825283881411,102.64126869753328,103.92428455625245,0.025,0.0,101580.69638217379,-15,41.07735171078821,36.86001682069843,49,20,29,15
100.57383147944738,101.95015862082856,102.1030838587598,0.015,-0.8,101580.69638217379,-15,51.44400286136079,45.16912287774288,49,20,29,15
101.87765982146287,103.27182951998263,103.4267372642626,0.015,-0.8,101580.69638217379,-15,31.61893937404966,43.21108954312716,49,20,29,15
101.46078011177195,102.84924491816722,103.00351878554447,0.015,-0.8,101073.39248161492,-10,44.90003243324463,44.22878256926161,50,20,30,10
101.72674452131541,103.0144248317118,104.3021051421082,0.025,0.0,103159.4345844571,-30,69.00183950575592,50.572446591994066,54,23,31,30
102.70737611122891,104.11290026480376,104.26906961520096,0.015,-0.8,104723.47062868513,-45,38.39011676896189,47.459048431756614,57,24,33,45
102.12702830877579,103.52461055121722,103.67989746704404,0.015,-0.8,105241.87011602035,-50,65.63958845948218,47.75034301694364,58,24,34,50
102.17582966920178,103.57407974576967,103.72944086538833,0.015,-0.8,105241.87011602035,-50,63.16612873187114,61.03142978024705,58,24,34,50
104.96151405683965,106.39788551124141,106.55748233950827,0.015,-0.8,104717.06254573615,-45,-70.84230226972431,59.68848584436693,59,24,35,45
104.73255154700774,106.16578970806664,106.32503839262874,0.015,-0.8,104193.3997880011,-40,-53.23180032156233,63.19658032112731,60,24,36,40
105.65354907025794,107.09939084668822,107.26003993295825,0.015,-0.8,105266.00018733069,-50,-88.9693550037191,69.22220302409879,62,26,36,50
108.77705543420457,109.0496796332878,109.32230383237102,0.005,0.0,105266.00018733069,-50,-186.48379433370428,68.29979026058074,62,26,36,50
107.43014085185322,108.90029483208639,109.06364527433452,0.015,-0.8,105266.00018733069,-50,-179.01455427362816,73.38593490679852,62,26,36,50
109.39267139763501,110.88968210606691,111.05601662922601,0.015,-0.8,105266.00018733069,-50,-278.48391797265504,75.44836201323766,62,26,36,50
110.34679207201043,111.85685967765882,112.0246449671753,0.015,-0.8,105826.12341216656,-55,-326.0038701046724,76.98979872957469,63,26,37,55
111.11266463583208,112.63321301148716,112.8021628310044,0.015,-0.8,106390.13422632158,-60,-367.8585543676454,78.44159333607496,64,26,38,60
111.87547242591246,113.40645963093002,113.57656932037641,0.015,-0.8,106390.13422632158,-60,-414.253351534222,72.71098546452524,64,26,38,60
