Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
99.8,100,101.8,0.02,0.8,100010.0,0,10.0,50,2,0,2,0
99.95951451659023,100.15983418496015,101.96271120028943,0.02,0.8,99510.20242741705,5,11.001598341856152,50,3,0,3,-5
100.15590188870132,100.3566151189392,102.16303419108011,0.02,0.8,99520.23808892895,5,22.021164523641346,50,5,0,5,-5
100.35489229174027,100.55600430034096,102.3660123777471,0.02,0.8,101055.72827459514,-10,50.16823159172782,50,8,0,8,10
100.66384113206367,100.8655722766169,102.68115257759601,0.02,0.8,101065.8148318228,-10,57.159109056636225,50,10,0,10,10
99.47675022705563,100.8380640923017,100.98932118844016,0.015,-0.8,100568.43108068753,-5,64.24076022602094,50,11,0,11,5
101.14139274850974,101.3440809103304,103.16827436671635,0.02,0.8,101094.40686061214,-10,80.9660515088326,50,14,0,14,10
101.20893877637995,101.41176230098192,103.2371740223996,0.02,0.8,102642.96447094812,-25,107.67041342357697,50,17,0,17,25
101.10565702652349,101.30827357367083,103.13182249799691,0.02,0.8,101631.90790068288,-15,112.28379707782005,50,19,0,19,15
101.07199291004734,101.27454199403542,103.09748374992806,0.02,0.8,101652.1628090817,-15,133.04467917115835,50,23,0,23,15
100.90800926539038,101.11022972484005,102.93021385988717,0.02,0.8,100653.19373940029,-5,147.64259077608585,50,27,0,27,5
101.12389122039166,101.32654430900968,103.15042210657185,0.02,0.8,102716.20218153174,-25,183.03857380649424,50,31,0,31,25
101.33623145767514,101.5393100778308,103.36701765923176,0.02,0.8,103233.0372698279,-30,186.85796749296424,50,32,0,32,30
101.27055563449659,101.47350263977614,103.30002568729212,0.02,0.8,102736.83184191938,-25,199.9942759249825,84.34956874833763,35,0,35,25
101.39535740588882,101.59855451491866,103.4273284961872,0.02,0.8,102746.99169737088,-25,207.0278344979015,81.2753102940564,37,0,37,25
101.3132378170797,101.51627035779529,103.34356322423561,0.02,0.8,102746.99169737088,-25,209.08493842599273,79.16425828528057,37,0,37,25
101.257445505034,101.46036623750902,103.28665282978419,0.02,0.8,102240.7044698457,-20,211.49714509551995,79.9865432575698,38,0,38,20
101.33939563100748,101.54248059219186,103.37024524285133,0.02,0.8,101227.31051353562,-10,211.88570761369192,83.07701629183995,40,1,39,10
101.69152283324713,101.89531346016747,103.72942910245048,0.02,0.8,101227.31051353562,-10,208.35737893394253,77.83553364714895,40,1,39,10
101.54893309037251,101.75243796630512,103.58398184969862,0.02,0.8,99196.33185172819,10,213.85623139124073,69.41956533089575,44,2,42,-10
101.29451233210132,101.4975073467949,103.32446247903721,0.02,0.8,99712.95416412338,5,220.44170085735095,72.5198540710822,45,2,43,-5
101.5410167931096,101.74450580471904,103.57590690920398,0.02,0.8,99205.24908015784,10,222.69413820502814,71.52229819536127,46,2,44,-10
101.50952645084662,101.71295235555773,103.54378549795777,0.02,0.8,99215.42037539338,10,232.54989894895698,66.09570425116252,48,2,46,-10
101.33499790125127,101.53807404934997,103.36575938223827,0.02,0.8,99215.42037539338,10,230.80111588689033,61.920307229720045,48,2,46,-10
101.19096536576475,101.39375287150777,103.2188404231949,0.02,0.8,98709.46554856456,15,230.37184163718484,61.99721239392364,49,2,47,-15
101.19524977975858,101.39804587150158,103.2232106971886,0.02,0.8,98709.46554856456,15,230.4362366370915,53.5907856070563,49,2,47,-15
100.88624443651528,101.08842127907343,102.90801286209675,0.02,0.8,99234.11445500294,10,244.99866779368313,47.921871984279754,52,2,50,-10
100.63591720377076,100.83759238854786,102.65266905154172,0.02,0.8,99747.37780026066,5,251.56576220339048,44.434490703324606,53,2,51,-5
100.46345539991049,100.66478496985019,102.47675109930749,0.02,0.8,99747.37780026066,5,250.70172510990233,42.64803439642021,53,2,51,-5
100.3712755572671,100.57242039806323,102.38272396522837,0.02,0.8,98743.665044688,15,252.25135065894574,47.692079851614224,55,2,53,-15
100.5765763501534,100.77813261538417,102.59213900246108,0.02,0.8,97747.97709444803,25,267.4304098326247,50.14263856738427,59,2,57,-25
100.68311595468934,100.88488572614162,102.70081366921217,0.02,0.8,97758.06558302064,25,280.1877261741756,50.15778481080757,61,2,59,-25
100.68375766103334,100.88552871847028,102.70146823540274,0.02,0.8,98271.57292419765,20,289.28349856706336,53.15318431831982,62,2,60,-20
100.80917300862379,101.01119539942263,102.82939691661224,0.02,0.8,96759.43532906828,35,294.8271680480684,46.130190435162824,65,3,62,-35
100.51415696990799,100.71558814620039,102.528468732832,0.02,0.8,98810.00470372493,15,320.73852591794275,42.05845998026892,69,3,66,-15
100.31343560793877,100.5144645370128,102.32372489867903,0.02,0.8,99833.24195271172,5,335.81427539678407,41.98496578222374,71,3,68,-5
100.30973924684282,100.51076076837958,102.31995446221042,0.02,0.8,99833.24195271172,5,335.79575655361987,39.582134991563805,71,3,68,-5
100.19050143672604,100.39128400473551,102.19832711682075,0.02,0.8,99833.24195271172,5,335.1983727353945,40.711247166496115,71,3,68,-5
100.22734526067802,100.42820166400604,102.23590929395814,0.02,0.8,98830.96850010494,15,337.3915250650316,34.15755383651509,73,3,70,-15
99.62591164366364,100.07625479021964,101.12705546551695,0.015,0.4,99849.74477386937,5,350.12604782047856,40.57999933841554,77,5,72,-5
100.09508963499124,100.29568099698521,102.10100325493094,0.02,0.8,100870.75480641867,-5,369.27640143374447,44.28311288824708,79,5,74,5
100.23364395385278,100.4345129798124,102.24233421344901,0.02,0.8,100880.79825771665,-5,378.62569281758624,42.13958024862664,81,5,76,5
100.12863147674415,100.32929005685786,102.1352172778813,0.02,0.8,101912.18335950114,-15,407.2440086482675,47.29998370227718,85,5,80,15
100.32589063180679,100.52694452084849,102.33642952222377,0.02,0.8,102935.54765472338,-25,422.3740417021763,49.7666220111329,87,5,82,25
100.42673775093965,100.62799373841648,102.43929762570798,0.02,0.8,102945.61045409723,-25,429.91061063681263,51.673046421787014,89,5,84,25
100.40495561430627,100.7070768448408,101.41202638275469,0.01,0.4,103452.67058601101,-30,431.4582806657854,55.13736203642787,90,6,84,30
100.65478238933844,100.85649538009864,102.6719122969404,0.02,0.8,102446.12276211764,-20,428.9928545156581,54.3382732141607,92,6,86,20
100.62637629513007,100.82803235984977,102.64293694232707,0.02,0.8,102969.42025006526,-25,448.71944106901356,59.55972337934522,95,6,89,25
100.86136922052405,101.06349621294996,102.88263914478306,0.02,0.8,103998.24664151309,-35,461.0242740598478,61.633094095888616,97,6,91,35
100.96449125716558,101.16682490697954,102.98782775530518,0.02,0.8,105028.12491906613,-45,475.6177982520603,64.74164454080184,99,6,93,45
101.12915569774236,101.3318193364152,103.15579208447066,0.02,0.8,105038.25810099977,-45,478.3262308610865,60.90120320824082,101,6,95,45
101.01014958776172,101.2125747372362,103.03440108250645,0.02,0.8,105038.25810099977,-45,483.6922378241434,66.34548068622126,101,6,95,45
101.31150849174298,101.51453756687674,103.34179924308052,0.02,0.8,105048.40955475645,-45,480.2553642470011,68.28161746407197,103,6,97,45
101.43418106842208,101.63745598038284,103.46693018802974,0.02,0.8,104551.40239501238,-40,485.90415579706314,66.62710046518345,106,6,100,40
101.38501216968346,101.58818854677702,103.416775940619,0.02,0.8,105068.48627471547,-45,497.0177901105053,68.70807915838866,107,6,101,45
101.51031872032016,101.71374621274565,103.54459364457507,0.02,0.8,105068.48627471547,-45,491.3676951419184,70.3317447370895,107,6,101,45
101.6124408765786,101.81607302262385,103.64876233703109,0.02,0.8,106104.97389808578,-55,505.08988184147165,71.38292922668316,109,6,103,55
101.6795721210993,101.8833387986967,103.71723889707324,0.02,0.8,105596.57603748028,-50,502.40909754544555,71.63271417178747,110,6,104,50
101.69506390936246,101.89886163262771,103.73304114201501,0.02,0.8,106125.43112935362,-55,520.9937395590969,72.67438590144957,113,6,107,55
101.75788952232605,101.9618131486233,103.79712578529853,0.02,0.8,105107.85223413035,-45,519.570642442297,74.96611836808732,115,8,107,45
101.90332644642444,102.10754152948341,103.94547727701412,0.02,0.8,105637.79037466837,-50,532.4132981942093,65.35754151494237,118,8,110,50
101.66659313575693,101.87033380336365,103.70399981182419,0.02,0.8,104112.79147763202,-35,547.3297945142986,64.56738971314627,121,8,113,35
101.64560480257524,101.84930340939403,103.68259087076312,0.02,0.8,104122.97640797296,-35,558.2507886441745,54.48084296484605,123,8,115,35
101.34715099340244,101.55025149639523,103.37815602333035,0.02,0.8,104122.97640797296,-35,568.7176055991295,42.82853109725596,123,8,115,35
100.56129025843559,101.06662337531215,101.5719564921887,0.01,0.0,104128.02973914173,-35,590.6979210058053,41.12540182219449,125,8,117,35
100.77770874256292,100.97966807872037,102.79730210413733,0.02,0.8,104138.12770594959,-35,603.8393231943774,39.6400764266321,127,8,119,35
100.70177853492747,100.90358570634015,102.71985024905428,0.02,0.8,105165.32620844012,-45,624.6648516548157,38.74908635001435,129,8,121,45
100.65689057663975,100.8586077922242,102.67406273248424,0.02,0.8,105678.69652210255,-50,635.7661324913352,36.53470618436529,130,8,122,50
100.2926289667216,100.74598590328638,100.79635889623802,0.005,-0.8,105179.75202691651,-45,646.1826612686273,46.24483760013878,133,8,125,45
100.87439435921841,101.07654745412667,102.89592530830095,0.02,0.8,105179.75202691651,-45,631.3073914808047,49.8197419578871,133,8,125,45
101.01703422437711,101.21947317071854,103.04142368779148,0.02,0.8,103169.53328974605,-25,639.0464604780864,54.23748204795616,139,8,131,25
101.2093001115709,101.41212436029149,103.23754259877673,0.02,0.8,103685.72100273993,-30,643.3572719311778,55.68429481843852,140,8,132,30
101.27550727033629,101.47846419873376,103.30507655431097,0.02,0.8,103685.72100273993,-30,641.3670767779113,58.76389626226276,140,8,132,30
101.42073004736511,101.62397800337186,103.45320960743256,0.02,0.8,103695.88340054026,-30,647.1640604390996,52.70991090025152,142,8,134,30
101.19785456901165,101.4006558807732,103.22586768662711,0.02,0.8,104738.2821429946,-40,682.2559077636834,48.03544149160993,146,8,138,40
101.00236780521644,101.20477735993632,103.02646335241516,0.02,0.8,104748.4026207306,-40,700.2115263331507,40.07793230996342,148,8,140,40
100.59595772163829,100.79755282729288,102.61190877818414,0.02,0.8,103742.44304351421,-30,718.5164586954343,38.506557225592914,150,9,141,30
100.5029948348964,100.70440364218076,102.51708290774002,0.02,0.8,104255.02845805291,-35,730.374330576582,37.69536798652595,151,9,142,35
100.45561598042448,100.6569298401047,102.46875457722658,0.02,0.8,105289.78169680918,-45,760.2198540044628,37.91411414221176,155,9,146,45
100.46297398291166,100.66430258808784,102.47626003467342,0.02,0.8,105299.84812706799,-45,769.9545106040314,40.630176492480196,157,9,148,45
100.55200249813522,100.75350951716956,102.56707268847862,0.02,0.8,104294.32810208664,-35,767.9552689857082,44.47062482368329,159,9,150,35
100.68269682418786,100.88446575569925,102.70038613930184,0.02,0.8,104294.32810208664,-35,763.3718006371637,46.738986691706366,159,9,150,35
100.7625990347826,100.96452809096452,102.78188959660189,0.02,0.8,104808.23755006965,-40,769.6564264310728,44.76612160322824,160,9,151,40
100.68255435386813,100.88432299986786,102.70024081386548,0.02,0.8,103811.50043883098,-30,784.9707488349377,44.34963367777672,164,9,155,30
100.66601791165976,100.86775341849676,102.6833729800297,0.02,0.8,104335.00407907298,-35,804.6327094255976,40.255484913865196,167,9,158,35
100.49815954010903,100.69955865742388,102.51215071325751,0.02,0.8,104847.56483263927,-40,819.5824863423186,36.448816693172,168,9,159,40
100.32182136864837,100.52286710285408,102.33227871070545,0.02,0.8,104857.61711934955,-40,836.702435235391,36.263462304469755,170,9,161,40
100.31297071608772,100.51399871351475,102.32325069035802,0.02,0.8,103854.48741218868,-30,839.0674507832446,38.001265335152986,172,9,163,30
100.35826974515409,100.55938852219849,102.36945751559806,0.02,0.8,102850.90471473713,-20,839.7169442931627,51.759330734604056,174,9,165,20
100.79825302520041,101.00025353226494,102.8182580958457,0.02,0.8,102850.90471473713,-20,830.8996440918272,47.61151490405942,174,9,165,20
