Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
99.7,100,102.7,0.03,0.8,100000,0,0,50,0,0,0,0
102.10714953877101,102.41439271692178,105.17958132027867,0.03,0.8,99693.67855138368,3,0.9217295344424201,50,1,1,0,-3
101.49072951577828,101.79611786938645,104.54461305185988,0.03,0.8,100216.40161664298,-2,12.809380904203863,50,2,1,1,2
101.54072003407137,101.84625881050287,104.59610779838646,0.03,0.8,100216.40161664298,-2,12.709099021973088,50,2,1,1,2
103.48443797180978,103.79582544815425,106.59831273525441,0.03,0.8,100855.9914930545,-8,25.624889469268965,50,3,1,2,8
101.7942755968454,103.66015844892607,103.86747876582392,0.02,-0.8,101479.19636564945,-14,27.95414736447856,50,4,2,2,14
103.09969283326751,104.98950390353107,105.19948291133814,0.02,-0.8,101479.19636564945,-14,9.34331100001873,50,4,2,2,14
103.19310495952388,105.08462826835425,105.29479752489095,0.02,-0.8,101479.19636564945,-14,8.011569892492844,50,4,2,2,14
104.74561969745572,106.66560050657405,106.8789317075872,0.02,-0.8,101479.19636564945,-14,-14.12204144259158,50,4,2,2,14
105.84049112763144,106.64029332758835,108.50649846082115,0.025,0.4,101479.19636564945,-14,-13.767740936789778,50,4,2,2,14
106.61638390480384,108.57065570753956,108.78779701895463,0.02,-0.8,101479.19636564945,-14,-40.79281425609952,50,4,2,2,14
107.34478151660304,109.31240480305809,109.5310296126642,0.02,-0.8,101479.19636564945,-14,-51.1773015933577,50,4,2,2,14
107.97535465641721,109.95453630999715,110.17444538261715,0.02,-0.8,101479.19636564945,-14,-60.167142690508626,50,4,2,2,14
111.57869967697619,113.62393042461933,113.85117828546856,0.02,-0.8,101479.19636564945,-14,-111.53866029522032,95.1396891029762,4,2,2,14
113.52026870492983,114.0334190908386,115.2307699912924,0.015,0.4,101479.19636564945,-14,-117.27150162229373,95.28594555637112,4,2,2,14
113.94724578122589,114.46232624934795,115.6641806749661,0.015,0.4,101941.85308834931,-18,-118.4687841389532,92.48377032655917,5,2,3,18
113.26288503277405,114.06131423240086,114.40349817509806,0.01,-0.4,101941.85308834931,-18,-111.25056783390755,84.16761171986181,5,2,3,18
112.02056562470904,112.810237285709,113.14866799756612,0.01,-0.4,102062.89847295688,-19,-80.49603547158767,85.46773671707979,7,2,5,19
113.16830478690838,113.96606725771237,114.3079654594855,0.01,-0.4,102062.89847295688,-19,-102.4568049396621,85.56197414743762,7,2,5,19
113.2530149389248,114.05137456085076,114.39352868453331,0.01,-0.4,102749.25964506407,-25,-102.02471895719646,87.13157109655064,8,2,6,25
114.73254303987375,115.54133236643882,115.88795636353814,0.01,-0.4,102749.25964506407,-25,-139.2736640968942,78.66093702816737,8,2,6,25
113.37167815099697,114.17087427089322,114.5133868937059,0.01,-0.4,103436.33996642631,-31,-102.95713597137365,79.0386432083445,9,2,7,31
113.60589851459528,114.40674573473845,114.74996597194267,0.01,-0.4,104124.83976225797,-37,-108.2098299273639,82.41220693646117,10,3,7,37
116.07956593585382,116.78024742037607,118.41517088426133,0.02,0.4,104124.83976225797,-37,-196.02939229595358,73.24167811084597,10,3,7,37
114.26015414341599,115.06561343747833,115.41081027779077,0.01,-0.4,105509.76948559146,-49,-128.44557284498296,74.46821702035717,12,4,8,49
115.7529731808617,115.7529731808617,115.7529731808617,0.0,0.0,105857.02840513404,-52,-162.12620027076628,77.4607880801039,13,4,9,52
117.60174238587203,117.60174238587203,117.60174238587203,0.0,0.0,105857.02840513404,-52,-258.26219893130474,80.05876125698364,13,4,9,52
119.50991306174812,119.50991306174812,119.50991306174812,0.0,0.0,105020.45901370181,-45,-357.4870740768529,73.60853669848638,14,4,10,45
116.56766584187696,118.16286451279976,118.34010880956896,0.015,-0.8,105020.45901370181,-45,-296.8698893741821,73.94832747583887,14,4,10,45
116.76742452339545,118.36535684074552,118.54290487600663,0.015,-0.8,105020.45901370181,-45,-305.98204413174244,68.15761913130908,14,4,10,45
115.54339993047886,117.12458178457055,117.3002686572474,0.015,-0.8,105020.45901370181,-45,-250.14716660387057,59.57949822109052,14,4,10,45
