Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
98.8,100,101.8,0.03,0.2,100000,0,0,50,0,0,0,0
98.31623802810311,99.51036237662258,101.30154889940178,0.03,0.2,100000,0,0.0,50,0,0,0,0
99.32473290750387,100.53110618168408,102.3406660929544,0.03,0.2,99115.12520338882,9,19.905159023968736,50,3,0,3,-9
97.4826385662488,99.57368597165352,100.4698491453984,0.03,-0.4,99115.12520338882,9,11.288377133692848,50,3,0,3,-9
97.98727646230743,100.08914858254079,100.98995091978365,0.03,-0.4,99115.12520338882,9,15.927540631688316,50,3,0,3,-9
96.1713635480559,98.23428350158927,99.11839205310358,0.03,-0.4,99115.12520338882,9,-0.766245096878265,50,3,0,3,-9
95.98609796964855,98.04504389136727,98.92744928638957,0.03,-0.4,99115.12520338882,9,-2.4694015888817376,50,3,0,3,-9
96.20257634910107,98.26616583156391,99.15056132404798,0.03,-0.4,99214.27576471286,8,0.4050913653773023,50,4,1,3,-8
97.4937754468825,99.58506174349591,100.48132729918737,0.03,-0.4,99817.16372850798,2,16.333851994975703,50,5,1,4,-2
97.62730994545045,99.72146061843763,100.61895376400356,0.03,-0.4,99133.77255888982,9,31.26570445575635,50,6,1,5,-9
99.51796325357394,101.6526693090643,102.56754333284587,0.03,-0.4,98636.18274262195,14,59.32011294885888,50,7,1,6,-14
100.3300993474321,102.48222609543626,103.40456613029518,0.03,-0.4,99049.80100714313,10,74.62326809749356,50,8,1,7,-10
100.54104592232159,102.6976975713193,103.62197684946116,0.03,-0.4,98044.39054791992,20,98.34449934630538,50,10,1,9,-20
99.76431322196152,101.90430359750921,102.82144232988679,0.03,-0.4,98044.39054791992,20,82.47661987009633,58.17858533504267,10,1,9,-20
99.68687754665562,101.82520689137449,102.74163375339687,0.03,-0.4,98044.39054791992,20,80.8946857474075,62.935628854563944,10,1,9,-20
100.83937857621972,103.00242959777295,103.9294514641529,0.03,-0.4,98044.39054791992,20,104.43913987537962,59.31129608959808,10,1,9,-20
100.2644566338771,102.41517531550267,103.33691189334219,0.03,-0.4,97445.87626337612,26,108.67082157918776,60.21492272938734,12,1,11,-26
100.47500968132616,102.63024482260077,103.55391702600419,0.03,-0.4,97445.87626337612,26,114.26262876373949,64.92121834291146,12,1,11,-26
101.96764621105275,103.83670693589893,104.04438034977073,0.02,-0.8,97343.90861716507,27,147.49970443434722,62.88647229202904,13,1,12,-27
103.53028278649046,103.53028278649046,103.53028278649046,0.0,0.0,97343.90861716507,27,139.2262524003163,61.72101778105626,13,1,12,-27
101.18832067431795,103.35885666426756,104.28908637424597,0.03,-0.4,97761.06496266206,23,138.31866594021267,63.10342586250261,14,1,13,-23
101.50337622530571,103.68067030164016,104.61379633435493,0.03,-0.4,99121.04431500866,10,157.8510180250596,62.91466379406969,16,1,15,-10
101.99735079420998,103.65584430305893,104.07046768027116,0.02,-0.6,99121.04431500866,10,157.6027580392547,55.563787502953005,16,1,15,-10
100.4809344299791,102.63629665983565,103.56002332977417,0.03,-0.4,100260.20457163618,-1,157.5682749763364,59.423088630519416,18,1,17,1
101.75244966564874,103.40696104232596,103.82058888649526,0.02,-0.6,100260.20457163618,-1,156.79761059384327,57.42692455775386,18,1,17,1
101.47062127049456,103.12055007164082,103.53303227192738,0.02,-0.6,100260.20457163618,-1,157.0840215645294,58.50329163599021,18,1,17,1
101.67269311611325,103.32590763832647,103.73921126887977,0.02,-0.6,100260.20457163618,-1,156.8786639978498,53.42864596450623,18,1,17,1
100.96779345974655,102.60954619892942,103.01998438372514,0.02,-0.6,100260.20457163618,-1,157.59502543724375,55.42234958168713,18,1,17,1
101.30528323234681,102.95252361010854,103.36433370454898,0.02,-0.6,100260.20457163618,-1,157.25204802607186,61.910456320499506,18,1,17,1
102.55222570374701,104.21974156884859,104.63662053512398,0.02,-0.6,99337.23454030245,8,170.99247285323509,60.29120521151372,19,1,18,-8
102.33856671925247,104.00260845452486,104.41861888834296,0.02,-0.6,98927.88027342544,12,175.91157487973396,64.4261403400786,20,1,19,-12
103.22027311570909,104.89865154035476,105.31824614651619,0.02,-0.6,98927.88027342544,12,186.66409190969716,64.25415908593841,20,1,19,-12
103.19922868504115,104.87726492382231,105.2967739835176,0.02,-0.6,98927.88027342544,12,186.4074525113101,52.94849966986514,20,1,19,-12
101.1197244144356,103.28878898308028,104.218388083928,0.03,-0.4,98927.88027342544,12,167.34574122240883,56.23271939931153,20,1,19,-12
101.73556263400299,103.9178372155291,104.85309775046886,0.03,-0.4,99766.7050554292,4,182.37640429130988,57.11790801015075,21,1,20,-4
102.4251309044186,104.09058018741727,104.50694250816694,0.02,-0.6,99766.7050554292,4,183.06737617886392,49.191661276304025,21,1,20,-4
100.65358890761489,102.81265465537783,103.73796854727622,0.03,-0.4,99766.7050554292,4,177.9556740507105,59.99571111752626,21,1,20,-4
103.44013543626538,105.12208885799328,105.54257721342525,0.02,-0.6,99766.7050554292,4,187.19341086116037,58.143495399583735,21,1,20,-4
103.12401333996036,104.80082656500036,105.22002987126037,0.02,-0.6,99766.7050554292,4,185.9083616891876,60.006240308936675,21,1,20,-4
103.56686671852299,105.2508808115071,105.67188433475313,0.02,-0.6,99456.00445527362,7,192.76062095417,50.9461358541359,22,1,21,-7
101.40570024320378,103.58089912482511,104.51312721694853,0.03,-0.4,99456.00445527362,7,181.07074914740224,49.21758001139527,22,1,21,-7
101.05256904528905,103.2201931003974,104.14917483830097,0.03,-0.4,100197.43510231379,0,197.43510231378605,51.17201246244705,25,1,24,0
102.89002341229347,103.61533072738517,103.92617671956732,0.01,-0.4,100197.43510231379,0,197.43510231378605,49.17331162327399,25,1,24,0
102.50523319875767,103.22782799472071,103.53751147870487,0.01,-0.4,100197.43510231379,0,197.43510231378605,53.34690009349084,25,1,24,0
103.32360970756147,104.051973522217,104.36412944278365,0.01,-0.4,100197.43510231379,0,197.43510231378605,48.23182032546367,25,1,24,0
