Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI
99.4,100,102.4,0.03,0.6,100716.8,-7,16.80000000000291,50
101.46369499656551,102.07615190801359,104.52597955380591,0.03,0.6,101343.95587732283,-13,16.96590251865564,50
99.18032296205594,101.93250047487764,102.23829797630228,0.03,-0.8,100550.51329362638,-5,40.85079125199991,50
103.257191926691,103.88047477534305,106.37360616995127,0.03,0.6,101188.75493064609,-11,46.069708117312985,50
103.14085778640184,104.71153074761608,106.28220370883032,0.03,0.0,100982.47321507329,-9,40.069438344740774,50
104.0666839628739,105.65145579987197,107.23622763687004,0.03,0.0,100982.47321507329,-9,31.61011287443398,50
103.86578483673664,105.44749729617932,107.029209755622,0.03,0.0,101864.01429246935,-17,71.40683843429724,50
103.87044469465356,105.45222811639955,107.03401153814555,0.03,0.0,103060.36982044991,-28,107.70743319072062,50
102.1413335142987,103.69678529370425,105.25223707310981,0.03,0.0,102856.08715342131,-26,159.9707357849984,50
103.4427260145257,105.0179959538332,106.59326589314071,0.03,0.0,103495.64674878016,-32,135.07087825749477,50
103.39179036913976,104.96628463872057,106.54077890830138,0.03,0.0,105109.5033751005,-47,176.08799708062725,50
105.72254260005879,107.33253055843532,108.94251851681186,0.03,0.0,104907.71821765063,-45,77.75434252104606,50
106.12121578562721,107.7372749092662,109.3533340329052,0.03,0.0,104949.73575486524,-45,101.55838394825696,50
107.5230010549785,109.16040716241471,110.79781326985093,0.03,0.0,105969.83975979801,-54,75.17777302760805,84.0796344716228
108.75479476652113,109.19156101056339,109.30075257157395,0.005,-0.6,104338.51783830019,-39,80.04695888821152,86.00852540561203
110.41263154933054,110.80043306505824,110.96663371465583,0.005,-0.4,104338.51783830019,-39,17.30094876291696,88.18044861342872
112.67052250355802,113.0662543939368,113.2358537755277,0.005,-0.4,103775.73055705437,-34,-68.52209233948088,81.55028808029296
111.57243778704321,111.96431288213067,112.13225935145387,0.005,-0.4,103664.15811926732,-33,-30.664205843000673,82.23837734196333
112.09780330480244,112.4915236375338,112.6602609229901,0.005,-0.4,104002.13890203628,-36,-47.55594891493092,81.58758249577515
111.99346549155187,112.38681935930946,112.55539958834842,0.005,-0.4,103667.84430785202,-33,-40.9207310051861,71.6688561536047
109.0261828047744,110.6864800048471,111.79334480489557,0.025,-0.2,103231.73957663293,-29,21.83165649235889,67.93214885489618
109.312261648978,109.97209421426358,112.6114244754059,0.03,0.6,103569.57385005914,-32,50.46683520270744,65.25064993261779
108.79254253856263,109.4492379663608,112.07601967755346,0.03,0.6,104690.33404683469,-42,93.46605224753148,63.330243313155464
106.78566341186055,109.0762649763642,110.05795136115148,0.03,-0.4,105140.38271612716,-46,122.87452721441514,65.297580742065
108.09723342652312,109.74338418936357,110.8408180312572,0.025,-0.2,106137.95007840848,-55,102.06394799349073,57.29005988914135
106.50757809321885,108.12952090682117,109.75146372042349,0.03,0.0,107025.69344505348,-63,213.5336279237381,54.69489296672777
105.93644697800447,107.54969236345632,109.16293774890816,0.03,0.0,107359.63523984201,-66,261.3555438538897,54.71588754250484
105.94187480954409,107.55520285232902,109.16853089511395,0.03,0.0,108123.81495610782,-73,272.2851478878001,52.705831887255734
105.52708207175284,107.13409347386076,108.74110487596867,0.03,0.0,108885.00269023959,-80,314.2752123307291,48.50830935805919
104.61982842252363,106.2130237792118,107.80621913589997,0.03,0.0,108885.00269023959,-80,387.96078790264437,54.766030384767525
106.0832220959812,107.69870263551391,109.31418317504662,0.03,0.0,108145.65109664678,-73,283.6458042542654,57.8843141375413
106.91110553930498,108.53919344091877,110.16728134253255,0.03,0.0,107718.00667448956,-69,228.80232706616516,61.502280796312334
109.49355423398532,109.6031573913767,110.58958580789908,0.01,0.8,108823.90253256855,-79,165.25309864978772,61.540833735861625
107.97046576970993,109.61468606061922,111.25890635152851,0.03,0.0,109200.42897918678,-82,212.024722215996,68.15743223922547
110.49391119063733,111.83594250064507,112.73063004065024,0.02,-0.2,109200.42897918678,-82,29.88169413388823,70.93010740656169
110.6068703314945,112.9794385408524,113.99625348772007,0.03,-0.4,107430.71905388287,-66,-25.923889813391725,71.30318275488702
113.13797234891344,113.13797234891344,113.13797234891344,0.0,-0.6,107204.44310918504,-64,-36.38712114542432,75.03135631499863
114.39128519422955,114.85068794601361,114.96553863395962,0.005,-0.6,106403.70411282544,-57,-142.785100097346,76.10217739883183
114.93761651400263,115.39921336747251,115.51461258083998,0.005,-0.6,107329.55200167267,-65,-171.39686721304315,72.8386413621866
114.86708465781383,114.86708465781383,114.86708465781383,0.0,-0.6,105721.41281646329,-51,-136.80850108522282,73.3263589972404
113.35159987249394,115.07776636801415,116.2285440316943,0.025,-0.2,103817.45117190448,-34,-95.19288460799726,75.81234415663252
115.03556382631514,116.19753921850014,117.94050230677765,0.025,0.2,104295.02305809253,-38,-120.48343221047253,78.41855672079542
116.36937258148075,117.5448207893745,119.30799310121512,0.025,0.2,104295.02305809253,-38,-171.68013190370402,75.5095171373649
115.92653877855693,117.09751391773428,118.85397662650028,0.025,0.2,102440.19843763563,-22,-135.94686855452892,72.51318207007097
115.46850373248502,116.63485225503537,118.3843750388609,0.025,0.2,103271.80493421403,-29,-110.60578118199192,71.38089523592228
115.76433627188894,116.46311496165889,119.2582297207387,0.03,0.6,103748.837853097,-33,-94.44494063775346,63.60629429866288
112.7953053158085,115.2148164615,116.2517498096535,0.03,-0.4,103523.24724246538,-31,-48.41206784111273,61.71833237098446
113.16592820371125,114.88926721188959,116.61260622006793,0.03,0.0,105166.16376359541,-45,-3.853260939620668,62.8052587084029
113.45908075484584,115.18688401507193,116.91468727529801,0.03,0.0,105166.16376359541,-45,-17.246017082827166,56.34020985846057
112.35892777104353,114.0699774325315,115.78102709401948,0.03,0.0,103705.49770257185,-32,55.25842473084049,57.70894236537098
112.6801182264301,114.396059113127,116.1119999998239,0.03,0.0,102807.4886385338,-24,61.98321981875051,55.40331865025453
112.2842107886382,113.99412262805909,115.70403446747997,0.03,0.0,101909.21495222469,-16,85.30899017574848,58.26055806342949
112.91409925459848,114.6336033041609,116.35310735372332,0.03,0.0,101365.27850454644,-11,104.30886820066371,54.244794419365164
112.23825759543799,113.94746964003856,115.65668168463914,0.03,0.0,101365.27850454644,-11,111.85633850601153,58.22767808167748
114.13982884431948,114.82880165424496,117.58469289394684,0.03,0.6,99653.18107188164,4,112.49627849862736,64.51997185428075
115.44767112280405,116.49613634995363,118.94255521330265,0.03,0.4,101087.48150262228,-8,155.5124118226522,66.01378118945988
116.24621132415422,116.94789871645294,119.75464828564782,0.03,0.6,101087.48150262228,-8,151.89831289065478,58.77168059836667
115.0258259887024,115.72014686992192,118.49743039480005,0.03,0.6,100993.28530307015,-7,183.24427498069417,53.76696154861723
112.34303928943378,114.75284912097423,115.785624763063,0.03,-0.4,100993.28530307015,-7,190.0153592233255,51.13523105980416
111.81158271744664,114.20999256123253,115.23788249428362,0.03,-0.4,101108.52318556444,-8,194.84324507457495,52.5747806891193
112.11762009750022,114.52259458375916,115.55329793501299,0.03,-0.4,103310.9072020047,-27,218.797148243204,51.18514558863344
112.54126249000005,114.25508882233508,115.96891515467011,0.03,0.0,102645.94258505871,-21,246.58571978968394,58.822767035286674
114.25823108375336,115.9982041459425,117.73817720813163,0.03,0.0,103245.0733094725,-26,229.12000167799124,60.00264981489479
114.55882430291665,116.30337492681893,118.04792555072122,0.03,0.0,103245.0733094725,-26,221.18556137521227,56.795157369067624
114.00869202394946,115.74486499893347,117.48103797391747,0.03,0.0,101769.9050050611,-13,265.2217600749573,58.6029778805925
113.72900483432272,116.16854426386386,117.21406116223864,0.03,-0.4,102824.83155552125,-22,269.1235817162378,58.51105816615854
114.4114669844864,116.15377358831105,117.89608019213571,0.03,0.0,102141.84736682198,-16,283.3869894090021,52.772958485511865
113.4749415617999,115.20298635715726,116.93103115251462,0.03,0.0,102141.84736682198,-16,298.59958510746947,53.616733983493525
113.6362549213381,115.36675626531786,117.09725760929763,0.03,0.0,102141.84736682198,-16,295.97926657689095,56.96379921405243
114.28830317258239,116.02873418536284,117.76916519814328,0.03,0.0,103084.00068840713,-24,299.3110679584206,50.50389989618471
113.21507260378041,114.93916000383798,116.66324740389555,0.03,0.0,102857.57054319957,-22,328.9090231151349,61.1768824449485
114.92661037226537,117.391838991078,118.4483655419977,0.03,-0.4,101823.23104984919,-13,297.1371429651772,52.81423317876001
113.98367033810152,115.71946227218429,117.45525420626706,0.03,0.0,101481.28003883488,-10,324.085416113041,54.57746578167235
113.72108515451495,116.16045470328392,117.20589879561348,0.03,-0.4,100116.6270169807,2,348.9479263872636,54.787174222658955
115.51401490250619,116.21128259809475,119.00035338044903,0.03,0.6,100246.08638579497,1,362.29766839306103,53.03643139618644
115.17858070744026,115.87382364933627,118.65479541692035,0.03,0.6,100130.90780508754,2,362.65545238621417,54.738739895246525
115.54517932475314,116.24263513556653,119.03245837882012,0.03,0.6,99668.72708778853,6,366.18289860192453,57.10927166905782
116.06423186594715,116.7648207906913,119.5671764896679,0.03,0.6,102299.20497056124,-16,430.9678379101824,61.60521828717502
115.37409519575833,117.8489225697225,118.90956287285,0.03,-0.4,102299.20497056124,-16,413.6222094456898,55.878709857722626
115.11177891478019,116.86475016728953,118.61772141979887,0.03,0.0,102299.20497056124,-16,429.3689678846131,53.650458810482284
114.70957989746482,116.45642629184246,118.2032726862201,0.03,0.0,101510.21268243401,-9,462.10484580742195,49.603637087392116
115.10230648400183,115.68071003417269,117.99432423485615,0.025,0.6,102336.172952078,-16,485.2815915312385,42.27262048504195
112.31425570816992,114.02462508443647,115.734994460703,0.03,0.0,103030.58291884222,-22,522.0411669846217,43.13078877139729
112.46891596689423,114.18164057552714,115.89436518416005,0.03,0.0,102829.6232314293,-20,545.9904199187586,41.25777121660523
112.03034536594826,113.73639123446524,115.44243710298223,0.03,0.0,102829.6232314293,-20,554.89540673999,50.09691164012273
113.69139647297497,115.4227375360152,117.15407859905544,0.03,0.0,102736.7079277128,-19,543.6759145285178,44.44663429127829
112.38832095632218,114.0998182297687,115.81131550321523,0.03,0.0,102736.7079277128,-19,568.811381347201,44.45410121765021
112.38976312466957,114.10128236007063,115.81280159547168,0.03,0.0,101275.6410070921,-6,591.0333129316714,40.84967822821105
111.51064568801773,113.20877734824136,114.90690900846498,0.03,0.0,101194.6967312881,-5,628.6528445469012,39.51701589572555
111.17111872044634,112.86407991923487,114.55704111802339,0.03,0.0,101097.06930215796,-4,645.6129824810196,37.882382713474115
110.75411384561862,112.44072471636407,114.12733558710953,0.03,0.0,100432.54461908425,2,657.426068516972,42.651892387201116
110.85325641586557,113.23110971998527,114.25018970746514,0.03,-0.4,100234.61663929372,4,687.5410781736573,42.81049407424628
110.87920831906966,113.25761830344194,114.27693686817292,0.03,-0.4,100234.61663929372,4,687.6471125074895,41.03490534197535
110.50217063193065,112.8724929846074,113.88834542146887,0.03,-0.4,101145.72340266546,-4,694.2334307270357,36.69902051794358
110.17598099508416,111.85378781226818,113.5315946294522,0.03,0.0,104107.61170393432,-30,751.9980695662816,47.651887748762014
112.02100726958973,113.72691093359363,115.43281459759753,0.03,0.0,105146.5070353127,-39,711.1575089025428,56.82308240058795
114.12417909383316,115.86211075516057,117.60004241648798,0.03,0.0,105859.05901645693,-45,645.2640324747044,64.11737215323132
115.68122438642516,118.16263982270189,119.2261035811062,0.03,-0.4,106455.18953436246,-50,547.0575432273617,69.13820548872215
119.49847266415601,120.2197914126318,123.10506640653497,0.03,0.6,107932.45033124089,-62,478.82326365771587,60.823538215003644
116.57826613551762,118.35356968072855,120.12887322593949,0.03,0.0,107953.75397378342,-62,615.8326535782398,60.823538215003644
