Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
99.3,100,100.3,0.01,-0.4,100000,0,0,50,0,0,0,0
99.05086378697726,99.39875944503488,99.54785758420243,0.005,-0.4,100000,0,0.0,50,0,0,0,0
102.20642165274725,102.9787623705262,103.75110308830514,0.015,0.0,100000,0,0.0,50,0,0,0,0
104.64613390170194,104.64613390170194,104.64613390170194,0.0,-0.4,100000,0,0.0,50,0,0,0,0
102.40433933818744,102.8672419268583,103.94734796709031,0.015,0.4,100519.73673983545,-5,5.400530201164656,50,1,1,0,5
105.43186804284167,106.92887225440332,107.57044548792973,0.02,-0.4,101057.58896727511,-10,-11.69975526892813,50,2,2,0,10
106.19894694686036,106.83998686806878,108.33574668422175,0.02,0.4,101599.26770069622,-15,-3.3321023248136044,50,3,2,1,15
104.80997938632643,105.92216208825309,106.39881181765023,0.015,-0.4,101599.26770069622,-15,10.435269372421317,50,3,2,1,15
106.79633860423854,106.79633860423854,106.79633860423854,0.0,0.8,102667.23108673861,-25,-2.677378367356141,50,5,4,1,25
109.27993917174939,111.62404409780326,112.62866049468349,0.03,-0.4,102667.23108673861,-25,-123.37001570647408,50,5,4,1,25
111.09304387861647,111.14861818771033,111.64878696955502,0.005,0.8,102667.23108673861,-25,-111.48436795415182,50,5,4,1,25
108.48786673969566,110.13996623319356,111.79206572669146,0.03,0.0,102667.23108673861,-25,-86.26806909122388,50,5,4,1,25
114.4325009733404,114.94977496066338,116.15674759775034,0.015,0.4,103248.01482472736,-30,-200.47842409253644,50,6,4,2,30
114.58832993075552,115.10630831818736,116.31492455552832,0.015,0.4,103248.01482472736,-30,-205.17442481826583,66.37105947763989,6,4,2,30
112.46539527577782,112.57797324902685,113.5911750082681,0.01,0.8,103248.01482472736,-30,-129.32437274344556,69.93027189110504,6,4,2,30
114.6090556569099,115.6499048001109,118.07855280091323,0.03,0.4,102674.96954644281,-25,-216.2780735599663,61.139495133957304,7,5,2,25
111.77472790694537,111.77472790694537,111.77472790694537,0.0,-0.4,102674.96954644281,-25,-119.39865123083291,60.22776698191681,7,5,2,25
109.78262358902732,111.34140323430763,112.00945165371348,0.02,-0.4,103235.01680471137,-30,-105.2252923178603,61.990893001405674,8,6,2,30
112.31156485755176,112.59304747624236,115.12639104445782,0.025,0.8,103249.0909356459,-30,-128.70048864136334,63.06931511370688,10,7,3,30
111.37485787939154,113.35863397393541,114.20882372873993,0.025,-0.4,103249.0909356459,-30,-151.6680835721636,57.8233787811897,10,7,3,30
109.53028761315173,111.08548439467721,111.75199730104528,0.02,-0.4,103249.0909356459,-30,-83.47359619440977,65.63544640674965,10,7,3,30
116.85439378753675,116.85439378753675,116.85439378753675,0.0,-0.8,103249.0909356459,-30,-256.54087798019464,56.31127411092638,10,7,3,30
111.89746167965298,112.06556001968251,112.4577894797514,0.005,0.4,102689.60362724763,-25,-112.0353732444346,50.24078067730232,11,7,4,25
107.79611649081869,108.28339175371039,108.33753344958724,0.005,-0.8,102692.31071204148,-25,-14.774081801282591,55.45194299873892,13,8,5,25
111.81410683456541,112.09434269129365,112.37457854802189,0.005,0.0,102692.31071204148,-25,-110.04785524086037,55.383514056023344,13,8,5,25
112.05259360712394,112.05259360712394,112.05259360712394,0.0,-0.4,103252.5736800771,-30,-109.00412813661387,57.41465405599621,14,8,6,30
112.6993307574746,113.55096297982327,115.53810483197017,0.025,0.4,103252.5736800771,-30,-153.95520931760257,58.39113613746109,14,8,6,30
112.72558814653355,114.2682089675961,114.43961128104749,0.015,-0.8,103252.5736800771,-30,-175.47258895078267,62.674302993857616,14,8,6,30
116.71920826867365,117.60121739916741,119.65923870365285,0.025,0.4,103252.5736800771,-30,-275.4628418979264,61.07689998057502,14,8,6,30
116.81487787276605,116.81487787276605,116.81487787276605,0.0,-0.4,103252.5736800771,-30,-251.87265610588656,56.22221970427844,14,8,6,30
114.22680225318238,114.34114339657896,115.37021368714817,0.01,0.8,103252.5736800771,-30,-177.66062182026508,56.42418999503397,14,8,6,30
113.9599505806827,114.47508847883746,115.67707690786526,0.015,0.4,103252.5736800771,-30,-181.67897428802098,61.283544412108476,14,8,6,30
117.85878434184914,117.85878434184914,117.85878434184914,0.0,-0.4,103841.86760178635,-35,-283.1898501783726,64.37438348699837,15,8,7,35
119.76190552023577,120.30327023629911,120.36342187141726,0.005,-0.8,103841.86760178635,-35,-368.7468564841256,67.5935309018077,15,8,7,35
123.12770273772969,123.12770273772969,123.12770273772969,0.0,-0.8,103226.2290880977,-30,-467.6019940341939,68.7781421268009,16,9,7,30
122.67608887682565,124.22895076134243,125.78181264585922,0.025,0.0,103226.2290880977,-30,-500.6394347425812,69.53314114882204,16,9,7,30
124.92217707260797,124.92217707260797,124.92217707260797,0.0,-0.4,103226.2290880977,-30,-521.4362240805494,68.90718992994502,16,9,7,30
121.31399477750425,124.68036462230653,125.05440571617345,0.03,-0.8,102619.65911421017,-25,-497.3500013474986,56.108701700520506,17,10,7,25
118.99086873670703,118.99086873670703,118.99086873670703,0.0,-0.8,102024.70477052663,-20,-355.1126042075048,55.975325978571796,18,11,7,20
115.71216935608459,118.92309286339629,119.27986214198648,0.03,-0.8,101446.1439237462,-15,-337.70246920474165,49.74056288713715,19,12,7,15
115.08428613506291,115.60450641392558,116.8183537312718,0.015,0.4,101446.1439237462,-15,-287.9236724626826,49.74139750496033,19,12,7,15
113.87089135941751,115.60496584712438,117.33904033483124,0.03,0.0,101446.1439237462,-15,-287.93056396066095,41.75044691244883,19,12,7,15
110.63256794331869,110.68791189926833,111.18600750281503,0.005,0.8,100892.98108402961,-10,-213.89803496307286,38.764961470660936,20,13,7,10
107.14282647479935,108.49906478460693,109.85530309441451,0.025,0.0,100892.98108402961,-10,-192.00956381646392,35.79106820584953,20,13,7,10
