Bid,Price,Ask,Spread,Skew,Cash,Inventory,PnL,RSI,Trades,Informed Trades,Noise Trades,Trade Imbalance
97.9,100,100.9,0.03,-0.4,99118.9,9,18.89999999999418,50,1,0,1,-9
99.91872626288634,100.8261617183515,102.94351111443689,0.03,0.4,99118.9,9,26.335455465159612,50,1,0,1,-9
100.80824598856047,101.11158073075273,103.84159341048306,0.03,0.8,98614.8587700572,14,30.420900287732366,50,3,0,3,-14
99.3790850208793,100.89247210241554,102.40585918395178,0.03,0.0,99229.2939251609,8,36.43370198023331,50,4,0,4,-8
101.03379527538164,101.23626781100364,103.05852063160171,0.02,0.8,98117.92217713171,19,41.41126554078073,50,6,0,6,-19
101.19703082263567,101.80787809118276,103.23318838445931,0.02,0.4,98117.92217713171,19,52.271860864188056,50,6,0,6,-19
101.83587571750093,102.6054163400513,104.4010111260022,0.025,0.4,97506.9069228267,25,72.04233132798981,50,7,0,7,-25
102.02933865972831,102.95594213897913,105.11801692389768,0.03,0.4,97624.37965280727,24,95.32226414277102,50,9,0,9,-24
102.14964258668776,103.07733863439734,105.24196274571968,0.03,0.4,98899.65248639203,12,136.5805500048009,50,13,0,13,-12
101.75838836831574,103.30800849575202,104.8576286231883,0.03,0.0,98899.65248639203,12,139.34858834106126,50,13,0,13,-12
100.73883048135625,103.53425537652235,103.84485814265192,0.03,-0.8,96985.61470724628,31,195.17662391846534,50,17,0,17,-31
101.90145580327372,104.24701360948718,104.5076311435109,0.025,-0.8,96985.61470724628,31,217.27212914038682,50,17,0,17,-31
102.24809996666384,104.4413687095647,105.38134102795078,0.03,-0.4,97320.55817669786,28,244.91650056566868,50,19,0,19,-28
103.3426931244706,104.28122414174632,106.471129848723,0.03,0.4,96493.8166317021,36,247.94070080496022,82.69229823774111,20,0,20,-36
103.05821921487286,103.99416671531066,106.17804421633218,0.03,0.4,96493.8166317021,36,237.60663345328066,84.83483950353933,20,0,20,-36
103.73859964011173,104.68072617569297,106.87902142538252,0.03,0.4,97028.211738829,31,273.31425027549267,82.37900765248315,21,0,21,-31
102.33212765101288,104.52719882636659,105.46794361580389,0.03,-0.4,97028.211738829,31,268.55490244636894,82.52289998587635,21,0,21,-31
102.99922837358831,104.56774454171402,106.13626070983973,0.03,0.0,96410.21636858747,37,279.22291663088254,69.137036092741,22,0,22,-37
102.74200355832475,103.67507927177068,105.85225593647787,0.03,0.4,96410.21636858747,37,246.19430164298683,74.00053243285699,22,0,22,-37
102.43373669953073,104.63098743568001,105.57266632260114,0.03,-0.4,97360.37036549087,28,290.03801368991844,60.095209411492974,23,0,23,-28
100.5377891875134,103.32763534174039,103.63761824776562,0.03,-0.8,97982.19607497747,22,255.40405249576725,57.68282690316,24,0,24,-22
100.2757034979359,103.05827697629589,103.36745180722477,0.03,-0.8,98292.29843039915,19,250.4056929487706,59.16620605544795,25,0,25,-19
101.11564542475631,103.28462249719746,104.21418409967224,0.03,-0.4,98292.29843039915,19,254.70625784590084,60.45311514721701,25,0,25,-19
102.39319875522756,103.47973598304958,103.9453947949733,0.015,-0.4,98292.29843039915,19,258.41341407709115,58.87199941236861,25,0,25,-19
100.53555812149848,103.3253423653633,103.63531839245938,0.03,-0.8,98292.29843039915,19,255.47993534106354,55.592345196573746,25,0,25,-19
101.45693323100521,103.00196267107128,104.54699211113736,0.03,0.0,98605.93940673256,16,253.970809469698,57.07027869036605,26,0,26,-16
102.25884396486667,103.18753175062227,105.35446991738533,0.03,0.4,98605.93940673256,16,256.9399147425138,59.54734229703233,26,0,26,-16
101.95200311456198,103.50457168991063,105.05714026525929,0.03,0.0,98605.93940673256,16,262.0125537711283,58.82781457632837,26,0,26,-16
101.26988180399859,103.44216731766964,104.37314682352867,0.03,-0.4,98099.58999771257,21,271.87551138362323,56.47911905330809,27,0,27,-21
101.69409919586798,103.24274030037358,104.79138140487919,0.03,0.0,98099.58999771257,21,267.6875440204167,50.892567331658555,27,0,27,-21
101.80898912472398,102.73359144775377,104.89099686815659,0.03,0.4,97386.9270738395,28,263.4676343766041,45.43180397423598,28,0,28,-28
100.626695279902,102.15908150243857,103.69146772497514,0.03,0.0,96682.54020688019,35,258.1080594655359,51.13139416362428,29,0,29,-35
