#{"t_start": 1723024861.1517172, "env_id": "None"}
r,l,t
-15310.476187,400,0.178533
-35428.807744,400,0.354206
-31107.731938,400,0.527104
-22432.506743,400,0.702534
-38225.197566,400,0.874391
-14049.779366,400,1.050118
-34059.995981,400,1.230439
-9023.378089,400,1.439964
-23815.186825,400,1.612452
-6092.330338,400,1.783706
-14755.048189,400,1.957137
-24120.577359,400,2.168094
-18156.958636,400,2.342542
-6670.603605,400,2.51559
-12638.394781,400,2.686735
-22374.378924,400,2.864227
-26871.854918,400,3.0383
-14523.721779,400,3.212223
-15054.264217,400,3.386058
-15254.857556,400,3.558843
-11481.926076,400,3.733538
-14736.570613,400,3.910009
-18781.480052,400,4.08284
-12807.370374,400,4.261231
-14262.983091,400,4.434333
-28553.296172,400,4.609554
-25520.236641,400,4.800599
-31144.056719,400,4.976801
-11220.757973,400,5.151312
-13398.499062,400,5.325623
-20594.411776,400,5.499346
-26374.191885,400,5.670541
-22763.488004,400,5.842277
-43619.215497,400,6.012732
-12293.653112,400,6.186039
-34497.778078,400,6.359443
-19857.998439,400,6.532352
-13430.034954,400,6.706098
-5524.701136,400,6.880905
-20705.431463,400,7.053771
-32552.406108,400,7.227895
-4845.289101,400,7.401087
-18611.934736,400,7.575019
-30799.851801,400,7.748548
-25970.968315,400,7.92382
-11474.737502,400,8.096345
-10052.646098,400,8.27297
-25532.50923,400,8.444231
-13866.557565,400,8.618082
-20208.968467,400,8.790436
-15123.497715,400,8.963889
-20001.991802,400,9.136868
-14129.619045,400,9.308252
-29466.813038,400,9.47927
-8640.298334,400,9.65096
-11788.572196,400,9.824257
-15453.328997,400,10.013423
-10176.997991,400,10.314012
-21430.217437,400,10.491868
-13211.252245,400,10.673853
-20508.739766,400,10.89439
-15071.869444,400,11.080553
-11252.602134,400,11.267795
-12322.246944,400,11.454663
-18106.369569,400,11.641854
-8447.614181,400,11.825105
-11122.78828,400,12.022234
-13789.876586,400,12.219239
-8474.950081,400,12.401768
-8403.425695,400,12.589318
-11373.523747,400,12.778603
-21317.059167,400,12.983452
-18412.497356,400,13.15805
-6432.196066,400,13.333613
-27321.753387,400,13.507898
-10775.496263,400,13.683313
-25090.71424,400,13.858835
-17030.385059,400,14.031939
-8144.284542,400,14.208044
-13821.930985,400,14.3809
-15369.052619,400,14.557872
-10264.844103,400,14.738871
-9088.625143,400,14.927721
-19950.512625,400,15.107947
-8114.880906,400,15.283157
-13273.035009,400,15.456072
-5432.405046,400,15.632561
-15113.860159,400,15.812316
-7103.113035,400,15.993043
-20144.090212,400,16.16879
-14518.989916,400,16.341072
-10582.213255,400,16.517837
-8991.078086,400,16.695203
-4751.752081,400,16.872528
-17067.579664,400,17.047892
-10815.027398,400,17.221975
-12071.750677,400,17.396869
-11227.357448,400,17.56916
-41271.049097,400,17.744664
-11495.536179,400,17.925189
-10364.116255,400,18.100965
-18858.137724,400,18.275743
-8761.819509,400,18.453682
-13652.605753,400,18.633595
-30270.306431,400,18.809038
-9978.981739,400,18.989613
-10116.407892,400,19.167835
-17777.099713,400,19.340759
-29380.727234,400,19.511162
-15187.821182,400,19.687738
-6530.246385,400,19.863515
-10252.433034,400,20.038768
-17202.89403,400,20.218168
-29357.086081,400,20.398012
-6601.045317,400,20.571635
-22399.775519,400,20.747222
-7837.002124,400,20.921232
-15709.8338,400,21.096884
-47301.628531,400,21.274232
-14775.573991,400,21.447687
-24457.980462,400,21.623134
-18554.837294,400,21.796152
-54462.576485,400,21.970245
-11261.069644,400,22.144087
-37736.221377,400,22.31795
-9511.662726,400,22.494424
-11993.972909,400,22.67096
-35533.633928,400,22.847535
-10284.232,400,23.02265
-22093.54675,400,23.197999
-15172.781547,400,23.373728
-9216.114037,400,23.552906
