#{"t_start": 1723036065.669377, "env_id": "None"}
r,l,t
-9508.08107,400,0.217493
-18629.549964,400,0.426559
-11273.046668,400,0.634966
-14876.578794,400,0.853701
-30510.480773,400,1.075507
-39006.316998,400,1.296269
-5978.524131,400,1.550991
-4061.380267,400,1.771152
-5524.589497,400,1.982379
-36972.794514,400,2.203819
-22159.946636,400,2.43095
-11046.150362,400,2.658445
-16158.918035,400,2.873256
-36070.744258,400,3.094037
-20079.285038,400,3.305312
-13209.780519,400,3.520284
-15298.326614,400,3.728057
-10525.456037,400,3.938218
-24640.18635,400,4.149517
-42889.090362,400,4.35947
-28909.564508,400,4.569169
-4852.860294,400,4.782407
-7059.822617,400,4.992885
-8893.40772,400,5.203759
-24574.334783,400,5.414533
-18267.558503,400,5.622462
-8813.362626,400,5.834058
-5579.206263,400,6.04344
-27277.53624,400,6.252244
-9735.454952,400,6.460308
-9521.531005,400,6.669811
-28518.30379,400,6.880762
-9160.947983,400,7.091987
-40819.732701,400,7.303313
-6629.931425,400,7.510091
-12978.068521,400,7.718339
-15885.426658,400,7.926965
-24490.149906,400,8.140744
-7961.457165,400,8.348485
-13689.38737,400,8.556277
-23254.047661,400,8.764098
-64532.795742,400,8.97508
-15403.010318,400,9.18812
-13342.4602,400,9.400996
-21022.789373,400,9.607843
-7446.295007,400,9.814928
-19248.00152,400,10.024924
-17315.868801,400,10.234657
-16480.128588,400,10.445482
-18734.809759,400,10.652844
-23214.589312,400,10.866239
-8308.145232,400,11.075295
-8862.161898,400,11.284218
-2220.96963,400,11.491445
-36030.292029,400,11.699383
-20651.651676,400,11.909718
-6679.443514,400,12.11799
-17840.839507,400,12.326187
-6702.673606,400,12.535516
-21618.340372,400,12.74317
-10225.624532,400,12.95376
-10423.920042,400,13.169005
-50577.153372,400,13.380453
-9221.17355,400,13.588218
-9767.50121,400,13.811297
-29665.397246,400,14.036536
-10477.836332,400,14.254707
-33527.439903,400,14.475536
-30068.528331,400,14.685751
-7558.997218,400,14.896424
-18000.277511,400,15.118201
-12504.45933,400,15.334159
-17171.916027,400,15.554784
-19701.692967,400,15.766264
-9932.487422,400,15.975073
-15131.630908,400,16.186214
-15323.927957,400,16.397767
