#{"t_start": 1723028818.525078, "env_id": "None"}
r,l,t
-12530.539848,400,0.226557
-19717.082238,400,0.4426
-30933.210765,400,0.666225
-13229.418273,400,0.889936
-8039.693496,400,1.103985
-11011.639852,400,1.344752
-19632.235551,400,1.573526
-21639.33782,400,1.790392
-4204.559883,400,2.071844
-25660.567495,400,2.287803
-19946.552476,400,2.504202
-11528.493096,400,2.723643
-15418.162351,400,2.940643
-31580.532864,400,3.158784
-9318.98057,400,3.379527
-7460.706143,400,3.595609
-12417.480345,400,3.81172
-21750.721785,400,4.028174
-7036.816461,400,4.244113
-24974.190102,400,4.459613
-9438.582279,400,4.709932
-22167.404482,400,4.928098
-9360.922293,400,5.147415
-22862.79326,400,5.364189
-16070.141984,400,5.577396
-34042.887766,400,5.813365
-6076.772397,400,6.028776
-6984.331099,400,6.24467
-13780.417152,400,6.460029
-10819.162593,400,6.674191
-29826.382053,400,6.893161
-29850.507285,400,7.111993
-24845.588711,400,7.325449
-24949.015797,400,7.543515
-27837.333621,400,7.788217
-13432.721172,400,8.005684
-15540.100674,400,8.222737
-13613.868226,400,8.450807
-29316.076107,400,8.668128
-18060.029264,400,8.881304
-10588.595745,400,9.097332
-14822.58946,400,9.314842
-25705.436834,400,9.532394
-32349.50462,400,9.76247
-20886.069254,400,10.009466
-30362.493206,400,10.258955
-9483.209835,400,10.506422
-29154.583033,400,10.750915
-6687.171414,400,11.046255
-6870.32106,400,11.269255
-29498.793097,400,11.489368
-29492.83385,400,11.717381
-10767.040564,400,11.952531
-11273.786005,400,12.197962
-19894.666473,400,12.421036
-18072.701324,400,12.64155
-10843.107615,400,12.861394
-32465.656045,400,13.09735
-9458.726986,400,13.316121
-6843.602905,400,13.532753
-20535.50069,400,13.792218
-24371.67952,400,14.014002
-39833.377885,400,14.44681
-16779.361372,400,14.760089
-9479.462968,400,14.993697
-25905.965062,400,15.211337
-5954.054586,400,15.465382
-34998.596326,400,15.693909
-41142.149851,400,15.927458
-9555.107979,400,16.436431
-10889.13356,400,16.683164
-13591.247388,400,16.91942
-27942.061268,400,17.166435
-20260.59126,400,17.420493
-5662.896133,400,17.660462
-27599.58001,400,17.895215
-17512.8507,400,18.145608
-22781.193169,400,18.384969
-27427.192268,400,18.608048
-6304.848373,400,18.824864
-11398.559279,400,19.066262
-78560.700393,400,19.304639
-8474.63479,400,19.551403
-30272.909175,400,19.811529
-29371.550369,400,20.085848
-14785.75202,400,20.344725
-32744.707938,400,20.593796
-5991.276029,400,20.824182
-17493.462788,400,21.080252
-8482.068688,400,21.297856
-26343.966743,400,21.523034
-14953.172814,400,21.74919
-16468.552403,400,21.980062
-60187.433969,400,22.209949
-5380.74093,400,22.431087
-34106.888331,400,22.677403
-14534.149184,400,22.923607
-4548.294038,400,23.167224
-10104.631378,400,23.41731
-11437.538423,400,23.655096
-15357.822962,400,23.916016
-11048.691541,400,24.144231
-6172.6171,400,24.375401
-30002.06707,400,24.638186
-45700.917958,400,24.881722
-16799.149346,400,25.156919
-16117.350506,400,25.401057
-6217.713124,400,25.626394
-21835.11964,400,25.848539
-53133.422093,400,26.072976
-6771.9414,400,26.299203
-33677.599414,400,26.584738
-25701.957534,400,26.824215
-17522.236965,400,27.048629
-10471.841032,400,27.268107
-10492.62113,400,27.495756
-48728.74451,400,27.737367
-10003.353834,400,27.98889
-26471.876628,400,28.211783
-6436.284957,400,28.453739
-23663.522742,400,28.758024
-12008.370854,400,28.975393
-12769.097484,400,29.192943
-11918.853225,400,29.408548
-9227.683357,400,29.621572
-6098.567447,400,29.836746
-32853.919373,400,30.105442
-11069.311538,400,30.336308
-9352.704166,400,30.595847
-10854.848426,400,30.842113
-10864.221811,400,31.081698
-9043.818565,400,31.330672
-9127.249084,400,31.578315
-26407.335502,400,31.818832
-16420.15016,400,32.05229
-10127.333542,400,32.275823
-7926.166571,400,32.497602
-8177.177709,400,32.722028
-25023.91409,400,32.964531
-17342.624947,400,33.193201
-40794.824693,400,33.432976
-10162.610766,400,33.665918
-21010.406586,400,33.90045
-12532.421581,400,34.162653
-35770.463051,400,34.414403
-1150.8131,400,34.648643
-41183.823459,400,34.89019
-4777.748274,400,35.110797
-18987.42219,400,35.341881
-14126.540368,400,35.566366
-29282.691969,400,35.793457
-17176.925953,400,36.027469
-61179.196177,400,36.25677
-32603.08919,400,36.519304
-25352.665398,400,36.769796
-19707.516338,400,36.992866
-20049.103936,400,37.249517
-43453.356491,400,37.479175
-38152.249291,400,37.719092
-12971.836009,400,37.951908
-13111.971155,400,38.195298
-42369.688837,400,38.421311
-28866.08126,400,38.654108
-28373.16767,400,38.888522
-9353.229725,400,39.112945
-22950.037352,400,39.338754
-16334.038259,400,39.563176
-28595.610354,400,39.784001
-17422.553538,400,40.007927
-15490.196813,400,40.229253
-13230.745553,400,40.450933
-43411.147484,400,40.679321
-7862.192242,400,40.902728
-49783.871919,400,41.123046
-14150.834347,400,41.345543
-47759.444329,400,41.577755
-15653.777201,400,41.804833
-9224.829109,400,42.031834
-4589.55368,400,42.254042
-16773.070166,400,42.47421
-21481.286997,400,42.704213
-16050.097973,400,42.92526
-40176.49742,400,43.15336
-25797.032938,400,43.375921
-36284.86456,400,43.599696
-7566.215925,400,43.842019
-9634.995219,400,44.076264
-21606.298807,400,44.315706
-10153.740448,400,44.564014
-26236.045012,400,44.83063
-16140.317408,400,45.301088
-12796.292489,400,45.652002
-12243.812085,400,46.180899
-8372.178698,400,46.732575
-6179.822227,400,47.226231
-12001.301988,400,47.654599
-28621.675497,400,48.008016
-32959.190498,400,48.260944
-8228.072435,400,48.50995
-34698.833557,400,48.767806
-12883.397465,400,49.003378
-12893.351534,400,49.242368
-10925.701231,400,49.482673
-5594.818373,400,49.723751
-29377.844695,400,50.111799
-11224.228333,400,50.441203
-3401.836926,400,50.702648
-20584.333014,400,51.00176
-33106.355212,400,51.227305
-3185.069516,400,51.470799
-22342.461741,400,51.707825
