#{"t_start": 1723025723.359436, "env_id": "None"}
r,l,t
-10014.934591,400,0.189312
-36465.34068,400,0.373867
-19285.764605,400,0.567253
-17501.635744,400,0.829544
-39097.461497,400,1.008464
-33798.404279,400,1.184976
-19351.32445,400,1.377166
-9446.081046,400,1.558335
-6355.877803,400,1.746545
-57779.051222,400,1.957171
-25459.435219,400,2.133804
-14679.142761,400,2.319324
-9805.208921,400,2.49971
-19222.890337,400,2.683495
-13526.109577,400,2.857694
-6597.004487,400,3.033719
-30064.118488,400,3.214664
-13053.180503,400,3.389818
-19608.032638,400,3.575151
-43190.190746,400,3.757004
-32951.420616,400,3.944787
-4883.86862,400,4.128298
-22041.177635,400,4.307379
-22197.687151,400,4.492964
-31601.629816,400,4.677747
-21236.724752,400,4.855651
-10161.212431,400,5.039757
-29356.956601,400,5.219279
-17877.484015,400,5.40835
-14022.531492,400,5.587331
-40094.296953,400,5.768863
-26445.347553,400,5.947376
-32962.856079,400,6.12474
-38196.481381,400,6.305986
-8808.884964,400,6.490433
-21392.819578,400,6.674288
-21750.40634,400,6.857767
-34272.525199,400,7.03547
-16728.174144,400,7.210285
-27675.816751,400,7.3851
-15573.997165,400,7.566527
-25781.52665,400,7.741465
-20996.450913,400,7.931096
-35242.657284,400,8.116966
-33878.041842,400,8.302146
-7464.541343,400,8.482415
-8824.664938,400,8.660894
-8010.363698,400,8.838769
-12218.443677,400,9.01825
-14155.017188,400,9.195769
-55750.294278,400,9.372089
-14847.28246,400,9.553841
-32606.779249,400,9.729448
-12120.074803,400,9.907512
-46664.172911,400,10.112162
-16037.85772,400,10.342486
-4698.17193,400,10.541593
-19867.239865,400,10.733595
-6666.319345,400,10.949225
-2801.828958,400,11.131915
-15040.928952,400,11.310771
-22173.354814,400,11.494768
-58218.267702,400,11.674258
-22990.480781,400,11.87861
-11356.986769,400,12.058537
-13424.072024,400,12.238522
-36031.444154,400,12.414701
-15868.581554,400,12.595698
-11358.760629,400,12.771015
-29702.091155,400,12.945635
-29106.311692,400,13.119868
-15710.352022,400,13.298017
-14750.327474,400,13.490298
-57585.569448,400,13.66934
-10357.070272,400,13.850983
-17845.975327,400,14.029776
-20199.389638,400,14.212118
-19987.724371,400,14.390171
-45624.710146,400,14.568668
-14625.712894,400,14.744371
-8805.160903,400,14.919515
-79679.204033,400,15.097056
-18010.368331,400,15.277568
-23831.420483,400,15.514119
-35720.433261,400,15.698003
-27156.479253,400,15.874209
-60663.098357,400,16.0737
-28964.924072,400,16.254076
-14508.606594,400,16.432003
-15207.429961,400,16.608633
-7853.453504,400,16.793762
-22594.568422,400,17.001434
-18652.621734,400,17.176725
-73602.750914,400,17.351152
-28192.55179,400,17.526057
