#{"t_start": 1723034867.5222452, "env_id": "None"}
r,l,t
-11178.545884,400,0.223958
-55981.502948,400,0.44187
-14239.533518,400,0.657227
-23533.268997,400,0.869479
-20791.907922,400,1.094219
-19703.36238,400,1.346062
-89163.113973,400,1.567138
-14339.461492,400,1.782981
-9411.02447,400,1.996219
-28423.515982,400,2.208092
-7432.106089,400,2.427012
-14758.271643,400,2.641763
-16981.124625,400,2.851425
-34673.364813,400,3.060451
-16937.637139,400,3.281251
-13981.04511,400,3.489256
-12763.272408,400,3.700044
-49018.377549,400,3.911909
-75216.707542,400,4.15718
-40368.270956,400,4.420769
-21082.710799,400,4.66497
-26107.759707,400,4.910581
-9013.500073,400,5.148528
-60413.528997,400,5.382215
-7451.962484,400,5.611941
-10420.131378,400,5.831807
-12674.973124,400,6.049431
-51490.159115,400,6.270063
-20216.331112,400,6.483236
-28200.597287,400,6.702288
-27139.158952,400,6.916494
-7203.419705,400,7.139567
-29257.825507,400,7.363648
-27188.962538,400,7.58871
-12082.629672,400,7.836528
-80370.903187,400,8.099867
-20213.313449,400,8.327025
-24694.102193,400,8.536682
-33533.409501,400,8.758407
-15303.599661,400,8.971115
-110865.32951,400,9.180315
-38431.244589,400,9.390471
-67925.888224,400,9.602251
-22298.610856,400,9.813743
-33353.337054,400,10.023755
-60227.839861,400,10.242349
-82068.327787,400,10.453695
-51688.292406,400,10.664485
-49977.265505,400,10.876419
-57820.163017,400,11.089891
-17388.555691,400,11.300421
-11928.089472,400,11.514493
-32253.116276,400,11.729502
-32465.928091,400,11.941941
-26926.978339,400,12.186927
-10497.672708,400,12.397272
-56824.047401,400,12.616518
-7331.922814,400,12.824233
-25942.408659,400,13.039334
-23801.434116,400,13.250164
-31989.325047,400,13.463181
-17673.150936,400,13.680317
-2855.352414,400,13.903459
-24367.081393,400,14.117437
-32199.328359,400,14.327487
-25871.722682,400,14.538799
-63314.075965,400,14.752045
-29786.092872,400,14.966742
-32209.931258,400,15.183454
-13763.96333,400,15.394369
-11076.685221,400,15.606221
-56950.869185,400,15.831969
-25516.699285,400,16.046157
-16732.754886,400,16.262482
-29098.462501,400,16.489855
-39255.632325,400,16.702037
-38766.566233,400,16.912224
-45092.21395,400,17.139716
-24569.485089,400,17.353087
-78399.563831,400,17.562449
-13774.306301,400,17.774895
-59946.646764,400,17.989573
-16202.310581,400,18.203921
-45478.87118,400,18.413348
-37852.194083,400,18.629255
-42279.892716,400,18.838903
-62125.776027,400,19.050268
-45012.166814,400,19.263413
-39702.876763,400,19.475333
-36232.800917,400,19.68739
-18345.912906,400,19.897863
-78858.792588,400,20.10576
-15634.598463,400,20.32512
-85493.786435,400,20.535771
-11308.831116,400,20.755813
-22503.383711,400,20.970714
-14998.276993,400,21.179454
-23118.397454,400,21.389073
-13914.650761,400,21.602769
-16117.353629,400,21.813402
-17597.426538,400,22.026307
-39926.308763,400,22.23828
-14914.160977,400,22.45337
-8705.587828,400,22.668855
-115201.373077,400,22.877912
-70198.405095,400,23.089729
-33668.05147,400,23.302165
-46818.039244,400,23.514255
-97629.04024,400,23.815162
-24619.066567,400,24.027593
-22255.02275,400,24.240149
-42605.98507,400,24.450948
-58098.238491,400,24.661474
-60878.380106,400,24.878084
-17239.64761,400,25.088777
-25357.876977,400,25.304371
-82010.12896,400,25.519232
-28885.43994,400,25.735088
-15618.773403,400,25.947091
-16693.610329,400,26.162045
-51960.094938,400,26.371023
-24827.00017,400,26.585947
-51730.281141,400,26.798257
-24855.662247,400,27.007197
-16687.62279,400,27.219847
-55952.43604,400,27.429066
-38509.075357,400,27.643792
-53191.351703,400,27.852844
-38025.681965,400,28.067612
-18933.760524,400,28.276672
-9073.495548,400,28.483744
-13162.769845,400,28.693221
-60722.954974,400,28.906183
-14666.516066,400,29.116983
-23375.1699,400,29.330895
-14884.771091,400,29.543728
-54720.560149,400,29.756732
-60202.579231,400,29.968738
-14454.039787,400,30.179965
-52642.140737,400,30.392316
-60181.155996,400,30.606435
-32810.51999,400,30.818603
-18605.408522,400,31.031924
-33597.300315,400,31.243397
-16887.697338,400,31.459757
-61075.940557,400,31.668958
-27292.644562,400,31.880318
-23633.938573,400,32.09131
-100291.497619,400,32.305868
-17677.34793,400,32.513442
-36184.57089,400,32.724642
-27410.551868,400,32.9322
-33934.521179,400,33.144943
-35623.426646,400,33.355262
-8297.058106,400,33.562768
-69401.84998,400,33.774974
