#{"t_start": 1723035889.1084712, "env_id": "None"}
r,l,t
-13454.718655,400,0.121668
-28865.198851,400,0.248743
-11670.299143,400,0.379271
-10514.842969,400,0.516609
-29762.410479,400,0.653739
-32487.897975,400,0.797114
-5002.828498,400,0.938031
-5960.917258,400,1.066437
-4392.08196,400,1.197961
-37662.300167,400,1.382927
-46293.225089,400,1.513052
-16035.831504,400,1.644771
-9364.357904,400,1.778612
-25574.155848,400,1.913388
-12500.719627,400,2.045781
-5498.03395,400,2.182825
-14066.511417,400,2.315572
-26654.336588,400,2.452209
-23876.321795,400,2.591838
-43600.486958,400,2.730536
-24631.859978,400,2.869621
-4523.294949,400,3.00766
-7765.285639,400,3.145243
-8954.55301,400,3.283516
-17414.339482,400,3.421427
-25034.808719,400,3.560315
-9982.042977,400,3.697963
-13852.130909,400,3.839022
-31819.307342,400,3.981119
-11454.037793,400,4.121469
-24504.699367,400,4.263144
-13493.567111,400,4.408219
-17019.227966,400,4.557604
-36108.478981,400,4.703855
-14341.842732,400,4.849328
-12443.302715,400,4.994022
-25036.103202,400,5.139539
-19206.474365,400,5.28492
-13900.51563,400,5.428592
-22404.336957,400,5.575309
-12300.638566,400,5.720454
-43886.074464,400,5.870649
-4610.670203,400,6.017633
-14463.824158,400,6.166182
-9563.305982,400,6.315319
-6948.565533,400,6.464196
-22054.059692,400,6.612308
-16028.494749,400,6.777622
-18843.213765,400,6.936061
-33553.26104,400,7.09289
-25845.898165,400,7.250748
-4596.638258,400,7.406476
-10449.074738,400,7.563681
-3379.013452,400,7.713701
-27767.968142,400,7.866047
-11641.695794,400,8.016304
-4621.963473,400,8.170927
-12913.416076,400,8.320352
-16416.078662,400,8.476974
-13053.019529,400,8.628829
-5973.587813,400,8.781196
-16537.988717,400,8.933033
-36509.281506,400,9.083656
-16151.799296,400,9.233522
-13109.149616,400,9.386533
-48033.167272,400,9.540685
-23673.658647,400,9.695188
-35128.282068,400,9.848236
-40254.25288,400,10.001129
-9439.569923,400,10.15013
-15478.029793,400,10.302281
-12196.963708,400,10.451543
-18667.824428,400,10.605693
-7830.926483,400,10.759857
-12547.550295,400,10.914704
-23044.515164,400,11.06916
-8684.276086,400,11.220204
-6400.192568,400,11.369768
-8710.056447,400,11.522143
-10810.758119,400,11.676198
-14796.501179,400,11.897015
-32584.759243,400,12.049357
-6698.648203,400,12.202656
