#{"t_start": 1723028935.397203, "env_id": "None"}
r,l,t
-13482.146034,400,0.168257
-34806.424562,400,0.483197
-16362.576979,400,0.626287
-18286.553771,400,0.791648
-40300.384221,400,0.977413
-28586.341457,400,1.177296
-23524.348328,400,1.323117
-8587.589142,400,1.468563
-11776.51044,400,1.609254
-49676.062225,400,1.810802
-31901.375387,400,1.95037
-21412.264447,400,2.090532
-8880.216468,400,2.250946
-30069.509551,400,2.395582
-19614.278715,400,2.565901
-4707.555472,400,2.711527
-23489.196678,400,2.857847
-11137.473742,400,3.025038
-14004.069451,400,3.168039
-42100.358187,400,3.330929
-18412.636964,400,3.502356
-15000.26529,400,3.664726
-16469.321389,400,3.847217
-10398.341917,400,4.012411
-25389.610692,400,4.279652
-41656.218926,400,4.482906
-11677.590828,400,4.671753
-27601.654299,400,4.816898
-11109.783893,400,4.962164
-8061.839141,400,5.112857
-31383.201721,400,5.262067
-29943.429419,400,5.414403
-27353.022454,400,5.564802
-47399.417408,400,5.715363
-18679.591463,400,5.873318
-14701.63446,400,6.037343
-15726.369777,400,6.19911
-47988.5667,400,6.353288
-13612.475341,400,6.507488
-17846.105087,400,6.662039
-29456.409697,400,6.817056
-47742.706245,400,6.973218
-41324.827932,400,7.129046
-22944.67209,400,7.285697
-27382.502234,400,7.442515
-10339.825178,400,7.6005
-10289.964815,400,7.758328
-22653.933594,400,7.939404
-6880.37643,400,8.129952
-8482.358035,400,8.322623
-39198.347176,400,8.486662
-8047.522716,400,8.678861
-23439.652942,400,8.863806
-11250.022437,400,9.031628
-42422.636656,400,9.195829
-11588.658156,400,9.362117
-10228.701859,400,9.553785
-10062.280461,400,9.761571
-10687.588481,400,9.939168
-14719.677607,400,10.100273
-8282.790856,400,10.266628
-18250.966333,400,10.461968
-52176.005852,400,10.623388
-19688.623008,400,10.781096
-13989.550253,400,10.941847
-10389.384471,400,11.103978
-12004.391214,400,11.264615
-15978.15921,400,11.425518
-13587.825497,400,11.614428
-11077.805632,400,11.800561
-22789.101734,400,11.984751
-14557.967282,400,12.148086
-26832.909428,400,12.310917
-27581.182734,400,12.473507
-12364.506775,400,12.637234
-23779.662994,400,12.796358
-33277.008619,400,12.956363
-29477.105324,400,13.116833
-37365.975101,400,13.276842
-12333.899503,400,13.436087
-26006.33269,400,13.596
-59038.097954,400,13.757334
-7825.50691,400,13.923157
-19666.649279,400,14.08846
-24490.521712,400,14.290653
-35083.972698,400,14.473763
-54362.887085,400,14.64439
-17535.84409,400,14.825649
-10865.830726,400,14.995633
-7691.488391,400,15.160198
-14723.474054,400,15.347348
-7506.9254,400,15.543424
-18712.758244,400,15.720907
-38121.880127,400,15.881806
-10152.358256,400,16.084529
-12933.974159,400,16.250522
-14141.74101,400,16.420364
-10552.953152,400,16.61134
-11840.891448,400,16.78316
-17853.005244,400,16.990693
-15984.434229,400,17.212461
-10813.759301,400,17.404733
-9081.777575,400,17.61694
-12737.107851,400,17.793773
-10433.043501,400,17.960858
-14783.4988,400,18.123057
-25676.190455,400,18.281006
-14279.28899,400,18.443373
-20707.711328,400,18.606264
-14401.353135,400,18.844886
-50008.601201,400,19.00966
-47840.689262,400,19.172714
-15359.540714,400,19.331568
