#{"t_start": 1723021503.4761631, "env_id": "None"}
r,l,t
-11145.767561,400,0.630934
-35477.444331,400,0.747583
-24950.813836,400,0.857922
-16039.725393,400,0.967913
-38507.996331,400,1.078057
-29405.463595,400,1.266209
-28645.812042,400,1.377915
-7664.086345,400,1.492683
-6768.785173,400,1.608513
-54644.079879,400,1.722041
-26271.975104,400,1.837244
-13784.93285,400,1.957525
-10010.489425,400,2.077995
-18544.266759,400,2.194484
-17603.334943,400,2.316427
-9413.51635,400,2.434931
-26621.457202,400,2.556067
-10766.059016,400,2.675652
-20110.801284,400,2.796473
-37550.051184,400,2.921217
-32091.166977,400,3.045392
-5580.42598,400,3.171821
-14415.587937,400,3.316781
-17414.309874,400,3.449902
-37935.386805,400,3.582068
-30145.213493,400,3.725364
-8755.413131,400,3.879233
-31618.270577,400,4.016356
-30142.781101,400,4.154612
-12415.753516,400,4.292107
-33999.168176,400,4.435769
-37180.009455,400,4.567096
-35805.444152,400,4.725799
-52097.446467,400,4.884915
-11947.531908,400,5.060722
-12591.441671,400,5.22054
-18656.386534,400,5.419365
-38579.066559,400,5.592747
-11681.226097,400,5.741145
-23035.940011,400,5.872775
-24965.93039,400,6.018972
-36612.376441,400,6.152873
-40137.926751,400,6.29179
-23623.056098,400,6.442855
-25138.07599,400,6.593311
-8217.981615,400,6.771875
-9070.492619,400,6.929698
-17780.819552,400,7.060632
-9046.45274,400,7.194885
-7287.792799,400,7.327533
-51683.50769,400,7.457408
-19576.886668,400,7.589716
-19551.773679,400,7.720157
-3012.971928,400,7.847943
-41634.731811,400,7.982464
-11395.416373,400,8.113378
-6110.183755,400,8.241667
-15807.090227,400,8.369245
-5580.353894,400,8.495817
-3644.863935,400,8.625447
-8472.216856,400,8.754651
-14810.046538,400,8.886054
-46650.227078,400,9.016197
-10381.493008,400,9.145459
-8122.862168,400,9.283289
-5907.863576,400,9.419422
-16994.298803,400,9.546635
-22588.938772,400,9.674717
-20949.354662,400,9.808723
-17046.49898,400,9.942377
-30131.732713,400,10.072288
-18189.237067,400,10.205939
