#{"t_start": 1723034686.083621, "env_id": "None"}
r,l,t
-8360.744333,400,0.1243
-51825.80729,400,0.258578
-19788.359199,400,0.391184
-18341.956116,400,0.523971
-20669.750574,400,0.658175
-32397.380198,400,0.794651
-72729.364215,400,0.929348
-14393.615436,400,1.06589
-52993.873695,400,1.203205
-15739.749562,400,1.339639
-20654.489798,400,1.484913
-17905.372974,400,1.626365
-24266.168043,400,1.771808
-15148.784482,400,1.910796
-31082.060793,400,2.058819
-42314.949124,400,2.200908
-41655.067506,400,2.342769
-7810.190302,400,2.484251
-86340.546326,400,2.628037
-13572.12835,400,2.771517
-21775.553362,400,2.914083
-21653.180373,400,3.061569
-20707.283076,400,3.20814
-58031.475798,400,3.35681
-23967.037874,400,3.505717
-19217.856307,400,3.657323
-9363.471786,400,3.805207
-80125.113592,400,3.956207
-24339.287654,400,4.106776
-37493.535855,400,4.259088
-15875.465638,400,4.40958
-11314.559669,400,4.562829
-24048.38429,400,4.715451
-47119.391304,400,4.866114
-25236.679651,400,5.01589
-98085.884963,400,5.169804
-24892.437384,400,5.321958
-15003.893717,400,5.476518
-14249.164953,400,5.631296
-24175.953997,400,5.786441
-76774.395672,400,5.940648
-10805.02978,400,6.094576
-38648.612922,400,6.264797
-5339.966802,400,6.43623
-83924.288453,400,6.594567
-23159.371187,400,6.753498
-50663.489656,400,6.911371
-47794.226374,400,7.071027
-27301.01,400,7.228903
-33371.913492,400,7.387637
-62961.600193,400,7.549729
-25101.780621,400,7.709041
-9435.980826,400,7.872317
-22460.749558,400,8.033473
-17287.998786,400,8.192802
-6753.757036,400,8.355315
-71532.968199,400,8.515392
-41454.627998,400,8.676499
-19959.798635,400,8.83215
-34002.664027,400,8.98533
-35161.663852,400,9.142875
-32844.169427,400,9.295986
-27096.479013,400,9.451289
-39547.664904,400,9.608614
-29781.724463,400,9.76926
-49498.76624,400,9.934216
-38454.747694,400,10.086517
-32440.496596,400,10.237088
-21990.351892,400,10.388776
-25123.676436,400,10.54299
-20520.041008,400,10.700622
-62680.313942,400,10.865697
-31407.0691,400,11.024831
-24346.572511,400,11.174849
-37491.925543,400,11.324123
-34474.332215,400,11.480051
-37313.345428,400,11.636087
-41348.204323,400,11.80064
-11843.403253,400,11.962609
-49604.172943,400,12.11553
-15930.811149,400,12.269207
-72591.024896,400,12.424726
-19187.563875,400,12.592044
-35787.507681,400,12.745131
-16247.845039,400,12.902068
-31698.554553,400,13.063177
-102130.197839,400,13.215385
-59474.1863,400,13.369748
-29137.349533,400,13.524493
-24961.82843,400,13.679271
-20148.960569,400,13.831038
-64340.372709,400,13.983068
-12656.714756,400,14.135543
-62541.009617,400,14.287903
-25861.808455,400,14.441459
-77471.076833,400,14.602186
-16965.52672,400,14.75723
-28579.401052,400,14.909757
-30048.231637,400,15.06248
-15707.613867,400,15.212704
-21193.87147,400,15.369154
-10364.376396,400,15.52179
-54777.631462,400,15.674226
-83894.384758,400,15.827965
-87542.127469,400,15.984545
-16340.023349,400,16.136705
-36602.638826,400,16.286052
-8504.748689,400,16.440759
-55214.75946,400,16.592639
-44177.456212,400,16.74507
-8172.777279,400,16.896453
-15938.688837,400,17.049651
-27632.217335,400,17.200994
-43987.166461,400,17.350666
-60567.84723,400,17.505356
-23860.931304,400,17.658791
-70595.709114,400,17.810684
-22381.081592,400,17.968889
-4830.145143,400,18.118325
-16695.868791,400,18.269159
-38341.509673,400,18.420259
-9539.622971,400,18.57601
-48525.674907,400,18.72957
-6567.440379,400,18.880685
-17774.066126,400,19.032133
-76957.657055,400,19.185008
-5212.183608,400,19.335981
-19201.4062,400,19.484497
-16463.611602,400,19.637482
-29412.543726,400,19.794669
-17433.652214,400,19.961552
-70376.231533,400,20.114511
-16370.781881,400,20.269311
-19418.797415,400,20.436161
-20443.605397,400,20.589746
-18881.816698,400,20.742849
-22232.823401,400,20.895897
-22317.128949,400,21.082945
