#{"t_start": 1723022812.5971682, "env_id": "None"}
r,l,t
-15775.324387,400,0.10252
-34728.952535,400,0.199747
-27330.059945,400,0.293014
-15817.395909,400,0.384264
-38785.184172,400,0.476338
-12042.98749,400,0.905056
-48207.982095,400,1.003566
-9232.010549,400,1.098538
-15696.03477,400,1.190171
-6378.709426,400,1.28103
-15690.547461,400,1.729428
-20285.501136,400,1.827619
-11607.690338,400,1.921917
-7130.156257,400,2.013617
-19439.694842,400,2.111845
-18435.775303,400,2.593016
-33270.039836,400,2.692604
-20035.552929,400,2.786824
-7500.881818,400,2.878461
-13973.866389,400,2.970074
-8752.002582,400,3.515994
-9608.173614,400,3.614398
-17461.297359,400,1051.346881
-8847.81627,400,1051.711632
-12489.108513,400,1051.819137
-21864.932867,400,1052.357615
-23653.842269,400,1052.459936
-33192.942393,400,1052.561931
-14915.249201,400,1052.657243
-12288.943274,400,1052.753231
-27148.701242,400,1053.304597
-23726.887351,400,1053.403149
-28027.460749,400,1053.500093
-54566.412543,400,1053.591768
-15767.335712,400,1053.684104
-42425.398844,400,1054.259832
-8057.372762,400,1054.359016
-12492.740529,400,1054.456238
-6503.054119,400,1054.548489
-23477.378435,400,1054.641038
-24530.490631,400,1055.079321
-11332.073586,400,1055.17727
-15852.45399,400,1055.275682
-37540.667315,400,1055.367284
-31248.225118,400,1055.458625
-16650.128929,400,1055.550053
-11263.466439,400,1055.991448
-25815.97152,400,1056.089068
-10031.956892,400,1056.182361
-22171.854357,400,1056.274874
-16664.458301,400,1056.365846
-13969.255783,400,1056.80823
-11039.026869,400,1056.906013
-25675.405135,400,1057.000034
-10810.147795,400,1057.092698
-6764.667627,400,1057.185273
-14414.668012,400,1057.633153
-9943.241116,400,1057.73051
-19591.082905,400,1057.823353
-23370.120469,400,1057.914491
-27692.586779,400,1058.006811
-10064.684743,400,1058.431949
-16629.944434,400,1058.529931
-18558.321343,400,1058.624178
-16981.280888,400,1058.716477
-13455.916123,400,1058.808847
