#{"t_start": 1723035065.34202, "env_id": "None"}
r,l,t
-9911.864541,400,0.127638
-30374.857477,400,0.252428
-25497.058241,400,0.374021
-17617.905408,400,0.502864
-40968.415193,400,0.631275
-34964.076734,400,1.166087
-27072.930706,400,1.285104
-14537.751284,400,1.40421
-10396.574555,400,1.526147
-44503.84862,400,1.647141
-28861.850202,400,2.19649
-19038.598033,400,2.317389
-15918.124055,400,2.437696
-21833.847547,400,2.558697
-15936.406906,400,2.678848
-7164.277493,400,3.202631
-23957.478277,400,3.323742
-10948.617632,400,3.444737
-19983.745513,400,3.565877
-37002.088442,400,3.686744
-26066.766306,400,4.203891
-13646.054024,400,4.325079
-10933.272849,400,4.445928
-11278.16759,400,4.566646
-25518.107724,400,4.687514
-33336.369546,400,5.205496
-11588.887924,400,5.326045
-27033.518284,400,5.445905
-14392.990591,400,5.566023
-8160.880443,400,5.685704
-30258.966702,400,6.27129
-43311.089411,400,6.394117
-25769.89416,400,6.515912
-44898.410971,400,6.637024
-9301.233299,400,6.757898
-17829.911419,400,7.321607
-20103.25577,400,7.444687
-44268.473021,400,7.5667
-9658.777953,400,7.688446
-26864.834608,400,7.817177
-22510.512977,400,8.362729
-29982.539854,400,8.484368
-37796.344764,400,8.603146
-28322.035928,400,8.721814
-29612.68737,400,8.850292
-11116.384757,400,8.977276
-13771.038747,400,9.522091
-13533.165049,400,9.641542
-7471.479312,400,9.760441
-8493.089631,400,9.879097
-48290.147224,400,9.997815
-9279.017029,400,10.514617
-27841.039151,400,10.634116
-12272.577157,400,10.753201
-42108.458519,400,10.872389
-11698.092575,400,10.991453
-11116.509549,400,11.510475
-15660.95368,400,11.630086
-15851.401671,400,11.749432
-11839.080322,400,11.868395
-6160.336713,400,11.987471
-14633.787653,400,12.502955
-41905.101498,400,12.62451
-17869.503554,400,12.745122
-10863.41652,400,12.865429
-8787.371824,400,12.985551
-18510.236945,400,13.508212
-29923.96499,400,13.630742
-18672.245775,400,13.751593
-16931.085455,400,13.872134
-17104.074289,400,13.992693
-18389.326928,400,14.513587
-27062.053979,400,14.637757
-46522.503361,400,14.759633
-8997.626708,400,14.882038
-25002.506059,400,15.009767
-28928.979217,400,15.54102
-24031.265747,400,15.662708
-25564.127683,400,15.80198
-21886.429653,400,15.930712
-12938.518327,400,16.052123
-63385.293023,400,16.574981
-8847.16907,400,16.694423
-27813.028303,400,16.813735
-27222.412533,400,16.93287
-21597.056417,400,17.052048
-54787.396125,400,17.172387
-10974.186458,400,17.709641
-12491.971228,400,17.830426
-9371.302177,400,17.952591
-14512.638445,400,18.074239
-10870.480896,400,18.197414
-20625.191441,400,18.7163
-64834.333666,400,18.83786
-18322.466042,400,18.958926
-15623.778564,400,19.08015
-9839.637975,400,19.201237
-15173.882578,400,19.798133
-13315.317598,400,19.919532
-10479.473836,400,20.040952
-12807.259413,400,20.16507
-15467.380875,400,20.290709
