#{"t_start": 1723025639.981879, "env_id": "None"}
r,l,t
-13355.272566,400,0.107582
-27799.312646,400,0.207044
-19957.393483,400,0.302825
-16454.811449,400,0.398594
-34222.904522,400,0.493953
-34963.33156,400,0.936082
-33652.293013,400,1.035986
-10566.738432,400,1.132039
-9577.385675,400,1.285405
-54445.530315,400,1.383926
-31236.957545,400,1.824892
-15070.963753,400,1.924214
-14018.108026,400,2.020664
-21346.861982,400,2.116406
-11232.180517,400,2.211972
-6879.966472,400,2.65452
-26981.227243,400,2.754418
-17591.585804,400,2.8515
-18313.216643,400,2.946745
-42856.460592,400,3.042111
-23611.173454,400,3.480083
-19411.171282,400,3.579445
-13610.05996,400,3.677003
-9425.838432,400,3.773891
-27759.254977,400,3.869077
-34618.122555,400,4.314168
-7148.443258,400,4.414236
-27732.480988,400,4.511928
-17105.566868,400,4.607323
-12433.075053,400,4.702861
-32602.078683,400,5.152405
-40219.91812,400,5.252405
-30432.389122,400,5.351264
-55037.354022,400,5.446903
-11778.648204,400,5.543408
-20431.465302,400,5.985811
-18041.893944,400,6.085975
-35796.753528,400,6.184968
-10732.388282,400,6.280617
-20006.55289,400,6.376986
-26829.887417,400,6.821625
-32819.863452,400,6.922334
-43536.384428,400,7.022028
-28942.160692,400,7.118313
-31705.290818,400,7.213602
-13292.541184,400,7.309057
-19783.157197,400,7.748504
-13254.125967,400,7.848628
-9618.645276,400,7.944107
-7151.331202,400,8.039906
-46967.79065,400,8.135622
-9878.610072,400,8.580767
-29496.194399,400,8.680772
-11864.42391,400,8.776735
-48456.914121,400,8.872327
-8152.480499,400,8.967744
-12493.089378,400,9.419798
-15877.325235,400,9.519974
-7900.66376,400,9.61694
-11295.882286,400,9.712543
-7505.684689,400,9.808332
-13499.830874,400,10.266048
-44471.140364,400,10.366104
-17583.38833,400,10.462722
-12560.705468,400,10.557369
-4962.546941,400,10.652061
-20062.440959,400,11.090629
-16880.553117,400,11.190213
-18385.78786,400,11.288563
-18667.688904,400,11.384471
-18200.181964,400,11.479724
-18043.978862,400,11.943901
-29440.537389,400,12.043993
-40224.421184,400,12.141967
-18223.826196,400,12.237332
-26388.916428,400,12.333953
-33442.542579,400,12.772365
-23851.335402,400,12.872614
-28615.616252,400,12.970919
-14553.737279,400,13.066354
-14732.6201,400,13.161665
-66458.550377,400,13.596142
-9406.718302,400,13.696473
-22746.789783,400,13.796884
-23983.848721,400,13.892809
-21857.618049,400,13.988363
-59998.128998,400,14.083685
-15344.4076,400,14.532422
-12822.369914,400,14.63248
-10638.420182,400,14.728628
-11246.767897,400,14.824577
-10143.183518,400,14.920985
-17929.091888,400,15.377254
-66706.514436,400,15.476852
-16503.466336,400,15.572996
-15711.628529,400,15.669557
-16647.594085,400,15.764565
-16794.226182,400,16.202447
-15282.008864,400,16.30257
-10484.315721,400,16.398079
-12134.233816,400,16.493669
-13917.55687,400,16.588655
-18065.887738,400,17.04301
-18567.517602,400,17.142166
-35187.704611,400,17.238843
-14515.669925,400,17.3345
-25449.991609,400,17.429851
-18403.578403,400,17.864627
-21156.528994,400,17.964772
-14292.228988,400,18.062916
-39393.163256,400,18.158758
-34166.831568,400,18.253885
-12502.705048,400,18.691469
-27164.81656,400,18.791778
-11573.846093,400,18.889387
-26227.982935,400,18.984682
-45124.187099,400,19.080899
-13073.747635,400,19.525889
-27206.205039,400,19.626282
-12012.85775,400,19.724877
-31893.664583,400,19.820891
-10237.546657,400,19.916337
-11931.778224,400,20.431301
-12537.347724,400,20.530906
-11773.716168,400,20.630393
-23079.652621,400,20.726285
-11835.249204,400,20.821421
-8385.120192,400,20.916473
-12175.13252,400,21.357299
-24366.930476,400,21.456637
-9687.991833,400,21.551967
-20433.629599,400,21.646828
-37875.685711,400,21.742586
-21150.353726,400,22.186735
-18512.692052,400,22.286974
-23045.119945,400,22.382393
-18786.199496,400,22.478384
-6971.282218,400,22.573973
-26115.35219,400,23.02522
-10989.392196,400,23.125034
-22103.799693,400,23.221399
-8803.263972,400,23.317282
-37674.815431,400,23.412387
-14378.973528,400,23.848093
-18930.120363,400,23.948061
-2977.465088,400,24.045043
-28183.339903,400,24.141256
-22610.68971,400,24.236976
-25493.350185,400,24.67662
-23963.926534,400,24.777615
-10261.922261,400,24.874809
-35743.107001,400,24.970377
-50205.380844,400,25.066153
-12260.633309,400,25.511952
-30904.848048,400,25.612467
-63130.37381,400,25.710123
-21982.600474,400,25.806431
-53609.133823,400,25.901661
-39060.418099,400,26.335334
-27990.399772,400,26.43514
-53381.976839,400,26.533264
-16831.080191,400,26.629128
-21148.280646,400,26.724672
-64666.916874,400,27.159428
-25339.68456,400,27.259754
-18533.93273,400,27.358479
-17856.168584,400,27.45451
