#{"t_start": 1723039199.377513, "env_id": "None"}
r,l,t
-7053.860292,200,0.087603
-2214.195797,200,0.151822
-19554.138156,200,0.208906
-7112.651958,200,0.268527
-3183.999912,200,0.328026
-14491.335497,200,0.386301
-3436.902962,200,0.444871
-6011.603366,200,0.503117
-1265.589987,200,0.562208
-6866.600841,200,0.623407
-18460.037655,200,1.259879
-11071.763856,200,1.316541
-7040.455297,200,1.374842
-4002.318525,200,1.432023
-3770.475581,200,1.496429
-5144.932383,200,1.562599
-3587.99453,200,1.62155
-1725.781337,200,1.679431
-11936.976321,200,1.738396
-9303.673131,200,1.800981
-4966.804459,200,2.763946
-2621.945109,200,2.822433
-6411.925218,200,2.88008
-2012.11484,200,2.939104
-1868.755618,200,2.998073
-6271.336627,200,3.056269
-5329.859781,200,3.114096
-19280.410375,200,3.171326
-11581.043841,200,3.228554
-9668.891154,200,3.286857
-6584.198745,200,3.883105
-7879.10002,200,3.941524
-25616.163766,200,3.999724
-16067.626991,200,4.056885
-13900.430947,200,4.112142
-11878.956502,200,4.169065
-5695.839887,200,4.225642
-3138.439957,200,4.282707
-11246.143798,200,4.340518
-9322.095699,200,4.398634
-4643.818208,200,5.179645
-4479.720991,200,5.242256
-4746.530355,200,5.303044
-4529.863269,200,5.360621
-12280.96627,200,5.41665
-2874.786556,200,5.472607
-3226.362814,200,5.528516
-9921.13531,200,5.585473
-1630.319578,200,5.641926
-1716.460216,200,5.696934
-2701.253237,200,5.754364
-10110.641594,200,6.374711
-6168.352154,200,6.431408
-9234.629511,200,6.487279
-7394.457706,200,6.542329
-1865.740304,200,6.59707
-4041.727866,200,6.655141
-2771.133404,200,6.712461
-3940.243336,200,6.769945
-8452.490523,200,6.827858
-6567.538061,200,6.884768
-5086.465271,200,7.633916
-6706.959379,200,7.689496
-7895.687835,200,7.745189
-6216.314443,200,7.800397
-3682.524538,200,7.855867
-2974.44519,200,7.915569
-11246.92058,200,7.973421
-8253.604586,200,8.029868
-1519.622662,200,8.086812
-16382.359701,200,8.14357
-6142.092163,200,8.886603
-3327.648708,200,8.943591
-7431.879497,200,8.998989
-7527.522396,200,9.055921
-10197.818311,200,9.112562
-4169.996091,200,9.167869
-14679.443104,200,9.223127
-4952.565344,200,9.279397
-5625.36098,200,9.335698
-5210.441604,200,9.391444
-27306.350158,200,9.98163
-2466.829014,200,10.040695
-3954.663664,200,10.09854
-7184.59189,200,10.156435
-3408.531231,200,10.214677
-2667.965074,200,10.271912
-8149.726632,200,10.330247
-7369.842418,200,10.38756
-9549.954894,200,10.444611
-14792.435706,200,10.500918
-7635.883513,200,10.55717
-8411.986195,200,11.137538
-9124.733011,200,11.192192
-14654.981279,200,11.247125
-6578.258901,200,11.301799
-3062.330427,200,11.356609
-5385.111856,200,11.4137
-22551.914182,200,11.470696
-4881.863369,200,11.527024
-13409.383056,200,11.583185
-10343.344538,200,11.639284
-4536.016463,200,12.182362
-14771.307131,200,12.238935
-5665.219054,200,12.295045
-4763.878595,200,12.351129
-4201.809619,200,12.407418
-5616.645284,200,12.46382
-3717.296292,200,12.519994
-17111.071592,200,12.576322
-4015.367469,200,12.632749
-5450.783215,200,12.689526
-4251.227313,200,13.208478
-3830.255229,200,13.264036
-3129.81891,200,13.319371
-11305.232425,200,13.374635
-11829.048306,200,13.431648
-2863.705232,200,13.488979
-4226.372108,200,13.544219
-4674.302914,200,13.599134
-19647.906416,200,13.655192
-3713.132627,200,13.713682
-3173.382901,200,14.364068
-1930.074141,200,14.419463
-8705.669945,200,14.476227
-6855.420278,200,14.531707
-4942.751994,200,14.586867
-3142.59492,200,14.642202
-6495.779354,200,14.697307
-11415.245368,200,14.752263
-7798.692305,200,14.807392
-1820.155679,200,14.861985
-3351.815272,200,14.917083
-4304.176707,200,15.555392
-5332.190006,200,15.61128
-2856.054407,200,15.667259
-11650.590115,200,15.723179
-2547.832825,200,15.779064
-20328.030212,200,15.834849
-4325.421039,200,15.890795
-4301.079666,200,15.946745
-9318.3417,200,16.001735
-3662.43104,200,16.056579
-2400.570461,200,16.628721
-14250.698369,200,16.750888
-2059.91211,200,16.812521
-8725.133399,200,16.871668
-5287.042251,200,16.990478
-3021.40825,200,17.059714
-6473.446581,200,17.118911
-10998.3484,200,17.177688
-2707.087975,200,17.235375
-16042.930077,200,17.291928
-11225.881742,200,17.874714
-2608.54882,200,17.931061
-7631.758373,200,17.987154
-5312.72246,200,18.043463
-10471.017898,200,18.101054
-7225.06527,200,18.160104
-6696.128294,200,18.219478
-6200.870023,200,18.276742
-4580.345009,200,18.333732
-10183.191558,200,18.391712
-15487.206624,200,18.992254
-2599.514924,200,19.048785
-6185.375218,200,19.105597
-10185.460629,200,19.161261
-6845.315357,200,19.219109
-3995.096011,200,19.275898
-5273.495397,200,19.332585
-2556.035364,200,19.390039
-11833.795514,200,19.450207
-7476.214315,200,19.508896
-4340.349708,200,19.569366
-11528.369603,200,20.114989
-8214.916391,200,20.171928
-6093.095668,200,20.232889
-21075.378748,200,20.304719
-13181.140311,200,20.366405
-9009.092852,200,20.424033
-2165.496759,200,20.481323
-6180.886008,200,20.538509
-8866.389201,200,20.596243
-9757.353143,200,20.653285
-10007.207651,200,21.217608
-3620.435318,200,21.274397
-5755.118285,200,21.330417
-6414.140519,200,21.386949
-2497.594995,200,21.44374
-8619.445182,200,21.500305
-5606.572359,200,21.556381
-15913.973549,200,21.612629
-7254.026263,200,21.669036
-3187.640119,200,21.726361
-3746.110062,200,22.468765
-3138.673126,200,22.527091
-5966.732944,200,22.584998
-7683.650181,200,22.642854
-1848.546726,200,22.701982
-11044.522784,200,22.760093
-15159.511246,200,22.818089
-4462.61283,200,22.876415
-5770.061427,200,22.934521
-4001.095129,200,22.993889
-2807.390197,200,23.661559
-3055.352641,200,23.720243
-2407.482952,200,23.77756
-13520.834115,200,23.834995
-13571.671917,200,23.89138
-4353.359475,200,23.948369
-5747.669064,200,24.005361
-3003.693524,200,24.061634
-1283.126498,200,24.120454
-13233.475224,200,24.179347
-5829.341171,200,24.238052
-6734.490098,200,24.863652
-3631.64246,200,24.920183
-1969.746481,200,24.976336
-5611.510449,200,25.032939
-3128.165319,200,25.090231
-6409.263753,200,25.148268
-2077.236618,200,25.20522
-5702.631742,200,25.262044
-2690.188661,200,25.320317
-8516.280398,200,25.377517
-1571.619548,200,25.960969
-3206.706126,200,26.019355
-4933.879212,200,26.076885
-11902.073995,200,26.134712
-8030.799397,200,26.192804
-21409.286686,200,26.251134
-7061.258302,200,26.30876
-5772.246701,200,26.366157
-13704.692713,200,26.42621
-6224.408687,200,26.48576
-12110.339628,200,27.081845
-4720.538478,200,27.140673
-2127.142214,200,27.199267
-3751.701143,200,27.257321
-3571.143806,200,27.316719
-3258.730315,200,27.375896
-4262.344503,200,27.433741
-2864.187796,200,27.493744
-3501.379462,200,27.551987
-8167.254709,200,27.611656
-7088.3108,200,28.249235
-4457.24744,200,28.306414
-6849.60551,200,28.363947
-6238.061883,200,28.421153
-5944.601584,200,28.47825
-4775.64943,200,28.535724
-2500.478451,200,28.592683
-4501.925741,200,28.649451
-18025.0304,200,28.706832
-3407.056711,200,28.763326
-4081.150892,200,28.820674
-7196.800884,200,29.555642
-8369.63765,200,29.6129
-2237.399518,200,29.670468
-21526.259444,200,29.734189
-2968.676262,200,29.791437
-7465.519131,200,29.847976
-13532.170066,200,29.90486
-2673.414468,200,29.961324
-2614.612969,200,30.018345
-4438.230032,200,30.075121
-5226.930413,200,30.725747
-2668.083803,200,30.783507
-12730.883741,200,30.840648
-10479.784031,200,30.897406
-9844.413076,200,30.954525
-7208.723648,200,31.01121
-16402.667098,200,31.068592
-11240.632999,200,31.126485
-13676.376845,200,31.183712
-6246.454478,200,31.241156
-14391.840638,200,31.883386
-20035.142444,200,31.943056
-3526.266269,200,32.00129
-10444.205728,200,32.060009
-2264.086159,200,32.119436
-2382.3741,200,32.178098
-9943.821617,200,32.2372
-6897.205677,200,32.296023
-3195.368855,200,32.355112
-7932.377675,200,32.413517
-10700.225758,200,33.074718
-15424.965097,200,33.133192
-12461.756187,200,33.190679
-16096.412296,200,33.248677
-4440.565736,200,33.307085
-7579.387957,200,33.364397
-10744.717626,200,33.422022
-10277.548207,200,33.48045
-23815.762098,200,33.539246
-4833.485802,200,33.597644
-11999.829533,200,34.161987
-7301.465244,200,34.220464
-4405.418197,200,34.279022
-7067.362539,200,34.336702
-16694.238331,200,34.395666
-5919.767536,200,34.453633
-4089.320778,200,34.512543
-14860.46993,200,34.571956
-20314.052922,200,34.63064
-9076.990624,200,34.689199
-2889.824272,200,34.747866
-10132.43028,200,35.423104
-4845.150519,200,35.48027
-4036.403623,200,35.537332
-2996.543502,200,35.593704
-14533.461325,200,35.651003
-5197.097335,200,35.708484
-12895.403618,200,35.764954
-10622.111159,200,35.821143
-6381.21746,200,35.878307
-12590.578587,200,35.934975
-6118.204552,200,36.503741
-5167.154081,200,36.562111
-18896.173193,200,36.620092
-4447.632269,200,36.67882
-4227.849676,200,36.737783
-11532.012202,200,36.796189
-5832.4088,200,36.854328
-6555.182764,200,36.91195
-2723.228059,200,36.969553
-6487.50761,200,37.029055
-18585.500287,200,37.676738
-3621.306295,200,37.73441
-3261.992785,200,37.791328
-8769.025111,200,37.848159
-2416.566491,200,37.905326
-9550.71981,200,37.962931
-4937.452164,200,38.021496
-8568.535429,200,38.080467
-1117.331072,200,38.139514
-12099.911799,200,38.19851
-6008.055422,200,38.77216
-12043.457624,200,38.829933
-8009.012191,200,38.887491
-8955.124885,200,38.944611
-9869.592919,200,39.0017
-8869.726908,200,39.058353
-12099.338436,200,39.115102
-6395.200741,200,39.172421
-6686.659722,200,39.229803
-13316.442979,200,39.286023
-3965.48559,200,39.344376
-5105.557862,200,39.956549
-4600.939185,200,40.01409
-6982.44821,200,40.071286
-4048.461839,200,40.128614
-15281.463822,200,40.187067
-6856.049997,200,40.24568
-10421.592998,200,40.304878
-2472.560501,200,40.363538
-1694.159156,200,40.421113
-10661.809712,200,40.478532
-10105.46398,200,41.094657
-8021.242472,200,41.152115
-17393.804197,200,41.210692
-6179.608728,200,41.268041
-16531.479979,200,41.325041
-7444.629568,200,41.382063
-13013.398159,200,41.441284
-12027.090594,200,41.499851
-7936.784863,200,41.558433
-5936.639342,200,41.616675
-4013.536352,200,42.215479
-3311.966927,200,42.272938
-7966.949479,200,42.329288
-8043.884431,200,42.385832
-2072.648257,200,42.442562
-15577.331684,200,42.498872
-6872.9578,200,42.556114
-3729.869658,200,42.613056
-6141.291012,200,42.669584
-7238.302116,200,42.726584
-5942.506395,200,43.335465
-2549.195125,200,43.392002
-7234.773101,200,43.448362
-2183.798771,200,43.50502
-6686.848479,200,43.561388
-13432.342167,200,43.618474
-4005.838786,200,43.675974
-23587.481422,200,43.73352
-3498.768828,200,43.790567
-15691.988182,200,43.847148
-13991.793722,200,43.902775
-4790.424185,200,44.477872
-10570.373803,200,44.533749
-10412.227939,200,44.590062
-4226.41316,200,44.646538
-13044.91201,200,44.703312
-11574.885168,200,44.760162
-16446.578968,200,44.818456
-2587.656949,200,44.877553
-8626.455782,200,44.939759
-1918.282193,200,44.99868
-10676.952436,200,45.693331
-11533.82535,200,45.750274
-4091.863479,200,45.80659
-7917.016313,200,45.863079
-3213.905597,200,45.918849
-7826.742306,200,45.97411
-3836.064528,200,46.030676
-6617.292101,200,46.087019
-6487.402692,200,46.142588
-3513.549174,200,46.199022
-3420.557259,200,46.760248
-5475.982431,200,46.816663
-3449.77377,200,46.872744
-5183.176871,200,46.928701
-5785.428412,200,46.984772
-6748.188763,200,47.041546
-12518.429309,200,47.097207
-4809.443833,200,47.152837
-3137.650689,200,47.208888
-2374.886198,200,47.265307
-1855.35147,200,47.873689
-2309.230997,200,47.930993
-3439.827986,200,47.987586
-5226.525206,200,48.044525
-2848.826829,200,48.101245
-3050.84953,200,48.157761
-3491.785465,200,48.215135
-8866.551832,200,48.271798
-2666.317562,200,48.3282
-3473.602963,200,48.38796
-2878.094597,200,48.448457
-2832.322045,200,48.999988
-2636.967254,200,49.057001
-3650.027955,200,49.113881
-5441.245687,200,49.170852
-3517.64514,200,49.227475
-5227.315647,200,49.284636
-5418.925189,200,49.34213
-11932.03815,200,49.400155
-4345.858844,200,49.458213
-7747.531272,200,49.520586
-13740.073925,200,50.180857
-10869.692759,200,50.238278
-2612.613621,200,50.298057
-3232.083868,200,50.356532
-10862.11417,200,50.414905
-4549.689194,200,50.472861
-3949.867659,200,50.530296
-1465.687824,200,50.588349
-11427.871557,200,50.646479
-6531.927998,200,50.707526
-5280.033065,200,51.378481
-4889.249146,200,51.43555
-9014.935461,200,51.491958
-5201.87745,200,51.549688
-7520.730437,200,51.607863
-5696.712422,200,51.666021
-3821.759582,200,51.723363
-7138.349645,200,51.78012
-6499.03175,200,51.83653
-1218.925324,200,51.89465
-9063.521828,200,52.444007
