#{"t_start": 1723042040.147383, "env_id": "None"}
r,l,t
-12584.27704,200,0.111538
-9369.998248,200,0.219521
-5999.447002,200,0.330686
-16234.808758,200,0.440377
-4394.170473,200,0.55249
-8284.538871,200,0.662622
-5297.721506,200,0.77487
-27839.632575,200,0.883777
-10381.521367,200,0.991787
-9663.136355,200,1.103979
-6527.278123,200,1.214652
-3389.346334,200,1.323738
-8473.149633,200,1.436273
-21214.469142,200,1.556496
-4523.051621,200,1.673125
-8643.870743,200,1.781032
-3884.705043,200,1.887116
-2974.559868,200,2.004317
-2972.021676,200,2.120544
-7058.436998,200,2.229118
-8344.68396,200,2.336965
-6840.015083,200,2.44392
-8381.25388,200,2.555565
-4926.444645,200,2.6653
-10280.845911,200,2.776563
-4862.533269,200,2.887387
-7542.817996,200,3.000594
-18723.860454,200,3.110395
-23921.722477,200,3.218965
-5804.309689,200,3.331618
-1666.434261,200,3.446517
-2263.265238,200,3.557104
-1166.746854,200,3.668523
-6782.813171,200,3.783349
-15692.013142,200,3.889471
-21295.420707,200,4.001456
-1189.839886,200,4.131414
-12562.440025,200,4.245182
-5838.888193,200,4.355519
-13622.746517,200,4.46412
-12999.55237,200,4.574691
-6317.713263,200,4.685003
-8372.991546,200,4.796263
-15440.797656,200,4.907411
-10789.157921,200,5.016002
-5012.078454,200,5.126206
-8108.724752,200,5.234587
-6144.494029,200,5.349704
-4721.263885,200,5.467655
-3961.997403,200,5.583932
-3978.120529,200,5.689971
-20164.483439,200,5.808191
-16434.774679,200,5.934624
-2441.50371,200,6.057821
-5707.717245,200,6.176306
-1884.357717,200,6.297832
-2977.056327,200,6.411204
-2600.566279,200,6.525532
-2981.251178,200,6.64251
-10563.352923,200,6.766501
-15199.477157,200,6.884585
-23282.149403,200,7.002957
-7893.70818,200,7.118789
-4969.284792,200,7.251644
-32303.962412,200,7.373479
-13073.249011,200,7.49469
-16419.50177,200,7.609529
-2729.109363,200,7.727348
-1397.754345,200,7.853055
-7512.745855,200,7.968099
-6691.852391,200,8.086509
140.628628,200,8.221676
-5179.732704,200,8.338825
-6243.437036,200,8.458467
-1048.4929,200,8.577317
-7274.805565,200,8.686902
-17774.526655,200,8.802616
-18533.889134,200,8.92058
-15011.500923,200,9.034537
-12475.668835,200,9.147369
-3002.681312,200,9.269665
-8087.274737,200,9.386139
-3826.542611,200,9.503487
-4241.873961,200,9.654639
-7771.001395,200,9.768639
-1372.958718,200,9.878739
-11103.736828,200,9.989279
-8722.039744,200,10.101819
-15900.830923,200,10.263265
-6386.297124,200,10.381152
-21014.680001,200,10.541616
-2024.544239,200,10.786803
-8292.113113,200,10.966302
-13921.290981,200,11.147723
-7583.507201,200,11.26972
-11926.83543,200,11.40015
-2942.033434,200,11.519232
-8307.560653,200,11.636136
-4078.918267,200,11.749573
-18513.769295,200,11.874239
-20938.828341,200,11.996048
-12265.205514,200,12.131299
-18064.67533,200,12.25295
-12805.720882,200,12.366039
-7171.972824,200,12.477657
-4153.410297,200,12.592248
-2203.56554,200,12.702964
-7464.03761,200,12.833574
-1481.755851,200,12.962299
-7221.020057,200,13.092706
-1420.362593,200,13.206935
-3049.357306,200,13.31944
-2017.793643,200,13.433871
-10386.729774,200,13.548749
-18126.724326,200,13.660287
-1774.860961,200,13.780845
-15140.134924,200,13.895831
