#{"t_start": 1723050868.1913128, "env_id": "None"}
r,l,t
-12962.135634,200,0.112761
-10340.969743,200,0.221396
-8745.366899,200,0.337528
-17942.186775,200,0.447984
-6203.523479,200,0.55632
-9803.684485,200,0.668397
-5860.947706,200,0.77876
-25779.066949,200,0.887845
-13311.512484,200,0.999023
-7842.847141,200,1.111245
-7358.186911,200,1.230063
-5572.76787,200,1.348433
-9115.471618,200,1.458427
-20749.791007,200,1.615965
-4658.07236,200,1.725713
-7657.863801,200,1.850945
-4777.900226,200,1.961767
-3086.871416,200,2.076732
-5247.3583,200,2.214936
-8827.619498,200,2.326406
-9128.539709,200,2.435796
-8069.126041,200,2.547078
-8405.346552,200,2.65434
-6587.893965,200,2.764757
-15075.01233,200,2.876649
-4977.849658,200,2.989038
-8114.640146,200,3.097928
-17780.348996,200,3.203676
-24464.900363,200,3.314976
-7063.157423,200,3.428781
-5620.46332,200,3.537153
-6540.929086,200,3.646776
-2793.86169,200,3.760323
-7639.674155,200,3.871702
-16994.790547,200,3.984962
-22586.134864,200,4.097583
-4446.578233,200,4.207689
-15878.184346,200,4.317468
-7103.959523,200,4.432569
-14854.656608,200,4.545268
-16349.467353,200,4.654275
-7767.62557,200,4.763399
-12019.627065,200,4.871136
-16258.803041,200,4.984044
-12855.71316,200,5.093695
-5166.803475,200,5.205154
-10466.956887,200,5.315418
-11476.829937,200,5.425646
-7173.653429,200,5.535053
-7165.145377,200,5.642409
-4357.936486,200,5.751565
-18119.706895,200,5.860673
-18925.30328,200,5.975184
-3936.008978,200,6.081656
-5158.218602,200,6.190163
-4084.926055,200,6.302859
-3906.506567,200,6.415728
-5636.170992,200,6.527342
-4999.670614,200,6.64706
-13869.634744,200,6.751078
-14612.953318,200,6.85455
-24333.135211,200,6.966707
-5760.4031,200,7.078221
-7088.096614,200,7.194243
-32697.555313,200,7.313191
-14833.101827,200,7.424122
-18033.445087,200,7.532485
-5837.39904,200,7.638765
-6252.902328,200,7.744865
-8043.904137,200,7.848571
-12382.113538,200,7.956573
-3097.298377,200,8.06065
-7974.672456,200,8.166704
-8324.746754,200,8.270886
-2279.655945,200,8.39789
-4775.001309,200,8.5128
-18320.290195,200,8.624282
-21603.673923,200,8.734095
-16982.929101,200,8.843326
-16581.602352,200,8.951889
-2460.486111,200,9.061379
-8537.764669,200,9.169046
-5439.448805,200,9.278617
-5783.393939,200,9.3873
-14088.868362,200,9.49509
-5290.83533,200,9.601157
-10244.31557,200,9.710623
-11377.137231,200,9.818349
-24277.278401,200,9.934012
-9457.113814,200,10.047367
-26054.725494,200,10.162313
-4944.77509,200,10.270779
-11138.490484,200,10.381787
-11980.879409,200,10.491196
-6340.462653,200,10.6003
-10557.493372,200,10.707487
-8292.363337,200,10.816505
-5784.225398,200,10.923553
-7562.250465,200,11.034702
-13727.09971,200,11.141243
-17552.395386,200,11.253681
-9567.057144,200,11.362365
-17426.801988,200,11.477627
-12575.239808,200,11.587366
-12858.018701,200,11.695308
-11685.73515,200,11.803092
-5824.129854,200,11.909662
-16506.126955,200,12.0205
-5003.337586,200,12.128547
-1718.061209,200,12.236552
-2706.566086,200,12.345959
-4398.506362,200,12.456946
-10004.323312,200,12.565407
-5505.164893,200,12.674398
-16246.559525,200,12.784937
-3938.278405,200,12.896343
-21849.368495,200,13.005708
-1835.45018,200,13.115734
-19904.215938,200,13.226391
-5024.043466,200,13.339596
-11719.330974,200,13.456339
-14501.703747,200,13.569827
-10002.788158,200,13.683588
-6454.1687,200,13.792793
-5345.591675,200,13.903333
-12913.653923,200,14.012936
-5995.140207,200,14.12301
-10636.119321,200,14.232788
-14945.775765,200,14.341071
-6096.887007,200,14.451744
-6592.108258,200,14.562703
-12274.637397,200,14.672782
-3299.639362,200,14.781936
-9738.176011,200,14.892722
-29711.764446,200,15.001346
-29638.681191,200,15.124202
-26565.079412,200,15.236957
-25467.39604,200,15.343261
-8894.977988,200,15.454449
-11103.826457,200,15.564526
-1931.98115,200,15.672404
-5664.378811,200,15.781826
-30242.868412,200,15.893582
-8326.758295,200,16.00424
-9182.956453,200,16.11517
-4031.080789,200,16.226251
-8694.170518,200,16.336399
-5221.058775,200,16.447655
-16867.343768,200,16.556792
-17418.628309,200,16.665349
-7336.789908,200,16.778452
-6571.35559,200,16.887408
-5730.990527,200,16.998609
-12447.21686,200,17.123918
-5203.418921,200,17.233985
-11880.852465,200,17.340857
-19152.817579,200,17.449181
-9804.778086,200,17.563867
-10422.482726,200,17.670118
-13270.837797,200,17.801193
-7134.912183,200,17.914543
-12147.099208,200,18.02845
-4164.618674,200,18.137916
-28110.27486,200,18.248443
-22571.240988,200,18.372366
-10474.239824,200,18.49226
-11607.055633,200,18.599606
-17369.993961,200,18.707034
-13183.064578,200,18.815457
-33345.654502,200,18.920734
-6575.398232,200,19.035846
-11944.711444,200,19.149265
-11665.514076,200,19.259454
-20898.156072,200,19.367876
-2070.416763,200,19.477611
-20286.078648,200,19.584767
-9799.477352,200,19.694886
-13503.837281,200,19.809829
-30700.704971,200,19.917456
-9210.89804,200,20.026419
-8589.399616,200,20.145848
-2825.017384,200,20.253959
-12769.692258,200,20.363462
-8846.096807,200,20.511947
-16441.514806,200,20.629745
-6682.460369,200,20.740044
-4919.583219,200,20.902983
-8464.577435,200,21.018398
-8698.105901,200,21.126547
-6393.285652,200,21.234402
-4009.505671,200,21.345906
-17740.502788,200,21.455737
-12738.539888,200,21.565697
-7213.914146,200,21.675183
-5923.960136,200,21.785819
-17655.50745,200,21.898657
-18886.841776,200,22.009903
-12637.813504,200,22.120813
-13495.14359,200,22.229776
-14831.367315,200,22.337482
-15092.111608,200,22.449751
-2217.464157,200,22.560096
-5684.502662,200,22.673549
-15354.895697,200,22.782142
-16989.306129,200,22.891441
-7496.334539,200,22.999465
