#{"t_start": 1723051064.9888482, "env_id": "None"}
r,l,t
-10133.120828,200,0.039102
-7130.233556,200,0.086643
-5046.382027,200,0.134119
-15136.576006,200,0.180991
-5688.81538,200,0.23016
-9999.378668,200,0.280168
-6037.767374,200,0.328097
-22653.4754,200,0.376572
-9506.032097,200,0.425001
-5402.525939,200,0.474507
-5088.900145,200,0.523828
-2950.784774,200,0.571728
-6978.822106,200,0.626454
-18707.210505,200,0.676379
-4906.027983,200,0.727871
-7179.142942,200,0.778982
-4847.40149,200,0.832294
-1667.827019,200,0.88251
-3092.408061,200,0.934747
-6510.300455,200,0.98611
-4022.929967,200,1.037919
-5826.010449,200,1.089462
-6115.79224,200,1.140729
-4519.710788,200,1.19816
-8465.710722,200,1.252241
-2799.996159,200,1.304996
-6063.200556,200,1.358654
-15057.570902,200,1.412415
-21484.532525,200,1.466458
-8377.696678,200,1.52009
-17.285791,200,1.57342
-8105.261526,200,1.626765
163.987844,200,1.681074
-2644.08095,200,1.736414
-14880.147266,200,1.795833
-18372.198772,200,1.852404
286.604575,200,1.91167
-10854.425773,200,1.968276
-5066.155009,200,2.02534
-10505.984936,200,2.082012
-7115.508869,200,2.140245
-4483.247851,200,2.199747
-11412.574432,200,2.262426
-15381.220054,200,2.330093
-13825.85645,200,2.403746
-3899.388155,200,2.494538
-6661.321033,200,2.660836
-4237.212545,200,2.737459
-3531.749651,200,2.83724
-2615.865896,200,2.9107
-4263.445288,200,2.983129
-20045.119942,200,3.060002
-15191.056768,200,3.138822
-2075.138043,200,3.206154
-9854.681709,200,3.272749
-262.115605,200,3.344642
-1500.701567,200,3.424582
-2143.986823,200,3.493557
-804.79091,200,3.577803
-12425.030215,200,3.76463
-15999.450481,200,3.83593
-23927.821455,200,3.909391
-12116.86148,200,3.979534
682.886578,200,4.054913
-32764.764699,200,4.134914
-12545.710503,200,4.212117
-8840.214966,200,4.285977
-4377.952121,200,4.361831
-851.196018,200,4.43772
-7835.76431,200,4.514519
-177.223941,200,4.581044
1263.201698,200,4.65801
-3136.575759,200,4.736215
-7776.436599,200,4.816386
-976.47651,200,4.887249
-4020.266874,200,4.96671
-15110.216031,200,5.044543
-20910.415841,200,5.116877
-13315.057039,200,5.200272
-12139.123627,200,5.295238
-1433.906426,200,5.407266
-10145.854836,200,5.520939
-1963.464656,200,5.609418
-4072.005569,200,5.677289
