#{"t_start": 1723045713.171828, "env_id": "None"}
r,l,t
-9539.380514,200,0.053287
-7091.565333,200,0.11198
-6532.231007,200,0.169032
-16633.256806,200,0.224902
-5627.503404,200,0.282894
-7707.292742,200,0.340457
-6497.785052,200,0.401858
-25567.590834,200,0.459562
-11249.889964,200,0.520863
-6454.155138,200,0.581112
-5391.228502,200,0.64059
-2819.648425,200,0.701557
-7586.076154,200,0.762178
-20523.853611,200,0.821993
-7653.542659,200,0.886196
-7774.611602,200,0.947985
-3856.425481,200,1.011612
-4414.499395,200,1.072542
-3863.922528,200,1.13445
-6685.65202,200,1.253021
-7328.742982,200,1.326544
-7198.885688,200,1.390539
-9136.823099,200,1.452856
-6155.352304,200,1.516127
-9371.837469,200,1.581722
-4371.702164,200,1.645768
-4506.667934,200,1.710038
-14871.968041,200,1.776175
-21992.076489,200,1.842456
-7236.297142,200,1.921409
-3109.074973,200,1.991459
-5712.413127,200,2.058032
-1293.681737,200,2.131815
-2671.737005,200,2.249066
-14011.998649,200,2.314793
-16479.358428,200,2.455237
-1743.905197,200,2.526023
-14886.848999,200,2.592916
-6337.580739,200,2.66334
-17660.813848,200,2.731026
-14069.305401,200,2.799761
-4367.726471,200,2.874281
-12073.400148,200,409.309163
-14628.877895,200,409.418344
-12004.426565,200,409.510886
-5187.221935,200,409.588512
-8911.535072,200,409.662211
-11312.447189,200,409.767227
-9018.972611,200,409.840581
-5136.161453,200,409.911165
-4212.340474,200,409.983897
-19494.989648,200,410.055442
-14985.866082,200,410.130287
-3144.759156,200,410.203027
-7077.974364,200,410.279897
-1566.577952,200,410.358072
-2272.759321,200,410.431306
-2297.787653,200,410.501789
-3729.853595,200,410.576751
-12726.011793,200,410.647146
-11451.796384,200,410.719224
-19869.890706,200,410.800045
-7986.188476,200,410.869856
-2770.489559,200,410.943937
-24049.611069,200,411.01629
-12326.760759,200,411.08823
-14052.700299,200,411.158355
-2416.019511,200,411.229501
-1318.668602,200,411.301178
-6607.515282,200,411.37282
-2487.02646,200,411.445412
9.273249,200,411.513618
-6521.178295,200,411.583754
-2611.736403,200,411.653396
-1585.426046,200,411.724086
-6062.242533,200,411.808843
-16461.349439,200,411.896417
-21964.007048,200,411.970792
-13392.823111,200,412.043321
-15234.94046,200,412.113097
-2233.641326,200,412.184136
-6105.29868,200,412.25425
-3293.168429,200,412.324771
-4742.419937,200,412.394164
-8876.079361,200,412.469145
-1482.69633,200,412.542584
-9433.668559,200,412.615467
-6599.363357,200,412.684553
-17273.211802,200,412.767674
-6807.071803,200,412.838753
-23367.170888,200,412.910003
-3231.617748,200,412.980258
-8781.519963,200,413.05107
-7543.442032,200,413.123849
-4502.129556,200,413.193932
-7614.838605,200,413.267595
-4330.23241,200,413.337712
-6439.410567,200,413.409736
-4508.495116,200,413.479952
-11573.179453,200,413.552249
-14327.649866,200,413.625242
-11982.390829,200,413.694604
-20300.466796,200,413.765201
-12224.555668,200,413.834594
-8111.126873,200,413.906573
-4429.290255,200,413.977507
-1362.610817,200,414.046652
-14072.965216,200,414.120205
-1627.17538,200,414.192809
-6670.960163,200,414.262628
-293.104102,200,414.336166
-2412.606573,200,414.405734
-3189.658945,200,414.476456
-2483.300341,200,414.548815
-14065.813241,200,414.619766
-1821.031589,200,414.69742
-19562.245462,200,414.773778
-939.513218,200,414.845365
-19495.680376,200,414.928887
338.413862,200,415.005675
-8631.798289,200,415.07571
-10583.95561,200,415.148078
-3701.080687,200,415.252802
-3007.200374,200,415.333998
-4051.913097,200,415.45221
-11394.0356,200,415.523128
-3015.730714,200,415.593935
-6904.526175,200,415.665882
-11347.546824,200,415.73752
-4522.929281,200,415.810287
-5308.273143,200,415.878722
-7027.169806,200,415.949418
-2147.373478,200,416.019561
-7628.298498,200,416.093779
-24647.618922,200,416.163664
-26030.927167,200,416.232861
-28341.942255,200,416.303502
-20499.363289,200,416.372508
-4722.333832,200,416.443988
-7590.54626,200,416.551543
278.368382,200,532.834464
-4571.382349,200,532.934196
-25662.552647,200,533.024788
-5218.722927,200,533.103392
-6824.109324,200,533.180033
-1046.219863,200,533.290708
-11610.118178,200,533.378726
-726.663152,200,533.450792
-9661.984477,200,533.523056
-7702.120883,200,533.60195
-5148.663137,200,533.710436
-5397.87744,200,533.782028
-5076.108417,200,533.859006
-10782.980908,200,533.930706
-5269.893981,200,534.00607
-3343.646624,200,534.081586
-19955.757662,200,534.153104
-9818.02165,200,534.245224
-11386.229132,200,534.318444
-15655.944729,200,534.390615
-8482.84528,200,534.463331
-831.064492,200,534.540168
-8499.512239,200,534.61103
-23110.868429,200,534.680939
-15064.335175,200,534.76941
-14108.243028,200,534.840835
-5630.167173,200,534.921259
-10028.086118,200,535.0227
-15673.839656,200,535.092995
-29422.420727,200,535.165738
-4623.32994,200,535.243036
-12554.875189,200,535.318658
-8827.516742,200,535.387245
-17495.526132,200,535.46221
-2525.313722,200,535.532037
-13650.875906,200,535.603789
-7728.320064,200,535.676147
-13083.950221,200,535.747944
-26024.402692,200,535.817129
-2169.021834,200,535.88642
-5715.525048,200,535.956993
-1625.361988,200,536.057419
-8763.714956,200,536.126203
-9484.557907,200,536.237292
-8438.000671,200,536.348156
-7290.160571,200,536.417956
-3766.524608,200,536.487101
-4869.812429,200,536.555725
-3554.094217,200,536.625928
-1093.019,200,536.695211
-528.706423,200,536.766849
-6660.28397,200,536.836422
-9059.614348,200,536.906995
-5147.326318,200,536.977137
129.655995,200,537.046898
-11790.786473,200,537.117176
-15500.02643,200,537.189756
-7546.86219,200,537.261753
-10881.334975,200,537.331161
-18968.485524,200,537.402177
-17213.660517,200,537.472048
-626.087326,200,537.54153
-6828.267913,200,537.611114
-9067.134636,200,537.681812
-19524.680959,200,537.751835
-3893.691103,200,537.821216
-3567.988429,200,537.890202
-43.163323,200,537.959892
-13929.161792,200,538.02954
-3168.521862,200,538.10077
-750.136184,200,538.170372
-14706.762621,200,538.241364
-17793.255744,200,538.311306
-9307.642769,200,538.38114
-5525.347102,200,538.452519
-8617.727585,200,538.523318
-828.618183,200,538.593503
-4964.682653,200,538.665367
-3150.562232,200,538.736698
-1736.152809,200,538.81464
-8008.441813,200,538.887895
-2777.793873,200,538.958435
-14859.400031,200,539.03105
-12525.921296,200,539.101069
-7818.281177,200,539.176163
-3793.608112,200,539.249219
-6471.270563,200,539.318946
-3523.323414,200,539.389194
-21338.640985,200,539.459485
-1663.265574,200,539.528716
-10925.725104,200,539.600497
-1938.119401,200,539.679512
-2753.577518,200,539.760451
-9196.253028,200,539.831521
-23452.311734,200,539.902468
-6116.197301,200,539.971922
-9226.19419,200,540.041967
-8939.1552,200,540.10978
-6092.431585,200,540.181789
-6758.392828,200,540.252919
-4621.14502,200,540.322308
-16267.486366,200,540.391071
-3427.925467,200,540.461475
-8635.424351,200,540.531869
-3135.870194,200,540.604895
-2731.108987,200,540.673656
-8562.010048,200,540.746116
-11311.435606,200,540.819724
-5362.231104,200,540.890124
-28057.694349,200,540.963207
-9773.685774,200,541.032787
-25947.772796,200,541.102364
-3458.416947,200,541.177068
-18195.072506,200,541.247275
-4499.966572,200,541.317806
-1566.837834,200,541.389124
