#{"t_start": 1723051941.849104, "env_id": "None"}
r,l,t
-7255.766355,200,0.052085
-5633.186613,200,0.096512
-8023.555364,200,0.140625
-18719.575858,200,0.184979
-6996.919568,200,0.228293
-6283.149781,200,0.272712
-13014.891966,200,0.315254
-10441.353549,200,0.357369
-9853.161244,200,0.399548
-8660.75653,200,0.441637
-10058.522675,200,0.877804
-4954.473909,200,0.950318
-11328.412071,200,1.005663
-21879.277268,200,1.065019
-10089.684539,200,1.110194
-7019.118782,200,1.160545
-4057.366686,200,1.204217
-3999.641958,200,1.248005
-6421.937386,200,1.292031
-6398.148823,200,1.336257
-8143.057491,200,1.779285
-6608.289202,200,1.823877
-12772.533447,200,1.868999
-2754.358018,200,1.915542
-15603.823615,200,1.963903
-8553.318817,200,2.007011
-3110.767248,200,2.050095
-14091.323823,200,2.092939
-15056.435403,200,2.13552
-5069.896241,200,2.177332
-2257.678011,200,2.658116
-13586.257355,200,2.703905
-9913.325722,200,2.747727
-3121.894171,200,2.791297
-17495.476897,200,2.834752
-9221.024505,200,2.876672
-11924.259049,200,2.918198
-13727.900008,200,2.959771
-6960.030835,200,3.001588
-15580.970692,200,3.043308
-6241.581089,200,3.489945
-5840.02562,200,3.538808
-9006.168967,200,3.607259
-12848.660892,200,3.652082
-13616.862365,200,3.701205
-4528.595137,200,3.754201
-9494.295683,200,3.816746
-15095.416638,200,3.860916
-8614.562306,200,3.903512
-8411.875045,200,3.945551
-4661.18483,200,3.988062
-21413.090206,200,4.463105
-4216.338058,200,4.507631
-2846.941612,200,4.552385
-11194.145378,200,4.596507
-5956.99923,200,4.639788
-5083.950262,200,4.681743
-5579.198032,200,4.723726
-4607.337556,200,4.765724
-16300.580246,200,4.816277
-14408.863674,200,4.859056
-20056.227464,200,5.33393
-14618.345656,200,5.378355
-4425.058686,200,5.422714
-27722.826762,200,5.468024
-7016.612903,200,5.511647
-10949.638822,200,5.554662
-3070.584521,200,5.597003
-5183.771073,200,5.638876
-5782.158367,200,5.682451
-6294.99438,200,5.726029
-2790.9307,200,6.203171
-6480.837687,200,6.247219
-9308.532903,200,6.290565
-5292.531833,200,6.334627
-2963.930322,200,6.378262
-15756.868726,200,6.420154
-22521.973983,200,6.461654
-13868.135291,200,6.503055
-14393.600783,200,6.544392
-6761.896218,200,6.585772
-3145.582048,200,7.070813
-9314.233954,200,7.114952
-4500.610127,200,7.158823
-18008.933814,200,7.20263
-7435.1871,200,7.246362
-8320.580883,200,7.289067
-10300.864594,200,7.330969
-18615.535426,200,7.372924
-8959.851374,200,7.414862
-26579.889334,200,7.456785
-2336.788251,200,7.49885
-13492.956055,200,7.956785
-11836.562222,200,8.000034
-3964.658179,200,8.043144
-9380.71125,200,8.086329
-11038.716904,200,8.129025
-2667.095698,200,8.170279
-7188.405778,200,8.211642
-6014.192809,200,8.252934
-15336.233045,200,8.294286
-8570.916262,200,8.335599
-11009.254287,200,8.744996
-7372.264017,200,8.790012
-15517.381528,200,8.83494
-11110.232931,200,8.879812
-2706.656636,200,8.92388
-13841.540262,200,8.965805
-2167.134244,200,9.007623
-7201.232873,200,9.049321
-1734.303016,200,9.09112
-6173.665087,200,9.132831
-2391.931517,200,9.538667
-3638.345395,200,9.583032
-9388.567156,200,9.628489
-2265.856292,200,9.673959
-10301.373623,200,9.718887
-1197.377785,200,9.761315
-13974.426543,200,9.803457
-5285.617333,200,9.845534
-12131.200972,200,9.887662
-9429.984099,200,9.929821
-4182.101912,200,10.363346
-2213.326018,200,10.408835
-5949.099653,200,10.452076
-10743.29275,200,10.495203
-5322.894409,200,10.538326
-11241.244961,200,10.580403
-5956.407406,200,10.621636
-5518.414209,200,10.662899
-6701.98918,200,10.704153
-7954.183737,200,10.745321
-5365.252096,200,10.786737
-7176.582347,200,11.213563
-30827.679437,200,11.25749
-24126.427058,200,11.301338
-23606.496123,200,11.346036
-22701.648503,200,11.389264
-4658.60109,200,11.431356
-6395.998239,200,11.473357
-8903.402611,200,11.515237
-3952.720501,200,11.557115
-12402.45862,200,11.598925
-3079.829695,200,12.024919
-7002.56288,200,12.069295
-1729.235872,200,12.136731
-9174.630767,200,12.199888
-2612.28292,200,12.25463
-11292.893411,200,12.296574
-19127.534928,200,12.338687
-5497.738069,200,12.382408
-4685.139507,200,12.429514
-5391.520505,200,12.47227
-10745.329369,200,12.942044
-13262.554503,200,12.985462
-7821.606805,200,13.038398
-19334.725085,200,13.081682
-8645.218684,200,13.124818
-6199.882683,200,13.166317
-9463.340095,200,13.208394
-5684.527133,200,13.251087
-7836.184294,200,13.293316
-3246.811519,200,13.337623
-18634.936474,200,13.764707
-15550.381466,200,13.809435
-5749.430104,200,13.852956
-8749.216114,200,13.89646
-12386.433942,200,13.939956
-15378.881858,200,13.982134
-32217.749882,200,14.023684
-4994.955675,200,14.065173
-10887.473293,200,14.106552
-8982.654392,200,14.148115
-14258.154047,200,14.190518
-2513.911687,200,14.604343
-19999.166073,200,14.648574
-7572.934624,200,14.692708
-16552.756083,200,14.736828
-30283.935388,200,14.780113
-8336.341951,200,14.822357
-5455.024228,200,14.86456
-2754.122282,200,14.906782
-14789.793536,200,14.948964
-10515.809487,200,14.991048
-14541.661232,200,15.404483
-6386.997366,200,15.449429
-7026.110906,200,15.494183
-9255.222673,200,15.539171
-3498.664535,200,15.585645
-2786.321429,200,15.627535
-2768.940182,200,15.669651
-12990.012207,200,15.71255
-14611.701346,200,15.754849
-10106.844771,200,15.796771
-5561.512656,200,16.2123
-17406.489604,200,16.259462
-19098.008602,200,16.303734
-8882.455114,200,16.347868
-9117.941335,200,16.391912
-16487.640308,200,16.43507
-15231.249946,200,16.477162
-1586.866985,200,16.519349
-6868.246552,200,16.561835
-10239.366159,200,16.603813
-18010.812674,200,17.043752
-5475.944011,200,17.088404
-4956.996633,200,17.133042
-3120.44119,200,17.177685
-13147.690849,200,17.222357
-8587.064234,200,17.265484
-2165.190363,200,17.30806
-14337.655214,200,17.350754
-10554.498336,200,17.393441
-5562.012721,200,17.436044
-2956.329949,200,17.479496
-8117.267638,200,17.894795
-1226.94038,200,17.938702
-3543.418054,200,17.982308
-3451.923421,200,18.026408
-6636.650475,200,18.070875
-8534.830504,200,18.114225
-6264.11307,200,18.157235
-20544.522493,200,18.200395
-16156.637898,200,18.243658
-14888.541499,200,18.286884
-3608.1533,200,18.706483
-5916.07668,200,18.750845
-15745.428707,200,18.795167
-19514.093145,200,18.839296
-1859.87194,200,18.88292
-15557.964837,200,18.925258
-2543.302711,200,18.978233
-4079.232274,200,19.026543
-8813.108566,200,19.068455
-24312.784372,200,19.110088
-8334.091356,200,19.552674
-3417.061462,200,19.598282
-7270.968959,200,19.641808
-7687.839242,200,19.686139
-9851.998278,200,19.730172
-4516.278503,200,19.772392
-13466.396743,200,19.816386
-3853.965988,200,19.85895
-9526.020854,200,19.903162
-4973.993555,200,19.945507
-1489.427065,200,20.408157
-15789.951822,200,20.453755
-11303.139619,200,20.497514
-8685.725006,200,20.54122
-25872.40514,200,20.584631
-14002.389174,200,20.633574
-19301.852168,200,20.694789
-4679.860463,200,20.746424
-22480.221461,200,20.816916
-3371.026821,200,20.868295
-4346.429614,200,20.91158
-12149.038956,200,21.387388
-4204.602956,200,21.430972
-6217.95315,200,21.474648
-2936.677967,200,21.518226
-13862.63651,200,21.563054
-2367.256324,200,21.606714
-10028.942557,200,21.650442
-19543.567367,200,21.693115
-8594.719475,200,21.747493
-6898.52317,200,21.790176
-13947.644656,200,22.214752
-5685.613326,200,22.25887
-14058.858348,200,22.303077
-9231.286722,200,22.347328
-13969.247025,200,22.391908
-19748.149079,200,22.436414
-5737.71369,200,22.482431
-3271.986721,200,22.524822
-4939.079606,200,22.584049
-3943.244853,200,22.627045
-17643.638997,200,23.096784
-5216.32651,200,23.141412
-17235.183082,200,23.186103
-7479.133687,200,23.230638
-3469.777623,200,23.274851
-9376.117596,200,23.317345
-18380.514436,200,23.359884
-17978.445078,200,23.402367
-3123.985315,200,23.445525
-5277.856197,200,23.488359
-9159.870859,200,23.972691
-7180.528913,200,24.016313
-26589.211213,200,24.060877
-10907.77557,200,24.103308
-5022.992619,200,24.14574
-8004.73476,200,24.194059
-28271.285219,200,24.236804
-25398.546381,200,24.278459
-8690.791131,200,24.3201
-16023.421086,200,24.361691
-2024.57128,200,24.817162
-7059.60464,200,24.862204
-10692.873585,200,24.906962
-2031.138507,200,24.951815
-14217.816563,200,24.995641
-2438.524153,200,25.038501
-4285.692557,200,25.080509
-3597.81455,200,25.122612
-20809.444155,200,25.164793
-9355.84236,200,25.20672
-14931.677609,200,25.250299
-12008.687503,200,25.713773
-15356.402507,200,25.757279
-7496.418736,200,25.80066
-3478.088056,200,25.843868
-11913.79341,200,25.886713
-2233.726135,200,25.928178
-8495.658954,200,25.969665
-5447.597557,200,26.01117
-5926.022318,200,26.05322
-1287.863488,200,26.097555
-17615.797422,200,26.525317
-14199.818761,200,26.569216
-6228.747584,200,26.628705
-6742.373851,200,26.674473
-16287.275221,200,26.717678
-16033.875784,200,26.760157
-2995.80422,200,26.80177
-13384.738226,200,26.84317
-6152.076749,200,26.884448
-3844.110453,200,26.926061
-4621.618074,200,27.386144
-16650.804566,200,27.430664
-1255.055404,200,27.474947
-12286.673174,200,27.518667
-9826.657294,200,27.562175
-6696.589747,200,27.604184
-2070.968573,200,27.645864
-18809.470569,200,27.687533
-6181.253741,200,27.729238
-6556.676893,200,27.770922
-1696.562624,200,28.243945
-5567.16956,200,28.287969
-20160.566272,200,28.331657
-14190.923084,200,28.375362
-3914.529563,200,28.419074
-8215.955235,200,28.461779
-10606.618619,200,28.503593
-11220.822193,200,28.545433
-5124.303505,200,28.588671
-6616.113888,200,28.630835
-2140.19868,200,28.673522
-2887.305506,200,29.115655
-14194.925698,200,29.159628
-10837.451724,200,29.203344
-12972.016102,200,29.247032
-5612.061191,200,29.290311
-5766.320763,200,29.332194
-8683.459188,200,29.374097
-4134.565321,200,29.415884
-6106.519077,200,29.457737
-12218.388601,200,29.499522
-12916.37155,200,29.994283
-4295.359418,200,30.038174
-4967.854148,200,30.081949
-17114.332541,200,30.125748
-10745.541568,200,30.169321
-11661.508133,200,30.211293
-8266.452625,200,30.253129
-7052.938534,200,30.295102
-9929.183556,200,30.336978
-6237.075444,200,30.378934
-9459.481052,200,30.821569
-4759.653419,200,30.866053
-3391.968041,200,30.910119
-15888.437307,200,30.955683
-7053.676518,200,31.000902
-11506.75573,200,31.044313
-5305.655854,200,31.087659
-9294.879244,200,31.137629
-16016.819227,200,31.181033
-18304.727746,200,31.22433
-9201.925431,200,31.645616
-2874.492641,200,31.689932
-4734.766497,200,31.739751
-1548.851851,200,31.785949
-13089.288955,200,31.831447
-13485.567947,200,31.875391
-5667.324541,200,31.920652
-2200.348328,200,31.964942
-9132.545003,200,32.007829
-8526.705365,200,32.050221
-6365.380978,200,32.092677
-8291.476137,200,32.843635
-12917.956421,200,32.890531
-10688.554895,200,32.971471
-8930.669428,200,33.015086
-2157.157356,200,33.070177
-2540.858089,200,33.155896
-6972.543116,200,33.224919
-4546.46826,200,33.27402
-4361.558504,200,33.323549
-8105.821836,200,33.369996
-3210.629754,200,33.850318
-20563.967955,200,33.894368
-8245.005441,200,33.940224
-11999.653672,200,33.98431
-3034.999687,200,34.028005
-28402.403588,200,34.070024
-22367.762496,200,34.111878
-3819.950624,200,34.153845
-6935.041302,200,34.196011
-3562.808186,200,34.23795
-16268.315973,200,34.672225
-7567.900331,200,34.716955
-11404.300352,200,34.761465
-8390.803087,200,34.805928
-11654.666263,200,34.850386
-1952.68605,200,34.896287
-2605.761535,200,34.947058
-4710.238634,200,35.006268
-11949.183309,200,35.101743
-17093.840274,200,35.179432
-13402.888153,200,36.132498
-15180.575907,200,36.187228
-4077.856704,200,36.241452
-9753.566371,200,36.300897
-12910.907822,200,36.345227
-6220.215397,200,36.414258
-3805.745241,200,36.485456
-7931.554633,200,36.551566
-5412.487569,200,36.616643
-8477.593751,200,36.68286
-7581.137485,200,36.742769
-12021.063822,200,37.419943
-9441.206078,200,37.47309
-565.930193,200,37.530067
-7309.333165,200,37.581077
-8823.977278,200,37.645104
-9076.942649,200,37.706217
-19356.353672,200,37.764224
-5550.381018,200,37.829152
-3950.561341,200,37.88988
-5873.659683,200,37.9611
-3776.80077,200,38.608091
-3471.500261,200,38.652076
-4963.391271,200,38.695826
-7298.815219,200,38.739859
-4092.5726,200,38.783355
-12032.277766,200,38.825394
-6045.846386,200,38.867307
-8105.462873,200,38.915144
-5556.219612,200,38.978259
-5441.337123,200,39.029795
