#{"t_start": 1723051226.4865448, "env_id": "None"}
r,l,t
-2600.085329,200,0.048771
-1443.943049,200,0.09293
-1690.572692,200,0.137547
-3984.385596,200,0.182454
-3581.857556,200,0.225441
-2560.075251,200,0.267613
-1595.07958,200,0.309709
-2986.806628,200,0.351792
-6143.010539,200,0.394644
-11296.879196,200,0.437698
-5990.879116,200,0.883205
-1415.397913,200,0.927945
-3810.95381,200,0.972241
-1520.123662,200,1.016353
-5558.680331,200,1.059953
-3133.20002,200,1.102231
-4290.779354,200,1.144738
-3728.781678,200,1.245093
-1431.120242,200,1.293399
-2681.932173,200,1.339041
-3049.065999,200,1.789205
-12401.136784,200,1.833604
-3037.088332,200,1.87818
-6325.295971,200,1.924616
-5338.255914,200,1.968777
-1824.426928,200,2.011318
-4067.086756,200,2.053638
-3076.233844,200,2.095843
-16884.879107,200,2.138319
-4632.969566,200,2.180552
-1605.597148,200,2.71814
-7710.687271,200,2.762595
-9110.63682,200,2.809558
-8922.702725,200,2.85875
-1923.347468,200,2.905555
-8181.923867,200,2.951229
-3243.28982,200,2.999556
-6911.337893,200,3.048441
-4813.945505,200,3.095869
-3887.801572,200,3.142269
-2172.823275,200,3.59116
-3400.008584,200,3.63573
-3846.771073,200,3.680021
-2928.070372,200,3.724227
-2651.775672,200,3.768437
-2058.083044,200,3.811673
-2942.478706,200,3.854055
-2141.403431,200,3.896266
-4993.141341,200,3.938817
-4981.459802,200,3.981184
-3841.233331,200,4.023537
-9444.564633,200,4.584884
-13384.476572,200,4.628891
-3883.588344,200,4.673045
-8025.410809,200,4.718073
-2948.923933,200,4.762681
-934.449023,200,4.805438
-2604.072827,200,4.848593
-1912.300665,200,4.891364
-3684.623464,200,4.93369
-2738.247894,200,4.975907
-2132.108819,200,5.448165
-5052.035479,200,5.492757
-2861.688032,200,5.537816
-1311.915837,200,5.582629
-1259.203764,200,5.627363
-1932.980969,200,5.67003
-3715.723231,200,5.712713
-3707.518528,200,5.755205
-2506.255547,200,5.797556
-5041.331532,200,5.839788
-3188.775178,200,6.316559
-8728.907142,200,6.362424
-6165.375791,200,6.407571
-2581.699895,200,6.451788
-10884.846454,200,6.49617
-9253.334638,200,6.539577
-4856.802174,200,6.582581
-6405.366483,200,6.625562
-1427.298787,200,6.668786
-3116.197556,200,6.711796
-3009.171988,200,7.151199
-11938.107955,200,7.195532
-4004.133845,200,7.240502
-6793.206988,200,7.284931
-4272.329667,200,7.329401
-3452.506422,200,7.373243
-4129.263946,200,7.417149
-5203.351178,200,7.459924
-8553.23425,200,7.503069
-17998.362461,200,7.546266
-2686.759862,200,7.588871
-5972.325048,200,8.026752
-1617.393757,200,8.071476
-3021.575627,200,8.116455
-5665.81176,200,8.161056
-2732.067421,200,8.205196
-1543.402163,200,8.248194
-3654.020629,200,8.290896
-1480.512782,200,8.33355
-6610.568623,200,8.377521
-5421.046238,200,8.42143
-1954.390358,200,8.854719
-4476.154893,200,8.899834
-4580.350961,200,8.944234
-3310.216646,200,8.9896
-2682.104363,200,9.035244
-7263.966547,200,9.078614
-3298.761567,200,9.121623
-5264.397752,200,9.16447
-13217.814014,200,9.2075
-3203.937376,200,9.250355
-3413.734005,200,9.697336
-6196.802366,200,9.741677
-3508.94611,200,9.785793
-2243.551936,200,9.829876
-4969.508451,200,9.874009
-1266.993956,200,9.916407
-2769.539851,200,9.958573
-5919.480231,200,10.00077
-904.090323,200,10.042905
-8278.701842,200,10.085082
-1699.307298,200,10.55932
-1534.75966,200,10.603464
-1649.39275,200,10.64761
-686.997241,200,10.691493
-4344.736149,200,10.735424
-6673.661499,200,10.778203
-6291.458716,200,10.820235
-8654.200141,200,10.862173
-9220.796735,200,10.904124
-3735.613993,200,10.946128
-5366.463554,200,10.98806
-2483.471744,200,11.447356
-11535.385221,200,11.491614
-3258.95785,200,11.535675
-4912.567866,200,11.579709
-1408.868802,200,11.623017
-3326.217795,200,11.665151
-3412.952747,200,11.707151
-4599.180089,200,11.749308
-8312.263462,200,11.791466
-4012.920587,200,11.83352
-5014.856833,200,12.250601
-2227.599859,200,12.29476
-7931.809329,200,12.338806
-6329.629993,200,12.382812
-5973.600829,200,12.426439
-2988.559696,200,12.473458
-1536.810778,200,12.516833
-4080.557505,200,12.560181
-5355.168306,200,12.602685
-1735.986036,200,12.644801
-3934.010574,200,13.063051
-7939.455186,200,13.106959
-4981.69009,200,13.150786
-7186.898943,200,13.194646
-1789.250278,200,13.2385
-1566.265575,200,13.280626
-1685.176752,200,13.322556
-2471.357254,200,13.364435
-3379.127494,200,13.406361
-8999.701243,200,13.448193
-2950.59386,200,13.899192
-7516.624579,200,13.94401
-6778.806829,200,13.988302
-2273.138602,200,14.032466
-6034.071408,200,14.076524
-1582.728616,200,14.119319
-3317.685273,200,14.161573
-4716.27638,200,14.203835
-8625.827034,200,14.24598
-10735.405706,200,14.288123
-2770.466582,200,14.330321
-2791.395798,200,14.757727
-2736.56472,200,14.802453
-2707.336616,200,14.847771
-7826.371426,200,14.892086
-13525.324309,200,14.935345
-4452.516475,200,14.977733
-780.290317,200,15.019928
-1173.871073,200,15.062128
-5680.1993,200,15.104338
-3872.664766,200,15.146618
-4259.23341,200,15.580451
-1688.254741,200,15.625111
-6078.454253,200,15.669163
-2163.835796,200,15.713121
-3169.357195,200,15.756681
-2997.068183,200,15.798847
-5830.218377,200,15.840955
-2468.593673,200,15.883202
-2427.661638,200,15.926086
-2356.103511,200,15.968869
-2667.987543,200,16.45253
-1255.573345,200,16.497492
-4357.17801,200,16.542543
-5495.04684,200,16.588534
-2782.126234,200,16.636729
-11639.588658,200,16.684377
-2399.13819,200,16.727298
-2416.871746,200,16.769795
-2560.973749,200,16.812155
-4079.156008,200,16.854587
-2651.666211,200,17.302196
-2124.397499,200,17.346694
-2441.248875,200,17.390863
-2744.670745,200,17.435205
-11268.222304,200,17.479406
-1229.251468,200,17.522367
-2005.116309,200,17.566604
-7136.253174,200,17.610328
-1732.314233,200,17.653333
-5214.63507,200,17.696047
-2620.100791,200,17.738781
-8716.029025,200,18.206783
-7773.659497,200,18.250443
-2123.45949,200,18.293441
-4407.524667,200,18.336067
-1382.785192,200,18.378783
-3386.161972,200,18.421109
-1975.455658,200,18.463479
-9736.29037,200,18.505992
-2217.997505,200,18.55172
-2092.045319,200,18.596598
-4556.174818,200,19.153738
-2614.647183,200,19.198448
-4739.130754,200,19.24255
-6197.640064,200,19.286401
-1634.372938,200,19.329852
-9935.046024,200,19.371961
-1946.578821,200,19.414062
-4210.143077,200,19.456382
-14776.448983,200,19.498778
-10075.87763,200,19.541135
-7939.613643,200,19.992152
-1829.141703,200,20.036524
-3640.390015,200,20.084073
-4423.715623,200,20.129644
-1600.127889,200,20.173824
-2968.882861,200,20.216293
-2215.558496,200,20.25854
-3200.204759,200,20.300683
-8744.912305,200,20.342939
-4239.826756,200,20.385216
-7867.311256,200,20.861641
-1609.439251,200,20.905943
-10103.036165,200,20.94987
-6885.714708,200,20.994223
-5244.409871,200,21.038646
-10066.427224,200,21.081683
-3900.675846,200,21.124125
-1733.523741,200,21.166588
-10554.528357,200,21.209112
-2008.235929,200,21.251469
-1828.5785,200,21.293949
-1235.772435,200,21.79587
-1378.558569,200,21.840696
-2310.190699,200,21.885142
-3285.763575,200,21.929361
