#{"t_start": 1723151156.770734, "env_id": "None"}
r,l,t
-5585.876891,200,0.036037
-4823.733565,200,0.082108
-3936.800553,200,0.127893
-5456.249293,200,0.174081
-4187.515178,200,0.220673
-4660.415384,200,0.266248
-2921.223543,200,0.315261
-4349.719063,200,0.362
-5286.716007,200,0.409955
-3620.860449,200,0.456599
-6265.487339,200,0.505014
-6926.412165,200,0.551859
-2882.610674,200,0.600644
-1339.055115,200,0.647699
-3758.989501,200,0.696561
-3733.342663,200,0.743831
-6444.961175,200,0.793107
-2323.963163,200,0.842564
-4170.081467,200,0.890793
-3754.565815,200,0.939477
-6183.731094,200,0.99123
-6578.864033,200,1.041029
-3670.673651,200,1.091552
-5940.017921,200,1.141767
-5236.859903,200,1.19398
-4626.295373,200,1.257631
-3212.670199,200,1.31206
-7236.394147,200,1.365627
-9381.048922,200,1.418525
-1954.709654,200,1.468623
-2218.541421,200,1.520634
-13853.406275,200,1.571864
-6649.192679,200,1.624184
-3271.59362,200,1.675661
-2356.326988,200,1.730084
-1736.471045,200,1.783945
-6792.15716,200,1.83725
-4350.149979,200,1.888928
-4366.183341,200,1.94305
-7087.31014,200,1.996423
-4020.618908,200,2.051035
-3900.906187,200,2.109549
-2492.831819,200,2.163295
-4249.960858,200,2.217091
-4846.160207,200,2.271745
-2483.921439,200,2.326026
-2469.072171,200,2.380219
-3438.948612,200,2.435497
-2889.960839,200,2.489685
-1424.463918,200,2.545904
-7738.528389,200,2.603257
-5455.075449,200,2.663538
-9723.443351,200,2.720765
-11484.310289,200,2.778972
-5271.452375,200,2.836423
-6437.667378,200,2.893127
-8271.368278,200,2.94877
-4861.797901,200,3.003677
-6924.548421,200,3.060295
-8771.926301,200,3.115351
-2953.707731,200,3.170944
-6522.280227,200,3.226238
-14747.139886,200,3.289274
-3262.92778,200,3.344887
-10747.193845,200,3.400296
-5164.293759,200,3.456567
-11864.340357,200,3.510959
-3447.806937,200,3.566987
-4698.147378,200,3.623009
-7472.803926,200,3.677938
-8275.882572,200,3.73282
-7453.755026,200,3.788008
-7048.684735,200,3.843116
-5399.318517,200,3.898072
-2837.477242,200,3.953866
-1763.584329,200,4.008777
-4633.396633,200,4.064834
-10914.047277,200,4.120641
-6225.229768,200,4.186855
-2719.788737,200,4.243319
-3222.268651,200,4.298763
-2297.236772,200,4.354455
-7210.759059,200,4.411561
-8340.993634,200,4.468271
-10635.103632,200,4.524591
-2308.454573,200,4.579964
-1260.078172,200,4.637683
-9301.14093,200,4.692561
-1368.106996,200,4.748975
-3515.541576,200,4.803938
-8546.433896,200,4.861103
-7603.954274,200,4.917296
-1853.677703,200,4.974679
-3668.792563,200,5.029594
-4355.858729,200,5.085654
-2734.562145,200,5.140824
-11699.210207,200,5.198412
-1921.878738,200,5.254223
-3489.702773,200,5.310266
-911.185286,200,5.366098
-2273.237383,200,5.421948
-4683.426632,200,5.489314
-3157.160705,200,5.548552
-1540.470494,200,5.607867
-7497.823513,200,5.667552
-3157.61395,200,5.724966
-6565.262835,200,5.782593
-2655.141604,200,5.840097
-4355.937048,200,5.897096
-5356.925104,200,5.954131
-10033.615993,200,6.012352
-8728.02457,200,6.072098
-5625.858357,200,6.130337
-4928.019973,200,6.187389
-3407.048725,200,6.244862
-2491.166121,200,6.302326
-10790.167597,200,6.358916
-1534.101326,200,6.413907
-5313.986128,200,6.472839
-9134.222538,200,6.527685
-1378.060526,200,6.583576
-3579.398157,200,6.638617
-7175.549327,200,6.696863
-5832.179948,200,6.753492
-6695.256708,200,6.809479
-2120.196026,200,6.865135
-2616.071195,200,6.920102
-4322.594329,200,6.975624
-6606.627687,200,7.030887
-7380.464655,200,7.08852
-1791.806676,200,7.144799
-4826.205111,200,7.201494
-12392.101855,200,7.257231
-2481.972443,200,7.313125
-17623.446231,200,7.369116
-3745.983652,200,7.424068
-2630.375403,200,7.480058
-1376.346188,200,7.536041
-4366.772186,200,7.592258
-6009.752619,200,7.650497
-8568.746081,200,7.711132
-2621.832513,200,7.770401
-4975.153507,200,7.828613
-7949.432966,200,7.885296
-2751.044856,200,7.94202
-2338.43815,200,7.996631
-2837.911169,200,8.05365
-4500.205254,200,8.110378
-5632.789156,200,8.168525
-2360.01795,200,8.222846
-1902.587525,200,8.282621
-1764.9674,200,8.338615
-1567.113958,200,8.393865
-1882.505334,200,8.449026
-7426.405987,200,8.504095
-7503.471281,200,8.561395
-4879.146988,200,8.618982
-2937.385262,200,8.673193
-5170.062858,200,8.729498
-2463.021562,200,8.78524
-7457.898967,200,8.841282
-2714.783274,200,8.898244
-3276.156679,200,8.954233
-1882.04536,200,9.009742
-3745.18217,200,9.065581
-7897.190193,200,9.123629
-7005.952396,200,9.180044
-3785.859194,200,9.23469
-5209.818755,200,9.290902
-2215.03035,200,9.352541
-2187.792553,200,9.413778
-2127.226339,200,9.468545
-4493.293218,200,9.524584
-4125.500585,200,9.581224
-2777.691274,200,9.636644
-6828.556962,200,9.69299
-2195.681495,200,9.748457
-1859.151735,200,9.804933
-13016.661803,200,9.859592
-2288.91937,200,9.914594
-2414.118514,200,9.970178
-4223.566152,200,10.026011
-2870.381818,200,10.080933
-2940.836214,200,10.13794
-10269.531127,200,10.195128
-7467.901984,200,10.249496
-10940.010887,200,10.304658
-1294.54971,200,10.36103
-7465.053728,200,10.417436
-7606.91752,200,10.473785
-2241.909867,200,10.533133
-3328.64377,200,10.588836
-2862.750408,200,10.646523
-2257.435737,200,10.701814
-1644.095429,200,10.758711
-2865.078257,200,10.814778
-1662.219465,200,10.872221
-1906.444398,200,10.931593
-7195.317697,200,10.987267
-6641.651503,200,11.044513
-2826.783482,200,11.101524
-3213.182884,200,11.156484
-5785.725863,200,11.210543
-1688.461896,200,11.265641
-6778.284999,200,11.32075
-4844.104872,200,11.3759
-3388.899673,200,11.431559
-1795.896018,200,11.486712
-10811.812593,200,11.544648
-4680.526824,200,11.59976
-1488.903613,200,11.655813
-1278.505014,200,11.712685
-2059.321437,200,11.768762
-1795.93686,200,11.824299
-3358.03421,200,11.881993
-2299.479567,200,11.939206
-2517.37674,200,11.995484
-2172.220325,200,12.050413
-2314.047281,200,12.105795
-4377.243622,200,12.161351
-1403.159384,200,12.218313
-3141.334164,200,12.272554
-4928.290603,200,12.328033
-3592.502908,200,12.382974
-2938.836049,200,12.43864
-1320.359952,200,12.49691
-2425.629108,200,12.55367
-4053.630035,200,12.609927
-2409.328869,200,12.667496
-9129.759039,200,12.725616
-6271.022767,200,12.783413
-3511.076619,200,12.840046
-1900.90282,200,12.895757
-2358.26299,200,12.952169
-12003.323046,200,13.00775
-1927.167617,200,13.063858
-8765.222403,200,13.121329
-2621.353309,200,13.177327
-4882.774006,200,13.233551
-1788.619895,200,13.291935
-3594.609341,200,13.349219
-2492.304766,200,13.40381
-3019.236989,200,13.459133
-3750.261882,200,13.515585
-2401.38398,200,13.572049
-3611.288484,200,13.627723
-1772.113226,200,13.683198
-5970.708266,200,13.737495
-6803.489903,200,13.793846
-10779.54263,200,13.851732
-3317.244697,200,13.907907
-3700.810152,200,13.963116
-2570.73715,200,14.018648
-5288.130889,200,14.076454
-4606.661571,200,14.13249
-8824.332408,200,14.188925
-1940.873985,200,14.244673
-4178.849411,200,14.299096
-4781.011391,200,14.355949
-1643.562512,200,14.411538
-2022.185782,200,14.46798
-1422.436836,200,14.522606
-2463.353886,200,14.578292
-803.94724,200,14.634505
-1905.103145,200,14.690045
-1421.123697,200,14.747037
-2548.513842,200,14.8029
-2437.169667,200,14.859435
-6600.975971,200,14.915531
-2033.991008,200,14.972856
-2471.249237,200,15.029796
-8184.13118,200,15.087332
-2155.38324,200,15.143826
-5370.549856,200,15.199298
-2090.722559,200,15.254448
-5945.624946,200,15.309943
-9263.54723,200,15.365491
-11853.146037,200,15.420886
-1006.154409,200,15.478882
-4333.716454,200,15.53433
-4169.515261,200,15.59013
-3031.409036,200,15.645441
-3141.490981,200,15.700442
-4236.3637,200,15.755358
-3221.651618,200,15.811292
-6934.964107,200,15.867474
-2763.562389,200,15.924765
-2042.847035,200,15.981058
-13031.579709,200,16.039042
-4197.348358,200,16.095745
-1800.838104,200,16.150753
-3764.565038,200,16.207371
-2550.645371,200,16.263729
-10763.871538,200,16.322451
-5479.789764,200,16.377486
-2961.431028,200,16.433318
-2412.822203,200,16.489412
-2647.817708,200,16.546093
-1875.025756,200,16.604296
