#{"t_start": 1723151072.504386, "env_id": "None"}
r,l,t
-6484.041339,200,0.048525
-2466.030423,200,0.092879
-13866.421591,200,0.137751
-4229.969383,200,0.181997
-8652.317211,200,0.225251
-11340.456879,200,0.267625
-9235.624341,200,0.309867
-5316.814275,200,0.352167
-5671.993082,200,0.394538
-5437.229854,200,0.43695
-15237.396361,200,0.892894
-1615.61156,200,0.936657
-2373.764133,200,0.980177
-7856.90617,200,1.023658
-2254.900527,200,1.068699
-7487.647078,200,1.111313
-2343.027326,200,1.153589
-2714.863921,200,1.195815
-9081.242257,200,1.237943
-2654.67618,200,1.280187
-3579.194997,200,1.738316
-11315.023604,200,1.782581
-8277.162448,200,1.826653
-5316.868179,200,1.870831
-2231.987322,200,1.914873
-5768.890295,200,1.962131
-4844.674391,200,2.021602
-14550.808059,200,2.070266
-13041.673729,200,2.112852
-2651.180724,200,2.154924
-6492.287026,200,2.603234
-9218.566141,200,2.647061
-22087.0278,200,2.690594
-11480.569544,200,2.734077
-6750.709272,200,2.778253
-1508.381419,200,2.821085
-3677.940842,200,2.863103
-3255.598661,200,2.905077
-3146.265244,200,2.947041
-7851.428437,200,2.98896
-2817.324098,200,3.43195
-7464.254679,200,3.476028
-3004.363682,200,3.520507
-1744.555548,200,3.564023
-14909.871518,200,3.608745
-5303.572732,200,3.651479
-2017.168772,200,3.69338
-7842.046201,200,3.735223
-3293.505387,200,3.777034
-3252.59918,200,3.818782
-7213.236893,200,3.860435
-4847.230006,200,4.313012
-3446.841977,200,4.357093
-4246.331834,200,4.401065
-6467.133527,200,4.453126
-4128.858667,200,4.496525
-6494.901303,200,4.53872
-7078.523737,200,4.580917
-1072.45553,200,4.623423
-2611.830397,200,4.665343
-6228.329576,200,4.7073
-4824.849038,200,5.15278
-9844.899563,200,5.196894
-7795.319858,200,5.240858
-8219.823262,200,5.284751
-5033.709287,200,5.329176
-6813.862302,200,5.371553
-21405.183921,200,5.413591
-6805.640741,200,5.4556
-2948.914987,200,5.497703
-2047.738122,200,5.539628
-1955.814594,200,5.9753
-2869.208182,200,6.019275
-14013.205047,200,6.063872
-4638.744174,200,6.108104
-1681.908302,200,6.152201
-8760.546659,200,6.194602
-13070.364023,200,6.236827
-3382.552616,200,6.278868
-3592.093555,200,6.320955
-7037.290309,200,6.362981
-14721.158033,200,6.791675
-8070.279096,200,6.835782
-4496.003262,200,6.880347
-11107.906463,200,6.924355
-6060.514329,200,6.968452
-3131.226748,200,7.011109
-7025.415865,200,7.053085
-4941.785382,200,7.094877
-3623.504345,200,7.136861
-19780.397125,200,7.178846
-6127.269041,200,7.220902
-3488.130762,200,7.657149
-2882.457599,200,7.701026
-5502.088085,200,7.744724
-8250.051069,200,7.788446
-5382.891027,200,7.831601
-2040.000831,200,7.873346
-24571.580677,200,7.915206
-2884.957419,200,7.957016
-12357.679252,200,7.998927
