#{"t_start": 1723476573.107025, "env_id": "None"}
r,l,t
-7307.463309,200,0.116834
-3487.364949,200,0.223733
-4694.280834,200,0.331193
-3810.256132,200,0.438087
303.223007,200,0.543955
-4399.493811,200,0.651579
-5867.844481,200,0.759175
-2586.957726,200,0.866428
937.148634,200,0.972021
-1280.412653,200,1.077177
-891.512132,200,1.188816
132.474474,200,1.426292
-1085.004505,200,1.536841
-3894.864502,200,1.644876
1339.86888,200,1.751815
-2895.524129,200,1.910144
680.301852,200,2.017603
786.828052,200,2.125267
-473.108809,200,2.231008
-113.137119,200,2.335831
-608.813295,200,2.444316
460.716559,200,2.549937
736.594447,200,2.656709
-370.166822,200,2.764352
-1796.748717,200,2.870328
-1414.140027,200,2.977483
536.419929,200,3.083809
162.500595,200,3.191922
-2204.587416,200,3.298362
215.471201,200,3.405985
2168.958423,200,3.518596
392.893065,200,3.627705
1801.13462,200,3.73547
-1860.037167,200,3.841207
-3164.724648,200,3.948139
1260.330587,200,4.055239
878.635617,200,4.161525
-4223.541636,200,4.270651
-691.653276,200,4.378163
-4261.265868,200,4.483629
-2474.796935,200,4.590152
603.871688,200,4.695586
-2201.266866,200,4.803366
-2395.507962,200,4.908198
-1625.516275,200,5.015094
-2025.180542,200,5.12664
-3360.833974,200,5.23301
-1864.720181,200,5.33931
-2574.980077,200,5.444939
30.755171,200,5.55182
511.467602,200,5.658423
-3477.742889,200,5.763646
-1314.413855,200,5.870954
-8.159712,200,5.976959
-500.602978,200,6.081929
350.410522,200,6.188389
-895.137188,200,6.29294
-34.521629,200,6.407253
-156.772024,200,6.517561
-56.043886,200,6.623377
-1712.970828,200,6.731658
-718.607561,200,6.837773
-948.266296,200,6.9455
-222.315177,200,7.052424
-3912.544024,200,7.158584
-508.730616,200,7.267491
-2960.151866,200,7.375066
597.603633,200,7.482674
-59.052351,200,7.58991
402.947899,200,7.695299
-656.38378,200,7.801841
-252.633566,200,7.908358
487.608611,200,8.015562
1389.712791,200,8.12265
-102.974901,200,8.234531
