#{"t_start": 1723474961.804142, "env_id": "None"}
r,l,t
-103.878013,200,0.08842
-33.671714,200,0.174468
-517.0443,200,0.261634
48.751186,200,0.347265
-115.567251,200,0.432827
-283.434048,200,0.518965
166.720306,200,0.604261
410.648237,200,0.691623
652.490901,200,0.777483
1245.217225,200,0.864594
-733.961545,200,0.956495
101.381335,200,1.043765
248.678702,200,1.130648
281.121015,200,1.213214
-1640.896967,200,1.296831
563.729651,200,1.383972
-364.144141,200,1.47022
-669.484991,200,1.556269
224.65636,200,1.641594
-94.954792,200,1.726725
-156.907241,200,1.812148
1523.881682,200,1.897329
-567.078819,200,1.982486
986.588304,200,2.068229
-553.632392,200,2.152964
406.519311,200,2.243025
726.122749,200,2.329896
587.922392,200,2.417726
1945.56697,200,2.504878
797.709627,200,2.590798
187.902871,200,2.676373
-1782.118582,200,2.762862
887.408948,200,2.848125
-1551.298632,200,2.93185
94.513098,200,3.01638
1044.927644,200,3.104181
-1472.564018,200,3.193462
889.770939,200,3.28141
880.353968,200,3.367286
-998.590596,200,3.451384
-380.828382,200,3.53768
561.749627,200,3.624179
966.129678,200,3.711284
-182.377183,200,3.796958
12.413106,200,3.882471
388.029907,200,3.967989
720.196816,200,4.051119
608.818961,200,4.135083
649.114221,200,4.22139
-948.3796,200,4.308159
280.166405,200,4.394457
1282.796446,200,4.480169
1853.475478,200,4.566043
-516.039609,200,4.651896
1006.429477,200,4.73904
-447.299203,200,4.824775
58.339375,200,4.908554
-203.508852,200,4.992945
-223.187914,200,5.076596
-550.534001,200,5.166405
470.586928,200,5.251933
-259.8455,200,5.338002
920.571041,200,5.42395
154.157845,200,5.509642
-222.717597,200,5.596867
-558.894945,200,5.682297
-198.042824,200,5.767686
347.613271,200,5.85272
237.357313,200,5.938348
577.872383,200,6.023981
-992.059802,200,6.10948
-505.868182,200,6.195328
-1582.596505,200,6.280839
639.60826,200,6.364353
34.578582,200,6.448329
1062.042755,200,6.534334
1127.82093,200,6.6196
-950.044109,200,6.705622
748.69616,200,6.791658
-93.979478,200,6.880806
-475.060517,200,6.966304
-339.21118,200,7.051564
-2356.901059,200,7.136853
30.632149,200,7.226176
-1850.260663,200,7.311103
858.549439,200,7.396984
-99.232428,200,7.480204
454.359898,200,7.564298
-1013.92048,200,7.650406
-1914.010726,200,7.735423
-4179.666307,200,7.821081
39.293525,200,7.906583
-868.785744,200,7.99206
-130.889645,200,8.074941
-691.258146,200,8.160527
1165.545031,200,8.246716
510.046371,200,8.332908
-216.825963,200,8.419019
-189.253588,200,8.503981
39.503377,200,8.590734
954.376626,200,8.676881
1091.223198,200,8.762266
-462.675074,200,8.849559
676.288284,200,8.935202
1088.2974,200,9.020875
374.494717,200,9.106575
414.516209,200,9.192196
1095.789876,200,9.278235
-614.7994,200,9.363531
888.96595,200,9.452273
1718.506703,200,9.54057
380.314516,200,9.625825
-153.77597,200,9.712233
838.172601,200,9.798032
-261.928952,200,9.883148
-482.669408,200,9.969423
1107.010506,200,10.052524
15.299834,200,10.136719
-534.788926,200,10.222368
-1049.888754,200,10.308002
-289.630667,200,10.392592
-1922.944063,200,10.477593
546.968262,200,10.56353
-355.609047,200,10.648822
455.329105,200,10.734084
182.057349,200,10.820078
-806.71173,200,10.905323
-1290.981443,200,10.99104
-897.066593,200,11.076689
1366.831468,200,11.162155
830.163992,200,11.247977
-357.032064,200,11.333645
884.301012,200,11.42029
-833.791799,200,11.505665
1461.149916,200,11.591079
-293.640159,200,11.676683
-1120.338321,200,11.760278
283.491085,200,11.844242
-284.410618,200,11.932034
-394.518476,200,12.017697
394.314647,200,12.102785
1027.25244,200,12.190679
350.160108,200,12.277872
563.901482,200,12.362114
-271.127903,200,12.444648
-1528.949441,200,12.530869
1162.037186,200,12.618076
493.895199,200,12.702171
509.224527,200,12.787609
-89.766261,200,12.874005
-916.270476,200,12.96029
834.923307,200,13.04544
92.122332,200,13.132766
518.151893,200,13.21939
-1421.097478,200,13.304627
-919.562882,200,13.390073
752.153288,200,13.475753
-498.516444,200,13.561873
-439.499562,200,13.648387
-277.446732,200,13.733375
542.727769,200,13.820171
-121.271906,200,13.905326
833.34382,200,13.990867
-320.14633,200,14.07677
-1222.47453,200,14.16223
1180.854983,200,14.249547
26.537104,200,14.335233
-912.693186,200,14.420629
391.439515,200,14.504692
-327.741077,200,14.590117
856.821984,200,14.677264
1511.163019,200,14.76314
1366.482519,200,14.847476
170.466756,200,14.930727
46.073272,200,15.014205
-497.219839,200,15.102606
365.594802,200,15.187946
-1548.093765,200,15.274223
1231.132626,200,15.363015
-750.905942,200,15.448225
170.937013,200,15.535838
-883.930608,200,15.622175
-898.110189,200,15.708367
-810.902398,200,15.794488
1143.072349,200,15.880305
65.470572,200,15.966396
957.752972,200,16.050153
-153.940466,200,16.136043
-233.608799,200,16.221516
9.17596,200,16.30717
369.12243,200,16.392916
528.855312,200,16.478774
394.566026,200,16.564476
647.110434,200,16.650439
-381.750654,200,16.73664
344.87697,200,16.822152
676.93478,200,16.90618
-871.759282,200,16.990568
-310.837862,200,17.078297
-2299.774664,200,17.164326
-178.025916,200,17.250079
3.123847,200,17.335806
596.98015,200,17.423287
1001.980622,200,17.51019
37.638978,200,17.596479
-436.163188,200,17.682869
530.479352,200,17.769919
-321.915677,200,17.856151
-2434.426723,200,17.942126
473.752956,200,18.030095
367.472818,200,18.115925
1191.095982,200,18.203885
269.189727,200,18.29107
1017.403405,200,18.377702
217.428297,200,18.467182
-1398.046661,200,18.553318
1690.896199,200,18.638222
620.054652,200,18.723566
-685.743399,200,18.809198
-137.691491,200,18.894584
797.490016,200,18.980839
667.149469,200,19.067016
1268.46707,200,19.154272
-88.158799,200,19.240099
262.176221,200,19.327063
-407.106124,200,19.414473
912.65952,200,19.500623
920.297204,200,19.589088
653.572117,200,19.67488
47.599405,200,19.761106
1505.168705,200,19.844958
-157.841947,200,19.92962
-651.033309,200,20.014309
-3872.255312,200,20.10454
1263.332511,200,20.189895
-1364.14822,200,20.275468
-423.958611,200,20.361394
-646.849493,200,20.445983
72.927672,200,20.528992
203.361152,200,20.612016
378.79945,200,20.699779
-218.545244,200,20.785773
-434.853532,200,20.871303
1324.094408,200,20.954968
-776.401513,200,21.038538
-1440.865835,200,21.123818
-502.543373,200,21.209864
1927.899247,200,21.294621
896.716941,200,21.380689
731.264541,200,21.46623
1616.897289,200,21.551759
-1242.641424,200,21.63489
304.12361,200,21.722662
-2014.965979,200,21.807256
-173.105216,200,21.892183
108.42601,200,21.977859
-153.718264,200,22.063539
558.638976,200,22.14947
1194.409088,200,22.235087
-32.519307,200,22.320359
-769.495805,200,22.406471
1257.917883,200,22.492439
