#{"t_start": 1723475247.724163, "env_id": "None"}
r,l,t
-629.476692,200,0.041101
66.233447,200,0.091104
-1152.052404,200,0.140421
-1295.85332,200,0.188495
-980.035225,200,0.238309
-1564.856817,200,0.292135
586.064408,200,0.343709
-607.411173,200,0.393714
412.303017,200,0.44704
-1301.498431,200,0.496789
-1248.518887,200,0.545924
-27.539664,200,0.594459
-1893.287055,200,0.650644
421.74918,200,0.702191
-2291.524218,200,0.771459
-2239.170689,200,0.827176
52.982525,200,0.882673
434.210834,200,0.937481
283.3863,200,0.989621
834.335277,200,1.04093
-1640.655897,200,1.093517
979.635411,200,1.147635
-3132.135451,200,1.201458
849.328085,200,1.329679
-2593.785382,200,1.391034
1286.361947,200,1.446428
986.251292,200,1.504882
1535.761295,200,1.562743
1818.142055,200,1.617682
945.126536,200,1.672879
564.751549,200,1.732532
-1035.798121,200,1.793354
-408.238427,200,1.854723
-406.707702,200,1.930353
1860.727994,200,2.012727
1778.553826,200,2.071098
-642.68172,200,2.132918
-2450.740756,200,2.18844
164.379942,200,2.243403
2480.186993,200,2.303849
-1457.83746,200,2.360927
746.335218,200,2.418431
-1106.114212,200,2.476608
2964.792794,200,2.535267
2409.784139,200,2.591007
1028.286841,200,2.646705
735.264991,200,2.70425
-1529.272615,200,2.761327
-1110.331435,200,2.818766
-549.09747,200,2.874627
672.351838,200,2.933651
3467.719106,200,2.998408
2693.483835,200,3.058194
521.215259,200,3.119774
1339.613027,200,3.177962
271.830464,200,3.235457
992.648653,200,3.297223
-1591.127329,200,3.360727
-144.142323,200,3.418128
-2628.065044,200,3.474535
3137.678031,200,3.531126
2906.476331,200,3.586846
1233.288521,200,3.64261
-108.559405,200,3.698494
3973.146473,200,3.756963
2132.694053,200,3.814222
-2418.67758,200,3.872313
1571.911278,200,3.938722
-249.841642,200,4.004308
1675.582764,200,4.078142
-753.877916,200,4.143771
639.043987,200,4.208044
1211.476792,200,4.266577
1660.461718,200,4.323955
1451.394093,200,4.381426
1201.725553,200,4.43973
3104.110597,200,4.497715
-2887.096036,200,4.558823
1931.957058,200,4.620406
-1109.408449,200,4.678099
199.902877,200,4.735371
291.148226,200,4.794924
706.308917,200,4.857884
-338.673943,200,4.915906
-2627.363088,200,4.986397
-622.6899,200,5.042463
1846.028597,200,5.104947
2020.050148,200,5.181726
-1595.562051,200,5.240046
923.324197,200,5.298074
-4398.265746,200,5.365121
797.947606,200,5.422809
1933.512329,200,5.48697
2236.851369,200,5.545334
1068.632817,200,5.617681
2008.8504,200,5.684745
-1154.342671,200,5.760545
1569.332018,200,5.820751
-171.699646,200,5.88466
1971.795287,200,5.944221
2253.265162,200,6.011127
2324.335866,200,6.071459
2604.338068,200,6.135448
2214.660965,200,6.197065
-1385.732815,200,6.260008
-2273.968527,200,6.318575
694.733041,200,6.377749
-1372.512223,200,6.434806
1464.126995,200,6.493325
1543.418554,200,6.553498
194.634243,200,6.610724
666.242764,200,6.670086
812.602859,200,6.735953
1750.068215,200,6.793607
2122.101564,200,6.852772
84.471848,200,6.910762
-1616.965924,200,6.972823
1197.906369,200,7.031677
-1861.304007,200,7.089417
522.643312,200,7.149491
2008.997396,200,7.20746
3088.809035,200,7.2735
422.136622,200,7.333855
393.886722,200,7.392205
1809.802556,200,7.451369
2558.29016,200,7.511747
834.729848,200,7.574525
-617.129676,200,7.634785
-988.546429,200,7.694551
-121.696275,200,7.756657
1484.783667,200,7.817988
2856.360613,200,7.876579
1853.292993,200,7.937143
-678.521174,200,8.000823
3792.250203,200,8.058191
4219.990433,200,8.117177
-3762.067138,200,8.178291
-3825.712837,200,8.238363
1477.664707,200,8.30518
2234.250181,200,8.37315
21.566171,200,8.432075
2048.384864,200,8.492371
3442.093715,200,8.552593
1405.956206,200,8.612692
2037.384565,200,8.67396
805.597797,200,8.731813
1991.66081,200,8.791327
1146.185441,200,8.851911
-1070.843608,200,8.914507
-1816.18296,200,8.972282
2144.672773,200,9.033262
1287.257473,200,9.092694
1226.995788,200,9.153217
2621.052187,200,9.213624
2245.732628,200,9.272247
57.948599,200,9.33074
3214.369026,200,9.393677
2170.63022,200,9.454889
2303.426205,200,9.511401
2319.699585,200,9.569382
1949.9382,200,9.629663
-934.455063,200,9.686016
1385.130814,200,9.743684
