#{"t_start": 1723474888.468701, "env_id": "None"}
r,l,t
-246.234158,200,0.040852
-184.808572,200,0.089146
-633.295818,200,0.140399
-203.887061,200,0.191029
-794.324291,200,0.242298
-673.622189,200,0.289133
64.549738,200,0.335861
-187.156511,200,0.384426
-273.305993,200,0.437687
-849.847653,200,0.486281
-1017.875893,200,0.535176
-68.209509,200,0.585978
-381.81808,200,0.640857
59.716223,200,0.695151
-1716.73917,200,0.753273
50.592714,200,0.836229
-672.101557,200,0.886908
-1039.461195,200,0.938463
58.851421,200,0.990702
-544.973699,200,1.045741
-417.604405,200,1.09818
-146.485394,200,1.152624
-751.177877,200,1.211936
92.581908,200,1.266049
-965.782169,200,1.321021
279.374345,200,1.397928
263.726906,200,1.465192
187.092605,200,1.517897
206.030583,200,1.574826
216.455584,200,1.631162
51.258953,200,1.690691
-1960.015703,200,1.756052
317.738281,200,1.813561
-1777.957124,200,1.86971
-216.123573,200,1.927971
414.291192,200,1.986221
-649.18606,200,2.045527
360.369198,200,2.102473
518.15324,200,2.159921
-782.405327,200,2.21859
-431.664956,200,2.278319
299.25592,200,2.338529
592.724134,200,2.394717
-173.393864,200,2.453474
-101.708589,200,2.514552
133.477605,200,2.574327
395.20237,200,2.708627
573.595557,200,2.784933
475.727558,200,2.856585
-262.28537,200,2.929155
201.711879,200,3.004035
1055.325357,200,3.10026
1460.875461,200,3.168719
-474.820089,200,3.235397
1118.047382,200,3.310897
-428.874421,200,3.380658
-137.899468,200,3.444613
-609.812809,200,3.507659
-299.129198,200,3.567512
-534.702331,200,3.630053
339.247308,200,3.688262
-312.484478,200,3.745862
787.179724,200,3.80582
83.585277,200,3.866091
-38.382666,200,3.931188
-17.416074,200,3.993036
24.593446,200,4.054794
197.768048,200,4.117444
542.194419,200,4.178036
362.717523,200,4.249173
-944.809133,200,4.307624
-751.870776,200,4.365637
-1652.513476,200,4.442682
489.760364,200,4.502895
-128.633519,200,4.570477
941.0851,200,4.631044
987.537327,200,4.693495
-809.520189,200,4.760367
752.679482,200,4.842375
50.521285,200,4.904591
-507.955705,200,4.965946
-212.999563,200,5.029516
-1922.555853,200,5.09415
136.701108,200,5.155283
-1632.394918,200,5.219252
756.94076,200,5.293849
-69.531171,200,5.351349
254.484252,200,5.41611
-1232.193056,200,5.478829
-1763.654342,200,5.538305
-3805.858134,200,5.598557
81.80039,200,5.659719
-725.823158,200,5.721128
-355.434649,200,5.781259
-781.21211,200,5.83916
1016.275827,200,5.899027
331.494185,200,5.958605
-243.093467,200,6.027289
181.492316,200,6.088606
150.438977,200,6.147778
819.896936,200,6.214476
842.525541,200,6.276763
-643.328194,200,6.339764
702.437709,200,6.402227
893.514527,200,6.462884
217.60354,200,6.525148
367.735612,200,6.58642
1084.672675,200,6.646518
-506.390504,200,6.709759
741.865748,200,6.771803
1584.1459,200,6.830236
365.548829,200,6.8906
189.217457,200,6.948709
532.281452,200,7.010763
-89.843324,200,7.069654
-479.701694,200,7.131977
915.562331,200,7.195675
63.367655,200,7.257583
-595.373037,200,7.316805
-1203.942007,200,7.377459
-319.760496,200,7.439781
-1826.853169,200,7.501684
717.845326,200,7.563647
192.605549,200,7.62809
375.899377,200,7.692352
55.798074,200,7.753439
-769.119994,200,7.814175
-1265.10139,200,7.875954
-1327.085235,200,7.937295
1175.807492,200,7.996529
702.581093,200,8.057196
56.947606,200,8.115908
917.794795,200,8.178929
-715.719894,200,8.23788
1219.818682,200,8.299027
24.987454,200,8.357635
-1126.21545,200,8.430832
592.488762,200,8.486421
-58.682595,200,8.541362
-141.681779,200,8.597102
353.128128,200,8.656758
1136.788773,200,8.719988
364.231721,200,8.784987
470.637813,200,8.845969
-160.788404,200,8.904062
-1559.82573,200,8.964955
994.707762,200,9.027562
519.770234,200,9.086863
278.126491,200,9.143608
111.537882,200,9.20679
-782.729008,200,9.280687
663.048656,200,9.357614
-127.169386,200,9.426631
496.334701,200,9.486685
-1373.851562,200,9.545126
-690.593593,200,9.603342
941.450055,200,9.663308
-512.114118,200,9.725462
-329.567102,200,9.790727
-34.508733,200,9.853612
337.295013,200,9.917557
-232.214354,200,9.976216
816.579402,200,10.036115
-183.138,200,10.097131
-1210.846824,200,10.156244
934.003408,200,10.226864
-10.988444,200,10.29653
-776.25714,200,10.363308
386.442247,200,10.423288
-575.72361,200,10.483696
1044.906509,200,10.545278
1240.55715,200,10.60778
1222.720736,200,10.669863
116.151549,200,10.731753
325.148725,200,10.798417
-313.399652,200,10.862911
359.247466,200,10.930614
-1312.759891,200,10.990396
1116.281529,200,11.051226
-802.165969,200,11.110137
0.045256,200,11.168723
-981.744588,200,11.230738
-646.846976,200,11.292387
-527.763465,200,11.360138
985.085725,200,11.434022
472.822778,200,11.494538
974.499829,200,11.552801
-192.399157,200,11.610133
-226.019825,200,11.671625
70.368036,200,11.733037
249.549077,200,11.794918
565.562529,200,11.85624
270.978307,200,11.920996
677.19327,200,11.982228
-381.801348,200,12.044666
193.973227,200,12.107222
435.307492,200,12.167889
-877.208261,200,12.229261
77.75801,200,12.292389
-1760.765027,200,12.352323
-17.873455,200,12.411913
-101.307629,200,12.480534
774.814329,200,12.542792
772.13231,200,12.603231
-2.978307,200,12.665344
-445.925873,200,12.728697
458.192258,200,12.794034
-136.519547,200,12.858639
-2198.105259,200,12.930618
303.225192,200,13.014572
89.259063,200,13.074111
1129.588792,200,13.135984
272.612753,200,13.196284
884.072797,200,13.257055
74.691308,200,13.315901
-1459.368012,200,13.37711
1544.08962,200,13.434554
556.810137,200,13.493446
-611.565353,200,13.555519
210.928159,200,13.61875
565.238609,200,13.678199
528.283207,200,13.736344
876.105751,200,13.796611
-2.783779,200,13.857049
163.415939,200,13.914882
-101.975526,200,13.999083
780.911034,200,14.082041
774.262144,200,14.149572
