#{"t_start": 1723585277.690798, "env_id": "None"}
r,l,t
-1494.001619,200,0.046658
-1679.046811,200,0.085846
-1549.055555,200,0.125075
-1506.28518,200,0.165246
-480.134622,200,0.204671
-6308.855176,200,0.242757
-1305.054364,200,0.280275
-695.865162,200,0.318149
-280.911758,200,0.355645
-717.377423,200,0.393058
-3565.572812,200,0.766754
-292.51684,200,0.80691
-663.116904,200,0.846407
-119.760357,200,0.88635
-1035.286233,200,0.926106
-1548.183443,200,0.965251
-1062.737598,200,1.003807
-1172.418903,200,1.041391
-959.825834,200,1.079703
-984.83252,200,1.118697
-529.24948,200,1.549114
-1083.859625,200,1.589084
-1043.152912,200,1.628999
-615.552273,200,1.668326
-1613.091149,200,1.708022
-1746.234716,200,1.74709
-245.672662,200,1.785098
-2891.827091,200,1.823108
-980.179949,200,1.860365
-283.830622,200,1.897748
-1031.938481,200,2.277443
-1792.276416,200,2.319046
-2609.608137,200,2.3588
-8016.087075,200,2.398356
-4160.538576,200,2.437567
-2026.872102,200,2.476404
-322.302481,200,2.514572
-2448.349166,200,2.552062
-1097.052252,200,2.589403
-4945.167904,200,2.626853
-731.840881,200,2.996476
-382.383806,200,3.036855
-927.792629,200,3.076842
-94.245574,200,3.116289
-641.740139,200,3.155734
-2937.776977,200,3.195315
-5725.302667,200,3.233494
-533.823323,200,3.27129
-2767.736024,200,3.309715
-8.264105,200,3.347672
-861.783247,200,3.38576
-806.031294,200,3.750127
-1104.123656,200,3.790952
-399.56679,200,3.831595
-677.696264,200,3.87128
-1020.141258,200,3.910997
-2307.892991,200,3.949412
-623.654248,200,3.987746
-39.43467,200,4.025392
-601.617253,200,4.062864
-1122.562503,200,4.100395
-450.095349,200,4.469577
-1571.847491,200,4.509645
-662.649311,200,4.549075
-485.069218,200,4.588858
-515.274938,200,4.629047
-230.859507,200,4.667782
-2664.049263,200,4.705021
-778.114805,200,4.742848
-163.358329,200,4.780301
-517.877555,200,4.818092
-434.944275,200,5.189223
-302.718569,200,5.23007
-247.11984,200,5.270089
-2275.428636,200,5.309805
-1109.137921,200,5.349335
-4643.756486,200,5.388286
-3868.025993,200,5.426138
-834.199313,200,5.463645
-2578.595108,200,5.501095
-1165.274204,200,5.622294
-3997.34909,200,6.019588
75.273513,200,6.059779
65.93646,200,6.099584
-3637.619437,200,6.139165
-885.47652,200,6.179113
-489.0185,200,6.218323
-320.763225,200,6.256431
-2270.377413,200,6.294779
-5162.905813,200,6.332962
-8629.78536,200,6.371538
-1861.441746,200,6.40918
-122.034204,200,6.907633
20.564147,200,6.948033
-611.846621,200,6.987314
-674.658905,200,7.026779
-2026.514461,200,7.066837
-699.44235,200,7.105113
-238.335555,200,7.228205
-680.055931,200,7.269214
-746.346448,200,7.308278
-443.138092,200,7.345809
215.872228,200,7.712691
-410.219848,200,7.752604
-2228.658424,200,7.792236
-580.947146,200,7.832126
-5842.229746,200,7.871221
-960.770041,200,7.909637
-5482.570037,200,7.947558
-88.330315,200,7.985294
-1258.020253,200,8.022798
-508.560895,200,8.060495
171.490339,200,8.421383
-248.540291,200,8.461904
-170.870027,200,8.501626
281.612057,200,8.541314
-1850.626597,200,8.582346
155.873981,200,8.621408
-679.708736,200,8.658922
144.33591,200,8.696609
-2387.055265,200,8.734626
-4436.467415,200,8.772686
-4297.186352,200,9.140586
-424.317285,200,9.180929
-1206.818727,200,9.220285
-2063.753495,200,9.259166
-1105.215404,200,9.299224
-1928.891817,200,9.338647
-1823.281792,200,9.376492
291.196032,200,9.414425
-1258.863104,200,9.452481
-1984.572037,200,9.491786
-683.708681,200,9.529921
-1548.855569,200,9.89375
-403.669986,200,9.933887
470.259369,200,9.97312
-2904.217943,200,10.012325
-1154.463032,200,10.051459
-1505.588553,200,10.090503
-696.155394,200,10.128548
277.721034,200,10.166448
-76.253816,200,10.203985
-134.649732,200,10.241546
206.435324,200,10.606221
-590.204147,200,10.646475
-1579.588566,200,10.685844
-235.133988,200,10.725472
-461.568083,200,10.765566
-1455.679913,200,10.804498
239.957665,200,10.842659
-1156.019485,200,10.880557
-272.296005,200,10.918223
-943.308411,200,10.956127
573.334698,200,11.346371
-4461.080394,200,11.38703
-4332.828604,200,11.426881
500.200775,200,11.466991
163.158742,200,11.506997
-1082.351835,200,11.545688
-100.427458,200,11.583841
-2901.062728,200,11.621832
-3467.143822,200,11.65937
523.279695,200,11.697157
-7288.862464,200,12.063434
-4843.272451,200,12.103511
955.086682,200,12.143737
203.425672,200,12.182969
74.77701,200,12.222902
-623.111576,200,12.262075
569.223654,200,12.300437
394.76001,200,12.338237
773.202783,200,12.376425
42.563674,200,12.414045
168.483878,200,12.451548
-255.149481,200,12.821859
-780.18925,200,12.861974
-274.945874,200,12.901312
-4426.688188,200,12.941404
-61.634446,200,12.981322
-1947.000998,200,13.019594
-1594.966411,200,13.057295
187.976932,200,13.094972
-1091.19701,200,13.132645
-3681.503685,200,13.17
126.414146,200,13.53598
227.695513,200,13.57565
558.107088,200,13.615462
-2689.46602,200,13.655262
-885.52215,200,13.694529
-2627.154021,200,13.73294
-892.949999,200,13.771306
-4282.291809,200,13.810578
558.253517,200,13.848499
407.15265,200,13.886411
-1524.615458,200,14.257269
-3369.604777,200,14.297
716.530562,200,14.336404
-3170.565263,200,14.376164
-3158.127533,200,14.416307
-3957.425853,200,14.455101
971.491041,200,14.493115
-4136.978152,200,14.531224
803.577082,200,14.569111
-1271.609208,200,14.606212
-210.184168,200,14.97892
564.796663,200,15.019216
930.536776,200,15.05851
587.280306,200,15.097948
-2401.506556,200,15.13699
-116.655253,200,15.176571
-1571.263603,200,15.214666
-697.646029,200,15.251866
501.752597,200,15.289914
1350.01042,200,15.328147
-709.041639,200,15.365995
-716.084037,200,15.777362
480.368671,200,15.81808
-804.961085,200,15.85793
337.028753,200,15.897777
683.100126,200,15.937289
614.029292,200,15.976079
-499.76318,200,16.013971
951.950771,200,16.052296
291.474734,200,16.089824
-2781.597339,200,16.127903
165.208968,200,16.498749
-218.994233,200,16.53904
106.682898,200,16.578481
372.602148,200,16.617946
-717.573053,200,16.657503
985.362797,200,16.695829
-893.887126,200,16.733656
-328.000722,200,16.771353
-3099.687503,200,16.809803
-1283.72234,200,16.847842
-2490.799677,200,17.209074
835.124702,200,17.249559
1229.694413,200,17.28982
-1511.804783,200,17.32977
193.78599,200,17.369632
-61.592064,200,17.408316
527.037119,200,17.446347
1202.508553,200,17.484436
838.216959,200,17.522528
405.92211,200,17.560358
508.959697,200,17.92602
-1214.787365,200,17.966187
347.652399,200,18.006225
-397.959856,200,18.04599
527.869402,200,18.085584
-422.180158,200,18.124699
704.746489,200,18.162629
-967.445943,200,18.200457
-5218.61117,200,18.238233
344.432509,200,18.276294
-455.849977,200,18.314997
1505.796318,200,18.677376
-4719.916112,200,18.717726
889.873164,200,18.757491
1581.042519,200,18.798807
-2513.24951,200,18.839297
-1642.086418,200,18.877742
-741.669373,200,18.915987
1218.444276,200,18.953516
-5266.322207,200,18.991013
-3588.978883,200,19.028636
-339.690281,200,19.39699
33.821275,200,19.437364
-1927.886431,200,19.476977
1707.761764,200,19.516884
-997.726262,200,19.556286
-1846.275984,200,19.594659
1714.957619,200,19.633161
-4779.324403,200,19.671152
-2607.945046,200,19.708688
197.125279,200,19.746302
-3742.952233,200,20.115321
-7440.661603,200,20.154729
744.009902,200,20.194567
-6320.771367,200,20.233833
-1617.006553,200,20.273629
1380.684212,200,20.313496
-3563.24961,200,20.35148
-4637.227336,200,20.389598
-329.60555,200,20.427874
-1599.015002,200,20.465832
-2888.503345,200,20.835806
-5181.133066,200,20.875837
209.019011,200,20.91609
31.157099,200,20.955995
-571.55465,200,20.995802
1541.358237,200,21.035209
1084.058827,200,21.073259
643.903578,200,21.110908
1349.389712,200,21.148581
423.040634,200,21.18638
638.229931,200,21.548903
-300.924617,200,21.589422
449.344847,200,21.629477
898.919478,200,21.669233
-3657.432654,200,21.7092
1045.93336,200,21.748866
-267.078944,200,21.787465
-5875.479945,200,21.825836
1615.513782,200,21.863703
-3593.346972,200,21.901151
-2462.230168,200,21.93975
-241.159862,200,22.309753
908.637275,200,22.349647
417.767957,200,22.38909
88.784207,200,22.429006
-3395.423057,200,22.468502
920.829788,200,22.506879
-166.090559,200,22.544821
193.311403,200,22.582129
-3192.132329,200,22.619933
-613.700652,200,22.657626
-2407.516749,200,23.02868
-122.173152,200,23.068691
1219.959493,200,23.109181
-3751.525679,200,23.148789
410.649854,200,23.188335
-1453.981148,200,23.226782
1304.019097,200,23.264791
714.363685,200,23.303266
-836.01798,200,23.340865
-8.849033,200,23.379042
1735.622766,200,23.741449
-914.156329,200,23.782352
-856.973657,200,23.82328
-1490.501104,200,23.862755
469.811912,200,23.902477
781.698172,200,23.941641
-1484.559608,200,23.979708
771.823257,200,24.017307
-201.105095,200,24.055188
-7439.143082,200,24.092824
-603.146744,200,24.466574
941.665172,200,24.507009
-648.905213,200,24.546082
-925.505712,200,24.58537
-20.381421,200,24.625213
-1441.022254,200,24.664445
1054.183248,200,24.702637
846.015055,200,24.739688
432.13283,200,24.77737
-3433.999825,200,24.815592
-2964.187661,200,24.852988
476.871554,200,25.216529
-1117.242819,200,25.25627
-2476.198924,200,25.29581
1033.691114,200,25.335818
-1294.537604,200,25.375355
-797.872767,200,25.413525
754.715055,200,25.451242
-640.857018,200,25.48889
-1648.681767,200,25.526374
293.676492,200,25.564145
1393.248195,200,25.946495
906.750099,200,25.986954
1170.204561,200,26.026759
836.1871,200,26.066486
1116.685286,200,26.106039
241.42427,200,26.144386
-3072.477266,200,26.182092
-319.937487,200,26.219806
-4823.218519,200,26.257576
-3971.910987,200,26.295829
-2222.697025,200,26.661314
288.352809,200,26.701472
949.994683,200,26.741861
1320.937142,200,26.781497
-762.398258,200,26.821633
39.879441,200,26.860538
-3564.046618,200,26.898275
316.062585,200,26.935928
45.025316,200,26.973496
-1626.654616,200,27.010994
-932.706604,200,27.373387
299.23564,200,27.41401
-814.46312,200,27.453339
-982.554533,200,27.493173
-1351.757724,200,27.532468
1423.109747,200,27.571927
-1656.617413,200,27.609632
1522.813872,200,27.647173
584.383224,200,27.685277
1717.604354,200,27.723174
-3873.588899,200,27.760683
-2533.55512,200,28.130686
-1832.912582,200,28.170232
839.026762,200,28.209689
205.36281,200,28.249135
1134.097438,200,28.288597
1114.945648,200,28.327707
-1022.119322,200,28.365272
662.014431,200,28.403007
-3205.207714,200,28.440762
-1203.808549,200,28.478383
653.367829,200,28.853491
725.474982,200,28.894025
-1675.911518,200,28.933789
342.211496,200,28.97322
148.459635,200,29.012258
-2115.469478,200,29.050239
-4654.622176,200,29.0881
-2747.473442,200,29.125746
279.35924,200,29.163285
-1682.820585,200,29.200397
-439.436463,200,29.56814
560.78226,200,29.608059
175.366998,200,29.648073
-32.899915,200,29.687408
477.768659,200,29.727292
-958.723041,200,29.766173
-4167.143841,200,29.804485
935.047629,200,29.843302
1121.023182,200,29.88109
781.233114,200,29.918899
-1936.991948,200,30.296712
-1317.831727,200,30.336995
-339.063602,200,30.377175
188.596499,200,30.416791
579.645064,200,30.455806
-1561.530778,200,30.494613
1047.278079,200,30.533012
-1288.612286,200,30.570636
-1901.217383,200,30.60801
-3476.108797,200,30.645818
1015.31536,200,30.683693
968.798617,200,31.064145
488.481032,200,31.103823
-1586.182115,200,31.143882
-3460.015235,200,31.183166
-83.536166,200,31.222992
27.617417,200,31.261089
-1951.696378,200,31.298865
1271.885022,200,31.337335
1113.424809,200,31.375869
-1794.661968,200,31.414109
-1769.986092,200,31.783603
641.853059,200,31.824468
989.042385,200,31.864399
388.403631,200,31.903784
-1334.769076,200,31.943663
-5111.905871,200,31.982239
-1058.953401,200,32.019916
1014.55143,200,32.057815
-81.264811,200,32.095028
-201.708873,200,32.132587
-3260.47467,200,32.503593
-513.662599,200,32.543957
-1390.612094,200,32.583954
-3352.311206,200,32.623513
1243.316036,200,32.663344
-764.167999,200,32.70254
-348.787555,200,32.740398
-6680.227969,200,32.778027
-2518.327658,200,32.816447
-1215.825541,200,32.854667
-544.830685,200,33.225802
-2835.875645,200,33.266394
-1095.027452,200,33.306762
-1190.158181,200,33.346402
-2427.93917,200,33.386453
1017.609568,200,33.426141
-1382.55208,200,33.464392
1580.135633,200,33.502149
-7833.91872,200,33.54029
944.021066,200,33.578269
543.802328,200,33.616226
-522.045856,200,33.997418
679.05438,200,34.037519
-1571.753181,200,34.077322
-3788.541007,200,34.116978
1233.759116,200,34.157186
-3796.8541,200,34.19501
-4569.352405,200,34.232973
1974.706328,200,34.270551
593.289106,200,34.308667
-692.73084,200,34.347108
-4945.809058,200,34.720971
911.006508,200,34.760985
-465.527279,200,34.801054
64.372547,200,34.840852
-1230.625416,200,34.880301
-204.437394,200,34.919006
455.526086,200,34.956866
669.91269,200,34.995133
931.716458,200,35.033582
-412.477596,200,35.071253
-61.341865,200,35.477667
-488.060272,200,35.518476
557.247092,200,35.558109
-4418.123542,200,35.597239
-1018.3911,200,35.637113
-1475.977366,200,35.675806
-3544.192814,200,35.713365
859.288626,200,35.751341
455.49777,200,35.789563
-2123.577214,200,35.827904
