#{"t_start": 1723474560.798517, "env_id": "None"}
r,l,t
-836.709615,200,0.050824
-701.444109,200,0.095679
-1805.243052,200,0.140839
-1296.487309,200,0.18592
-1581.704288,200,0.229843
-1826.07253,200,0.274033
-259.056715,200,0.316995
-2346.127345,200,0.360195
-972.039748,200,0.403368
-1686.944064,200,0.446396
-1826.055601,200,0.871552
-646.169961,200,0.91671
-2290.704323,200,0.962332
-1137.168454,200,1.007595
-2037.510456,200,1.052095
-1608.599649,200,1.095574
-714.978725,200,1.139946
-182.140596,200,1.183872
-179.19082,200,1.227549
-1059.881672,200,1.270176
-2679.850195,200,1.695815
-52.574218,200,1.741356
-2108.910087,200,1.78621
-452.28359,200,1.831254
-3100.03126,200,1.876281
-75.22787,200,1.919779
-215.770107,200,1.963249
-1012.867851,200,2.006086
-1804.476411,200,2.04894
-434.405728,200,2.091897
-486.980382,200,2.51428
-2654.494243,200,2.559637
-467.63948,200,2.608913
-476.71507,200,2.653929
-742.940092,200,2.69991
-978.652103,200,2.743705
-962.220926,200,2.787175
-4926.272618,200,2.83031
-680.154952,200,2.872676
-92.760818,200,2.915557
-4458.948674,200,3.726978
43.075103,200,3.771866
-2914.568856,200,3.817495
-361.208623,200,3.86244
47.493813,200,3.907822
-439.875091,200,3.951772
-1452.204665,200,3.994938
-2447.864095,200,4.037581
-2012.466727,200,4.080469
-1470.110232,200,4.124189
-684.28285,200,4.167335
-79.183883,200,5.157389
24.41936,200,5.202702
-42.812211,200,5.247958
51.851835,200,5.292712
-560.122646,200,5.33684
-467.817829,200,5.380247
-1346.6877,200,5.423305
-1149.599203,200,5.46622
-4444.795729,200,5.508474
145.567555,200,5.551458
-85.126716,200,5.980375
-304.37234,200,6.025721
-2091.718388,200,6.070884
598.129964,200,6.115995
44.460287,200,6.161067
-4407.961581,200,6.204487
-171.690579,200,6.247487
-1355.957578,200,6.290157
159.421617,200,6.333136
-2092.194685,200,6.376036
-319.638249,200,6.812766
-1127.006991,200,6.857808
347.33112,200,6.903104
217.824637,200,6.948103
307.801833,200,6.993026
907.237474,200,7.035937
-6216.164413,200,7.079102
221.019158,200,7.121677
-3243.458237,200,7.164636
207.433664,200,7.207685
-50.200333,200,7.642556
-419.266139,200,7.688012
-1104.713318,200,7.732829
-3413.772458,200,7.778001
-604.323398,200,7.822966
211.790066,200,7.866858
335.446633,200,7.910296
-5660.408265,200,7.953404
-1265.409433,200,7.996238
