#{"t_start": 1722809247.643307, "env_id": "None"}
r,l,t
-10896.672372,400,0.216685
-25864.994896,400,0.431068
-20174.840153,400,0.639788
-17663.546305,400,0.849845
-32106.235773,400,1.058921
-32295.563588,400,1.273893
-10625.386651,400,1.486732
-9037.587637,400,1.700099
-14651.816111,400,1.911349
-51185.927066,400,2.122062
-31468.97627,400,2.333769
-18175.058807,400,2.542388
-9051.836639,400,2.75045
-27248.286498,400,2.961374
-8644.022431,400,3.180052
-6231.068565,400,3.39879
-16428.97128,400,3.611277
-9163.216572,400,3.823043
-15672.911681,400,4.037103
-36743.691053,400,4.248553
-26026.342404,400,4.470676
-11277.777909,400,4.685189
-18439.844822,400,4.8961
-17165.952081,400,5.138805
-32867.216117,400,5.359392
-28401.756832,400,5.574601
-13216.809686,400,5.790485
-33401.942827,400,6.003389
-29407.470478,400,6.213
-13013.967669,400,6.423619
-29249.451569,400,6.636312
-30293.98628,400,6.846638
-33814.084368,400,7.05959
-36089.252739,400,7.271944
-8979.953357,400,7.485163
-28630.836062,400,7.699639
-19194.597494,400,7.913152
-34521.014937,400,8.122683
-11536.871639,400,8.33186
-23327.560209,400,8.541091
-22259.676018,400,8.752369
-33989.072509,400,8.962907
-33134.900233,400,9.172707
-24324.798931,400,9.384266
-28517.217218,400,9.615931
-6850.264361,400,9.826933
-11948.279532,400,10.039849
-13281.825351,400,10.251626
-9795.520937,400,10.462299
-8613.041834,400,10.672404
-39110.817639,400,10.88151
-8188.174362,400,11.091884
-21918.308727,400,11.301138
-8899.833193,400,11.516757
-37924.292091,400,11.726633
-6207.922069,400,11.937489
-13429.199752,400,12.157426
-14620.172587,400,12.374464
-5516.690199,400,12.587626
-4401.317425,400,12.795737
-9535.539186,400,13.008305
-15264.83433,400,13.218521
-48656.580664,400,13.427807
-15570.43699,400,13.640063
-8850.749785,400,13.852878
-7512.783531,400,14.073419
-18152.748047,400,14.286382
-21514.156673,400,14.500994
-13198.570984,400,14.712129
-26699.438194,400,14.922143
-26099.022057,400,15.13524
-18594.43622,400,15.344609
-16350.206677,400,15.557546
-36884.202667,400,15.76639
-11686.146284,400,15.975657
-18143.698239,400,16.185613
-18933.331745,400,16.396551
-22256.517919,400,16.604751
-28473.785662,400,16.816467
-10011.071775,400,17.028062
-8488.334608,400,17.23924
-78710.398769,400,17.450481
-10757.11426,400,17.65791
-21159.749648,400,17.869968
-20611.374574,400,18.0815
-26734.168262,400,18.29552
-44270.57332,400,18.509866
-12329.940748,400,18.72014
-11466.027669,400,18.932111
-11884.455109,400,19.154117
-5793.348076,400,19.365451
-20621.783445,400,19.581857
-20939.435956,400,19.796637
-57712.078156,400,20.007472
-20267.330628,400,20.219127
-19828.735622,400,20.433142
-20319.301829,400,20.643329
-19924.872855,400,20.853901
-16560.633168,400,21.066805
-17230.797612,400,21.278329
-22210.180175,400,21.488658
-23353.286319,400,21.699977
-16388.341076,400,21.915031
-17108.158197,400,22.128873
-10835.545059,400,22.344132
-10871.52192,400,22.556396
-21755.736072,400,22.768595
-3873.721931,400,22.980467
-11013.247318,400,23.191423
-28245.635827,400,23.405561
-43603.832361,400,23.614052
-37255.260605,400,23.822915
-15678.540658,400,24.030992
-13663.389027,400,24.240126
-22929.031413,400,24.456726
-20777.841375,400,24.667743
-35816.543786,400,24.876684
-16250.374103,400,25.085632
-28336.59075,400,25.297268
-25411.070174,400,25.509153
-26264.68487,400,25.719207
-11794.27473,400,25.928718
-11524.310316,400,26.193935
-11285.815316,400,26.413507
-16145.17492,400,26.625751
-45877.416693,400,26.837506
-12288.964183,400,27.049391
-28367.230739,400,27.259256
-12145.697109,400,27.469154
-26692.038762,400,27.679751
-16780.623117,400,27.891324
-27136.581686,400,28.102667
-24294.191039,400,28.312095
-32863.231602,400,28.522557
-21792.244851,400,28.730744
-39442.141554,400,28.941803
-12007.869939,400,29.150756
-29279.606872,400,29.359564
-30764.269466,400,29.574472
-9439.725419,400,29.785783
-26612.441848,400,30.001441
-8562.530553,400,30.215102
-34397.826692,400,30.429474
-15341.835618,400,30.64436
-2995.383418,400,30.855394
-16149.840835,400,31.064921
-33024.204584,400,31.273427
-24778.414334,400,31.486202
-5971.478437,400,31.704264
-6425.189819,400,31.91478
-12058.508066,400,32.125328
-51289.197577,400,32.333918
-56621.05619,400,32.550753
-23246.402756,400,32.759324
-8896.718533,400,32.972327
-23560.127464,400,33.191756
-37503.881069,400,33.408203
-45733.162158,400,33.61587
-42826.655535,400,33.827753
-21423.739362,400,34.036177
-39120.7363,400,34.247662
-22470.395525,400,34.463227
-28043.727361,400,34.677193
-46242.153882,400,34.886835
-9211.396096,400,35.096881
-21445.643557,400,35.30908
-21770.668934,400,35.519477
-32834.433216,400,35.730749
-16378.724379,400,35.939912
-9740.885511,400,36.148309
-39539.707409,400,36.362345
-32276.61123,400,36.570431
-16294.948491,400,36.776958
-48505.178424,400,36.989334
-23191.688229,400,37.198284
-10808.010951,400,37.409225
-21351.321093,400,37.618445
-22358.289184,400,37.829504
-20966.180525,400,38.036587
-21255.514095,400,38.246019
-23231.551991,400,38.457598
-6449.821724,400,38.669895
-29085.328265,400,38.880145
-23963.652161,400,39.092066
-26825.332928,400,39.303538
-12439.103486,400,39.515151
-30055.527101,400,39.727767
-13165.939794,400,39.940442
-8618.631041,400,40.157939
-12621.510634,400,40.370194
-24031.849204,400,40.580218
-17715.559418,400,40.790392
-5247.72065,400,41.001351
-18517.228439,400,41.214175
-22782.700939,400,41.423263
-23068.107016,400,41.633074
-58694.041428,400,41.849068
-20462.623624,400,42.059404
-30951.921593,400,42.269494
-21759.714721,400,42.481439
-19786.461347,400,42.692363
-7202.544345,400,42.902186
-23288.856957,400,43.11181
-15584.375509,400,43.324491
-37717.380342,400,43.53303
-11273.56546,400,43.743192
-9712.960822,400,43.953889
-16941.933055,400,44.164395
-22308.498948,400,44.378027
-24946.985288,400,44.592217
-10809.713628,400,44.801364
-8866.156911,400,45.010191
-37325.363475,400,45.218603
-32317.445656,400,45.428992
-26169.635286,400,45.636016
-17501.460785,400,45.844995
-17954.303948,400,46.054621
-14937.225138,400,46.265957
-24979.340892,400,46.477352
-7244.047962,400,46.686548
-30983.397039,400,46.909019
-11165.547365,400,47.183157
-8638.549618,400,47.391684
-21139.147642,400,47.600942
-26311.212215,400,47.812901
-28198.924291,400,48.023015
-27198.709174,400,48.238816
-22593.690849,400,48.447483
-63905.626045,400,48.65741
-26374.749299,400,48.866489
-21606.878422,400,49.077862
-34712.888922,400,49.289744
-25254.887468,400,49.513998
-12128.294587,400,49.729439
-18409.789266,400,49.94152
-19920.762297,400,50.15445
-10183.178193,400,50.368349
-21595.20788,400,50.582106
-26964.783222,400,50.794284
-14457.01279,400,51.001582
-12446.294159,400,51.213654
-44741.633495,400,51.423599
-9619.836109,400,51.634953
-17978.771825,400,51.84941
-35205.428781,400,52.058245
-48275.771079,400,52.267535
-37526.086778,400,52.479311
-11971.834441,400,52.690412
-36187.698979,400,52.903257
-6304.524735,400,53.114617
