#{"t_start": 1722809557.991615, "env_id": "None"}
r,l,t
-12410.727425,400,0.234351
-22892.542898,400,0.46358
-9821.611423,400,0.694333
-20156.091996,400,0.922545
-42923.60135,400,1.156586
-29474.480844,400,1.43073
-20786.613503,400,1.666604
-7547.198265,400,1.888602
-17370.699197,400,2.119628
-56704.399442,400,2.328637
-31214.025309,400,2.544369
-16436.177733,400,2.773188
-17669.274048,400,2.987592
-20419.768672,400,3.202873
-9444.926084,400,3.44828
-7252.047237,400,3.683344
-24162.697601,400,3.913794
-8037.318411,400,4.164657
-21491.915773,400,4.405303
-36071.63916,400,4.642107
-22299.64891,400,4.86561
-8559.406707,400,5.080006
-12043.731861,400,5.312547
-10225.845492,400,5.551503
-29358.52098,400,5.790369
-30428.64384,400,6.030349
-10942.052532,400,6.246155
-24466.355917,400,6.468464
-15158.569018,400,6.704438
-7999.322304,400,6.935742
-30393.460836,400,7.150978
-38797.82632,400,7.39138
-27706.387468,400,7.612044
-49062.333403,400,7.828222
-7136.898441,400,8.08617
-14312.884013,400,8.311932
-17983.117811,400,8.535794
-46563.007538,400,8.75081
-9946.102461,400,8.982779
-20676.728296,400,9.208455
-26404.513519,400,9.449152
-48215.370811,400,9.673353
-22512.534965,400,9.885403
-20947.014788,400,10.110978
-28211.167093,400,10.327697
-7914.997884,400,10.542718
-11829.337728,400,10.762325
-15230.810968,400,10.981337
-7601.018373,400,11.214042
-4967.243605,400,11.436167
-48480.167644,400,11.669584
-3969.020404,400,11.915095
-25303.936094,400,12.198495
-5739.246467,400,12.422036
-44515.436601,400,12.666842
-16767.650432,400,12.912893
-18963.011921,400,13.152276
-11436.136499,400,13.420431
-11903.660336,400,13.703393
-10599.639759,400,13.932496
-4081.739655,400,14.146819
-11193.119388,400,14.371324
-48562.754361,400,14.603299
-13225.121854,400,14.859149
-16327.062042,400,15.113413
-20875.037553,400,15.350869
-16110.819311,400,15.578458
-19989.065911,400,15.798707
-20833.531123,400,16.018435
-17723.420565,400,16.274941
-21930.771014,400,16.507199
-17902.029283,400,16.7465
-19326.07365,400,16.975888
-42447.554616,400,17.191622
-11815.635562,400,17.42859
-18214.020099,400,17.648975
-27652.941692,400,17.871992
-21480.097298,400,18.085564
-19311.373008,400,18.332587
-10899.90206,400,18.553234
-13949.312656,400,18.766681
-59999.202927,400,18.982276
-7516.890906,400,19.231328
-23862.757178,400,19.453984
-13406.745647,400,19.668651
-19003.46126,400,19.883469
-41688.633726,400,20.098398
-11327.219425,400,20.32679
-12343.09105,400,20.573284
-7585.296171,400,20.797483
-15043.296763,400,21.00791
-10716.230933,400,21.311552
-18843.578068,400,21.522005
-56814.471099,400,21.811267
-8993.69217,400,22.038892
-13023.616442,400,22.297098
-7989.260025,400,22.52653
-7006.352308,400,22.740894
-9209.714772,400,22.954524
-7624.780363,400,23.235322
-12458.578512,400,23.494657
-8774.075154,400,23.71776
-6615.774514,400,23.964106
-13714.997942,400,24.211323
-21458.494279,400,24.466888
-14095.219618,400,24.691352
-22247.765348,400,24.93977
-7507.172893,400,25.156972
-14179.512257,400,25.370343
-16319.815215,400,25.619705
-38891.88436,400,25.871142
-23489.564666,400,26.118364
-12246.884112,400,26.366171
-26223.047932,400,26.584773
-6987.168378,400,26.806845
-17945.464649,400,27.052201
-38500.686165,400,27.268001
-12162.443558,400,27.483437
-31793.704515,400,27.757412
-20944.235319,400,28.007862
-26752.656168,400,28.261899
-6468.89555,400,28.510288
-5174.944894,400,28.730724
-16019.768868,400,29.024274
-13851.102687,400,29.282311
-32983.64933,400,29.509407
-9389.578172,400,29.745499
-10167.920824,400,29.960607
-6491.799002,400,30.176942
-15360.841675,400,30.418491
-8994.021768,400,30.646356
-14275.824592,400,30.872912
-28174.06969,400,31.098195
-14202.751263,400,31.350423
-6057.694521,400,31.606363
-25697.378605,400,31.928155
-31605.848695,400,32.176024
-11763.258234,400,32.392051
-3385.04162,400,32.637802
-8437.018015,400,32.861437
-14215.688698,400,33.174896
-5150.144964,400,33.533554
-19314.308936,400,33.819516
-11076.684493,400,34.04351
-7996.73157,400,34.27752
-6128.763225,400,34.495456
-32662.352367,400,34.706501
-6887.45747,400,34.918565
-12769.736944,400,35.126637
-15040.519343,400,35.335977
-5931.571053,400,35.545903
-41377.407118,400,35.755834
-51972.519274,400,35.974653
-14579.042368,400,36.192032
-13867.124221,400,36.403622
-31696.721014,400,36.615977
-25756.873313,400,36.824275
-42470.045585,400,37.037148
-39956.313508,400,37.249515
-20752.747442,400,37.457927
-29189.711315,400,37.673394
-25258.291823,400,37.904491
-24274.779008,400,38.131531
-49418.307363,400,38.34471
-16501.200262,400,38.572731
-14040.489386,400,38.791955
-12641.213425,400,39.001877
-23768.097415,400,39.227082
-9599.884956,400,39.445182
-11908.690191,400,39.655305
-24165.167434,400,39.869788
-31483.938772,400,40.114316
-10139.183757,400,40.348442
-29177.843291,400,40.572827
-15059.174982,400,40.784291
-16626.907851,400,40.996203
-14621.423721,400,41.216198
-23349.545972,400,41.433019
-7382.541237,400,41.645507
-19151.275359,400,41.857054
-12534.402702,400,42.066602
-5706.649534,400,42.278784
-28071.682709,400,42.488119
-24007.69607,400,42.701494
-27219.277358,400,42.91514
-5354.721359,400,43.126381
-3949.075582,400,43.373402
-16796.756038,400,43.619004
-5893.984213,400,43.842982
-33167.698813,400,44.084968
-14833.612405,400,44.29687
-13880.782786,400,44.550019
-19826.45707,400,44.774585
-9468.957614,400,44.986803
-7483.622658,400,45.241953
-29848.479011,400,45.47008
-37426.266765,400,45.695491
-22266.878451,400,45.921506
-5295.481039,400,46.161117
-16483.009628,400,46.385241
-11500.98619,400,46.605665
-6968.049626,400,46.817256
-15352.942546,400,47.048336
-20221.001199,400,47.259949
-19611.566573,400,47.473147
-8752.578609,400,47.688921
-7476.759705,400,47.903589
-14724.643743,400,48.118746
-12101.390149,400,48.332333
-11280.080749,400,48.543722
-10279.181265,400,48.757741
-3145.516627,400,48.979386
-23233.284031,400,49.231674
-30921.715593,400,49.465555
-21967.042942,400,49.693788
-13052.003233,400,49.919206
-17792.181179,400,50.13866
-18683.400091,400,50.355058
-25967.833083,400,50.585821
-6921.504644,400,50.933887
-31218.678434,400,51.207856
-7331.536362,400,51.564571
-17786.244921,400,51.819416
-17313.209091,400,52.036985
-29401.162,400,52.401293
-26857.794314,400,52.770142
-49371.173692,400,53.006847
-23225.418498,400,53.224499
-41696.064941,400,53.438625
-24193.592636,400,53.651471
-19082.763975,400,53.881107
-32222.111228,400,54.098234
-11075.303734,400,54.311972
-10411.35657,400,54.535931
-7960.08621,400,54.860539
-6685.00475,400,55.077375
-11447.958813,400,55.301482
-21962.242695,400,55.515352
-16591.936276,400,55.724255
-6616.763488,400,55.934606
-10811.64417,400,56.154645
-33297.522821,400,56.36502
-7298.336779,400,56.577872
-9920.44324,400,56.815255
-16565.74606,400,57.038337
-49827.239588,400,57.271969
-35842.386923,400,57.487022
-9415.054878,400,57.734437
-23354.303269,400,57.9768
-6660.870547,400,58.215847
