#{"t_start": 1722782101.549206, "env_id": "None"}
r,l,t
-61558.717396,400,0.252478
-45278.644983,400,0.464142
-29243.532102,400,0.659952
-21704.457205,400,0.854261
-26741.129333,400,1.048636
-18524.514913,400,1.243977
-118197.548347,400,1.440366
-19880.142832,400,1.667008
-26823.717288,400,1.868083
-28332.974871,400,2.062381
-10107.746794,400,2.272935
-19269.951662,400,2.483385
-13938.233499,400,2.695497
-18619.813114,400,2.897106
-21758.878227,400,3.115624
-34467.665867,400,3.323729
-60819.59168,400,3.527142
-22016.127796,400,3.720699
-13319.203821,400,3.917916
-23564.212792,400,4.115703
-17274.23804,400,4.309748
-22840.986987,400,4.516968
-59442.270335,400,4.727299
-31043.921102,400,4.928941
-15564.637436,400,5.145789
-12907.79762,400,5.379034
-51370.741396,400,5.613922
-33364.98322,400,5.841843
-51581.282791,400,6.048957
-47960.595009,400,6.253766
-55069.049251,400,6.460242
-24228.609913,400,6.667453
-71368.252689,400,6.88251
-50531.706378,400,7.083991
-34625.924182,400,7.318204
-93915.772387,400,7.572634
-40908.676918,400,7.803714
-14694.993181,400,8.031255
-10102.411314,400,8.256455
-20472.057139,400,8.48786
-23800.094617,400,8.744092
-41391.265605,400,8.950285
-8943.014191,400,9.260342
-21029.304785,400,9.543751
-14582.260012,400,9.755041
-27077.01134,400,9.972041
-30655.521152,400,10.191775
-17210.007218,400,10.394299
-49513.082415,400,10.607953
-18867.10912,400,10.816557
-22545.202311,400,11.041799
-15380.623404,400,11.302658
-20609.613069,400,11.519629
-30782.264006,400,11.803211
-17159.950935,400,12.069185
-25392.733403,400,12.27391
-48445.725869,400,12.476393
-14664.448394,400,12.670759
-23191.241297,400,12.883224
-26590.721529,400,13.085283
-10114.575715,400,13.288416
-20689.99988,400,13.548566
-16871.673167,400,13.795921
-22621.307475,400,14.0047
-25627.239524,400,14.326476
-41848.14339,400,14.547883
-19131.771482,400,14.746327
-15012.174424,400,14.940867
-9998.076139,400,15.144833
-14772.904605,400,15.349065
-25735.642421,400,15.548047
-19756.357797,400,15.770401
-8667.429504,400,15.969156
-31579.405168,400,16.165785
-15440.763063,400,16.362445
-14844.723148,400,16.564763
-54975.828294,400,16.782615
-31353.900487,400,16.97741
-14244.405461,400,17.179764
-37965.818619,400,17.377716
-30534.989711,400,17.576909
-21589.897593,400,17.771397
-18421.251557,400,17.968459
-29047.343329,400,18.165819
-29874.51419,400,18.362624
-21411.81209,400,18.556172
-53530.457043,400,18.747313
-40415.028629,400,18.93578
-20939.949418,400,19.124847
-22785.851997,400,19.321589
-13516.271838,400,19.517074
-36956.075415,400,19.749012
-9270.895675,400,19.946589
-30244.184935,400,20.147458
-64511.339433,400,20.339372
-19484.163574,400,20.541503
-18436.764868,400,20.857703
-26697.195602,400,21.096784
-19465.514999,400,21.342194
-19318.704171,400,21.571106
-17042.363051,400,21.816137
-25234.663585,400,22.023284
-73045.667864,400,22.305722
-22611.854399,400,22.502128
-37508.489967,400,22.691895
-13420.902123,400,22.924312
-24001.838437,400,23.135146
-61704.179141,400,23.348607
-43543.330243,400,23.598254
-29556.069289,400,23.805364
-22073.194454,400,24.008627
-26926.881117,400,24.201758
-30933.84709,400,24.401653
-35688.992811,400,24.592798
-23476.668123,400,24.790221
-38700.107211,400,25.004511
-63171.412774,400,25.223209
-20187.453857,400,25.447159
-17263.4243,400,25.649184
-13760.33262,400,25.85308
-13890.556488,400,26.047724
-51540.835831,400,26.242735
-109353.02845,400,26.448034
-20661.341132,400,26.644936
-84705.755512,400,26.844743
-27708.247868,400,27.039623
-22410.745409,400,27.230266
-26877.213011,400,27.419711
-39267.074357,400,27.611739
-26401.658672,400,27.812201
-42189.06834,400,28.011721
-10221.537689,400,28.21707
-42116.082511,400,28.417055
-22681.781612,400,28.628392
-19629.632544,400,28.836761
-24140.259311,400,29.077995
-8172.435808,400,29.305076
-65243.135006,400,29.525299
-14345.383639,400,29.726277
-46944.071002,400,29.97457
-19968.791407,400,30.246723
-20972.307779,400,30.489367
-39228.75538,400,30.699989
-41322.291221,400,30.898707
-28306.534346,400,31.107051
-34535.746837,400,31.321351
-43999.587732,400,31.530152
-88230.467139,400,31.73193
-32241.390704,400,31.932564
-20448.892193,400,32.131793
-22051.860303,400,32.331093
-18036.586125,400,32.537985
-7307.056195,400,32.731608
-23966.847394,400,32.923594
-32590.960531,400,33.115971
-50418.219526,400,33.313764
-23455.000588,400,33.517327
-14448.662118,400,33.738401
-15319.831275,400,33.935226
-46307.608226,400,34.127934
-21764.19766,400,34.322272
-18879.249517,400,34.514324
-18714.514001,400,34.707346
-74854.457523,400,34.907048
-49621.580322,400,35.100577
-11618.95685,400,35.302806
-25795.732463,400,35.514047
-50715.656232,400,35.724094
-44316.952391,400,35.936546
-15310.498824,400,36.136743
-67851.518515,400,36.344684
-18909.073311,400,36.557525
-31923.168298,400,36.755354
-64152.494187,400,36.950463
-13840.427585,400,37.148638
-15139.155267,400,37.348144
-16068.781447,400,37.542039
-38226.053198,400,37.740107
-27626.149934,400,37.944892
-9853.230773,400,38.152695
-18161.334983,400,38.361228
-54539.21929,400,38.574453
-42661.935784,400,38.799588
-40060.754663,400,39.001314
-25773.266441,400,39.197944
-35420.88,400,39.394708
-14877.672242,400,39.594797
-17508.607099,400,39.79436
-29227.676513,400,39.988816
-33481.64398,400,40.190893
-20958.095155,400,40.394315
-18400.593165,400,40.592343
-30260.123462,400,40.783771
-16639.897573,400,40.977601
-18129.830821,400,41.172943
-19275.234332,400,41.369758
-69175.063087,400,41.568459
-43835.075411,400,41.791194
-36498.837431,400,42.00242
-71956.694805,400,42.208493
-33872.273639,400,42.436758
-12622.617119,400,42.659508
-47025.646299,400,42.870103
-49437.713194,400,43.097035
-36671.733485,400,43.296444
-16901.011787,400,43.524639
-15603.544094,400,43.740521
-13264.239564,400,43.940546
-27671.883861,400,44.136028
-26136.24111,400,44.331458
-38789.127638,400,44.572604
-42903.240675,400,44.834102
-53335.587415,400,45.02817
-46312.0884,400,45.232101
