#{"t_start": 1722807947.532553, "env_id": "None"}
r,l,t
-14741.779853,400,0.363403
-32945.147518,400,0.656789
-24129.526694,400,0.970752
-15661.581418,400,1.23352
-41039.633481,400,1.483919
-12531.174781,400,1.730851
-35580.169454,400,1.9821
-16772.690837,400,2.244522
-20079.286736,400,2.496999
-9717.32192,400,2.749003
-13680.66136,400,3.010358
-15337.13898,400,3.266386
-19340.446376,400,3.516268
-7164.493584,400,3.769388
-17386.995109,400,4.018014
-8387.435481,400,4.268826
-26526.048681,400,4.519468
-6220.098891,400,4.784881
-9330.211404,400,5.045821
-6339.993059,400,5.301823
-6653.842294,400,5.588004
-8460.3077,400,5.868988
-15774.128294,400,6.163075
-12875.648517,400,6.444562
-6277.143532,400,6.714872
-6719.476417,400,6.969326
-24527.849482,400,7.235017
-39610.85256,400,7.508392
-10739.572856,400,7.780586
-13932.254151,400,8.058756
-19950.768316,400,8.355759
-25105.626501,400,8.618884
-23506.225019,400,8.872939
-49020.82795,400,9.124806
-16561.832541,400,9.376403
-36417.974138,400,9.637547
-16120.10449,400,9.893952
-17239.937545,400,10.148709
-8516.696787,400,10.402043
-24655.468871,400,10.652061
-24232.860999,400,10.898716
-10310.116758,400,11.173298
-15430.719065,400,11.448112
-49252.424618,400,11.711539
-30413.411351,400,11.971447
-14637.089565,400,12.25198
-10522.76929,400,12.522403
-33678.571624,400,12.778175
-12378.446991,400,13.059635
-17521.955408,400,13.340557
-12378.523242,400,13.614817
-15728.782745,400,13.890123
-10797.408623,400,14.169086
-24516.693548,400,14.459164
-11899.513484,400,14.711319
-15135.552404,400,14.975012
-23094.701221,400,15.235347
-12028.448968,400,15.518708
-21383.062388,400,15.788653
-13582.541224,400,16.034453
-27625.595255,400,16.295194
-12413.335236,400,16.56053
-21476.68668,400,16.807884
-19069.69484,400,17.077325
-15309.310513,400,17.347916
-7904.197761,400,17.645782
-16264.731773,400,17.928407
-14493.093939,400,18.187561
-6898.46872,400,18.523932
-10212.25782,400,18.790373
-9012.614505,400,19.066271
-30062.924686,400,19.317082
-14394.823117,400,19.582745
-7167.849458,400,19.839163
-32344.519329,400,20.083552
-9840.529588,400,20.357704
-24753.360737,400,20.630895
-14882.910254,400,20.898249
-18363.447962,400,21.15557
-15653.444297,400,21.409589
-21743.967903,400,21.667321
-18339.972534,400,21.926755
-12794.440453,400,22.203986
-11038.119159,400,22.462788
-28131.559973,400,22.807303
-18994.465693,400,23.137531
-7925.482219,400,23.427281
-34539.870251,400,23.701431
-11100.064434,400,23.958137
-17567.156101,400,24.209778
-24725.109599,400,24.461843
-9751.099699,400,24.745041
-14331.293919,400,25.113074
-18949.657764,400,25.371524
-10465.697728,400,25.615467
-9169.647854,400,25.943674
-14146.369975,400,26.198851
-23300.46742,400,26.451523
-31525.428147,400,26.698821
-14229.141826,400,26.942237
-19873.40302,400,27.225828
-15492.177151,400,27.469881
-36265.027519,400,27.720677
-11475.574322,400,28.000969
-32656.259682,400,28.252172
-8927.648176,400,28.500748
-13848.085639,400,28.747971
-19743.319388,400,29.002517
-37887.95082,400,29.302216
-16624.124323,400,29.754781
-20177.159351,400,30.134554
-10175.220994,400,30.497281
-20082.571617,400,30.761367
-22519.613606,400,31.01149
-8922.165941,400,31.271799
-32021.543422,400,31.528978
-13655.867788,400,31.787313
-20260.484765,400,32.040156
-39072.419007,400,32.300961
-15880.785963,400,32.570954
-27918.112993,400,32.832831
-17035.269557,400,33.091894
-58569.77128,400,33.437154
-9633.315025,400,33.708929
-37318.808099,400,33.975137
-6999.424414,400,34.254128
-23878.365772,400,34.526187
-34488.367105,400,34.780816
-13997.587007,400,35.040852
-10337.038449,400,35.296393
-12373.527577,400,35.544488
-7445.987896,400,35.813974
-46025.764584,400,36.057755
-11076.370087,400,36.320843
-25506.140999,400,36.571635
-9337.990913,400,36.817606
-28953.289383,400,37.068376
-22478.367839,400,37.326017
-16783.872947,400,37.573779
-15105.438898,400,37.819151
-34565.202935,400,38.086348
-11411.727799,400,38.328458
-28047.389041,400,38.572872
-27350.089877,400,38.821309
-28577.890448,400,39.069368
-9735.599804,400,39.319151
-23463.803966,400,39.564475
-31198.112797,400,39.805748
-32024.643408,400,40.052465
-10705.63613,400,40.314498
-11854.953147,400,40.580456
-22194.547047,400,40.8442
-16868.51625,400,41.105756
-35444.32753,400,41.365117
-25868.538944,400,41.625436
-14659.230353,400,41.968109
-7697.313408,400,42.230742
-15755.800096,400,42.493692
-11463.176212,400,42.770806
-15146.934606,400,43.01909
-24844.793991,400,43.27323
-5836.860964,400,43.535857
-21611.101469,400,43.789848
-35629.341376,400,44.039558
-30182.580522,400,44.281074
-11530.228016,400,44.543808
-14103.282755,400,44.818232
-14976.617413,400,45.066439
-22103.665375,400,45.334636
-23314.449297,400,45.583679
-19319.944971,400,45.835089
-48906.899395,400,46.093029
-20676.78434,400,46.35394
-27631.814214,400,46.606709
-10918.170212,400,46.847741
-38968.869887,400,47.124971
-8080.803496,400,47.375563
-36395.714115,400,47.626218
-9668.584554,400,47.893329
-15377.378438,400,48.163069
-27033.930345,400,48.426236
-11446.046945,400,48.769205
-19175.773065,400,49.042338
-15164.36832,400,49.303662
-23883.610732,400,49.575136
-20081.619299,400,49.831113
-9564.960797,400,50.083238
-23144.716873,400,50.328088
-14075.71486,400,50.575415
-14597.899068,400,50.83155
-43349.30337,400,51.078252
-9711.778248,400,51.340211
-6555.740034,400,51.587044
-11918.414908,400,51.842102
-22014.250932,400,52.090407
-8041.88287,400,52.341942
-43149.264178,400,52.597904
-32804.254895,400,52.858591
-6373.480121,400,53.132486
-32558.362459,400,53.390155
-3863.321691,400,53.64712
-8863.23095,400,53.923358
-25666.649348,400,54.174403
-5224.392425,400,54.433055
-8904.56891,400,54.691437
-44320.05197,400,54.947249
-37752.72476,400,55.19721
-10219.548513,400,55.452179
-26830.593168,400,55.695402
-5584.566343,400,55.936599
-7280.320372,400,56.184377
-7690.602039,400,56.440334
-7460.735928,400,56.68522
-13344.459887,400,56.932589
-15680.626686,400,57.180161
-42653.640163,400,57.449258
-33638.156176,400,57.710386
-11868.511338,400,58.032183
-12471.189669,400,58.28816
-29794.909448,400,58.531022
-17447.828869,400,58.774413
-9886.090511,400,59.016832
-3095.975895,400,59.260062
-12970.384485,400,59.503252
-30368.734357,400,59.744048
-8632.150767,400,59.989453
-10834.737811,400,60.234459
-35692.468646,400,60.481301
-16888.964956,400,60.723258
-23572.395254,400,60.96506
-11745.32289,400,61.209969
-37186.888363,400,61.456215
-12268.282844,400,61.701723
-5271.446624,400,61.945626
-9625.383403,400,62.190662
-7279.103606,400,62.43946
-58037.979527,400,62.683173
-5519.532193,400,62.927819
-18105.947227,400,63.179338
-16127.598874,400,63.421108
-36549.997208,400,63.665495
-8307.518761,400,63.908018
-10373.760075,400,64.149946
-16263.508004,400,64.399809
-27278.625313,400,64.642726
-8732.628463,400,64.887087
-10588.115828,400,65.132379
-11337.138384,400,65.376266
-23248.193565,400,65.620459
-28764.419858,400,65.860629
