#{"t_start": 1722811351.361115, "env_id": "None"}
r,l,t
-13085.85447,400,0.228336
-30443.410763,400,0.44925
-20200.604446,400,0.67093
-15640.466642,400,0.89217
-35652.794133,400,1.111675
-32782.072934,400,1.389695
-10643.174003,400,1.611596
-11548.738312,400,1.861609
-7372.07904,400,2.121301
-39584.008852,400,2.383397
-37966.823384,400,2.637739
-16707.850699,400,2.905412
-8550.313544,400,3.12905
-8474.562009,400,3.351225
-5668.874069,400,3.567135
-7152.691666,400,3.824922
-12246.039046,400,4.051675
-18516.771164,400,4.270544
-12079.862225,400,4.493388
-24707.972005,400,4.746302
-21847.975079,400,5.002521
-13731.905205,400,5.302663
-8267.808284,400,5.532799
-7049.645017,400,5.754228
-19066.848901,400,5.984776
-40289.066448,400,6.221525
-7727.10102,400,6.462393
-8264.524074,400,6.687051
-8322.074276,400,6.952586
-12051.215638,400,7.171864
-22934.846401,400,7.445257
-40837.987318,400,7.664018
-28460.113223,400,7.885571
-51346.680987,400,8.151533
-9449.424357,400,8.410602
-10476.093881,400,8.636075
-11122.286848,400,8.855772
-41266.530801,400,9.078632
-12084.064427,400,9.30466
-12121.001429,400,9.535729
-27730.392783,400,9.779131
-42469.150757,400,10.001796
-30811.844886,400,10.223538
-14519.150007,400,10.449352
-15555.384512,400,10.730445
-15287.50122,400,10.950366
-28156.630974,400,11.17543
-21511.226207,400,11.412225
-7231.676665,400,11.637625
-9640.27921,400,11.858322
-27153.224313,400,12.095149
-15116.584823,400,12.317752
-9538.708798,400,12.543054
-15273.167221,400,12.768317
-27254.855388,400,12.987807
-11639.146518,400,13.206703
-26493.542433,400,13.427578
-14202.866852,400,13.646095
-16427.99462,400,13.866348
-25795.880331,400,14.082655
-20576.560564,400,14.303844
-12801.690156,400,14.523775
-31234.362506,400,14.747
-13287.945802,400,14.967521
-13897.390087,400,15.188542
-15042.437495,400,15.408089
-2980.101476,400,15.626654
-26599.567555,400,15.847297
-28317.95839,400,16.09367
-9113.957736,400,16.342462
-5860.879723,400,16.564475
-20691.096009,400,16.799001
-26951.839624,400,17.040946
-27196.66124,400,17.268299
-14267.528823,400,17.532693
-27425.177603,400,17.772749
-31487.866774,400,17.997828
-32012.093474,400,18.220557
-9744.263499,400,18.4452
-12151.913589,400,18.716483
-23495.004575,400,18.949802
-58730.559024,400,19.168978
-6244.80869,400,19.431998
-28391.985688,400,19.654031
-3820.587847,400,19.913885
-16944.347023,400,20.141179
-28336.386621,400,20.382831
-10708.021245,400,20.631498
-16281.227568,400,20.849875
-7899.486127,400,21.072452
-25048.728981,400,21.30125
-6268.577919,400,21.561838
-19644.81808,400,21.788266
-45802.764276,400,22.019973
-4129.497246,400,22.247483
