#{"t_start": 1722814218.744389, "env_id": "None"}
r,l,t
-17874.957229,400,0.18449
-16927.790526,400,0.359289
-11784.519627,400,0.533373
-13484.45221,400,0.709258
-30574.28335,400,0.899095
-41325.818288,400,1.077622
-6866.790139,400,1.250958
-8436.236878,400,1.43248
-19551.088354,400,67.272782
-18309.980786,400,67.518888
-45850.935639,400,67.725218
-23985.68913,400,67.90664
-6740.824256,400,68.083325
-22453.854874,400,68.262231
-8382.460368,400,68.4394
-9656.156403,400,68.618698
-9993.431277,400,68.793838
-17459.014001,400,68.972714
-11180.327546,400,69.15209
-31056.502818,400,69.327865
-20352.923912,400,69.503907
-13649.937138,400,69.681396
-7406.566575,400,69.944728
-8621.3768,400,70.140311
-28901.435131,400,70.319384
-23651.048325,400,70.497837
-7706.846369,400,70.673407
-7606.505177,400,70.848843
-19959.357047,400,71.023369
-12793.311857,400,71.199055
-13997.577037,400,71.374625
-20667.845616,400,71.551833
-14619.708368,400,71.734133
-32801.261391,400,71.910939
-6314.227826,400,72.086697
-5624.621357,400,72.263158
-15255.042947,400,72.440693
-17230.55424,400,72.616876
-11698.757536,400,72.791995
-25623.366981,400,72.968659
-25131.268127,400,73.145273
-61568.416675,400,73.32254
-12141.361207,400,73.499037
-17723.660684,400,73.674126
-36206.078013,400,73.85328
-8220.603126,400,74.029235
-16107.596252,400,74.215983
-15077.203848,400,74.3937
-14106.689271,400,74.568469
-3667.670166,400,74.746329
-35519.333474,400,74.924596
-5342.52128,400,75.104781
-19569.427727,400,75.283539
-13571.785466,400,75.45857
-40359.699237,400,75.641444
-18247.497721,400,75.824189
-12415.649596,400,76.003537
-20572.830994,400,76.180345
-11150.115911,400,76.354184
-19793.473701,400,76.528601
-6396.727196,400,76.7026
-18430.485414,400,76.877179
-52905.123939,400,77.052982
-11124.386616,400,77.234675
-7450.918356,400,77.41392
-21584.951784,400,77.593534
-8597.229473,400,77.769599
-29271.698394,400,77.94538
-28696.379707,400,78.121793
-8670.705489,400,78.298612
-26331.002224,400,78.472979
-11761.923531,400,78.646783
-11149.607216,400,78.820655
-30521.320811,400,78.994089
-9591.36557,400,79.168072
-11497.152252,400,79.342426
-11669.427521,400,79.517448
-21609.54453,400,79.691619
-11241.369135,400,79.868475
-11310.753455,400,80.104948
-28835.741738,400,80.276111
-50407.470454,400,80.462485
-7598.520775,400,80.652916
-18826.724151,400,80.953304
-8849.031321,400,81.207775
-19994.687912,400,81.456105
-11613.729844,400,81.649974
-5250.222515,400,81.829195
-10271.112272,400,82.017095
-11430.901474,400,82.208884
-10646.920272,400,82.392523
-20960.91148,400,82.578734
-15630.847796,400,82.759374
-25438.289859,400,82.937468
-14971.152273,400,83.137149
-19364.610954,400,83.327749
-7820.082028,400,83.531399
-14769.106631,400,83.778057
-6526.735496,400,83.982757
-4464.870823,400,84.185947
-5584.452947,400,84.38868
-13088.555473,400,84.60222
-17234.911053,400,84.788981
-16583.324398,400,84.964662
-45834.876441,400,85.138691
-33636.649571,400,85.312597
-29197.936832,400,85.489144
-13137.023152,400,85.666056
-17139.658589,400,85.840022
-10478.228549,400,86.013033
-30504.379781,400,86.18693
-21766.880806,400,86.362553
-11271.571554,400,86.53639
-37915.996352,400,86.711059
-9928.171175,400,86.884395
-13768.060311,400,87.063192
-31771.000023,400,87.242512
-5860.642215,400,87.424608
-5416.447421,400,87.604748
-15325.528985,400,87.782227
-10288.814785,400,87.99005
-8699.24679,400,88.170029
-5531.123959,400,88.354614
-17805.083439,400,88.535543
-26539.761413,400,88.716023
-13080.499448,400,88.893195
-25584.321447,400,89.067612
-13830.39376,400,89.241486
-9494.428686,400,89.415098
-7183.231016,400,89.591766
-21706.294635,400,89.765659
-6677.600741,400,89.94131
-18097.45636,400,90.117144
-11539.399649,400,90.290982
-5794.843304,400,90.464077
-6382.828043,400,90.648762
-33678.652794,400,90.823629
-7276.929157,400,90.997875
-17544.937162,400,91.171908
-9624.558176,400,91.347546
-12139.212749,400,91.521153
-18238.633028,400,91.700319
-22178.760396,400,91.874585
-28588.061381,400,92.048169
-30390.962939,400,92.222775
-8225.634816,400,92.39924
-29190.264192,400,92.573296
-33118.832725,400,92.748117
-38411.366986,400,92.922151
-24486.694447,400,93.09659
-9382.93641,400,93.273551
-28331.305427,400,93.450844
-48569.99682,400,93.626378
-27220.103542,400,93.801959
-10743.593539,400,93.978001
-24008.429757,400,94.151512
-22355.290797,400,94.332012
-28648.747371,400,94.51828
-23944.085325,400,94.698855
-5537.697394,400,94.89042
-32440.921557,400,95.077467
-15012.001943,400,95.262416
-4671.610569,400,95.456562
-42202.686117,400,95.62861
-36047.298909,400,95.799887
-10366.418953,400,95.972545
-11015.804498,400,96.144744
-25531.610189,400,96.318542
-5568.193493,400,96.506089
-24506.183937,400,96.749274
-5711.588982,400,96.924088
-28912.787499,400,97.100448
-14914.975291,400,97.276687
-7581.937086,400,97.451486
-27002.227249,400,97.627268
-41456.059851,400,97.803626
-19670.581827,400,97.980166
-25732.858712,400,98.157369
-8854.511349,400,98.337804
-17610.10428,400,98.510871
-13816.187541,400,98.684941
-26081.273861,400,98.858127
-11464.145285,400,99.037576
-33449.00107,400,99.215171
-26974.277068,400,99.388878
-11721.686362,400,99.56262
-12394.438235,400,99.737418
-18398.99022,400,99.911011
-18931.158369,400,100.083209
-31460.161915,400,100.26045
-21475.019887,400,100.451738
-27245.813333,400,100.644509
-24845.722395,400,100.834275
-15166.018829,400,101.010589
-12726.72678,400,101.219228
-33301.774755,400,101.415905
-15743.226207,400,101.635616
-15705.211737,400,101.80822
-3181.662961,400,101.982901
-18039.437203,400,102.153702
-9746.061171,400,102.326052
-18277.487324,400,102.498853
-11912.316606,400,102.670354
-29441.923918,400,102.842286
-21720.078359,400,103.014068
-12591.566345,400,103.18761
-7793.408239,400,103.360291
-30695.238589,400,103.534532
-12974.533219,400,103.744051
-5327.742644,400,103.949712
-15309.842062,400,104.160846
-13670.104226,400,104.343701
-3762.541527,400,104.523496
-31304.897322,400,104.699755
-29754.102945,400,104.877232
-5236.688174,400,105.054824
-15227.364096,400,105.228509
-28515.332205,400,105.403518
-18670.890881,400,105.579571
-6097.355636,400,105.757409
-31227.464589,400,106.03942
-6592.766193,400,106.216968
-15494.33933,400,106.395663
-15534.118492,400,106.571136
-21693.633059,400,106.747882
-25621.18929,400,106.92384
-15117.775928,400,107.10305
-29320.948071,400,107.280601
-35617.961777,400,107.454896
-22778.492243,400,107.629008
-22288.70309,400,107.804613
-6653.773285,400,107.983502
-30851.27151,400,108.157293
-11107.156527,400,108.338264
-5163.184821,400,108.515822
-9084.909513,400,108.694972
-9020.724393,400,108.880434
-29427.234353,400,109.066514
-4258.371381,400,109.250124
-8110.5459,400,109.432275
-15590.296024,400,109.610555
-24839.760346,400,109.792699
-17430.601075,400,109.972711
-12088.077958,400,110.149044
-43078.407974,400,110.328318
-55319.514749,400,110.510952
-33687.097154,400,110.7083
-15635.818656,400,110.955748
-16843.765815,400,111.187499
-12840.465081,400,111.423729
