#{"t_start": 1722810014.910295, "env_id": "None"}
r,l,t
-19037.655685,400,0.237794
-42249.37023,400,0.457605
-15993.616746,400,0.675822
-11985.695341,400,0.900533
-15674.653027,400,1.121891
-37547.936686,400,1.38733
-64677.066078,400,1.619744
-5523.569118,400,1.842534
-14466.844725,400,2.073283
-34528.557689,400,2.29216
-16685.858665,400,2.510945
-24531.541098,400,2.728748
-46595.811406,400,2.958843
-20243.931305,400,3.175771
-19977.892854,400,3.393248
-4460.932054,400,3.619197
-55110.223039,400,3.840175
-31399.303046,400,4.097724
-19164.628457,400,4.337087
-11285.342898,400,4.563835
-18484.167947,400,4.79292
-17820.774957,400,5.016443
-22919.831648,400,5.258414
-26041.755103,400,5.479776
-15713.636216,400,5.694454
-30013.422562,400,5.910444
-28826.22657,400,6.130795
-55656.294657,400,6.34737
-12631.861397,400,6.592266
-17652.241388,400,6.820138
-42378.864136,400,7.03747
-31527.484436,400,7.270924
-19169.360871,400,7.496688
-72338.267672,400,7.719396
-26581.716397,400,7.947575
-42521.31701,400,8.173927
-18203.781181,400,8.401119
-33590.875269,400,8.629105
-18994.248497,400,8.85798
-48665.858655,400,9.095019
-19535.959433,400,9.339068
-48577.167616,400,9.55593
-47621.387517,400,9.776854
-62991.384767,400,10.00398
-10347.828651,400,10.227663
-38364.464884,400,10.447838
-59496.264256,400,10.668512
-14554.356543,400,10.895771
-17874.715232,400,11.115388
-39135.345228,400,11.335918
-65532.158303,400,11.557894
-17741.509138,400,11.785374
-49547.982695,400,12.004828
-18637.779483,400,12.229419
-6899.314,400,12.443464
-10874.58039,400,12.662617
-29224.662683,400,12.885533
-14260.236724,400,13.134697
-28063.144752,400,13.357002
-12720.237888,400,13.577627
-27129.235598,400,13.806278
-37213.373625,400,14.031377
-36974.862923,400,14.250707
-13942.021936,400,14.473657
-21485.778308,400,14.702335
-51492.333006,400,14.921936
-22804.121378,400,15.149157
-44710.371645,400,15.378046
-17924.00417,400,15.604068
-28759.46614,400,15.818662
-19628.702617,400,16.040009
-29077.426053,400,16.272542
-15339.980723,400,16.492533
-35400.828923,400,16.711604
-14444.728946,400,16.931745
-21770.058649,400,17.154133
-32534.51725,400,17.375548
-46421.652527,400,17.595922
-71041.949537,400,17.844488
-17036.540893,400,18.068671
-42760.360437,400,18.297218
-34550.234621,400,18.538733
-13544.754908,400,18.758256
-12660.266793,400,18.979151
-25839.077529,400,19.197293
-64648.641563,400,19.416673
-88233.852471,400,19.63627
-62690.432108,400,19.871671
-18362.158272,400,20.102166
-23658.000836,400,20.322994
-11728.688836,400,20.549428
-11625.601525,400,20.776546
-48443.96498,400,21.009574
-78818.870138,400,21.231343
-10614.706186,400,21.454438
-31539.185344,400,21.679839
-23728.635433,400,21.902177
-20458.410092,400,22.128061
-30329.32665,400,22.369813
-19246.041556,400,22.590726
-39305.538076,400,22.822728
-23262.589729,400,23.059945
-51261.59209,400,23.282061
-35988.104158,400,23.513279
-39894.30338,400,23.736623
-5247.141914,400,23.952804
-18408.491053,400,24.173336
-5779.040698,400,24.407503
-42512.313173,400,24.637301
-17496.231326,400,24.864229
-29984.564888,400,25.090549
-26793.54812,400,25.308803
-15785.98985,400,25.52992
-10473.197098,400,25.752473
-25589.351656,400,25.969246
-13839.84797,400,26.194814
