#{"t_start": 1722781342.720622, "env_id": "None"}
r,l,t
-54388.388113,400,0.208964
-65175.456952,400,0.410113
-34234.933572,400,0.619931
-29855.270873,400,0.838906
-86729.838124,400,1.0479
-42305.209203,400,1.253721
-186256.75528,400,1.456779
-52348.555927,400,1.657364
-28560.883965,400,1.862579
-9150.852518,400,2.062838
-36540.007975,400,2.259641
-36831.69317,400,2.4589
-43686.345033,400,2.65921
-29420.157796,400,2.857536
-129285.510831,400,3.055321
-19443.530867,400,3.257212
-59807.539641,400,3.456146
-16082.444555,400,3.657555
-29813.338137,400,3.857453
-29442.2392,400,4.055221
-36097.38061,400,4.251596
-31505.647332,400,4.450012
-75005.592312,400,4.645958
-38724.939103,400,4.84165
-50963.632945,400,5.033191
-76414.615616,400,5.228803
-69522.940195,400,5.420487
-64018.714844,400,5.620831
-27387.60916,400,5.816135
-97340.251296,400,6.056671
-67336.319471,400,6.249039
-24756.091752,400,6.444851
-58508.536121,400,6.637886
-61941.600451,400,6.830267
-65992.175293,400,7.028705
-104778.446333,400,7.227204
-48062.645394,400,7.417827
-28144.305554,400,7.607776
-27688.88066,400,7.848253
-25226.192729,400,8.052067
-45247.564351,400,8.26616
-11660.92342,400,8.480263
-39359.868328,400,8.740026
-24680.203187,400,8.953698
-55651.001391,400,9.159904
-82164.782616,400,9.368513
-56130.424462,400,9.582119
-30009.038945,400,9.802534
-62021.501857,400,10.016337
-31354.823613,400,10.231381
-29902.559406,400,10.431661
-37447.72759,400,10.625147
-52964.309723,400,10.819456
-59649.447111,400,11.009669
-30822.96903,400,11.198518
-19478.862899,400,11.393194
-45295.473954,400,11.589604
-42262.993541,400,11.780428
-16377.165232,400,11.97388
-51301.967337,400,12.165488
-20613.070441,400,12.359581
-30817.997404,400,12.552108
-29203.956072,400,12.743608
-16548.540665,400,12.935283
-36837.092628,400,13.127093
-89016.687031,400,13.358879
-21713.581823,400,13.665509
-38736.849534,400,13.88734
-21480.657126,400,14.092077
-47600.904322,400,14.297113
-19751.030432,400,14.501148
-22879.13137,400,14.713856
-14326.094199,400,14.927072
-23644.896437,400,15.140572
-19321.682898,400,15.355586
-41910.079996,400,15.548283
-75612.811164,400,15.752012
-65912.326016,400,15.949895
-62521.517339,400,16.194971
-28096.768071,400,16.408252
-58856.818147,400,16.60225
-64328.9373,400,16.794399
-21066.14951,400,16.99226
-36346.971546,400,17.214447
-88481.35924,400,17.410208
-38605.346198,400,17.611011
-76518.280339,400,17.802808
-68876.649235,400,18.01932
-65247.423691,400,18.213292
-22999.512446,400,18.408177
-89624.186862,400,18.604311
-72826.207659,400,18.795388
-34197.436457,400,18.995186
-101601.45393,400,19.188959
