#{"t_start": 1720387943.157823, "env_id": "None"}
r,l,t
-858.010736,100,0.036884
-450.302698,100,0.071039
600.075928,100,0.105649
130.581307,100,0.139846
198.966903,100,0.174295
8.65262,100,0.20928
306.949944,100,0.243015
-465.851097,100,0.276459
232.661039,100,0.310385
197.701435,100,0.345154
699.477531,100,0.379009
-239.009092,100,0.413246
369.462506,100,0.446899
177.154217,100,0.480528
38.368077,100,0.51422
-129.895734,100,0.549579
75.809808,100,0.583676
20.722868,100,0.618204
-723.185108,100,0.652601
132.572137,100,0.688273
153.74038,100,0.72278
405.750446,100,0.756485
-129.262068,100,0.79114
319.412238,100,0.825472
145.787785,100,0.859432
316.556575,100,0.894708
-181.49103,100,0.92895
50.847267,100,0.963276
-692.595616,100,0.997275
96.573128,100,1.031404
22.795188,100,1.065552
227.542051,100,1.099979
-239.598043,100,1.134962
172.442511,100,1.17157
-1231.933356,100,1.20551
230.685095,100,1.2401
-374.045095,100,1.273887
6.619255,100,1.307791
517.651275,100,1.341563
177.790833,100,1.375845
230.148398,100,1.410326
226.250252,100,1.444023
326.828006,100,1.47824
364.342321,100,1.513832
3.58416,100,1.547783
382.899855,100,1.581927
-619.324964,100,1.615664
396.068129,100,1.649653
72.722121,100,1.683621
518.276286,100,1.717358
294.246062,100,1.753137
-121.921105,100,1.78791
775.035194,100,1.821943
130.335549,100,1.856345
-102.888205,100,1.890522
257.514444,100,1.925238
522.667854,100,1.959691
372.976751,100,1.994104
204.360183,100,2.028863
878.571889,100,2.06299
-28.867933,100,2.096962
270.180903,100,2.130702
99.331019,100,2.164426
535.674356,100,2.198068
382.862439,100,2.232013
20.748384,100,2.267673
566.371022,100,2.301621
374.668866,100,2.336288
339.8398,100,2.371153
240.091149,100,2.406141
631.284032,100,2.440678
293.709924,100,2.475097
-9.248445,100,2.509406
26.840282,100,2.54448
297.769071,100,2.579613
385.274444,100,2.613614
474.086637,100,2.647765
215.019256,100,2.682256
177.458199,100,2.715827
669.898993,100,2.750981
181.677075,100,2.785889
-22.336486,100,2.820431
609.810811,100,2.854214
400.679059,100,2.88803
425.044741,100,2.921862
-275.465045,100,2.956021
543.121831,100,2.989699
469.00557,100,3.023731
630.706195,100,3.059012
346.595663,100,3.094293
-1339.009024,100,3.129379
527.554679,100,3.164267
334.849364,100,3.199536
545.140178,100,3.234187
846.372192,100,3.268621
273.140478,100,3.302613
-137.774061,100,3.337273
506.92669,100,3.370836
18.104951,100,3.405255
366.291684,100,3.438837
458.100676,100,3.474238
159.343339,100,3.509137
579.693549,100,3.544127
559.069902,100,3.577977
593.039903,100,3.611684
111.943667,100,3.645262
747.287156,100,3.678831
483.402441,100,3.712432
730.49623,100,3.74604
437.208618,100,3.779668
172.225591,100,3.813641
484.649968,100,3.847669
205.501996,100,3.881825
