#{"t_start": 1722810743.824797, "env_id": "None"}
r,l,t
-7484.443144,400,0.325731
-28908.076478,400,0.557835
-11720.365156,400,0.774034
-13682.480112,400,1.007983
-41826.52351,400,1.242032
-26654.862231,400,1.521598
-5626.547839,400,1.780634
-5817.611945,400,2.014023
-10912.827498,400,2.227045
-39268.100801,400,2.440414
-37511.961414,400,2.663973
-16482.395421,400,2.878441
-6652.945903,400,3.092425
-17335.18386,400,3.311195
-7163.99632,400,3.529523
-8725.968445,400,3.74505
-15404.902426,400,3.965239
-10911.195849,400,4.193607
-11354.022665,400,4.408563
-28237.276626,400,4.628687
-31548.998388,400,4.875527
-18790.512745,400,5.087333
-14070.44145,400,5.307355
-13614.204293,400,5.533581
-34647.225169,400,5.748828
-24377.493223,400,5.961869
-5865.541754,400,6.196092
-21259.371375,400,6.414502
-22797.545292,400,6.638361
-8729.101685,400,6.857648
-17568.47749,400,7.070253
-28214.95871,400,7.360653
-20911.036813,400,7.619097
-38475.4141,400,7.865129
-12256.127221,400,8.082691
-4940.66657,400,8.295504
-14770.025262,400,8.512313
-36834.42976,400,8.729448
-7587.308298,400,9.055727
-20853.934285,400,9.270664
-23318.716091,400,9.589262
-47150.808013,400,9.814494
-13986.176244,400,10.031908
-27609.946868,400,10.246625
-38594.683614,400,10.460557
-5550.021347,400,10.70148
-11976.69412,400,10.925771
-11536.356392,400,11.140554
-12603.407404,400,11.36182
-2105.653948,400,11.581643
-38849.409792,400,11.830918
-6090.436086,400,12.057883
-33982.547804,400,12.292203
-3113.759486,400,12.516269
-45138.53248,400,12.736945
-8528.828624,400,12.966853
-3742.138713,400,13.208191
-16657.308998,400,13.447249
-5177.262352,400,13.699577
-5357.931896,400,13.936246
-3153.843217,400,14.169067
-21843.564092,400,14.386808
-60281.608718,400,14.603625
-24202.053349,400,14.823484
-8999.693612,400,15.056625
-17908.553541,400,15.280903
-26720.280305,400,15.496954
-32538.256636,400,15.709947
-21285.145429,400,15.923111
-15224.839601,400,16.134605
-31894.156574,400,16.345559
-12558.623057,400,16.570821
-10502.048338,400,16.792772
-44774.684138,400,17.00645
-14061.551663,400,17.220057
-13913.029972,400,17.430156
-9124.338192,400,17.665147
-19708.986333,400,17.888892
-20820.023559,400,18.110688
-9749.347418,400,18.327634
-9990.588134,400,18.544258
-78831.826869,400,18.759383
-10149.371462,400,18.975231
-8418.21449,400,19.191124
-15291.111613,400,19.407791
-28652.63978,400,19.634196
-43121.578241,400,19.856497
-17463.575956,400,20.081529
-11736.088399,400,20.297588
-12460.114573,400,20.512296
-9256.582874,400,20.72713
-22306.660205,400,20.942869
-19616.882913,400,21.171722
-54010.03229,400,21.383386
-11391.706227,400,21.603446
-11972.913121,400,21.825931
-8415.493914,400,22.039864
-8194.212105,400,22.276535
-11791.950504,400,22.491894
-11007.754256,400,22.706325
-16503.964484,400,22.927169
-10201.596393,400,23.143522
-7179.96996,400,23.358912
-11226.265856,400,23.575164
-18179.719414,400,23.789891
-13799.617035,400,24.014332
-20204.404826,400,24.229952
-3677.451777,400,24.44665
-10152.917759,400,24.682694
-23881.179764,400,24.898956
-35430.372986,400,25.117561
-27737.269219,400,25.332943
-9980.233595,400,25.544527
-19983.675463,400,25.756702
-6674.896183,400,25.972187
-13148.314445,400,26.190816
-43005.775079,400,26.401107
-8773.133752,400,26.613451
-12346.378174,400,26.828307
-24650.760311,400,27.042878
-15182.06344,400,27.262123
-5551.206615,400,27.472119
-4337.998826,400,27.680909
-10932.841481,400,27.896109
-17737.237278,400,28.110159
-33074.652793,400,28.319573
-14439.020118,400,28.532646
-8578.866867,400,28.743571
-5715.685555,400,28.980868
-19900.79813,400,29.197184
-5501.046319,400,29.417714
-16631.65551,400,29.639964
-18416.044071,400,29.85609
-26162.826516,400,30.076124
-13632.455612,400,30.319493
-25461.638174,400,30.532472
-18309.871508,400,30.74762
-17945.737773,400,30.960543
-15818.870488,400,31.173925
-5805.779902,400,31.382473
-17355.047862,400,31.589699
-4253.105343,400,31.806739
-16603.495784,400,32.025824
-7115.184116,400,32.24621
-4451.952166,400,32.463157
-15068.284255,400,32.683238
-37700.54144,400,32.910007
-7062.054118,400,33.136595
-2097.398619,400,33.361579
-11318.396679,400,33.593088
-5886.292757,400,33.809155
-42305.318556,400,34.032288
-52421.510598,400,34.257098
-13279.490358,400,34.48306
-6495.369343,400,34.698281
-24361.296949,400,34.915117
-27529.932128,400,35.13317
-30832.862821,400,35.351448
-37168.555697,400,35.567168
-19567.270167,400,35.78655
-28307.89606,400,36.006074
-30694.930581,400,36.235935
-29116.868262,400,36.456591
-34338.586196,400,36.684253
-8560.690076,400,36.915607
-21062.710662,400,37.136195
-21395.386444,400,37.356142
-36509.82836,400,37.56833
-22553.319582,400,37.786785
-9047.369766,400,38.004239
-32039.773318,400,38.218336
-36254.514684,400,38.429731
-8314.078761,400,38.639163
-30115.402519,400,38.854913
-25332.540956,400,39.076928
-7925.524199,400,39.289712
-15430.749142,400,39.510385
-18280.83536,400,39.72901
-15314.990662,400,39.945287
-20093.816927,400,40.157902
-18421.732503,400,40.381427
-1253.459095,400,40.602797
-25430.159574,400,40.826553
-16682.365517,400,41.048863
-39220.20678,400,41.273571
-15420.280888,400,41.492256
-3703.962372,400,41.710096
-10935.658257,400,41.924127
-11538.895439,400,42.140992
-18175.741235,400,42.353134
-12144.658059,400,42.569434
-4438.736487,400,42.844072
-2777.971739,400,43.059412
-19847.898299,400,43.296202
-10976.61573,400,43.535329
-26878.310281,400,43.793396
-34803.692986,400,44.065194
-23752.153643,400,44.295605
-14097.531092,400,44.518492
-3711.017719,400,44.73848
-13303.561216,400,44.966722
-3442.447213,400,45.185571
-13402.958566,400,45.40862
-3797.462991,400,45.625825
-17661.300196,400,45.838929
-14088.276628,400,46.057737
-6266.533141,400,46.275657
-7961.390799,400,46.495116
-5586.977112,400,46.717975
-15480.949538,400,46.94333
-9055.185093,400,47.162913
-9947.936228,400,47.377185
-25593.843418,400,47.601183
-42041.737082,400,47.826733
-16865.810684,400,48.047287
-19662.865802,400,48.276203
-19169.121374,400,48.504529
-8278.694686,400,48.72629
-6708.636171,400,48.949704
-17138.74664,400,49.166517
-15327.629084,400,49.384645
-12002.651893,400,49.603327
-2982.089735,400,49.831384
-6018.169188,400,50.057266
-12343.160408,400,50.277742
-51994.216796,400,50.494059
-19164.896251,400,50.715281
-11789.035955,400,50.937259
-66629.908549,400,51.154345
-13695.337128,400,51.367253
-14626.47787,400,51.589266
-42980.596167,400,51.810834
-4647.275486,400,52.033095
-25601.068876,400,52.254922
-6151.272036,400,52.480894
-11407.468762,400,52.713678
-8430.138364,400,52.940224
-20001.297769,400,53.163049
-26606.151324,400,53.392832
-18046.823467,400,53.62418
-16095.706842,400,53.843791
-31543.846903,400,54.073457
-8056.59209,400,54.300108
-12923.605058,400,54.524479
-29795.981985,400,54.754985
-52414.916468,400,54.9777
-38359.48233,400,55.20572
-10713.100833,400,55.435396
-15958.841312,400,55.666731
-5285.712721,400,55.897526
