#{"t_start": 1720387125.829303, "env_id": "None"}
r,l,t
-974.336261,100,0.042445
-471.396219,100,0.079344
435.384919,100,0.114907
65.983219,100,0.149616
293.249832,100,0.186442
-243.868274,100,0.223997
294.852103,100,0.259773
-388.151876,100,0.294001
218.180243,100,0.329968
282.192158,100,0.366814
859.991439,100,0.406156
-132.332848,100,0.44116
310.612255,100,0.478449
1.044817,100,0.514067
64.574668,100,0.548962
-394.491342,100,0.586455
-42.547542,100,0.621373
-187.861044,100,0.65763
-608.151786,100,0.694126
47.055587,100,0.728227
223.645303,100,0.764758
307.319523,100,0.800703
-197.387377,100,0.836903
1.488687,100,0.871441
150.503703,100,0.906335
276.309584,100,0.94478
-205.22345,100,0.981246
-194.229722,100,1.016232
-744.758429,100,1.050964
10.457606,100,1.085222
-84.206186,100,1.130177
147.355818,100,1.170423
-622.056235,100,1.222521
98.926134,100,1.264695
-1041.142416,100,1.307388
-77.292205,100,1.349415
-236.212214,100,1.388812
-86.988962,100,1.42667
442.340664,100,1.464006
59.543875,100,1.500185
-20.0736,100,1.538967
-83.364451,100,1.574105
300.728795,100,1.610961
186.105974,100,1.647093
91.419567,100,1.686389
266.60505,100,1.723646
-884.768342,100,1.760043
348.965589,100,1.799923
101.011192,100,1.851538
563.09278,100,1.895091
30.502929,100,1.932008
-116.437312,100,1.968776
673.812507,100,2.005623
169.300442,100,2.042286
-201.274111,100,2.078618
127.497276,100,2.114956
399.022345,100,2.152268
301.450439,100,2.193995
-8.103973,100,2.230222
802.081377,100,2.266614
-157.51097,100,2.307498
108.402907,100,2.344601
-91.964643,100,2.380516
526.692494,100,2.41782
373.238213,100,2.455106
78.256222,100,2.497045
362.663608,100,2.534281
240.557006,100,2.572238
193.623744,100,2.610411
349.036447,100,2.648111
533.030361,100,2.686749
190.936914,100,2.727117
22.835606,100,2.773315
-88.540783,100,2.813044
284.84621,100,2.853374
549.54449,100,2.897258
114.829958,100,2.938374
-330.783881,100,2.982082
188.560783,100,3.024874
298.888718,100,3.065524
61.891819,100,3.111773
92.494875,100,3.155194
615.558288,100,3.193702
409.725591,100,3.232143
443.410369,100,3.271306
-247.267706,100,3.309355
603.310627,100,3.349834
466.941195,100,3.387782
607.704426,100,3.424489
174.16816,100,3.461041
-1783.097717,100,3.500088
411.256142,100,3.538202
306.419384,100,3.577583
531.810409,100,3.614678
988.142278,100,3.651833
364.019661,100,3.69177
-479.408296,100,3.729456
475.972916,100,3.765597
151.918679,100,3.802228
416.875769,100,3.837761
566.48,100,3.874643
51.556447,100,3.912564
561.543425,100,3.948576
609.196461,100,3.985778
639.244102,100,4.023274
332.118173,100,4.062655
644.512085,100,4.103309
611.051697,100,4.157745
387.40174,100,4.20865
465.701193,100,4.249163
491.075792,100,4.289205
671.730861,100,4.325147
119.682053,100,4.360746
-87.968927,100,4.401566
641.540626,100,4.436387
1090.61558,100,4.474913
452.932627,100,4.511886
686.527465,100,4.547619
369.574056,100,4.581991
501.067171,100,4.618425
-849.292833,100,4.657695
-3.122824,100,4.697375
387.246437,100,4.736223
341.425652,100,4.776348
1219.54531,100,4.816492
633.053688,100,4.866703
535.856432,100,4.911004
335.871027,100,4.952406
568.806901,100,5.000817
292.66931,100,5.06045
308.128162,100,5.140455
-186.387604,100,5.210082
415.767952,100,5.253499
306.687252,100,5.296984
365.036119,100,5.366052
177.340502,100,5.409253
372.078862,100,5.448719
358.304759,100,5.492345
-303.741529,100,5.528688
-44.489126,100,5.563969
92.100233,100,5.604491
279.876553,100,5.643159
-670.958887,100,5.683868
371.09364,100,5.741173
494.51497,100,5.784395
473.750357,100,5.826373
-202.005377,100,5.863751
467.857427,100,5.905438
-680.911675,100,5.942366
95.450641,100,5.977776
525.658736,100,6.01527
245.276491,100,6.051565
540.513728,100,6.088197
306.5286,100,6.124429
291.647298,100,6.161129
127.848622,100,6.200054
75.20187,100,6.244584
674.543112,100,6.286134
328.108416,100,6.325433
433.753088,100,6.368243
-67.544017,100,6.410977
334.694246,100,6.448008
51.37213,100,6.484977
499.418084,100,6.522259
-749.936295,100,6.559142
78.539481,100,6.597497
357.788051,100,6.637109
587.763342,100,6.683528
730.874071,100,6.730241
747.977315,100,6.777748
750.465545,100,6.822719
676.85589,100,6.863531
335.787239,100,6.901456
824.898886,100,6.939019
482.52951,100,6.979443
624.532242,100,7.018966
565.847645,100,7.057757
-214.056513,100,7.09703
294.289678,100,7.135163
487.784594,100,7.173779
365.009492,100,7.216158
464.640536,100,7.25897
609.259672,100,7.300973
601.810768,100,7.342674
344.919265,100,7.383588
716.027045,100,7.423873
608.089394,100,7.466174
327.050026,100,7.512129
12.006305,100,7.551923
-5.466203,100,7.600655
391.883285,100,7.642626
188.598174,100,7.679386
468.702903,100,7.71971
514.964477,100,7.757385
738.243321,100,7.794841
466.548904,100,7.833154
840.102282,100,7.870158
574.215,100,7.906261
434.666821,100,7.94212
724.634681,100,7.976578
-253.580831,100,8.016913
213.591714,100,8.054818
1079.918262,100,8.091244
284.912368,100,8.12799
-216.902918,100,8.16249
439.754541,100,8.201637
598.888684,100,8.23927
413.383071,100,8.404657
-99.491085,100,8.443887
389.554771,100,8.484354
85.192669,100,8.523322
405.975754,100,8.563057
948.650594,100,8.602019
808.798429,100,8.639139
373.720408,100,8.674914
553.741374,100,8.71332
336.806476,100,8.753754
520.244002,100,8.79184
379.190548,100,8.82885
422.323172,100,8.865018
605.853312,100,8.903018
-14.168368,100,8.941402
315.36052,100,8.978104
260.290113,100,9.018593
399.186749,100,9.058578
616.227134,100,9.096456
589.551066,100,9.136291
832.669722,100,9.172413
329.876669,100,9.209443
492.202794,100,9.249127
341.830135,100,9.292379
106.036171,100,9.330754
1577.082876,100,9.368073
191.790782,100,9.40474
-287.578465,100,9.440512
206.567678,100,9.481935
453.372028,100,9.52037
196.454543,100,9.558903
62.72447,100,9.606857
563.456445,100,9.654865
448.908517,100,9.706281
554.836262,100,9.746857
438.307973,100,9.791708
486.319636,100,9.827599
945.666739,100,9.862701
824.918328,100,9.899541
489.251274,100,9.935146
593.17154,100,9.971244
764.60563,100,10.007375
212.857768,100,10.046544
434.714956,100,10.085689
503.848231,100,10.124253
102.998033,100,10.161003
-90.759152,100,10.196767
399.715408,100,10.231827
1112.050149,100,10.270362
814.306073,100,10.307225
803.679496,100,10.342761
139.038824,100,10.378932
-597.199045,100,10.416298
53.418227,100,10.45488
590.724101,100,10.492595
279.285003,100,10.533134
310.184884,100,10.569186
-242.671555,100,10.606224
-249.531404,100,10.645893
496.070053,100,10.686178
664.640859,100,10.724116
604.386744,100,10.761509
-224.62445,100,10.799449
645.347952,100,10.84539
-152.980407,100,10.889678
628.661192,100,10.928717
150.062842,100,10.966991
351.166819,100,11.007643
580.273979,100,11.044855
-574.218756,100,11.080456
341.288148,100,11.116617
461.928376,100,11.151266
379.72333,100,11.189805
499.136382,100,11.228349
-77.869349,100,11.264851
305.817664,100,11.301968
391.239293,100,11.337825
333.716701,100,11.375133
102.803366,100,11.411158
662.632876,100,11.445586
578.931543,100,11.481336
-661.790267,100,11.517098
392.776671,100,11.553491
240.14939,100,11.594106
140.622194,100,11.63028
521.540144,100,11.66663
324.851295,100,11.70414
603.070607,100,11.741873
501.0382,100,11.779043
425.243041,100,11.817146
709.951591,100,11.852119
504.743796,100,11.887527
670.106039,100,11.923272
224.788082,100,11.959857
-67.712224,100,11.999171
318.295749,100,12.036093
373.378389,100,12.072511
-116.567652,100,12.108013
-641.608083,100,12.14449
514.518159,100,12.182683
660.983105,100,12.223347
339.299401,100,12.2598
356.431919,100,12.294947
408.193691,100,12.333713
838.124113,100,12.369265
634.942976,100,12.404583
814.322241,100,12.443775
366.258692,100,12.479462
-527.672283,100,12.516669
548.886767,100,12.557836
171.518131,100,12.592827
430.754201,100,12.628111
819.514042,100,12.663253
680.711755,100,12.70217
610.725919,100,12.738286
693.726897,100,12.773841
803.116851,100,12.807951
512.244735,100,12.843471
295.136637,100,12.884597
709.116691,100,12.93161
1188.144646,100,13.05483
773.805372,100,13.09506
589.355411,100,13.132357
-36.140589,100,13.172149
-203.895993,100,13.218173
512.929025,100,13.25354
495.771315,100,13.288031
911.512427,100,13.324809
119.848724,100,13.362148
178.758662,100,13.406502
561.713695,100,13.443152
635.983849,100,13.478519
404.266402,100,13.515429
1166.995312,100,13.552873
483.842008,100,13.587169
541.346136,100,13.62371
447.208248,100,13.658863
-191.412944,100,13.694167
368.125661,100,13.734395
408.104911,100,13.770459
353.000758,100,13.80659
641.088915,100,13.844253
554.046406,100,13.878754
144.023992,100,13.91684
822.694341,100,13.956083
632.531215,100,13.991176
-520.901879,100,14.026445
340.877636,100,14.061609
432.666483,100,14.098228
198.081356,100,14.137791
663.414222,100,14.182767
344.373421,100,14.218795
655.953349,100,14.254947
469.220761,100,14.292515
468.22854,100,14.330388
53.588391,100,14.36993
665.366807,100,14.404606
348.855696,100,14.43865
487.779987,100,14.474143
218.841601,100,14.509416
222.454767,100,14.545454
479.244403,100,14.583328
388.081812,100,14.62517
277.992689,100,14.663471
454.208306,100,14.698313
551.264307,100,14.734479
279.696391,100,14.770084
-550.996455,100,14.80869
244.700225,100,14.847153
336.90269,100,14.881717
348.249429,100,14.918696
-354.086997,100,14.954779
103.052071,100,14.992954
363.675905,100,15.032714
534.357342,100,15.068602
-23.149284,100,15.105689
490.199185,100,15.143148
608.656362,100,15.179314
-119.628925,100,15.220141
478.156018,100,15.255791
370.596612,100,15.291523
324.877621,100,15.327951
703.029817,100,15.364508
510.690724,100,15.410715
165.156821,100,15.451555
922.333343,100,15.511774
104.29049,100,15.547774
-99.0567,100,15.582608
123.432446,100,15.619873
558.382584,100,15.6542
-820.918494,100,15.695029
376.624985,100,15.736561
