#{"t_start": 1722810893.0141282, "env_id": "None"}
r,l,t
-9779.990054,400,0.227726
-34600.142833,400,0.451941
-4407.71845,400,0.680033
-21344.896513,400,0.890693
-7282.047141,400,1.116568
-24524.024281,400,1.346753
-16114.16571,400,1.603574
-4827.04861,400,1.822157
-6063.729138,400,2.04381
-9146.227818,400,2.264791
-27201.527759,400,2.483774
-12271.966745,400,2.69525
-11547.400746,400,2.90363
-8281.230647,400,3.113973
-21885.417861,400,3.321182
-6209.372757,400,3.532548
-25363.613746,400,3.742174
-20544.93826,400,3.952346
-11230.962236,400,4.16136
-6591.981322,400,4.370223
-16252.820662,400,4.614024
-25720.851453,400,4.830754
-11112.521174,400,5.084093
-7276.01118,400,5.322191
-17363.634981,400,5.553769
-16201.166238,400,5.781698
-8768.44529,400,6.01052
-21817.005876,400,6.239019
-19863.578071,400,6.470054
-3836.922353,400,6.707409
-17672.163515,400,6.925075
-21418.336026,400,7.16257
-3857.564268,400,7.499985
-32336.009992,400,7.772391
-7022.332961,400,8.02517
-6808.572439,400,8.269033
-23913.648823,400,8.495437
-8189.014016,400,8.731602
-5290.358796,400,8.954825
-13276.191786,400,9.179393
-25684.118275,400,9.414119
-4851.342042,400,9.647633
-13035.791316,400,9.874106
-24701.331671,400,10.090968
-16706.056736,400,10.309644
-12373.69976,400,10.543837
-7682.986482,400,10.775904
-12099.089521,400,11.003719
-10012.962115,400,11.226759
-6426.537806,400,11.455197
-9381.896815,400,11.675882
-5868.160701,400,11.898774
-8755.799796,400,12.118575
-4716.566352,400,12.336206
-14046.128532,400,12.555845
-11387.961487,400,12.775112
-7804.674844,400,12.99224
-24993.735707,400,13.24165
-10305.103695,400,13.468086
-28492.829056,400,13.686751
-24538.801913,400,13.912408
-20485.340251,400,14.130559
-4732.490266,400,14.347738
-19564.754566,400,14.567889
-10600.61659,400,14.789727
-20510.979439,400,15.013568
-21564.553338,400,15.235348
-7213.462585,400,15.476375
-8191.120133,400,15.705543
-21467.348459,400,15.924302
-5353.337252,400,16.159827
-13496.66488,400,16.380367
-7294.533945,400,16.606391
-11135.966386,400,16.826311
-5817.963705,400,17.045303
-6885.566723,400,17.265845
-19861.31744,400,17.486501
-18560.629036,400,17.707921
-31565.301556,400,17.931545
-13173.087032,400,18.148567
