#{"t_start": 1722811192.346097, "env_id": "None"}
r,l,t
-10077.129237,400,0.224165
-71090.06192,400,0.445769
-39109.912709,400,0.66549
-54718.184461,400,0.884044
-15746.075439,400,1.101199
-57444.038323,400,1.345825
-29601.440847,400,1.57548
-23602.775153,400,1.806734
-68862.363053,400,2.030013
-26663.0462,400,2.246468
-53450.024328,400,2.464674
-35385.713406,400,2.683073
-45699.756105,400,2.903774
-15146.00498,400,3.126215
-30699.173352,400,3.340216
-27027.069714,400,3.559043
-38498.268729,400,3.77821
-2630.248582,400,3.994207
-45239.448101,400,4.21706
-8734.674254,400,4.434096
-6463.550444,400,4.651408
-15265.6912,400,4.869932
-13872.550272,400,5.088423
-61703.477867,400,5.30709
-13739.77059,400,5.526505
-21593.880896,400,5.746637
-11513.208752,400,5.966569
-81818.073785,400,6.189016
-36429.168134,400,6.411382
-38513.031566,400,6.626918
-11676.809725,400,6.848209
-5879.999306,400,7.067144
-15059.703439,400,7.287689
-15853.188304,400,7.50483
-9080.224762,400,7.732124
-98274.575843,400,7.950736
-15857.720692,400,8.17089
-25296.955052,400,8.392577
-8801.962353,400,8.60909
-31285.118207,400,8.827939
-90185.433757,400,9.044599
-8693.402495,400,9.261239
-24526.222587,400,9.476992
-6843.40236,400,9.694972
-46865.666122,400,9.910337
-23837.448263,400,10.127502
-56113.893533,400,10.348359
-35613.103983,400,10.576424
-26885.864565,400,10.794868
-40773.446435,400,11.010621
-50389.519027,400,11.22944
-32037.177851,400,11.452445
-9181.706912,400,11.669456
-10312.518832,400,11.888009
-22650.988905,400,12.10186
-7681.019436,400,12.321166
-49716.077115,400,12.538755
-27546.881533,400,12.755653
-25195.572324,400,12.972376
-24416.324819,400,13.191998
-23642.378653,400,13.411488
-71930.979462,400,13.629126
-45629.003399,400,13.845684
-21015.065877,400,14.063844
-61175.334251,400,14.280716
-15426.885224,400,14.497537
-35689.786352,400,14.717581
-16442.772734,400,14.937689
-29023.69504,400,15.156655
-19838.090549,400,15.381012
-16370.169275,400,15.60449
-47691.59067,400,15.821213
-40029.530737,400,16.039468
-18440.544512,400,16.258247
-21683.098298,400,16.479022
-25830.047939,400,16.698882
-10728.447123,400,16.917037
-39484.566621,400,17.164789
-11724.715962,400,17.386079
-44426.229204,400,17.604753
-20515.27602,400,17.82593
-61523.594355,400,18.044098
-11915.449313,400,18.263224
-21697.111711,400,18.479281
-9705.520627,400,18.696809
-18748.292878,400,18.914996
-65928.806338,400,19.133107
-50548.709137,400,19.353099
-25710.413611,400,19.572259
-11265.211183,400,19.786674
-4583.755859,400,20.004328
-36758.266654,400,20.2253
-11484.649721,400,20.44177
-75296.3793,400,20.661034
-31078.939845,400,20.877049
