#{"t_start": 1719748402.590082, "env_id": "None"}
r,l,t
58.79842,100,0.01404
-374.085432,100,0.039926
-253.454783,100,0.065741
-4.691192,100,0.089884
216.021437,100,0.116788
-135.996293,100,0.141794
-238.753581,100,0.167416
-808.094685,100,0.192756
332.115045,100,0.221379
17.129909,100,0.24695
208.018532,100,0.272655
116.084847,100,0.298755
-419.836173,100,0.327898
-528.210634,100,0.35413
98.058655,100,0.380233
137.17489,100,0.407415
222.219566,100,0.436064
-523.42931,100,0.464746
260.246373,100,0.492356
-274.823936,100,0.517956
452.460327,100,0.544864
63.685854,100,0.571836
707.895051,100,0.597716
43.112721,100,0.623882
132.801754,100,0.651664
-914.126726,100,0.678572
216.414841,100,0.706482
1351.959675,100,0.73497
640.666537,100,0.764423
34.194457,100,0.79101
-146.76183,100,0.819803
95.377771,100,0.848316
185.285021,100,0.879299
150.470273,100,0.906992
673.31135,100,0.933354
-522.143346,100,0.960663
357.888285,100,0.989093
-408.359733,100,1.01784
475.781823,100,1.044967
-43.009149,100,1.072899
94.368267,100,1.106355
-3.625129,100,1.139091
49.281661,100,1.169701
-1020.724496,100,1.198902
-205.079779,100,1.231978
718.046204,100,1.262615
100.979719,100,1.293889
128.573101,100,1.321909
510.422304,100,1.353369
-204.876043,100,1.382307
-51.565096,100,1.412374
358.329761,100,1.444578
436.9072,100,1.476332
69.312861,100,1.526373
58.767675,100,1.55726
-1178.832777,100,1.587359
406.537345,100,1.6204
-339.615229,100,1.653026
372.990428,100,1.682887
-559.7238,100,1.713121
596.679463,100,1.744544
175.973808,100,1.774973
554.955045,100,1.804583
-316.834067,100,1.835828
171.75894,100,1.867802
417.557367,100,1.897457
-3.938544,100,1.927562
285.127191,100,1.958849
-254.002425,100,1.995427
-348.423478,100,2.029487
-467.30702,100,2.063628
-45.980839,100,2.095339
147.316639,100,2.126902
7.946094,100,2.156948
555.343796,100,2.188269
385.313657,100,2.218458
396.474773,100,2.249205
267.077683,100,2.280969
-1680.789584,100,2.331068
-5.826749,100,2.362156
88.846146,100,2.394391
373.237166,100,2.424585
-773.079546,100,2.455224
576.389521,100,2.486388
-616.293834,100,2.519574
496.610836,100,2.549883
334.866534,100,2.591716
480.576689,100,2.621719
404.241619,100,2.654429
-534.333965,100,2.689093
170.050042,100,2.722198
798.294271,100,2.75535
-481.196297,100,2.789472
-560.077756,100,2.821019
203.813179,100,2.853765
-388.050151,100,2.885716
-1169.838811,100,2.918945
407.881647,100,2.950483
395.257605,100,2.982574
89.155618,100,3.014609
367.896474,100,3.048472
-367.633238,100,3.080159
375.562753,100,3.111361
344.376514,100,3.143074
411.579728,100,3.178196
32.996827,100,3.209322
-317.125797,100,3.241896
263.919479,100,3.273185
-287.965839,100,3.308194
604.638577,100,3.340792
639.357447,100,3.372559
248.057572,100,3.405972
467.978476,100,3.440515
-177.705292,100,3.471865
220.482717,100,3.502916
303.420794,100,3.534099
752.528109,100,3.567187
178.131081,100,3.600804
-803.334884,100,3.634126
469.470761,100,3.665335
187.925312,100,3.699487
380.92568,100,3.730731
316.808249,100,3.765051
-82.032956,100,3.796408
629.013342,100,3.830358
633.126015,100,3.864134
464.682836,100,3.896164
-170.889525,100,3.926929
-2433.158215,100,3.960297
405.80117,100,3.993774
823.248759,100,4.025296
462.108018,100,4.056242
-575.655742,100,4.089826
352.268887,100,4.121293
630.739678,100,4.153964
931.509374,100,4.185981
617.960435,100,4.218255
-65.815969,100,4.250962
1098.349227,100,4.282865
1254.833499,100,4.314162
1339.360626,100,4.349119
-560.436888,100,4.38067
154.638941,100,4.411806
237.17927,100,4.444263
-978.418403,100,4.478442
246.52185,100,4.510546
478.339338,100,4.541406
873.10571,100,4.574152
216.374071,100,4.607359
514.525941,100,4.640914
467.206848,100,4.674416
442.868984,100,4.705448
356.237057,100,4.73858
641.162151,100,4.771846
214.394065,100,4.805822
720.387868,100,4.836704
102.200479,100,4.871543
339.709149,100,4.903126
-287.147832,100,4.934094
-101.932132,100,4.965679
267.8473,100,4.999612
-625.743823,100,5.03087
195.874663,100,5.062082
-217.286291,100,5.093874
-415.573898,100,5.127667
369.139005,100,5.159221
521.01949,100,5.191864
481.202748,100,5.2233
-175.169469,100,5.257509
110.285678,100,5.289093
360.968356,100,5.322228
673.341983,100,5.355031
-21.028079,100,5.388688
636.647937,100,5.422299
607.782811,100,5.454013
85.412675,100,5.48609
-631.374149,100,5.518679
-101.884978,100,5.551551
-984.983289,100,5.585642
99.989316,100,5.616942
763.331153,100,5.650327
59.455648,100,5.682074
371.619872,100,5.714816
709.098268,100,5.745619
437.099053,100,5.779862
1023.243498,100,5.811315
447.862104,100,5.841995
150.659504,100,5.872774
559.537971,100,5.906551
408.575356,100,5.938897
-451.261466,100,5.971533
166.224611,100,6.002916
188.411262,100,6.055363
-187.08568,100,6.098372
548.059027,100,6.13105
511.64776,100,6.167575
278.459526,100,6.205697
930.70995,100,6.241214
434.879863,100,6.275525
30.584178,100,6.311291
-60.911181,100,6.353602
-474.654709,100,6.38683
645.408149,100,6.422953
476.138268,100,6.46264
309.552332,100,6.498425
1040.642707,100,6.532913
282.169355,100,6.582269
-1008.420782,100,6.616704
208.907043,100,6.662594
455.662096,100,6.696486
332.01249,100,6.732782
14.802699,100,6.769232
103.254725,100,6.808269
84.209781,100,6.843943
246.771598,100,6.879579
-2120.075564,100,6.91543
168.661558,100,6.95299
118.325215,100,6.989126
1479.977546,100,7.022347
175.579546,100,7.054595
244.38177,100,7.093095
528.441159,100,7.126355
277.394424,100,7.158073
229.01583,100,7.190432
593.834209,100,7.230996
360.977816,100,7.263625
55.661797,100,7.29689
519.437549,100,7.329983
927.852963,100,7.363208
825.77331,100,7.396648
-35.715985,100,7.42824
559.770755,100,7.459736
252.541361,100,7.494531
-102.549816,100,7.52818
840.712165,100,7.559346
-40.381617,100,7.591225
837.293017,100,7.624553
-1248.415685,100,7.656416
-271.490247,100,7.692787
909.913453,100,7.727051
-152.677604,100,7.762854
49.77866,100,7.795304
422.973629,100,7.828167
540.084025,100,7.85959
401.416745,100,7.89431
771.96773,100,7.925737
145.850405,100,7.956948
-260.834867,100,7.991266
770.780261,100,8.024124
1881.498709,100,8.056121
501.749794,100,8.087432
526.11732,100,8.119716
781.620907,100,8.154399
409.454164,100,8.190219
-34.154811,100,8.22254
255.830093,100,8.253304
-123.470671,100,8.286761
866.203869,100,8.318412
264.267155,100,8.350089
93.48198,100,8.383423
41.094433,100,8.490377
-285.34413,100,8.523132
-461.233075,100,8.556823
728.263945,100,8.588892
674.37488,100,8.622347
-83.897718,100,8.655658
23.882185,100,8.686397
166.696173,100,8.718602
-346.893609,100,8.750951
-124.583704,100,8.783315
474.396026,100,8.817201
943.387443,100,8.849709
496.373483,100,8.881888
542.628894,100,8.913564
497.606919,100,8.946369
50.394357,100,8.977873
-1144.046971,100,9.011767
116.135147,100,9.044042
-201.696927,100,9.075268
-508.813487,100,9.106577
309.684733,100,9.140572
36.399607,100,9.173627
237.526599,100,9.205758
548.423738,100,9.236827
275.852865,100,9.270481
870.635879,100,9.304148
198.701883,100,9.335361
751.528296,100,9.366327
319.102295,100,9.400606
136.292769,100,9.432034
-75.65074,100,9.46424
-234.935556,100,9.495516
488.943117,100,9.52855
99.63245,100,9.560821
-1183.561681,100,9.592518
162.317324,100,9.623609
194.164517,100,9.658316
501.641217,100,9.689732
-37.358442,100,9.722007
238.444768,100,9.755515
67.813186,100,9.788892
1386.332394,100,9.820697
38.866951,100,9.85354
390.577383,100,9.885175
844.244232,100,9.920127
732.60757,100,9.954896
-310.355369,100,9.988586
563.937129,100,10.019596
354.321284,100,10.052911
287.399325,100,10.086243
1324.600615,100,10.117771
582.973393,100,10.149014
301.490288,100,10.181103
432.885893,100,10.214018
266.931714,100,10.247365
472.139503,100,10.281785
361.219577,100,10.31508
742.417552,100,10.347094
131.54336,100,10.379758
505.116289,100,10.412472
-108.893803,100,10.448023
-812.337115,100,10.480984
143.193292,100,10.5127
465.374185,100,10.545228
672.17965,100,10.5785
-620.363582,100,10.610738
61.592446,100,10.642058
418.923456,100,10.674352
744.014563,100,10.708791
340.284157,100,10.743157
-139.892282,100,10.774528
154.224236,100,10.806396
-405.015439,100,10.839372
176.73369,100,10.87227
-103.616887,100,10.903614
-71.566935,100,10.936094
697.138141,100,10.970514
-246.713933,100,11.002908
387.588238,100,11.034286
-140.865623,100,11.066401
229.405864,100,11.101617
-162.511828,100,11.133317
556.180564,100,11.165432
576.089466,100,11.197306
