#{"t_start": 1719831243.357286, "env_id": "None"}
r,l,t
112.970378,100,0.016624
151.809407,100,0.038492
22.383245,100,0.060184
270.600341,100,0.082336
181.748492,100,0.104642
208.515335,100,0.126774
254.993635,100,0.14843
108.261792,100,0.171504
-182.06287,100,0.19363
304.22279,100,0.216658
234.337683,100,0.239745
445.430379,100,0.263404
45.810983,100,0.286217
124.464527,100,0.307621
814.953057,100,0.329584
-49.360116,100,0.350957
433.473536,100,0.374641
1753.740577,100,0.402492
76.398056,100,0.426202
-55.031001,100,0.454614
354.895157,100,0.484529
272.512087,100,0.513436
540.170905,100,0.538165
117.372591,100,0.568181
-209.784176,100,0.598525
323.290462,100,0.625145
-23.876618,100,0.659301
222.064531,100,0.682773
287.95731,100,0.706214
282.072061,100,0.728672
417.673393,100,0.752065
-118.596123,100,0.777377
-365.252469,100,0.800074
-207.515095,100,0.821798
350.120242,100,0.844062
410.542013,100,0.866369
278.025566,100,0.889435
424.393322,100,0.911308
228.186631,100,0.936615
61.352257,100,0.958458
-730.046334,100,0.981698
311.271753,100,1.003866
43.655543,100,1.025917
42.754674,100,1.048863
-382.027894,100,1.074394
121.532212,100,1.099372
292.743291,100,1.123518
-182.799215,100,1.145461
-1066.950352,100,1.170374
418.319305,100,1.194702
411.93088,100,1.218249
246.113826,100,1.241289
-181.372918,100,1.265946
-179.896457,100,1.289225
200.865953,100,1.313413
-251.787282,100,1.335712
-317.894815,100,1.358389
606.334392,100,1.381224
328.476602,100,1.403832
-352.646329,100,1.426461
-754.360994,100,1.451822
415.252139,100,1.474358
-410.149528,100,1.497274
313.930725,100,1.520759
-206.535143,100,1.544254
-350.700299,100,1.567846
28.536005,100,1.592121
194.610545,100,1.615002
-321.941782,100,1.640764
243.890781,100,1.665154
-993.657034,100,1.688103
588.385725,100,1.711744
127.477722,100,1.734069
534.10224,100,1.756443
44.18215,100,1.779627
-119.524515,100,1.810066
142.047827,100,1.837571
37.147701,100,1.865913
376.617356,100,1.889199
474.34709,100,1.913395
-131.256752,100,1.938744
166.220655,100,1.961303
348.502328,100,1.987054
338.961198,100,2.009986
288.152856,100,2.03468
40.281688,100,2.057282
133.21406,100,2.080007
413.990666,100,2.105575
615.940295,100,2.128802
249.818933,100,2.152078
-335.812746,100,2.1749
219.961819,100,2.197953
426.156695,100,2.221836
-265.703992,100,2.245472
-312.320815,100,2.269432
157.344472,100,2.292919
-158.297711,100,2.316281
272.90417,100,2.339277
-264.119129,100,2.361659
785.746046,100,2.384977
340.412314,100,2.409405
385.984871,100,2.433113
-383.618617,100,2.459212
-198.013035,100,2.481935
486.877218,100,2.505594
160.180508,100,2.529201
105.242377,100,2.552175
535.46643,100,2.574814
330.051755,100,2.598819
201.307268,100,2.622464
495.401575,100,2.645486
298.377855,100,2.676272
663.563769,100,2.708855
384.081646,100,2.741613
460.474961,100,2.77145
-815.376873,100,2.804294
521.001841,100,2.831353
231.390678,100,2.855536
-198.397539,100,2.880501
18.642855,100,2.90882
-146.50772,100,2.93308
-517.883215,100,2.956881
520.067451,100,2.980355
137.515375,100,3.004064
294.37087,100,3.030071
-43.698658,100,3.056202
93.335458,100,3.084715
-513.298606,100,3.112854
-743.856857,100,3.138474
350.910916,100,3.165023
-384.203287,100,3.193122
-1266.535811,100,3.221406
288.806547,100,3.250216
-46.405617,100,3.278446
428.192199,100,3.305119
293.152293,100,3.330297
-32.334254,100,3.356122
-186.442332,100,3.382856
44.579246,100,3.408751
-551.541987,100,3.433473
580.285149,100,3.457762
322.815988,100,3.481826
-494.03488,100,3.507533
-269.077371,100,3.536662
618.970768,100,3.570544
-44.13582,100,3.603338
-148.625274,100,3.637835
-56.117691,100,3.672857
324.757112,100,3.703346
77.093089,100,3.737321
252.380523,100,3.764769
758.168769,100,3.78973
771.102608,100,3.815565
-739.780751,100,3.839946
325.90925,100,3.864417
214.990388,100,3.889628
-225.557885,100,3.916342
53.43758,100,3.94025
297.810031,100,3.964455
636.231796,100,3.98974
-1398.643954,100,4.017453
291.239599,100,4.04163
771.754305,100,4.067109
-730.943421,100,4.09074
-221.390466,100,4.114807
449.238044,100,4.138389
-241.814926,100,4.162641
166.107239,100,4.186963
187.078145,100,4.21145
-37.305507,100,4.239063
83.72004,100,4.2698
-208.144386,100,4.302289
233.755538,100,4.331473
413.560477,100,4.362657
-1471.702915,100,4.395332
121.30053,100,4.424017
191.597897,100,4.456978
106.251736,100,4.488704
272.02895,100,4.514085
233.620076,100,4.540428
282.249501,100,4.56491
-195.479059,100,4.590055
-635.005128,100,4.615522
-135.635678,100,4.639484
266.990484,100,4.664368
-439.664472,100,4.689863
217.856387,100,4.714483
-442.476975,100,4.738565
-658.19813,100,4.763159
1066.677579,100,4.790865
76.108221,100,4.816784
340.994623,100,4.841601
490.967158,100,4.873317
-7.12873,100,4.89831
444.468656,100,4.924582
-1256.012897,100,4.95079
-279.401439,100,4.975635
106.966312,100,5.00008
230.46901,100,5.02446
618.11885,100,5.049997
-51.119989,100,5.076905
678.08201,100,5.101681
-625.941875,100,5.127125
409.017685,100,5.151385
184.952851,100,5.179471
131.417672,100,5.206443
480.133795,100,5.231902
-1171.123325,100,5.258875
-425.327174,100,5.283812
115.485384,100,5.311329
