#{"t_start": 1722782016.8614872, "env_id": "None"}
r,l,t
-59707.55027,400,0.111373
-25785.326321,400,0.235343
-27120.691411,400,0.354635
-14116.568145,400,0.500799
-36678.036903,400,0.640094
-18078.277915,400,0.77248
-96784.895472,400,0.906002
-21639.373912,400,1.038201
-31154.913553,400,1.167428
-38900.014137,400,1.299862
-13512.38757,400,1.433767
-21457.744247,400,1.565807
-15110.105598,400,1.698143
-21516.782928,400,1.885558
-30957.008734,400,2.027158
-45264.433599,400,2.206417
-66611.823801,400,2.347235
-21361.562478,400,2.484684
-13135.138472,400,2.625673
-23410.51256,400,2.766419
-16772.532228,400,2.903808
-21939.718613,400,3.040652
-20795.536156,400,3.184104
-12994.787275,400,3.318683
-12030.122712,400,3.458092
-22214.500165,400,3.601537
-42759.113049,400,3.734765
-33224.856732,400,3.871437
-54429.208511,400,4.009756
-50061.801098,400,4.148207
-63554.349864,400,4.282702
-32938.737697,400,4.41783
-93589.143378,400,4.556074
-45583.620821,400,4.696811
-70265.118591,400,4.834627
-43385.578569,400,4.977057
-26934.126596,400,5.123969
-33287.951737,400,5.260147
-13363.360111,400,5.393622
-16701.918638,400,5.527383
-24364.24019,400,5.679645
-64814.430878,400,5.81703
-38498.764612,400,5.9536
-50073.418146,400,6.095178
-32398.286315,400,6.236002
-31996.170711,400,6.370484
-22766.540389,400,6.519081
-22616.533415,400,6.663603
-34167.893432,400,6.804748
-43114.438431,400,6.943836
-32309.774124,400,7.081644
-16156.937091,400,7.218057
-17826.009025,400,7.356751
-29696.470823,400,7.495044
-25894.270644,400,7.631984
-31152.284832,400,7.771825
-58047.764305,400,7.909413
-25545.01721,400,8.054626
-19916.040873,400,8.194748
-56444.06482,400,8.349631
-26928.638454,400,8.491418
-16798.197364,400,8.626184
-16707.967132,400,8.763988
-21724.311176,400,8.903345
-25160.578249,400,9.059715
-90326.733255,400,9.195428
-10175.327369,400,9.331041
-16214.95821,400,9.467428
-23388.723299,400,9.60601
-16756.31312,400,9.7411
-16462.621381,400,9.876447
-26116.403814,400,10.009728
-12899.82642,400,10.146246
-44362.113027,400,10.283434
-19635.316302,400,10.423518
-14294.000992,400,10.558777
-54322.720904,400,10.700056
-36911.569237,400,10.842575
-14076.996202,400,10.979441
-21959.413227,400,11.118448
-33757.643601,400,11.25369
-35996.217188,400,11.423546
-19483.911872,400,11.559261
-29437.456441,400,11.694711
-42422.577798,400,11.832329
-29465.217704,400,11.966356
-68144.660482,400,12.102599
-65273.748833,400,12.2405
-33971.588631,400,12.376483
-24260.177921,400,12.510108
-12755.12096,400,12.645791
-32603.094184,400,12.779936
-10392.249608,400,12.917769
-27756.69356,400,13.072393
-72990.605811,400,13.210413
-13422.142997,400,13.345122
-28144.78651,400,13.480367
-25969.990043,400,13.614849
-41642.509563,400,13.748263
-36817.3969,400,13.883853
-19183.019923,400,14.033526
-10566.008579,400,14.179339
-100688.443433,400,14.316455
-22724.343804,400,14.467453
-32675.335517,400,14.620851
-44961.853693,400,14.764101
-25534.023,400,14.902158
-58003.781232,400,15.037624
-24340.724027,400,15.178
-20420.746899,400,15.350569
-30191.028117,400,15.490205
-15287.204082,400,15.627872
