#{"t_start": 1719767182.626404, "env_id": "None"}
r,l,t
-65.592987,100,0.014485
-485.297541,100,0.033127
-180.933627,100,0.051001
606.634449,100,0.070208
-868.347832,100,0.089934
40.753212,100,0.108741
98.10256,100,0.127327
-416.507611,100,0.146162
252.783719,100,0.166773
-17.341269,100,0.185915
-42.535433,100,0.205472
-338.46717,100,0.224748
-266.814579,100,0.245436
166.648609,100,0.264891
-272.134506,100,0.284536
-389.748502,100,0.305572
116.526478,100,0.32551
295.035806,100,0.346177
400.150933,100,0.36583
300.164581,100,0.38589
14.490408,100,0.406296
-159.430443,100,0.427867
-22.113299,100,0.447891
-350.848585,100,0.467353
-145.447704,100,0.48983
-43.66488,100,0.512302
84.019271,100,0.537371
-9.067707,100,0.56016
608.071303,100,0.580866
242.689506,100,0.602843
334.962124,100,0.62283
370.331511,100,0.642145
108.706199,100,0.665826
428.103187,100,0.686724
83.84857,100,0.707132
-12.767537,100,0.726648
356.388448,100,0.748886
-254.570261,100,0.771363
55.838311,100,0.792145
146.386632,100,0.813872
-67.713862,100,0.834429
382.342792,100,0.858086
-94.165072,100,0.878881
91.313633,100,0.898982
-630.314776,100,0.922507
145.448282,100,0.944676
586.286758,100,0.96526
-354.923803,100,0.987037
-350.796827,100,1.008537
-376.048374,100,1.031097
-436.716296,100,1.053999
-14.691464,100,1.077388
537.221374,100,1.099796
120.213639,100,1.12127
-193.592548,100,1.143284
-283.031225,100,1.169037
135.328909,100,1.195242
113.765683,100,1.227355
208.049528,100,1.252442
101.605258,100,1.273978
822.718483,100,1.297091
1030.50541,100,1.322174
212.840675,100,1.345167
142.101194,100,1.366798
-127.12428,100,1.393681
107.125745,100,1.42132
291.001139,100,1.445033
-0.341548,100,1.468063
333.925713,100,1.492862
-202.916703,100,1.51669
-150.499804,100,1.540195
1400.050039,100,1.563928
132.901618,100,1.587704
605.298396,100,1.61024
-31.087458,100,1.63224
-344.968595,100,1.655246
108.991823,100,1.679815
-124.982037,100,1.702873
68.741921,100,1.725215
329.228282,100,1.748134
317.522699,100,1.773471
-305.083755,100,1.797304
129.412163,100,1.820037
-243.064629,100,1.846045
-266.542354,100,1.872212
121.490936,100,1.896318
103.211713,100,1.918975
78.726655,100,1.9441
-43.035121,100,1.969335
1.756776,100,1.992589
-723.329197,100,2.015539
-369.299019,100,2.037937
-120.907302,100,2.062606
54.304979,100,2.087104
-37.61913,100,2.110566
-17.041982,100,2.136289
-14.087925,100,2.16106
186.168579,100,2.186158
-468.805386,100,2.210224
-178.935418,100,2.233104
0.643886,100,2.259592
6.179514,100,2.283517
261.430777,100,2.307495
494.424366,100,2.330627
43.086155,100,2.355329
-350.023102,100,2.380175
-132.308199,100,2.404268
-362.376018,100,2.427487
51.509472,100,2.453617
143.016786,100,2.479722
145.869044,100,2.50718
555.026414,100,2.531994
-87.894032,100,2.557905
361.039958,100,2.581847
89.24333,100,2.609025
-1402.630109,100,2.633193
-575.849824,100,2.658877
-431.870835,100,2.68379
-708.708509,100,2.707145
430.431662,100,2.730174
-51.86712,100,2.755774
328.673484,100,2.779625
413.422555,100,2.804375
-407.191466,100,2.828732
1008.855362,100,2.854239
46.11062,100,2.878701
142.053202,100,2.904787
431.132601,100,2.928814
174.580165,100,2.953222
304.676618,100,2.977441
-43.551321,100,3.002571
27.356624,100,3.028119
-382.260431,100,3.054462
-552.194784,100,3.077813
-59.418744,100,3.101612
-594.065879,100,3.126089
238.405365,100,3.151283
-64.418982,100,3.17565
-159.499969,100,3.200966
63.389756,100,3.225412
198.560884,100,3.250055
139.094581,100,3.273915
412.175915,100,3.298463
200.777158,100,3.321609
-237.208252,100,3.349754
86.607725,100,3.377123
83.911369,100,3.400634
-113.75931,100,3.426164
704.688116,100,3.456561
-355.538921,100,3.480802
-67.385153,100,3.505541
212.990756,100,3.52873
28.068372,100,3.553494
536.846048,100,3.579385
557.380217,100,3.602603
-142.019396,100,3.625721
-286.830201,100,3.650226
-632.176638,100,3.674617
633.237114,100,3.700209
-1560.362204,100,3.723529
-167.345961,100,3.750356
-156.291386,100,3.775941
279.619521,100,3.800105
64.367463,100,3.827175
87.449542,100,3.855932
-679.241441,100,3.881714
372.286494,100,3.906304
-69.176974,100,3.931112
-367.631792,100,4.005539
-3014.656616,100,4.030015
