#{"t_start": 1719833078.8659809, "env_id": "None"}
r,l,t
244.640598,100,0.016072
-641.221947,100,0.04334
-86.661145,100,0.06913
637.299967,100,0.095682
-551.189051,100,0.121088
62.093659,100,0.149682
-1177.5917,100,0.174818
90.343889,100,0.20121
149.411623,100,0.231398
290.224769,100,0.256645
118.651207,100,0.282544
374.047621,100,0.309279
313.065414,100,0.340449
308.514165,100,0.366418
20.86268,100,0.390434
113.711441,100,0.420086
149.220888,100,0.444513
105.647283,100,0.468759
208.250217,100,0.498813
-194.027433,100,0.523867
-420.864839,100,0.552708
-285.080855,100,0.577109
-43.460038,100,0.659144
205.092414,100,0.704724
622.257538,100,0.738324
76.957956,100,0.87459
195.245713,100,0.945657
161.878647,100,0.97614
129.659973,100,1.006286
41.192835,100,1.035857
297.034539,100,1.072096
241.752271,100,1.108118
387.98657,100,1.140996
31.485792,100,1.167993
-333.238215,100,1.192538
33.43637,100,1.217862
399.278068,100,1.244547
174.122198,100,1.282931
144.959387,100,1.307708
305.835179,100,1.332754
-20.94323,100,1.356956
-68.239301,100,1.380773
-48.660564,100,1.40529
-27.086022,100,1.43029
-927.803737,100,1.454708
-249.01118,100,1.478916
-1572.059212,100,1.503184
309.629826,100,1.528262
49.415494,100,1.552874
536.428644,100,1.577348
-183.541638,100,1.601843
-2018.244161,100,1.626995
119.65284,100,1.661817
-942.274591,100,1.694771
-172.389046,100,1.724543
-143.948879,100,1.751573
416.054915,100,1.776025
-1199.980756,100,1.802379
381.800893,100,1.828736
405.188239,100,1.852314
99.1619,100,1.876885
-1159.498782,100,1.902087
254.797492,100,1.925803
656.011252,100,1.949093
-76.699368,100,1.975432
-354.612226,100,2.000593
342.792219,100,2.026557
80.09704,100,2.050995
-470.158972,100,2.076896
209.355214,100,2.101319
237.845762,100,2.126118
-1144.687813,100,2.151797
933.364413,100,2.180679
172.424318,100,2.207232
65.608347,100,2.233024
91.505637,100,2.261214
306.015981,100,2.289341
348.923513,100,2.314336
268.13556,100,2.343947
-713.519803,100,2.369011
48.836639,100,2.395758
-23.03734,100,2.422045
182.63411,100,2.449156
327.895428,100,2.487034
-415.876855,100,2.516283
-1674.787525,100,2.545211
100.282561,100,2.572017
-388.492026,100,2.598
353.640848,100,2.626216
653.431061,100,2.655365
-7.466412,100,2.680261
-564.826942,100,2.70595
171.072695,100,2.731557
544.629046,100,2.759132
206.044672,100,2.783671
202.286897,100,2.808814
320.77994,100,2.834632
-1463.996314,100,2.863164
162.741671,100,2.889735
397.147821,100,2.914225
-152.903521,100,2.939834
-506.776112,100,2.965371
-130.144378,100,2.98906
489.264385,100,3.013042
437.840236,100,3.039788
588.812881,100,3.06655
-336.089981,100,3.091781
420.345818,100,3.116107
284.881153,100,3.142632
-176.42001,100,3.167412
708.876761,100,3.191766
415.34196,100,3.216947
130.259862,100,3.243463
-6.631263,100,3.269204
62.135528,100,3.294726
713.076037,100,3.319446
-608.567448,100,3.357313
455.705067,100,3.392743
220.803372,100,3.422581
823.202356,100,3.448846
285.946261,100,3.475464
-165.067064,100,3.501987
442.831348,100,3.527419
162.306134,100,3.552594
159.34452,100,3.577275
608.077498,100,3.609253
-109.880677,100,3.635883
606.375497,100,3.663648
157.331589,100,3.69056
-82.803407,100,3.72056
-957.073878,100,3.748124
480.066435,100,3.773236
489.58443,100,3.799636
382.408321,100,3.82825
374.436747,100,3.856215
-182.709756,100,3.881379
-374.009425,100,3.921839
-1047.264206,100,3.947588
396.656629,100,3.978468
241.618309,100,4.02037
339.261547,100,4.058168
182.947468,100,4.094074
269.848406,100,4.119714
400.016147,100,4.146187
-90.572816,100,4.175219
-80.321423,100,4.200871
147.754419,100,4.227409
148.573187,100,4.253681
-36.006468,100,4.282109
68.39838,100,4.311397
348.475362,100,4.336252
613.024576,100,4.365084
379.105523,100,4.394228
-49.905335,100,4.422673
408.253951,100,4.447335
413.458382,100,4.47707
-370.88454,100,4.507842
937.052103,100,4.533252
-205.127483,100,4.557056
197.362007,100,4.581749
-296.396824,100,4.612085
713.436456,100,4.64053
-640.5963,100,4.66589
-377.28747,100,4.690658
393.942034,100,4.716783
310.309934,100,4.741248
59.413349,100,4.766361
399.248802,100,4.790178
-58.106012,100,4.816417
83.456829,100,4.841785
-1246.203564,100,4.866771
406.743624,100,4.893664
518.028143,100,4.920313
621.423233,100,4.946796
-732.563042,100,4.972721
298.131653,100,4.99741
199.640473,100,5.024189
494.531006,100,5.049527
430.364094,100,5.073576
114.684209,100,5.098646
191.604379,100,5.125209
271.456489,100,5.150989
631.121906,100,5.177412
-293.317085,100,5.202301
-3.317713,100,5.228841
-101.418799,100,5.254483
-341.616503,100,5.280957
-653.999365,100,5.305619
595.392419,100,5.331362
-485.202869,100,5.357338
136.299165,100,5.383083
258.37107,100,5.408846
346.479291,100,5.44144
438.510585,100,5.46664
426.228214,100,5.49257
-559.49791,100,5.517781
200.031126,100,5.547421
397.695741,100,5.574636
-501.793978,100,5.600593
292.424046,100,5.626513
-211.729236,100,5.65621
102.042697,100,5.682123
-17.295862,100,5.707078
-206.722868,100,5.73503
-707.676378,100,5.767357
420.464831,100,5.795258
-202.517468,100,5.82292
187.923007,100,5.849278
235.317751,100,5.876494
454.011931,100,5.910946
93.369921,100,5.937621
48.746662,100,5.9651
252.804819,100,5.991982
368.317055,100,6.019979
505.566404,100,6.046116
-611.853588,100,6.075309
406.432543,100,6.103635
149.983632,100,6.130016
498.395413,100,6.157629
234.53313,100,6.184187
344.190517,100,6.211016
308.952309,100,6.238
337.198909,100,6.264741
32.752488,100,6.290077
495.47514,100,6.318103
23.941616,100,6.346009
-443.140653,100,6.372777
221.564445,100,6.399559
505.02192,100,6.428387
-377.437434,100,6.455209
229.574848,100,6.480953
133.458442,100,6.507627
394.607495,100,6.535405
325.850618,100,6.560432
562.879989,100,6.585973
657.659677,100,6.611005
541.022463,100,6.656924
502.404998,100,6.686543
656.437224,100,6.712221
81.263146,100,6.738784
217.502368,100,6.766629
-499.603246,100,6.795424
416.506959,100,6.821733
-227.333057,100,6.847763
350.332808,100,6.876525
-1226.465793,100,6.903519
466.019742,100,6.931344
219.228031,100,6.958218
904.162102,100,6.987979
708.192683,100,7.014838
-239.26884,100,7.042247
732.420653,100,7.069079
-972.23024,100,7.095932
-182.106046,100,7.122109
169.756085,100,7.150013
157.539032,100,7.176048
-655.463517,100,7.20684
540.756705,100,7.234362
-402.619116,100,7.260919
175.483974,100,7.287469
433.538636,100,7.314515
-658.24396,100,7.340512
545.382263,100,7.36626
481.724366,100,7.39102
88.913746,100,7.420847
127.479314,100,7.447022
1401.642901,100,7.475125
522.612954,100,7.500328
129.24964,100,7.528351
4.888813,100,7.556612
147.914605,100,7.584767
-263.708258,100,7.61222
115.446326,100,7.641567
415.701252,100,7.670347
189.902166,100,7.698376
414.096206,100,7.727332
209.710017,100,7.757453
592.064923,100,7.786199
299.531856,100,7.813573
227.188042,100,7.841223
-904.262567,100,7.870296
206.348578,100,7.898561
559.181259,100,7.927136
5.642632,100,7.954553
-735.995583,100,7.983356
418.693992,100,8.012553
695.667526,100,8.039831
255.014801,100,8.067326
-10.99953,100,8.098272
-821.051393,100,8.128234
-175.408971,100,8.156609
170.912442,100,8.183858
-132.423678,100,8.213308
643.962226,100,8.241568
705.267806,100,8.269121
-185.89017,100,8.29498
51.153397,100,8.322963
622.049728,100,8.350232
598.733919,100,8.3763
216.447096,100,8.402481
-139.820206,100,8.430262
125.276218,100,8.457659
-87.779895,100,8.484212
16.611021,100,8.510502
130.491921,100,8.538522
-563.300433,100,8.566003
217.682415,100,8.594169
445.117334,100,8.620959
-780.874221,100,8.650183
330.116877,100,8.679239
804.251869,100,8.707418
95.436972,100,8.735871
463.342949,100,8.765211
319.419977,100,8.794881
-40.037402,100,8.82205
96.249768,100,8.849255
285.1077,100,8.878057
572.181475,100,8.905647
-282.200048,100,8.932651
712.23468,100,8.959321
-124.503087,100,8.988017
172.782995,100,9.015379
-554.572693,100,9.04216
608.086154,100,9.071125
506.56262,100,9.099899
835.34985,100,9.126566
21.166829,100,9.157888
412.485836,100,9.185916
76.026983,100,9.217945
849.563628,100,9.246156
344.425249,100,9.275
413.324385,100,9.302037
-738.718145,100,9.332712
612.272076,100,9.361112
401.39548,100,9.390776
464.779379,100,9.417282
650.403098,100,9.449295
1352.914635,100,9.481353
907.788085,100,9.512676
82.335012,100,9.539796
409.937566,100,9.567701
-56.122014,100,9.596334
56.953038,100,9.626726
233.263751,100,9.65557
179.945212,100,9.685989
577.992127,100,9.714035
332.769555,100,9.742547
-495.369015,100,9.769366
77.822923,100,9.79774
164.321766,100,9.826817
-590.133023,100,9.853214
-24.184344,100,9.88126
615.31468,100,9.910466
-753.486373,100,9.939684
401.782772,100,9.970505
371.039782,100,9.998698
-531.109098,100,10.027497
694.896146,100,10.056858
454.765166,100,10.084895
293.718437,100,10.112629
363.569396,100,10.143337
-218.745165,100,10.175581
242.77612,100,10.206251
-180.284737,100,10.232843
676.196803,100,10.264753
201.78384,100,10.292583
-23.239283,100,10.319585
358.143141,100,10.346049
106.238639,100,10.374764
322.282083,100,10.402046
972.243089,100,10.430647
650.528774,100,10.45761
67.844406,100,10.485259
548.511319,100,10.513988
-568.844214,100,10.54334
553.333072,100,10.570757
534.755172,100,10.598604
-536.244564,100,10.626266
271.597709,100,10.657524
188.387325,100,10.685103
764.23818,100,10.715284
912.050412,100,10.746014
-619.219116,100,10.773201
472.720776,100,10.800601
131.749477,100,10.829846
637.17164,100,10.857079
471.796555,100,10.885499
-1103.556228,100,10.913766
-234.508008,100,10.945749
554.517171,100,10.973089
15.769643,100,11.002968
531.720429,100,11.032611
275.806342,100,11.065376
-504.256224,100,11.093677
-220.435276,100,11.12084
239.851785,100,11.151216
376.002123,100,11.182155
263.399983,100,11.210023
-785.798592,100,11.237777
496.453324,100,11.266052
260.457635,100,11.300057
155.180406,100,11.330979
614.319489,100,11.359458
32.030337,100,11.387969
-712.479934,100,11.417295
-626.252758,100,11.446268
467.504447,100,11.474343
94.727487,100,11.502261
-610.01744,100,11.531938
135.491677,100,11.560904
-90.187527,100,11.589235
120.657762,100,11.620496
-563.972822,100,11.650082
329.612988,100,11.682126
742.674779,100,11.713201
129.147504,100,11.744314
388.890408,100,11.77856
166.183886,100,11.811744
-1543.905702,100,11.839805
919.511065,100,11.86733
204.061639,100,11.896905
292.91671,100,11.928978
76.977764,100,11.956645
88.694579,100,11.986114
-849.483981,100,12.016384
495.331663,100,12.044708
211.484476,100,12.072486
19.550262,100,12.102484
-1172.888207,100,12.132085
428.020219,100,12.163797
-187.707483,100,12.191471
-469.364804,100,12.221108
197.792111,100,12.251402
-576.504843,100,12.282179
-15.310913,100,12.310038
181.669389,100,12.337752
625.703066,100,12.369327
751.493625,100,12.401448
-210.207508,100,12.430437
118.354069,100,12.45845
181.964283,100,12.490114
579.811131,100,12.519617
482.259978,100,12.547881
-509.157882,100,12.576978
-254.95388,100,12.607946
695.69665,100,12.636251
662.293484,100,12.666178
-72.84422,100,12.695756
654.175338,100,12.728671
380.992603,100,12.759535
110.107729,100,12.789704
1528.531063,100,12.818119
1191.534605,100,12.848557
487.309952,100,12.877672
367.001716,100,12.906327
460.191704,100,12.933963
467.217486,100,12.964074
273.988717,100,12.992631
498.077207,100,13.022168
376.936194,100,13.051066
270.073643,100,13.080982
289.232941,100,13.110287
229.881297,100,13.139024
599.411627,100,13.169085
222.287022,100,13.199298
239.554765,100,13.230707
718.990574,100,13.261554
-773.671397,100,13.293802
350.445724,100,13.322977
548.125586,100,13.353179
114.205934,100,13.390666
-303.13528,100,13.422448
-162.157001,100,13.453799
-88.020499,100,13.484159
48.335749,100,13.516579
-101.479181,100,13.545833
578.557276,100,13.577391
282.410018,100,13.608388
165.550666,100,13.639111
-344.415029,100,13.672196
311.685223,100,13.702078
-14.408458,100,13.735809
-671.091457,100,13.76599
574.903591,100,13.795626
605.720927,100,13.830117
243.445198,100,13.863535
-208.006024,100,13.896389
-179.671571,100,13.934585
-679.642673,100,13.965935
-13.056903,100,13.998711
225.598971,100,14.027034
488.38455,100,14.05583
508.134575,100,14.086896
564.728767,100,14.116076
494.444755,100,14.145511
508.037169,100,14.174632
2.200706,100,14.206548
104.330028,100,14.236687
437.543309,100,14.266512
169.820301,100,14.295573
378.613314,100,14.327485
468.637639,100,14.356555
-967.252893,100,14.386593
-374.19683,100,14.41636
316.893405,100,14.449424
595.125667,100,14.484124
161.506464,100,14.517561
358.627382,100,14.551845
-687.437973,100,14.586098
848.953764,100,14.620494
856.011171,100,14.654191
821.592554,100,14.689889
132.26132,100,14.722255
219.20855,100,14.752572
-1165.083144,100,14.782226
416.082289,100,14.811518
289.971634,100,14.844263
-2606.978316,100,14.874406
-1239.958819,100,14.904653
374.714555,100,14.94127
2.987441,100,14.975629
436.747635,100,15.009312
709.321954,100,15.038314
-93.52365,100,15.068349
442.822172,100,15.099405
609.124747,100,15.129327
678.690477,100,15.159311
279.427008,100,15.18965
616.109328,100,15.219242
169.323881,100,15.251262
111.752063,100,15.282723
-8.064213,100,15.311755
-159.441424,100,15.342116
642.764426,100,15.372719
759.168442,100,15.402677
713.032565,100,15.435111
365.676827,100,15.46573
-153.945564,100,15.495045
596.80938,100,15.52375
-1684.280696,100,15.555991
455.642964,100,15.586371
436.625492,100,15.618106
602.407627,100,15.648037
1387.898586,100,15.67742
-395.295261,100,15.709396
418.111469,100,15.739513
240.918392,100,15.770919
620.125931,100,15.799605
630.253762,100,15.831059
536.75962,100,15.859513
-341.007045,100,15.888245
181.714006,100,15.917337
-287.829302,100,15.947948
423.651883,100,15.976413
562.072815,100,16.006433
431.621333,100,16.035233
339.739647,100,16.067137
308.949688,100,16.096571
307.213913,100,16.125939
143.619675,100,16.155841
295.591516,100,16.186005
192.431795,100,16.216503
244.937897,100,16.244836
438.477723,100,16.273743
582.374913,100,16.305101
815.394907,100,16.335144
184.677003,100,16.363517
-670.115107,100,16.392056
118.239175,100,16.423976
85.246877,100,16.454512
381.606143,100,16.483505
754.011405,100,16.511823
343.044527,100,16.542155
863.495333,100,16.573814
416.793849,100,16.602833
323.141588,100,16.632794
549.844564,100,16.666166
-38.056396,100,16.695492
