#{"t_start": 1720013383.88721, "env_id": "None"}
r,l,t
-822.268468,100,0.011803
550.073655,100,0.046103
403.433688,100,0.073051
15.997359,100,0.099731
132.781976,100,0.125387
-178.042337,100,0.153624
427.848424,100,0.179619
-409.250781,100,0.202984
409.82943,100,0.230354
202.534985,100,0.257829
448.178037,100,0.28127
-201.390419,100,0.305086
252.016032,100,0.331964
187.077406,100,0.360712
-387.946119,100,0.388646
-578.027318,100,0.413734
225.651235,100,0.443289
85.406528,100,0.469648
-237.739865,100,0.496176
159.64972,100,0.522962
290.966367,100,0.553698
406.935058,100,0.582286
-6.116237,100,0.610441
232.476812,100,0.638737
164.845129,100,0.664331
293.494303,100,0.695633
-235.577361,100,0.720963
355.240491,100,0.744422
-845.50472,100,0.770086
57.065097,100,0.794979
451.780475,100,0.819701
172.66832,100,0.847371
-416.0514,100,0.874102
84.083166,100,0.900598
-1202.808143,100,0.928675
-239.790858,100,0.95888
-449.065007,100,0.988405
-541.280648,100,1.01608
433.501449,100,1.045992
298.194406,100,1.072498
-373.181152,100,1.102123
68.711643,100,1.13472
550.405709,100,1.16472
65.528821,100,1.19461
33.922906,100,1.223851
285.068015,100,1.251428
-314.285587,100,1.279838
470.138984,100,1.31157
163.315648,100,1.340598
493.664126,100,1.371131
47.382324,100,1.400653
352.348851,100,1.43182
367.48129,100,1.461723
-762.357748,100,1.490574
323.781335,100,1.518962
78.73839,100,1.546311
319.787251,100,1.575574
403.450385,100,1.608774
353.44886,100,1.637228
694.562767,100,1.678566
134.402267,100,1.711358
165.656898,100,1.741415
-266.865316,100,1.769898
523.310623,100,1.799883
166.702507,100,1.831606
367.081202,100,1.860381
197.962985,100,1.889276
245.878732,100,1.922057
636.446929,100,1.95301
323.156649,100,1.987656
402.607304,100,2.037331
314.019591,100,2.068388
164.507627,100,2.098168
157.094809,100,2.128069
29.414817,100,2.162008
192.849354,100,2.189256
562.020508,100,2.220282
-67.115516,100,2.261086
362.07903,100,2.305374
356.379028,100,2.340436
173.498724,100,2.372989
-191.860349,100,2.410282
330.187355,100,2.452787
200.883309,100,2.489052
352.54659,100,2.523474
-0.727792,100,2.55413
278.161212,100,2.585383
544.704599,100,2.623297
378.193573,100,2.660446
-20.874467,100,2.697371
-455.648296,100,2.735702
455.111209,100,2.769236
342.77767,100,2.800837
620.897993,100,2.830844
480.875413,100,2.860666
389.810757,100,2.890226
23.228246,100,2.922546
518.870376,100,2.954987
302.100422,100,2.988915
417.224223,100,3.022691
433.343235,100,3.054972
570.131132,100,3.088973
532.992846,100,3.122715
434.265107,100,3.155723
528.561102,100,3.18866
381.863717,100,3.21925
814.541601,100,3.250703
418.963875,100,3.288491
669.47546,100,3.322387
153.623044,100,3.354281
616.461217,100,3.386728
620.239861,100,3.419143
41.512157,100,3.554255
424.663921,100,3.584714
-649.015092,100,3.61697
1007.864988,100,3.646624
658.206724,100,3.680348
710.321922,100,3.712924
554.662385,100,3.744266
539.113875,100,3.774415
-555.040066,100,3.80485
64.919214,100,3.836363
122.667481,100,3.867744
545.95674,100,3.898991
