#{"t_start": 1719748566.880626, "env_id": "None"}
r,l,t
154.685287,100,0.014166
-256.462866,100,0.041676
105.589717,100,0.067034
445.421613,100,0.091409
269.379413,100,0.118206
44.118766,100,0.144547
-70.020125,100,0.16942
226.144503,100,0.193452
218.295073,100,0.222777
-73.103385,100,0.248739
293.910652,100,0.274721
-18.210359,100,0.299333
168.234896,100,0.327749
241.664646,100,0.353841
255.442432,100,0.379111
485.538002,100,0.405458
-106.315048,100,0.434369
-1079.216082,100,0.461048
226.302072,100,0.487291
-669.558059,100,0.514529
-334.736551,100,0.54247
294.16533,100,0.569289
335.06571,100,0.597768
276.222347,100,0.623765
530.320768,100,0.655408
-153.708907,100,0.684309
-23.080704,100,0.712155
-486.83241,100,0.738952
447.11864,100,0.767042
-83.734292,100,0.793478
443.028626,100,0.819795
-279.688346,100,0.846642
317.115864,100,0.874256
278.371457,100,0.901592
451.091688,100,0.929814
440.539847,100,0.957296
-61.329743,100,0.987395
422.739473,100,1.015931
-213.344256,100,1.044328
261.626459,100,1.072692
416.436898,100,1.101942
223.575289,100,1.13049
188.470137,100,1.164301
-278.738844,100,1.194615
221.815051,100,1.235227
-921.115927,100,1.2646
106.18845,100,1.294198
115.431765,100,1.324696
183.306064,100,1.417623
-1039.211487,100,1.459596
12.584748,100,1.49141
-166.12587,100,1.518783
586.231213,100,1.549926
-137.446194,100,1.578731
149.687872,100,1.607071
333.8095,100,1.634679
-154.464488,100,1.666171
100.351098,100,1.695026
-90.204166,100,1.724575
-507.680211,100,1.756506
-965.658282,100,1.792183
100.495748,100,1.820947
581.703501,100,1.851223
161.892398,100,1.880522
473.863131,100,1.912428
-71.560944,100,1.941804
-81.187891,100,1.970863
73.797199,100,1.999269
287.562192,100,2.031223
223.238663,100,2.061387
324.521481,100,2.09188
151.318963,100,2.120668
324.011621,100,2.15298
92.137671,100,2.182819
61.227525,100,2.21282
-23.693177,100,2.242558
390.523362,100,2.275568
-150.009051,100,2.306111
-440.901906,100,2.336249
-773.404959,100,2.365699
-658.582068,100,2.397082
440.546878,100,2.427657
-325.330893,100,2.460916
762.040232,100,2.490495
354.229787,100,2.524549
783.021053,100,2.555332
521.256298,100,2.585682
484.368064,100,2.615717
437.980842,100,2.651109
219.278104,100,2.683883
461.669937,100,2.71503
195.864866,100,2.745772
66.39482,100,2.77951
-760.381173,100,2.811204
533.416899,100,2.843272
441.116209,100,2.875178
302.041215,100,2.910728
810.453225,100,2.941684
824.063674,100,2.974546
107.530102,100,3.005541
204.086133,100,3.040246
-405.331881,100,3.072027
-696.215,100,3.103705
618.268731,100,3.134937
137.513785,100,3.168685
121.005628,100,3.200404
227.435281,100,3.233244
370.028077,100,3.264486
207.748569,100,3.297291
311.072175,100,3.328944
64.738954,100,3.360517
136.101465,100,3.394005
-302.205214,100,3.428412
147.481403,100,3.459576
534.354741,100,3.493952
-85.568972,100,3.530084
715.084013,100,3.566163
398.601261,100,3.599288
550.330171,100,3.63087
597.264456,100,3.661662
543.834078,100,3.696035
309.888577,100,3.727632
622.88616,100,3.760964
781.57088,100,3.792352
956.717701,100,3.825467
14.039917,100,3.858331
206.382433,100,3.891051
217.894907,100,3.923135
-229.479471,100,3.956586
368.040796,100,3.988542
49.947892,100,4.020778
275.91779,100,4.052428
794.511004,100,4.085537
887.122667,100,4.117596
252.661315,100,4.149835
