#{"t_start": 1722781253.995122, "env_id": "None"}
r,l,t
-72345.619104,400,0.430994
-68414.944153,400,0.545275
-31058.418613,400,0.66193
-26937.708598,400,0.779453
-92441.577689,400,0.922571
-32794.190416,400,1.05252
-192751.13883,400,1.176546
-50945.208386,400,1.301496
-55793.480734,400,1.434925
-24871.590814,400,1.564469
-52701.24288,400,1.695128
-36059.811428,400,1.826061
-16845.739695,400,1.961847
-15983.674261,400,2.090315
-72696.492115,400,2.219752
-25362.404783,400,2.347746
-57898.701942,400,2.482687
-19065.587226,400,2.616001
-58487.624557,400,2.746251
-26976.769007,400,2.878665
-28554.717429,400,3.014288
-18609.333673,400,3.148704
-39984.413008,400,3.287102
-33065.614268,400,3.424655
-49014.94839,400,3.56635
-70899.407494,400,3.707301
-123853.184733,400,3.849715
-109605.273701,400,3.989386
-27243.002881,400,4.134586
-30842.892686,400,4.271326
-29132.186291,400,4.414033
-39659.018717,400,4.565103
-32869.708359,400,4.715806
-152936.949672,400,4.854964
-88548.89544,400,5.001018
-97728.168648,400,5.139472
-131394.718037,400,5.279663
-83522.906394,400,5.41902
-34281.951841,400,5.557785
-41032.585574,400,5.696072
-53351.668337,400,5.83715
-129186.340921,400,5.975623
-42576.05383,400,6.121424
-25831.289468,400,6.258678
-27500.568683,400,6.398784
-44824.09118,400,6.537778
-56706.690589,400,6.677335
-15149.200961,400,6.814513
-73466.152654,400,6.956432
-42172.441049,400,7.092975
-65704.323982,400,7.230518
-27291.205591,400,7.370129
-98417.468076,400,7.511404
-78583.762759,400,7.648742
-19348.170392,400,7.785975
-22252.46717,400,7.922432
-62561.638499,400,8.063104
-39355.519339,400,8.20132
-18676.175768,400,8.338524
-34521.355505,400,8.485434
-11151.510548,400,8.62817
-22119.058343,400,8.765479
-41633.453466,400,8.902099
-68088.220452,400,9.043709
-43606.815735,400,9.186629
-31018.149713,400,9.322797
-55502.975983,400,9.461738
-33831.674299,400,9.6026
-29444.800714,400,9.740293
-20862.381603,400,9.877603
-16504.074183,400,10.021733
-33710.226985,400,10.160543
-16201.553398,400,10.300799
-18142.050535,400,10.44186
-13697.214652,400,10.605066
-63646.61823,400,10.742754
-54959.740321,400,10.887907
-64544.636944,400,11.047045
-72037.144892,400,11.183897
-31330.190271,400,11.320959
-62198.344279,400,11.467272
-23774.909597,400,11.610607
-48963.650817,400,11.753948
-41603.495599,400,11.892786
-23354.63255,400,12.032409
-37343.684695,400,12.170483
-75814.52417,400,12.309567
-42926.259441,400,12.44952
-48567.538208,400,12.589953
-25092.143276,400,12.91901
-28231.390554,400,13.119483
-54530.934602,400,13.26511
-50159.558825,400,13.404806
-53102.38024,400,13.546125
-60719.703727,400,13.685762
-99850.531747,400,13.825345
-58315.275599,400,13.965964
-146194.437756,400,14.103691
-79934.161454,400,14.242778
-27316.814574,400,14.380853
-29439.562658,400,14.523628
-19826.108809,400,14.661841
-115878.927594,400,14.800865
-55512.007066,400,14.939561
-45331.633665,400,15.088868
-80941.991341,400,15.227438
-34665.27235,400,15.363838
-16104.406259,400,15.503572
-12510.867672,400,15.641965
-18168.090713,400,15.778464
-123801.381628,400,15.917197
-21589.309036,400,16.05721
-88402.883195,400,16.197611
-39682.289607,400,16.335102
-19953.162966,400,16.472266
-74439.793679,400,16.61184
-30376.992405,400,16.750004
-27984.30086,400,16.887634
-56352.374898,400,17.025783
-21072.860771,400,17.163456
-130425.039811,400,17.389384
-36822.784003,400,17.551442
-127593.764869,400,17.689984
-37472.276202,400,17.826332
-185327.520298,400,17.964957
-33066.098106,400,18.101577
-48596.043181,400,18.236424
-75667.665088,400,18.372267
-53791.948229,400,18.511395
-35281.911668,400,18.647871
-33940.855963,400,18.781712
-41713.084935,400,18.91986
-111833.012332,400,19.056408
-55908.201545,400,19.191233
-19653.406623,400,19.32789
-27154.551471,400,19.463647
-33854.522799,400,19.6054
-29324.815781,400,19.740327
-36277.576482,400,19.876306
-41345.553651,400,20.017676
-21472.677579,400,20.155861
-21684.606634,400,20.291832
-77076.105079,400,20.428396
-23573.344159,400,20.564044
-19502.151553,400,20.704627
-15018.770496,400,20.840793
-74311.126279,400,20.977911
-95692.223587,400,21.116507
-40803.298575,400,21.255229
-57503.900099,400,21.39146
-17100.078173,400,21.52995
-21334.154689,400,21.667605
-96126.23633,400,21.804604
-32162.341392,400,21.943526
-43884.018604,400,22.079605
-22676.15701,400,22.217225
-79137.274309,400,22.353898
-13451.858858,400,22.491986
-33576.247738,400,22.631529
-38806.988802,400,22.76571
-21789.149057,400,22.903215
-20623.279388,400,23.041378
-27638.093754,400,23.176334
-54328.615485,400,23.310316
-23026.759304,400,23.449129
-121947.366035,400,23.583579
-61531.055425,400,23.717758
-36116.664915,400,23.851867
-27763.40414,400,23.993468
-45956.25492,400,24.128597
-36437.668592,400,24.261438
-32855.004308,400,24.394899
-12455.38145,400,24.533081
-164570.877314,400,24.670797
-43240.964031,400,24.8078
-91694.061351,400,24.947192
-53179.099048,400,25.095387
-22553.18077,400,25.230913
-36657.915257,400,25.372387
-21902.433254,400,25.629836
-40158.260188,400,25.788742
-16559.146552,400,25.941483
-36175.238257,400,26.07985
-77247.189107,400,26.239626
-32591.590205,400,26.371777
-53299.916847,400,26.503584
-15145.845954,400,26.634125
-12009.749824,400,26.764773
-35093.646521,400,26.898957
-62789.438378,400,27.060669
-15827.42746,400,27.194991
-54378.645715,400,27.330245
-74060.421087,400,27.463253
-26313.772689,400,27.59967
-28531.284552,400,27.738792
-32335.792313,400,27.868972
-132749.15659,400,28.004128
-26548.239455,400,28.136499
-110695.723734,400,28.269654
-33646.15642,400,28.40259
-9937.563638,400,28.544961
-42725.968492,400,28.674971
-74855.066057,400,28.810428
-16885.18412,400,28.944315
-20914.246308,400,29.078073
-26435.762655,400,29.207627
-19159.132071,400,29.339092
-16365.011393,400,29.472814
-54905.896117,400,29.610799
-15407.699828,400,29.747389
-23270.345606,400,29.877816
-107519.076649,400,30.0153
-23864.879401,400,30.151014
-28372.989142,400,30.283796
-17054.351861,400,30.416413
-67320.164598,400,30.546814
-11461.022273,400,30.68422
-24557.378154,400,30.83864
-17627.408465,400,30.975258
-21788.8689,400,31.110538
-34101.924085,400,31.24858
-30327.612949,400,31.383794
-67019.18954,400,31.515397
-20869.376354,400,31.647695
-104809.155317,400,31.801065
-24367.255785,400,31.939044
-32606.568281,400,32.076079
-39052.315938,400,32.211754
-92084.006221,400,32.345974
-25162.727003,400,32.480075
-9378.263805,400,32.622681
-19913.379023,400,32.755324
-88689.217227,400,32.889386
-43810.291666,400,33.042097
-42570.93298,400,33.176944
-50115.523202,400,33.310887
-181761.794134,400,33.447332
-28896.55754,400,33.580362
-37519.253005,400,33.769252
-18683.899593,400,33.914986
-87002.854759,400,34.059831
-16105.645672,400,34.194145
-11198.567135,400,34.342561
-10621.452456,400,34.475605
-16884.741921,400,34.612868
-83149.600519,400,34.747847
-29473.570578,400,34.881952
-27997.292151,400,35.021699
-47335.784008,400,35.157089
-100857.238971,400,35.308913
