#{"t_start": 1720013100.7321742, "env_id": "None"}
r,l,t
-764.546054,100,0.0181
493.674277,100,0.041097
400.32719,100,0.063815
237.325316,100,0.086769
107.132266,100,0.121744
-132.42085,100,0.144012
326.706556,100,0.166768
-282.001754,100,0.188549
508.024903,100,0.214193
111.300149,100,0.237753
480.491542,100,0.260614
-243.054573,100,0.282879
143.651442,100,0.310475
189.178944,100,0.334525
-432.320772,100,0.357969
-503.78843,100,0.380828
113.377567,100,0.405237
39.35565,100,0.429454
-555.0791,100,0.452862
270.107671,100,0.476231
234.251879,100,0.500705
227.54704,100,0.524523
10.897191,100,0.548474
273.610199,100,0.571542
213.434692,100,0.598699
282.369176,100,0.622641
-321.732728,100,0.646619
384.760502,100,0.670658
-655.722674,100,0.699295
-15.705485,100,0.725404
599.29298,100,0.748892
282.079927,100,0.772688
-238.094593,100,0.802955
316.788223,100,0.829071
-1198.934253,100,0.854589
20.288803,100,0.878646
-203.19207,100,0.905251
-554.544124,100,0.932558
403.072758,100,0.972933
336.990591,100,1.000735
-48.618334,100,1.042229
182.353406,100,1.069331
487.489938,100,1.097794
273.039246,100,1.156908
104.987804,100,1.184937
392.680421,100,1.210496
28.912252,100,1.235744
540.654092,100,1.260428
-47.243953,100,1.289749
482.738701,100,1.32199
156.474496,100,1.348866
366.852983,100,1.388818
625.198758,100,1.417098
-760.442052,100,1.44441
250.177525,100,1.47083
25.50046,100,1.498661
381.851148,100,1.526737
288.378142,100,1.552508
210.150613,100,1.577827
601.973327,100,1.603422
-271.74149,100,1.631898
-50.635235,100,1.657108
-415.966592,100,1.683188
441.828699,100,1.709234
202.182558,100,1.740175
553.154333,100,1.772151
210.75093,100,1.799544
244.371334,100,1.829136
536.110803,100,1.857761
346.693428,100,1.885682
495.021379,100,1.912928
384.504881,100,1.939311
120.580636,100,1.968285
113.688909,100,1.99504
79.331284,100,2.021398
453.838117,100,2.047847
588.021791,100,2.076632
-78.429943,100,2.103985
457.072294,100,2.131545
429.135889,100,2.158161
681.032244,100,2.186731
-203.030397,100,2.214875
460.022327,100,2.246943
470.296048,100,2.280887
456.991834,100,2.31291
-86.066054,100,2.344066
397.721738,100,2.375228
630.374882,100,2.410349
535.618963,100,2.446466
-147.608738,100,2.476819
-184.510135,100,2.510215
545.031881,100,2.53973
374.746337,100,2.571203
505.668892,100,2.602154
840.411676,100,2.631774
355.093289,100,2.660083
157.473892,100,2.689869
517.222534,100,2.718861
350.678894,100,2.748704
469.459233,100,2.776756
368.980385,100,2.811112
728.319242,100,2.847756
473.880505,100,2.879189
495.198898,100,2.909444
736.053334,100,2.940112
519.049634,100,2.969946
801.397226,100,2.998284
553.293836,100,3.026456
752.657859,100,3.056452
372.511324,100,3.086877
682.40471,100,3.116291
604.91889,100,3.144752
234.53311,100,3.174445
428.647947,100,3.204965
-99.694302,100,3.233832
1398.381107,100,3.262385
739.097616,100,3.292703
744.323951,100,3.323196
700.528619,100,3.352686
559.17475,100,3.381714
-574.569754,100,3.413195
322.034051,100,3.443879
355.266948,100,3.471599
556.565394,100,3.499078
1440.429632,100,3.529583
654.676447,100,3.559908
271.376677,100,3.590753
345.595396,100,3.619104
36.445034,100,3.649594
450.901704,100,3.677958
331.845284,100,3.70664
-145.980382,100,3.734441
691.878182,100,3.765472
-23.684725,100,3.794409
377.797524,100,3.826415
786.139208,100,3.855268
558.127154,100,3.88628
438.902246,100,3.914905
-432.333297,100,3.946819
-526.473701,100,3.975148
457.653082,100,4.005775
563.978551,100,4.036928
-1005.759874,100,4.065498
349.416621,100,4.095354
517.898848,100,4.125586
769.992287,100,4.155052
-38.515518,100,4.184992
1060.772264,100,4.213997
-210.208108,100,4.243864
-75.241931,100,4.273752
559.68788,100,4.302105
42.88712,100,4.332258
362.84681,100,4.362559
-41.842689,100,4.392547
95.771416,100,4.420693
51.659604,100,4.448637
601.155412,100,4.480079
564.421794,100,4.509268
229.456694,100,4.537086
403.898856,100,4.565976
-136.432442,100,4.597723
327.145314,100,4.626628
393.195242,100,4.656499
135.55255,100,4.684485
-486.599274,100,4.714284
154.63503,100,4.742501
515.78398,100,4.770573
504.815964,100,4.799914
656.791416,100,4.830592
740.650919,100,4.860791
928.870204,100,4.888683
957.846279,100,4.917181
522.827533,100,4.947375
1045.353492,100,4.975598
496.852952,100,5.003775
255.752332,100,5.032658
675.115582,100,5.062468
204.808394,100,5.093257
-207.325459,100,5.12146
589.667629,100,5.150571
454.565155,100,5.181529
548.087876,100,5.21545
779.211734,100,5.243728
386.762323,100,5.271258
467.296722,100,5.301546
534.639908,100,5.33086
492.749903,100,5.360257
385.333076,100,5.388752
-29.884388,100,5.419368
-102.439175,100,5.448323
490.138786,100,5.476616
36.262803,100,5.504359
858.786641,100,5.535082
736.274888,100,5.5636
755.635533,100,5.59205
630.919287,100,5.620807
340.221532,100,5.65188
693.27605,100,5.680949
475.780987,100,5.709135
630.04389,100,5.737833
-131.222039,100,5.770164
375.21694,100,5.800497
1157.379063,100,5.830601
337.423683,100,5.858792
471.437839,100,5.889909
330.297071,100,5.919828
584.245352,100,5.947586
495.04729,100,5.976046
175.37492,100,6.006414
368.414237,100,6.035631
92.936201,100,6.063613
557.194007,100,6.094469
1204.675259,100,6.125207
974.211577,100,6.154445
546.777481,100,6.183047
-224.282845,100,6.211266
677.117582,100,6.241828
598.710137,100,6.270923
701.787138,100,6.300135
-55.500217,100,6.332588
653.295179,100,6.364677
-195.34006,100,6.393928
140.157402,100,6.424719
345.470027,100,6.45327
378.98178,100,6.484037
921.430707,100,6.5135
618.101758,100,6.541667
882.575374,100,6.570317
187.078714,100,6.602587
510.459742,100,6.63147
121.788662,100,6.659287
-103.2616,100,6.689485
1370.870359,100,6.720149
153.118046,100,6.750984
-395.210726,100,6.782382
85.268575,100,6.814428
565.380067,100,6.846938
391.916229,100,6.876144
566.386197,100,6.905629
567.197269,100,6.934277
484.112369,100,6.964922
436.036382,100,6.993392
27.332933,100,7.02132
582.486031,100,7.04881
992.145161,100,7.078436
782.030366,100,7.107749
653.803384,100,7.136581
514.377613,100,7.164459
543.424841,100,7.194636
830.161828,100,7.224609
525.295815,100,7.254227
621.870891,100,7.282365
443.611257,100,7.312957
-364.242442,100,7.343065
433.385969,100,7.374394
754.977567,100,7.40286
781.251417,100,7.434484
621.596872,100,7.463725
-108.373493,100,7.49192
-973.258307,100,7.519587
-232.143922,100,7.551787
550.497563,100,7.580822
351.966234,100,7.611045
9.436712,100,7.639142
-83.652357,100,7.670563
78.830217,100,7.700262
596.235733,100,7.733168
326.700232,100,7.761385
666.06165,100,7.792133
-121.334247,100,7.821956
321.946879,100,7.851433
-658.104071,100,7.880875
715.618484,100,7.910925
271.00894,100,7.940947
309.443785,100,7.968941
726.347414,100,7.996921
-895.902652,100,8.027803
506.726782,100,8.058065
215.816198,100,8.088013
337.588978,100,8.116298
528.849803,100,8.148991
540.501578,100,8.177981
436.256972,100,8.206254
407.3899,100,8.233852
675.88651,100,8.263359
145.671787,100,8.293243
559.264631,100,8.323705
229.141794,100,8.353436
-1091.126407,100,8.384991
-120.581034,100,8.413698
221.107953,100,8.442176
607.624752,100,8.470032
694.184618,100,8.501692
364.212878,100,8.530404
445.179882,100,8.560415
280.951904,100,8.588537
209.786959,100,8.619792
548.672718,100,8.649278
347.779829,100,8.67836
616.392654,100,8.706182
516.594063,100,8.736803
-395.392141,100,8.765783
-48.543545,100,8.796425
-139.83895,100,8.826024
-189.629814,100,8.855694
-408.434014,100,8.884901
420.906368,100,8.91459
786.939086,100,8.943436
229.954942,100,8.973849
281.231123,100,9.002439
225.381272,100,9.030752
576.474167,100,9.059696
527.297334,100,9.089697
1146.287753,100,9.118178
110.354072,100,9.146239
-1046.212512,100,9.173894
647.498955,100,9.205074
325.526246,100,9.233495
180.375565,100,9.262662
