#{"t_start": 1720012859.732515, "env_id": "None"}
r,l,t
-887.565856,100,0.013797
582.115183,100,0.039114
368.432151,100,0.063226
205.149476,100,0.086816
156.565611,100,0.112311
-72.094936,100,0.138643
373.480332,100,0.16209
-356.273333,100,0.185051
414.780853,100,0.210063
293.8601,100,0.234188
363.868227,100,0.257348
-239.720327,100,0.290762
211.973364,100,0.318357
255.937872,100,0.347016
-307.612735,100,0.370647
-375.960232,100,0.394655
264.914245,100,0.420324
214.159991,100,0.444399
-623.570458,100,0.468893
336.089733,100,0.493999
446.770232,100,0.520342
408.321381,100,0.547651
-10.76291,100,0.57097
115.64491,100,0.594583
345.731082,100,0.621723
246.507176,100,0.648954
-244.954458,100,0.673422
372.02723,100,0.698818
-504.278694,100,0.724602
-66.724783,100,0.749585
619.01533,100,0.77381
168.70932,100,0.799786
-561.571646,100,0.825983
326.073709,100,0.853338
-1417.664247,100,0.878806
-131.149591,100,0.902418
-237.558709,100,0.928213
-617.150737,100,0.953936
373.288586,100,0.979153
300.155194,100,1.002813
-142.977203,100,1.030528
172.744937,100,1.055234
467.933442,100,1.081679
354.316885,100,1.10724
108.036913,100,1.140969
252.823965,100,1.168992
-108.382047,100,1.200992
498.625044,100,1.242531
199.405425,100,1.271329
685.380067,100,1.302138
62.487778,100,1.329554
392.826883,100,1.358676
633.999,100,1.388067
-212.961931,100,1.416095
220.69672,100,1.44263
31.697361,100,1.470054
433.815972,100,1.497262
454.983534,100,1.524912
332.433052,100,1.55194
742.375908,100,1.57773
100.038293,100,1.605551
230.358053,100,1.632347
-338.50549,100,1.658417
473.142144,100,1.684223
241.669643,100,1.714405
381.555099,100,1.740089
305.998443,100,1.767142
236.132018,100,1.794331
555.534331,100,1.823816
390.655109,100,1.85025
424.297069,100,1.87633
345.041861,100,1.902527
-51.097498,100,1.930002
48.571427,100,1.967406
9.208802,100,2.002413
425.432094,100,2.034094
514.652121,100,2.064337
5.080585,100,2.093213
474.893292,100,2.121741
331.335202,100,2.148803
414.351009,100,2.181668
-251.618703,100,2.212049
274.244179,100,2.240592
414.094765,100,2.268655
454.920528,100,2.297678
-204.410442,100,2.325273
386.221968,100,2.352709
522.494168,100,2.379814
456.264514,100,2.409697
38.13243,100,2.438999
-292.559554,100,2.46674
452.190398,100,2.495407
469.036539,100,2.525032
705.716468,100,2.556546
848.050996,100,2.586416
163.23956,100,2.613852
86.6581,100,2.645982
527.034879,100,2.674569
133.835772,100,2.702345
551.949574,100,2.732431
240.798178,100,2.764667
595.611083,100,2.793497
601.48374,100,2.821803
361.307702,100,2.849768
761.857801,100,2.882677
527.745733,100,2.911666
713.448197,100,2.941617
463.642168,100,2.970745
511.850823,100,3.001907
233.856131,100,3.031425
459.540053,100,3.060574
629.579636,100,3.08892
173.781958,100,3.119961
425.887973,100,3.150038
-114.287476,100,3.179895
1484.013325,100,3.208526
568.751664,100,3.238694
628.91523,100,3.268851
447.056213,100,3.298444
653.272766,100,3.32622
-427.747261,100,3.357309
410.790166,100,3.3864
363.058571,100,3.414202
579.812,100,3.445455
1510.605805,100,3.476371
490.113415,100,3.504813
219.224556,100,3.533865
404.321097,100,3.563355
26.304282,100,3.592659
493.586791,100,3.620846
248.621032,100,3.648861
55.619289,100,3.676502
669.547735,100,3.706941
-79.873559,100,3.736177
124.867479,100,3.765012
704.898629,100,3.79322
460.809917,100,3.822788
372.466356,100,3.853087
-358.562858,100,3.880509
-518.534839,100,3.909214
503.226829,100,3.938982
519.339783,100,3.969265
-1183.16539,100,3.997765
288.829087,100,4.027698
461.054747,100,4.058981
668.591828,100,4.089968
-186.814988,100,4.118578
1122.773569,100,4.148151
-171.908612,100,4.178697
-535.530539,100,4.209105
665.885114,100,4.23821
-33.493938,100,4.265853
391.611337,100,4.296005
5.011944,100,4.325367
150.986548,100,4.353165
-6.161758,100,4.381417
645.085705,100,4.411567
500.160172,100,4.441537
142.60579,100,4.471908
342.380002,100,4.499572
1.095727,100,4.532813
168.51991,100,4.561391
198.285162,100,4.591263
179.909822,100,4.620055
-525.459467,100,4.649556
-93.77688,100,4.67916
610.205492,100,4.707389
600.684286,100,4.735862
579.357924,100,4.766397
690.785338,100,4.796744
1008.82773,100,4.825544
897.45266,100,4.853575
370.682765,100,4.883482
1052.052218,100,4.912044
373.857955,100,4.940172
161.334099,100,4.968421
681.104011,100,4.998023
218.470171,100,5.028274
-741.424469,100,5.057725
452.429293,100,5.085382
510.326264,100,5.117448
414.85974,100,5.146808
719.198126,100,5.176463
358.864225,100,5.203817
336.371597,100,5.235758
605.605294,100,5.264617
353.104712,100,5.293813
431.023969,100,5.322777
-300.443135,100,5.353439
-114.116502,100,5.382997
134.884458,100,5.412059
219.665088,100,5.440676
819.352046,100,5.472599
676.961966,100,5.502617
739.930558,100,5.532012
629.057304,100,5.561792
307.446697,100,5.591936
695.705407,100,5.620096
480.625912,100,5.648621
417.034348,100,5.676257
-376.274285,100,5.707484
428.255632,100,5.737258
1001.188226,100,5.765285
262.064414,100,5.793603
406.033705,100,5.823492
32.471594,100,5.853777
311.431112,100,5.884102
287.308185,100,5.913296
201.662119,100,5.94407
59.838985,100,5.972361
-103.370619,100,5.999859
415.731401,100,6.029092
1090.146523,100,6.059348
816.00511,100,6.088292
431.567084,100,6.116534
-44.134997,100,6.145817
703.88672,100,6.175998
575.599106,100,6.20431
636.041743,100,6.234921
-320.477382,100,6.262966
401.002227,100,6.293536
19.497158,100,6.321365
9.042035,100,6.34982
141.86136,100,6.378673
335.968515,100,6.410164
722.1895,100,6.438227
604.536787,100,6.466701
952.977113,100,6.494312
202.434606,100,6.52496
420.199134,100,6.554316
-64.928489,100,6.582513
-230.847717,100,6.610503
1390.840129,100,6.640363
173.872431,100,6.670042
-278.152717,100,6.698523
118.802291,100,6.729346
418.61933,100,6.76074
-171.819235,100,6.790958
442.373246,100,6.8214
332.301976,100,6.848787
381.799999,100,6.880454
387.867057,100,6.909152
-349.589319,100,6.938773
386.133247,100,6.967038
926.119153,100,6.996577
727.42027,100,7.025106
533.139742,100,7.054741
373.761122,100,7.084353
346.877889,100,7.113682
578.530519,100,7.14291
401.921347,100,7.170672
587.016479,100,7.197932
386.518069,100,7.228893
-262.01305,100,7.25811
336.390124,100,7.286432
669.706096,100,7.314773
598.356512,100,7.344887
608.899693,100,7.374839
-610.745544,100,7.404752
-1402.356,100,7.432157
-442.260733,100,7.463456
479.960892,100,7.492243
252.035256,100,7.519894
-229.461433,100,7.551711
118.205296,100,7.584954
-160.860276,100,7.613992
494.185201,100,7.642218
125.351675,100,7.670437
689.530948,100,7.701121
-365.68932,100,7.730765
447.68925,100,7.75931
-328.78189,100,7.786973
538.485122,100,7.817204
364.66045,100,7.847179
431.689102,100,7.874759
738.485312,100,7.906176
-511.584699,100,7.93774
620.169315,100,7.965746
249.04737,100,7.994472
126.317977,100,8.022562
440.069987,100,8.05177
426.328741,100,8.084474
374.366544,100,8.11513
89.760532,100,8.143694
608.560977,100,8.173848
19.918669,100,8.204552
562.4559,100,8.23313
227.691634,100,8.261515
-1246.767252,100,8.291708
-85.808837,100,8.32206
92.197707,100,8.35056
405.319153,100,8.379877
608.530323,100,8.415693
195.596871,100,8.448309
249.716274,100,8.478713
126.070267,100,8.511606
267.889859,100,8.542498
375.191812,100,8.570934
-283.249685,100,8.598699
735.360082,100,8.627112
467.672961,100,8.657715
-961.304189,100,8.686728
-89.289341,100,8.718977
-38.238897,100,8.747223
-486.60696,100,8.77791
-32.20575,100,8.813481
371.942362,100,8.841929
690.3245,100,8.87263
120.681228,100,8.906003
294.367277,100,8.934578
-89.870043,100,8.962892
492.022646,100,8.990548
388.077044,100,9.020108
1103.758721,100,9.051282
-79.010189,100,9.080135
-770.536433,100,9.10754
780.745422,100,9.138567
506.50825,100,9.166948
364.948224,100,9.194964
498.562292,100,9.224674
659.060947,100,9.254805
540.095759,100,9.283345
659.597347,100,9.311277
750.534448,100,9.340232
410.11946,100,9.37019
279.427298,100,9.398574
586.166718,100,9.428775
886.241789,100,9.456949
754.479434,100,9.488143
417.893989,100,9.517412
440.281192,100,9.547344
-519.465492,100,9.57527
-854.764841,100,9.607736
440.248378,100,9.636448
660.90346,100,9.666953
34.237086,100,9.694582
133.491622,100,9.724379
451.345716,100,9.752654
443.271395,100,9.780972
173.736124,100,9.808962
1175.119867,100,9.838519
407.890612,100,9.866949
394.863731,100,9.897879
536.379639,100,9.925723
521.365745,100,9.955381
460.87569,100,9.983996
300.13788,100,10.012331
593.49009,100,10.042595
379.631554,100,10.071967
377.983487,100,10.101932
-6.02659,100,10.131572
825.296773,100,10.159823
575.839742,100,10.190276
-114.846018,100,10.219245
123.933313,100,10.2478
370.155014,100,10.275185
245.990998,100,10.307787
468.71712,100,10.336136
409.903087,100,10.364021
570.836862,100,10.391961
263.728341,100,10.519967
520.356026,100,10.552857
-247.628259,100,10.582119
792.384308,100,10.611611
265.161304,100,10.641244
557.732273,100,10.669777
486.56891,100,10.698049
-24.99385,100,10.726716
543.337059,100,10.757067
410.753627,100,10.786026
-12.25734,100,10.813884
-14.272132,100,10.843666
544.478783,100,10.874698
58.342952,100,10.903216
220.487804,100,10.931097
237.792335,100,10.959139
286.286196,100,10.989282
365.737309,100,11.018003
-30.63166,100,11.047375
266.444896,100,11.074602
290.155972,100,11.108163
254.562653,100,11.136832
-40.814175,100,11.165399
173.026314,100,11.193878
207.664195,100,11.2259
-562.168894,100,11.256104
-113.274155,100,11.283381
-66.768765,100,11.311539
269.69759,100,11.34204
531.383728,100,11.372127
130.209358,100,11.400455
295.797876,100,11.428676
935.476879,100,11.459899
-230.095056,100,11.48813
-559.128139,100,11.517125
29.712282,100,11.547029
-61.68901,100,11.576422
-224.48976,100,11.605581
531.745897,100,11.633906
480.266143,100,11.663462
61.806748,100,11.694783
67.9817,100,11.72412
-615.873484,100,11.752941
-783.084544,100,11.782142
-9.707113,100,11.81375
750.746809,100,11.842116
569.895495,100,11.870527
536.833522,100,11.902092
-278.883383,100,11.932376
496.955356,100,11.963629
542.967628,100,11.991697
595.657428,100,12.020662
116.335384,100,12.050154
299.667004,100,12.07976
681.320235,100,12.108294
154.011133,100,12.136792
-329.63901,100,12.166594
516.305985,100,12.196106
133.635211,100,12.225168
388.887157,100,12.253234
-421.448908,100,12.28315
447.518608,100,12.312852
523.693777,100,12.341308
109.16361,100,12.371292
582.236476,100,12.40163
262.021693,100,12.430813
-464.558048,100,12.459078
402.514021,100,12.487909
556.398787,100,12.517605
110.544107,100,12.549435
949.602782,100,12.582722
