#{"t_start": 1720012472.4458392, "env_id": "None"}
r,l,t
-398.753871,100,0.498865
338.53477,100,0.547522
217.920367,100,0.57111
249.655462,100,0.593793
71.239856,100,0.619047
62.269957,100,0.642904
232.687968,100,0.665467
-193.730139,100,0.687432
319.16972,100,0.712585
245.722149,100,0.737561
245.027115,100,0.761905
-119.298029,100,0.785053
231.154993,100,0.809324
167.081722,100,0.832347
-16.559676,100,0.855268
-142.453597,100,0.878255
148.197358,100,0.902811
147.549528,100,0.928203
-298.814197,100,0.952821
233.701585,100,0.977089
250.128748,100,1.003139
318.463797,100,1.027353
-59.03398,100,1.050879
263.95631,100,1.074273
352.027922,100,1.100693
255.53258,100,1.134056
-92.937233,100,1.164227
383.011317,100,1.188765
-355.178175,100,1.215045
159.506051,100,1.242267
475.410229,100,1.271676
255.215128,100,1.29655
-223.069723,100,1.323777
159.655261,100,1.348677
-709.943769,100,1.374679
151.781846,100,1.398842
-0.332235,100,1.426654
-122.882748,100,1.454703
320.046037,100,1.481711
238.776241,100,1.505967
113.553347,100,1.533215
152.96117,100,1.558579
238.706987,100,1.583225
315.271836,100,1.608986
166.185889,100,1.634569
396.337515,100,1.660802
201.179282,100,1.686264
363.966711,100,1.713967
202.988184,100,1.743304
182.923214,100,1.770065
69.525526,100,1.795151
259.169587,100,1.821689
421.44388,100,1.84948
-161.699058,100,1.875393
224.14908,100,1.901364
-61.123187,100,1.926532
382.117103,100,1.954731
240.730291,100,1.980544
286.623742,100,2.006066
569.467332,100,2.032032
16.0544,100,2.060757
185.410372,100,2.086863
-259.732141,100,2.113636
380.841587,100,2.140068
132.597642,100,2.168655
423.195948,100,2.195685
234.093363,100,2.221644
343.165034,100,2.249519
386.270935,100,2.277231
374.256117,100,2.305386
171.984437,100,2.33355
285.005283,100,2.361055
258.825221,100,2.390229
193.201276,100,2.418948
128.171642,100,2.447683
405.607984,100,2.473981
532.143419,100,2.502602
-68.520488,100,2.530437
186.941843,100,2.558303
394.759638,100,2.585545
390.958061,100,2.615628
-22.856105,100,2.643846
526.573095,100,2.670689
520.163864,100,2.699155
602.414678,100,2.730255
155.774712,100,2.760495
326.831788,100,2.793889
463.485241,100,2.823679
457.395239,100,2.854543
-40.445604,100,2.884811
-32.79196,100,2.914185
519.28564,100,2.943882
160.873133,100,2.974552
203.327763,100,3.002948
539.315727,100,3.039747
430.1021,100,3.076873
209.215628,100,3.110712
472.284678,100,3.142659
439.318856,100,3.172482
331.624083,100,3.200968
311.031997,100,3.236191
659.532918,100,3.266746
378.409872,100,3.295996
409.938164,100,3.326134
505.894086,100,3.356626
437.94401,100,3.38692
584.91657,100,3.416142
522.172201,100,3.447095
723.072794,100,3.477807
420.518622,100,3.50931
560.034432,100,3.538861
468.804866,100,3.568981
277.216903,100,3.601049
413.962472,100,3.629993
160.011794,100,3.658581
694.009865,100,3.687633
653.338488,100,3.718552
671.111919,100,3.750293
561.261684,100,3.780776
521.563921,100,3.81066
135.898442,100,3.841593
367.594773,100,3.871694
385.113959,100,3.902762
504.954636,100,3.931028
953.612284,100,3.961565
578.501596,100,3.989851
394.16607,100,4.017786
443.094682,100,4.049777
93.421535,100,4.080186
463.06681,100,4.108211
364.10022,100,4.137543
49.927353,100,4.165473
586.508361,100,4.197347
104.520784,100,4.227438
421.930265,100,4.257789
618.871816,100,4.285382
373.608873,100,4.315317
382.608573,100,4.343907
-108.487831,100,4.374862
-69.861047,100,4.403497
508.477511,100,4.433776
576.425486,100,4.461964
-520.694922,100,4.490738
472.148567,100,4.519114
383.690048,100,4.55112
697.713938,100,4.581744
9.755777,100,4.610463
496.339226,100,4.638302
16.415957,100,4.668856
-148.65378,100,4.697532
112.658752,100,4.725326
152.44157,100,4.756995
-20.214503,100,4.789467
217.889797,100,4.818778
171.535718,100,4.846241
50.395382,100,4.874271
304.808322,100,4.903919
295.183177,100,4.933916
197.603816,100,4.963552
362.478069,100,4.991638
123.517242,100,5.022146
464.146859,100,5.051765
411.817207,100,5.081315
219.448553,100,5.109697
-577.226335,100,5.142171
282.729242,100,5.171739
67.455675,100,5.199936
465.494705,100,5.227858
356.010427,100,5.257966
221.557646,100,5.287743
575.324229,100,5.316541
656.560124,100,5.34473
390.81005,100,5.374559
305.154611,100,5.402392
505.311521,100,5.430722
223.691377,100,5.459176
367.230707,100,5.489047
6.329865,100,5.518758
117.267495,100,5.547175
457.47173,100,5.575973
203.171429,100,5.60549
543.25129,100,5.635398
362.325874,100,5.663553
462.509218,100,5.692612
424.705509,100,5.725399
543.199633,100,5.755858
459.516469,100,5.785926
474.817825,100,5.814393
-69.672842,100,5.845609
20.867147,100,5.874077
424.251018,100,5.904242
136.259186,100,5.934618
542.328706,100,5.965201
540.121671,100,5.993574
688.565999,100,6.022306
600.124848,100,6.049896
447.919961,100,6.081328
559.696019,100,6.110232
476.58509,100,6.137994
410.94912,100,6.166433
-58.347173,100,6.196608
396.974149,100,6.227334
731.672694,100,6.256494
222.95055,100,6.284862
335.854964,100,6.315462
282.369808,100,6.343944
464.314495,100,6.373113
279.088157,100,6.401319
134.838016,100,6.431326
371.456401,100,6.460071
167.345773,100,6.490081
300.709346,100,6.517995
692.947731,100,6.549101
494.862493,100,6.578532
482.386034,100,6.608543
-90.572842,100,6.681922
428.934231,100,6.722689
495.443154,100,6.75677
525.674522,100,6.78901
133.276419,100,6.824787
439.292361,100,6.881632
-19.127931,100,6.92311
254.953693,100,6.954688
341.533889,100,6.986169
167.090415,100,7.020338
556.022745,100,7.053888
508.512383,100,7.085349
562.570545,100,7.116508
118.626363,100,7.151803
377.687568,100,7.18338
-18.847271,100,7.215581
-115.497894,100,7.247682
490.730607,100,7.283234
195.608174,100,7.315485
80.56054,100,7.347207
-24.649153,100,7.380072
446.167728,100,7.422308
264.370455,100,7.457357
560.118095,100,7.486097
541.628539,100,7.514087
442.647001,100,7.543992
-28.970513,100,7.573143
144.366103,100,7.609514
490.478666,100,7.637471
526.986632,100,7.668048
446.052489,100,7.697487
453.143271,100,7.729429
550.208166,100,7.758479
427.058371,100,7.788622
594.156009,100,7.817367
474.141986,100,7.851812
271.36236,100,7.880713
499.812289,100,7.912641
-236.813446,100,7.945359
454.962736,100,7.974684
631.349446,100,8.003122
420.558293,100,8.038166
479.857365,100,8.071128
12.014014,100,8.108438
-649.684077,100,8.13776
-86.323807,100,8.171587
474.04806,100,8.200559
446.37221,100,8.234348
78.167747,100,8.263142
-282.646569,100,8.293987
323.913028,100,8.322925
668.606495,100,8.351897
439.044965,100,8.379475
462.959685,100,8.410606
96.794217,100,8.440004
361.703012,100,8.468861
-432.593984,100,8.498632
463.604936,100,8.528803
275.810009,100,8.557446
293.819831,100,8.585963
442.441288,100,8.615405
-327.504219,100,8.647341
523.56682,100,8.676334
326.57447,100,8.705836
399.495779,100,8.735114
471.993733,100,8.765861
468.698757,100,8.797207
445.214905,100,8.827148
385.043321,100,8.85478
547.834875,100,8.890091
112.284543,100,8.91865
503.771951,100,8.94878
-305.451376,100,8.978422
-516.348239,100,9.008324
75.625373,100,9.037658
278.351684,100,9.065347
545.32404,100,9.09307
445.472502,100,9.12261
328.323042,100,9.152166
309.963139,100,9.181011
273.595297,100,9.209874
140.257369,100,9.239224
438.116402,100,9.269894
290.858604,100,9.298399
501.675852,100,9.327889
463.908766,100,9.359391
-102.131715,100,9.388155
138.141984,100,9.416237
-289.613943,100,9.44546
-104.243652,100,9.476961
-127.495515,100,9.506134
469.958198,100,9.534701
461.493257,100,9.566879
318.78194,100,9.598546
358.331995,100,9.627365
311.919985,100,9.655487
505.782474,100,9.683967
313.281536,100,9.715039
684.057267,100,9.744901
185.031202,100,9.774008
-837.427757,100,9.802932
200.211244,100,9.834145
121.783001,100,9.862773
199.047817,100,9.891035
371.418936,100,9.918559
568.109923,100,9.947967
322.382287,100,9.978254
-55.487592,100,10.008577
391.24829,100,10.036186
621.888347,100,10.069257
375.343191,100,10.097941
516.865982,100,10.127307
366.783782,100,10.157193
585.976701,100,10.188949
503.66913,100,10.218079
313.137022,100,10.249201
-35.716559,100,10.27773
-178.306665,100,10.308095
529.126509,100,10.337231
514.060888,100,10.365326
110.412875,100,10.393414
-34.881171,100,10.42556
430.512846,100,10.453818
319.763477,100,10.482197
476.412823,100,10.510236
745.654432,100,10.539417
157.919036,100,10.569644
372.987341,100,10.599187
472.605301,100,10.628317
398.293904,100,10.661657
262.786861,100,10.690678
-546.255808,100,10.71893
444.465414,100,10.748179
288.620237,100,10.779449
384.656088,100,10.810158
280.796222,100,10.83829
358.491868,100,10.866517
500.112606,100,10.897252
380.186117,100,10.925398
91.381274,100,10.953677
508.395981,100,10.982558
483.504123,100,11.011676
572.359921,100,11.040474
451.727069,100,11.070167
470.192919,100,11.099394
282.569668,100,11.131931
474.182369,100,11.160958
-634.806388,100,11.189642
503.151834,100,11.217266
336.25498,100,11.247707
515.96917,100,11.276025
265.495116,100,11.303858
59.577483,100,11.33127
595.214358,100,11.363798
492.360616,100,11.392611
292.676098,100,11.42062
344.607244,100,11.449067
481.060988,100,11.478483
143.857715,100,11.507362
102.793656,100,11.53778
175.131105,100,11.565478
300.695336,100,11.595297
422.356038,100,11.623956
3.326142,100,11.653865
240.012781,100,11.68174
270.838598,100,11.711076
386.104981,100,11.740129
227.854572,100,11.769894
311.35418,100,11.798498
55.066718,100,11.829874
4.149866,100,11.859074
174.588143,100,11.887438
162.571111,100,11.915162
-60.494132,100,11.945017
110.093351,100,11.975656
127.818378,100,12.003679
398.357318,100,12.031181
491.511347,100,12.062809
192.14121,100,12.091678
-265.757092,100,12.119252
201.245194,100,12.146873
-18.200562,100,12.179627
-483.913548,100,12.208148
597.923035,100,12.237654
449.392282,100,12.267016
299.851133,100,12.298752
217.625066,100,12.327432
-256.806798,100,12.35557
-260.148693,100,12.383365
127.865774,100,12.414463
481.92485,100,12.443293
534.217,100,12.47177
437.36377,100,12.499009
-87.109891,100,12.528987
488.000416,100,12.557889
425.706962,100,12.586065
557.113279,100,12.61343
421.294815,100,12.643508
273.54955,100,12.672138
379.54585,100,12.700025
-64.600004,100,12.728666
103.826874,100,12.758948
539.811493,100,12.789107
268.926429,100,12.817813
509.958926,100,12.845272
52.366125,100,12.875613
379.312989,100,12.904063
-92.030761,100,12.933406
332.279816,100,12.963923
486.291921,100,12.995067
477.106726,100,13.023814
-242.716905,100,13.05417
434.248231,100,13.082879
541.312096,100,13.11262
84.238883,100,13.141565
489.766954,100,13.169817
90.444167,100,13.19995
494.113135,100,13.229879
-841.1151,100,13.260376
619.028916,100,13.28903
488.528221,100,13.317
-362.442028,100,13.345974
388.999613,100,13.375791
522.986138,100,13.406171
308.993776,100,13.434217
488.142732,100,13.464504
333.511469,100,13.494201
125.838396,100,13.523847
126.937884,100,13.551968
468.754239,100,13.582352
660.907821,100,13.610996
521.899105,100,13.639301
401.693369,100,13.667101
501.874307,100,13.697936
-217.519199,100,13.726388
-107.333102,100,13.755917
289.329998,100,13.785699
-158.629735,100,13.816293
294.260982,100,13.844487
325.737103,100,13.872759
228.768184,100,13.900404
442.228652,100,13.929637
526.705056,100,13.958764
608.702258,100,13.987316
172.061485,100,14.015828
422.655642,100,14.045654
346.79412,100,14.074735
513.722287,100,14.10341
-721.732712,100,14.133901
453.969184,100,14.16233
629.170937,100,14.191153
652.439612,100,14.22023
-72.945006,100,14.252314
391.135038,100,14.283365
224.994874,100,14.313298
-116.509916,100,14.341249
474.48507,100,14.371941
-68.792965,100,14.403262
429.466918,100,14.431775
459.834607,100,14.459649
390.459569,100,14.487458
724.426529,100,14.518074
401.032461,100,14.54816
378.226341,100,14.580983
378.033069,100,14.609573
252.962012,100,14.64088
554.612112,100,14.670682
508.429946,100,14.69904
368.479996,100,14.726659
98.67965,100,14.757774
500.976371,100,14.787101
450.770005,100,14.817354
60.930292,100,14.845257
255.472229,100,14.875426
258.665953,100,14.905533
514.139403,100,14.933927
154.575855,100,14.963033
539.724313,100,14.993088
238.177341,100,15.022441
414.624035,100,15.050849
558.301503,100,15.080252
-110.811367,100,15.109381
381.252832,100,15.140103
657.797403,100,15.168343
486.956625,100,15.19757
449.087343,100,15.229475
526.091762,100,15.258337
578.655415,100,15.286744
343.076316,100,15.316121
501.300847,100,15.347206
421.280355,100,15.37647
-257.916597,100,15.405028
357.422572,100,15.432643
189.848103,100,15.46254
381.82575,100,15.491922
614.757035,100,15.521048
293.632725,100,15.549948
456.260972,100,15.580418
358.756052,100,15.609998
528.721833,100,15.638083
391.53655,100,15.667018
498.141452,100,15.697266
227.68608,100,15.726089
297.399742,100,15.755316
136.005789,100,15.783969
-106.550071,100,15.814321
663.748896,100,15.844275
321.165988,100,15.874446
-50.341923,100,15.902552
526.078662,100,15.932641
280.014423,100,15.962589
399.081828,100,15.992992
8.714775,100,16.020953
648.87694,100,16.052694
169.22125,100,16.082162
1.52914,100,16.110266
22.066538,100,16.137636
236.193766,100,16.169198
569.719076,100,16.200482
-1185.204345,100,16.228342
260.060096,100,16.260102
28.611227,100,16.292493
-403.961658,100,16.320906
434.456946,100,16.349584
372.048921,100,16.377953
401.545214,100,16.408295
347.83934,100,16.43687
208.158205,100,16.464581
367.083085,100,16.492705
-170.315838,100,16.524019
-1274.029283,100,16.552624
236.264652,100,16.594019
314.36286,100,16.622328
270.637543,100,16.653487
478.523095,100,16.682194
11.187704,100,16.711517
491.571179,100,16.741894
498.833724,100,16.774956
348.239208,100,16.804178
49.02096,100,16.833946
192.611715,100,16.861804
316.241796,100,16.893105
456.930539,100,16.922433
303.732183,100,16.950571
347.954965,100,16.97979
399.124862,100,17.010061
362.286366,100,17.038727
488.438527,100,17.068763
451.941643,100,17.098951
365.660867,100,17.13455
427.053666,100,17.1636
451.360084,100,17.192771
465.240753,100,17.240471
-549.150841,100,17.271066
415.904386,100,17.300481
367.115414,100,17.330259
39.340954,100,17.361837
499.894827,100,17.405768
150.371254,100,17.434091
342.841765,100,17.467232
351.481509,100,17.495091
595.162067,100,17.527639
334.36492,100,17.556262
573.017356,100,17.584118
226.973638,100,17.61269
325.504637,100,17.643048
-275.870199,100,17.673174
496.829858,100,17.701178
-1083.130823,100,17.729954
-21.886287,100,17.760552
595.9777,100,17.789916
-349.809222,100,17.818042
345.432347,100,17.847175
425.581512,100,17.877444
531.721026,100,17.908478
413.633557,100,17.937289
119.800328,100,17.965372
409.041921,100,17.997924
-91.683656,100,18.026702
214.54609,100,18.054214
436.277362,100,18.081835
215.017967,100,18.11198
651.390131,100,18.141413
471.535519,100,18.169669
340.762831,100,18.197706
-653.033338,100,18.22848
408.548294,100,18.258595
540.483362,100,18.288901
161.804271,100,18.316455
208.584872,100,18.347645
324.073124,100,18.376127
378.198264,100,18.404429
529.971386,100,18.432852
454.596638,100,18.464255
-135.926624,100,18.492821
-200.127909,100,18.521039
537.009321,100,18.550835
687.117367,100,18.581098
745.007326,100,18.611257
512.154545,100,18.639309
-771.900714,100,18.667675
655.710467,100,18.697496
591.858006,100,18.726705
365.20611,100,18.756345
232.118052,100,18.787425
388.285502,100,18.816665
384.461269,100,18.845247
207.428449,100,18.873583
555.486894,100,18.901874
482.775456,100,18.932746
42.17241,100,18.961092
487.242692,100,18.989618
188.609576,100,19.019134
334.836978,100,19.049767
487.733514,100,19.081175
221.184372,100,19.109595
315.268124,100,19.137698
411.236463,100,19.170201
-328.016847,100,19.200256
65.803478,100,19.228693
596.232625,100,19.257277
-506.845573,100,19.288941
-20.419441,100,19.317398
365.478019,100,19.345758
416.037702,100,19.375399
352.493717,100,19.40739
231.839485,100,19.435795
-258.748032,100,19.46639
459.528993,100,19.499388
402.774971,100,19.529122
332.350878,100,19.560069
559.058821,100,19.591823
246.138033,100,19.633034
674.300241,100,19.663041
496.625315,100,19.693099
-20.750699,100,19.720719
161.105102,100,19.750561
70.407854,100,19.781725
377.711195,100,19.810222
433.507994,100,19.838365
142.426744,100,19.866658
109.221661,100,19.896796
185.721523,100,19.925663
412.620924,100,19.954274
521.886792,100,19.983349
103.732826,100,20.014124
664.159673,100,20.043102
477.587745,100,20.070939
545.689934,100,20.098751
460.113407,100,20.227457
194.666202,100,20.258074
291.431581,100,20.286058
118.997487,100,20.315104
-155.685214,100,20.345455
278.099089,100,20.374242
445.838171,100,20.402495
434.726306,100,20.430832
421.947567,100,20.459999
215.928328,100,20.489788
507.944425,100,20.518081
136.17016,100,20.547362
513.350495,100,20.577339
-80.603344,100,20.611604
-294.536781,100,20.641301
391.539823,100,20.670343
129.114879,100,20.700526
458.712278,100,20.729027
96.950618,100,20.760433
395.471035,100,20.789885
536.573331,100,20.820819
329.445257,100,20.850018
438.797822,100,20.878446
572.30337,100,20.906411
489.244481,100,20.938336
-172.21975,100,20.967388
452.342753,100,20.995268
486.165959,100,21.025354
406.730412,100,21.055508
460.179102,100,21.085341
519.366136,100,21.114239
386.723635,100,21.142559
452.716246,100,21.173572
630.621017,100,21.203296
421.597363,100,21.231756
449.657386,100,21.262376
433.779988,100,21.293178
247.049757,100,21.321552
247.546535,100,21.349701
346.125224,100,21.381213
120.229826,100,21.411243
-237.278071,100,21.440521
123.644026,100,21.468286
527.061049,100,21.496847
563.484222,100,21.528274
111.744779,100,21.55795
217.689679,100,21.58661
686.083508,100,21.614641
244.003665,100,21.645583
156.870946,100,21.674507
401.068042,100,21.702894
531.546584,100,21.731393
224.285503,100,21.761535
478.189713,100,21.793213
445.931764,100,21.821409
94.712745,100,21.850073
-139.680522,100,21.882126
587.946947,100,21.911956
404.504184,100,21.940683
250.227771,100,21.97641
177.733079,100,22.010442
419.851628,100,22.038706
431.143614,100,22.066822
411.215847,100,22.095729
19.790269,100,22.125512
119.577116,100,22.15535
-82.873033,100,22.183764
598.792443,100,22.211984
270.559432,100,22.243327
472.585857,100,22.27283
453.360343,100,22.300773
218.523313,100,22.330442
521.975194,100,22.359974
287.238479,100,22.398668
453.61933,100,22.43486
150.982911,100,22.463185
362.2325,100,22.493561
224.807395,100,22.523941
266.020573,100,22.552427
186.745433,100,22.581594
483.00831,100,22.612791
346.825737,100,22.641814
433.625245,100,22.669948
50.370495,100,22.701002
