#{"t_start": 1722810799.7295501, "env_id": "None"}
r,l,t
-8832.981694,400,0.127022
-28412.950109,400,0.256492
-7913.544695,400,0.404049
-18370.742103,400,0.544516
-7895.596541,400,0.677907
-23864.972082,400,0.813537
-14544.745747,400,0.946735
-4275.747869,400,1.086367
-5791.443373,400,1.269834
-7865.694394,400,1.424895
-19024.560248,400,1.561743
-16489.054415,400,1.700656
-13289.069924,400,1.920247
-12292.732553,400,2.06209
-20390.485473,400,2.204337
-5035.704974,400,2.346254
-24746.707841,400,2.492209
-19364.01899,400,2.634617
-8550.863656,400,2.790464
-5738.588282,400,2.950449
-13044.845021,400,3.104096
-20818.498218,400,3.253757
-8525.220206,400,3.407514
-9702.539756,400,3.567222
-6621.359345,400,3.734294
-18130.327224,400,3.898756
-9165.153827,400,4.064093
-20295.621506,400,4.254874
-21656.1317,400,4.435826
-10822.77804,400,4.601438
-9397.593443,400,4.762831
-22084.979269,400,4.943937
-6757.663244,400,5.112385
-32381.366284,400,5.284527
-20105.376782,400,5.441031
-10152.036822,400,5.597968
-20238.218025,400,5.758546
-13023.089642,400,5.914168
-5157.485614,400,6.065965
-17465.613987,400,6.219161
-31460.049829,400,6.380103
-24956.201808,400,6.541819
-21963.638177,400,6.703514
-28969.434817,400,6.861035
-10023.596777,400,7.022202
-13542.109821,400,7.181909
-8490.403603,400,7.344087
-11295.946762,400,7.508735
-8057.951217,400,7.665738
-4663.930334,400,7.82414
-13519.256426,400,7.986047
-5616.639308,400,8.147968
-10415.093465,400,8.308505
-6078.553478,400,8.480081
-15549.163743,400,8.653082
-13225.475911,400,8.819027
-7014.995344,400,8.975183
-23759.999952,400,9.133184
-7351.055155,400,9.302481
-14582.827156,400,9.462456
-26236.116307,400,9.641101
-10321.42067,400,9.801426
-6852.525604,400,9.999542
-10992.229224,400,10.164025
-16021.056997,400,10.335153
-8280.003432,400,10.490029
-15890.146445,400,10.649779
-3808.876677,400,10.810588
-9722.562284,400,10.981942
-12643.537521,400,11.148271
-5821.114174,400,11.322594
-13027.889601,400,11.480653
-11025.031394,400,11.642197
-7613.480976,400,11.796594
-7379.058198,400,11.958792
-6258.145473,400,12.115957
-23466.369429,400,12.285662
-14859.212541,400,12.455831
-28526.013387,400,12.622808
-11029.732682,400,12.793398
-6084.630655,400,13.103745
-11750.149561,400,13.363059
-12793.836269,400,13.524238
-14084.304037,400,13.728091
-12254.899775,400,13.894591
-7736.601472,400,14.055004
-18315.84016,400,14.222451
-11519.100255,400,14.385665
-5812.346008,400,14.564293
-11383.974545,400,14.735035
-26072.714691,400,14.894378
-24098.453352,400,15.046705
-7509.293466,400,15.201068
-16968.735891,400,15.35797
-10101.714709,400,15.513094
-17457.213198,400,15.673442
-12406.559608,400,15.835251
