#{"t_start": 1720012948.373497, "env_id": "None"}
r,l,t
-743.916777,100,0.017195
642.452777,100,0.041306
524.813012,100,0.065629
195.266445,100,0.089491
186.55236,100,0.113103
-82.592593,100,0.135998
389.531273,100,0.158565
-218.300527,100,0.181095
414.318012,100,0.205204
266.878365,100,0.228298
341.655138,100,0.250919
-223.889626,100,0.273194
185.07817,100,0.298982
180.39419,100,0.326226
-84.742267,100,0.351215
-364.177903,100,0.377862
125.927988,100,0.407754
48.055499,100,0.437108
-219.420227,100,0.462344
340.173457,100,0.485695
240.55136,100,0.511808
438.168071,100,0.538183
-52.766594,100,0.562641
265.799506,100,0.588478
340.422417,100,0.614883
333.057946,100,0.639342
-388.760308,100,0.663822
398.863803,100,0.687217
-568.167984,100,0.713189
81.556329,100,0.737685
551.454427,100,0.761583
323.335336,100,0.785483
-129.791421,100,0.811543
231.545722,100,0.8383
-1304.43335,100,0.862321
32.488751,100,0.888042
-435.426175,100,0.913747
-581.550135,100,0.939121
394.30598,100,0.963925
223.119381,100,0.989436
-91.047577,100,1.015714
41.452623,100,1.041998
538.455805,100,1.067968
205.434943,100,1.093659
69.810744,100,1.122289
450.775261,100,1.159098
44.386952,100,1.189896
522.567328,100,1.219948
33.874068,100,1.254266
546.192944,100,1.285202
93.866826,100,1.316329
294.80771,100,1.345131
586.844648,100,1.375983
-625.413843,100,1.406279
-22.700971,100,1.435094
59.674036,100,1.463162
442.246725,100,1.495546
352.519547,100,1.526172
216.802279,100,1.553858
602.029527,100,1.582108
-50.063714,100,1.611451
3.132957,100,1.639337
-386.847384,100,1.667992
359.203305,100,1.696105
179.06668,100,1.725965
544.900323,100,1.755159
238.035095,100,1.782175
228.187921,100,1.809785
578.727192,100,1.837473
370.914213,100,1.863936
317.354415,100,1.891706
284.075491,100,1.918017
53.012239,100,1.94552
32.651756,100,1.973544
46.900271,100,2.048116
396.338316,100,2.094671
505.766267,100,2.12369
40.393203,100,2.150728
448.783981,100,2.177344
431.164424,100,2.206005
487.412035,100,2.234724
-184.109666,100,2.262336
544.45275,100,2.289174
517.258457,100,2.316247
323.733106,100,2.346249
-397.931522,100,2.374191
387.405626,100,2.403887
433.335486,100,2.431574
350.138866,100,2.460464
25.447551,100,2.48864
-371.201619,100,2.515498
507.710535,100,2.54326
