#{"t_start": 1722809053.275823, "env_id": "None"}
r,l,t
-12777.087683,400,0.131438
-31808.974147,400,0.255847
-21361.284627,400,0.381836
-15175.017774,400,0.507009
-40788.674871,400,0.631731
-36173.421484,400,1.187611
-27190.998525,400,1.312393
-11692.012851,400,1.442666
-13931.353117,400,1.570164
-61119.384344,400,1.695882
-28792.293455,400,2.253679
-17632.638426,400,2.389846
-9266.993916,400,2.517463
-17497.813547,400,2.643352
-16853.413556,400,2.767602
-5393.947673,400,3.36617
-22874.085568,400,3.489861
-7652.981256,400,3.613277
-14532.500199,400,3.74321
-31914.328023,400,3.876337
-32844.955171,400,4.463126
-19882.379612,400,4.585618
-8878.040691,400,4.707633
-11560.030663,400,4.828661
-32185.500174,400,4.950905
-36843.182896,400,5.600444
-7705.390686,400,5.724016
-22651.462199,400,5.846862
-15711.602388,400,5.971076
-10763.447695,400,6.096953
-26691.817259,400,6.678561
-42781.451661,400,6.802226
-25299.490292,400,6.925069
-44067.455927,400,7.049945
-18098.820315,400,7.1768
-16571.69374,400,7.751667
-16513.65215,400,7.875647
-36384.273041,400,7.997305
-9331.050145,400,8.119946
-19168.968466,400,8.243327
-20978.071992,400,8.878876
-39733.45924,400,9.006849
-33843.39695,400,9.134536
-23716.040905,400,9.269952
-27826.602131,400,9.405306
-9290.190825,400,9.534913
-17786.131604,400,10.093116
-15614.103621,400,10.215446
-8241.123648,400,10.343679
-6737.400187,400,10.470565
-37363.95091,400,10.593948
-7363.377204,400,11.153587
-20336.377731,400,11.277966
-10994.56402,400,11.402467
-42039.805899,400,11.52722
-10064.178163,400,11.653509
-12240.033628,400,12.19535
-14565.103451,400,12.317106
-11427.761699,400,12.438556
-9949.959264,400,12.560447
-7516.801344,400,12.684929
-12199.973418,400,13.24035
-50669.333844,400,13.364
-17935.872261,400,13.487991
-8759.429184,400,13.612138
-10121.630341,400,13.734943
-17624.206562,400,14.327836
-19841.424807,400,14.450779
-17810.092977,400,14.578362
-19456.009942,400,14.70295
-23679.221076,400,14.826659
-16631.571927,400,15.39433
-30196.786488,400,15.518218
-44114.814002,400,15.641555
-10941.707107,400,15.76449
-19223.435627,400,15.889006
-25893.502008,400,16.450554
-29897.914738,400,16.571114
-30797.248579,400,16.694756
-12471.50401,400,16.824677
-17218.442042,400,16.94481
-62228.988242,400,17.50766
-9629.261702,400,17.634506
-25408.295334,400,17.758137
-18961.028506,400,17.881572
-24091.669966,400,18.012876
-44560.842847,400,18.137919
-9383.16932,400,18.685735
-9414.546273,400,18.806668
-7975.31899,400,18.929304
-11264.078069,400,19.061352
